,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
MT,0.8917894039678768,0.3329918198836462,-0.21563687918221042,-0.11174651890286898,0.1087838308413719,0.03427186115092271,0.1445545896260583,0.03652973195627284,-0.06478997042680458,0.02335583141840177,0.08125730457287539,-0.1026669347220231,-0.05916194171879458,0.027955412900865766,-0.06569332049373551
NC,0.6678061438913112,0.6615273114448389,0.22104885257987256,0.0798687970291425,-0.19537719968836037,0.07151645775556399,0.016379215073562537,0.09596646903422025,0.16463440471776636,0.06244637247694663,0.0312911089628478,0.0008386634549850214,0.01903905610464633,0.0006583949165785915,-0.07658373082363912
ND,0.8325203403121627,0.17485998154877797,-0.36717744310436373,-0.23288653586909447,0.23469785252366487,-0.20159422538397762,-0.07827963246226158,0.05790558951207169,-0.03874495394821315,0.0723213271767724,0.029501922506006185,0.06510756956010523,-0.036693020748744754,0.023047068905401952,-0.016248290630900643
NE-AL,0.8615778156407409,0.3367393927154195,0.04433222422160358,-0.12275855929337683,0.3387252185277771,0.04329820884968369,-0.16327588207982544,-0.05981065888516245,0.0006454465127013696,-0.0004762695974396821,-0.09645563851428564,-0.006801056319078428,-0.0013721764524443239,0.036387772679420206,0.026590578522441066
NH,0.8277015571298575,-0.3278293544858633,0.31068714783702095,0.25773418946608345,0.039899732316651185,-0.1239199105270739,0.07947242835220528,-0.12222623112928986,-0.08257257951077474,-0.1268836942042927,0.05520851372061705,0.06491492258844475,0.06017748037487324,-0.0474609011858745,-0.03036828380591782
NJ,0.7831404177293448,-0.5910365283454732,0.12795403781200107,0.05147171976623782,-0.11373129940715432,-0.1448532371340985,0.03446690601071542,-0.009895469937908415,0.04950607365857685,-0.022115904991792303,0.0038847123834718418,0.013234005879832264,-0.0039102761091325796,0.08450810097279696,0.07751704178532189
NM,0.9362750517167249,-0.03294936143381799,0.2919960581047881,-0.03681955494551395,0.030919392255862658,0.06057977861434734,-0.12518997529615122,0.0695927224364418,0.10132579317884684,-0.14785746797228078,0.06088359368835887,0.0015603821034128986,0.033018398918325545,0.0332372276199497,-0.06127326718284339
NV,0.9479871521502842,0.12204491926908079,0.20271505128637787,-0.14426292829325624,0.11646113647188414,-0.07525686484117314,0.05527954754922134,0.02853479723014138,-0.04304865760039737,-0.0143597484749962,0.07801973133854859,0.14063736627633888,-0.007412413504458089,0.0470686044566088,0.024624581767740926
NY,0.6951231902975202,-0.6839121887903891,0.07572904451390775,-0.011646999297979362,-0.05887897757048277,-0.2402091036880274,-0.09354516804572031,0.0013309060738585167,0.01602339164545463,-0.016647311268801306,-0.02481293065344906,-0.025608820261679783,-0.0343731336582134,0.0014285216729580095,0.06270280808762366
OH,0.9240330427224311,-0.21030477511636902,-0.1475536873641783,0.10504321744640387,-0.12244129166293587,0.13563658969782194,0.048266126242738086,-0.13538412336065708,-0.16355696959976648,0.022311111498369434,0.047051431078257704,-0.011620939704875348,-0.03517128181666434,0.0985588014517089,0.03555630233442887
OK,0.6668317191922799,0.7160131559852329,-0.1372791498535586,0.07172928342217615,-0.03132572666374607,0.09328492642158544,-0.10812435774646023,0.043732048779031994,0.052200737440154084,-0.0786336251059516,-0.07700890775744243,-0.01096121294463958,0.10290740190261796,-0.023811418763339927,0.05588056525599756
OR,0.8584478943269828,-0.40919723105780414,0.05370208090017085,-0.2017838295822738,0.04591467289929747,0.16888907029176373,-0.019268079629025353,-0.011690216154734126,0.12851621091090923,0.07214572151251568,0.15602713466947654,-0.020307023140887656,-0.025338457974294064,-0.04250338860474931,0.05995708580894418
PA,0.7379301296454732,-0.5651173995131707,-0.2289407165260163,0.06825339952081222,-0.24431452437554949,0.07033507530788512,0.1392881963060712,0.09766917699352268,-0.00911093103320397,0.05621369219235331,0.047195489538639716,-0.027602436389955503,-0.09565908423077867,-0.005956804318277726,0.021935939079160947
RI,0.6471071716575862,-0.6482358391551621,-0.18323774688474995,0.25960235524352065,-0.07416260836673408,-0.2412429458056522,0.051304333832989865,-0.026816209569693373,0.05287335664031984,-0.004211284514844371,-0.07573400141189932,-0.018214823828059352,0.04196038785681597,0.03280230205278921,-0.05847285174928909
SC,0.252827450735466,0.9070636245155709,0.28236439303083055,-0.03892441774692525,0.0383279135063123,-0.18154113851559037,-0.007236770007798472,-0.08411961609674039,-0.050252776468972436,0.10368325909338125,0.05479487962429339,-0.008655261353941486,-0.024686989175038032,-0.04223182530208968,0.018353652739830913
SD,0.7628329236500732,0.06277899256733964,-0.5036376605126534,-0.23051659940386313,0.28447190742762357,-0.03918522816124312,-0.1467735234187744,-0.02979901547648761,-0.05856375775512363,0.0008791882471139657,0.06712816598273776,0.13351010581738573,0.07643350153176431,-0.05345350051401144,-0.03644259668804173
TN,0.6296197737339565,0.7079312448706665,-0.15674787553823963,0.06382256364315837,-0.27524809416493673,-0.058597669272483624,-0.08442919558263962,0.012753686170015975,0.044791019644708135,0.01674534448203712,0.01881904165927454,0.004847714516889617,-0.045758184939014145,-0.06368398728076925,0.0699152963020401
TX,0.5872926686830061,0.786551019349804,0.14146795488375563,0.04101231559199933,0.06346813334887734,0.035223797117154794,0.02137763382653018,-0.10978946380093813,0.10813777573102078,-0.0001980191460793644,0.033606824033170696,-0.08461011639124005,0.0836683718025245,0.030779996697909002,-0.027719792531812573
UT,0.7054148474088794,0.5849894005994069,0.09068976899528454,0.05858199287019702,0.16497992000025527,-0.052354078882146535,0.3388987942196109,0.05771638875321926,0.022488374758340708,-0.04974964027665059,-0.0032196772334204147,-0.12972623764929758,0.017802489334501948,0.01243163489515462,0.019068942455237763
VA,0.6339859751383332,0.5704978818234837,0.5110745417308955,0.021976395674411085,0.01243883395732163,0.033672170130875645,-0.06406279596716634,-0.17766319697326685,0.06986673744815398,0.039839295539493474,0.0403827339972002,-0.02441114654781613,-0.0006748571882381127,0.02362357461872557,-0.02332326429731454
VT,0.4532771179577838,-0.8637530591852245,0.1997218569364214,-0.018834335593874443,-0.03795270304543153,-0.01737975288219431,-0.07513109742031066,-0.10786719016019584,0.0021737275806442756,0.02352532799472522,0.028592012159212574,-0.05016995152982409,-0.031230232754187598,-0.11114115283438986,-0.06645264983255299
WA,0.8742012614307962,-0.3866474833632689,0.0710755755431154,-0.19085678998147076,-0.09581314168088949,0.17285115930773806,0.13579686235358418,0.09414435059972563,0.02335422724809041,0.03615614528245457,-0.0002650386961632652,-0.03598284416539109,0.05813593871589977,-0.053439653496221075,0.03056925697763931
WI,0.8353532314827117,-0.3285472098352922,-0.24034802791522206,-0.29524341501852547,0.058009113032725074,-0.18627893793425523,-0.10336856480781036,0.033139986150898436,0.13631202445938453,0.06139766752604705,-0.01189142785086442,-0.05486661408606007,0.004820814976572965,0.06286286890177015,-0.01642201075405479
WV,0.5172247988202214,0.3918983655209117,-0.6340524927100334,0.33290382329120854,-0.2562174790029839,-0.03658343028141215,-0.08666023196940793,-0.00894203914533216,-0.03521428203536951,-0.0639563863098763,0.02799290793706436,-0.06482349279865905,-0.08801944240064295,0.0009475932047118064,0.008375822624634493
WY,0.7656595679307849,0.5169381700057496,-0.3549077642709879,0.0655497991315757,0.08301978819725338,0.040485854308997045,0.13984426692067106,0.042540968604256664,-0.10122595181661977,-0.04933623523547244,-0.004521325569844238,-0.03196492026330266,-0.0569113560951993,-0.04339370927091284,-0.01931652825306102
