,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
OK,0.054937183951681824,0.9409023582408417,-0.08143325666446691,0.09881200344414175,-0.06572075960614847,0.10373162429550713,0.15735974257042049,0.11504068941831722,-0.00798532784099981,-0.013430076740100893,-0.010079763455144733,0.04120422677388301,0.04084431440934884,-0.22987714574860618,-0.08747415581432881,-0.1037023743303491,-0.013465013528131667
OR,0.9133333962112711,0.19888580915061274,0.045196250340453194,-0.05302137049086389,0.1210065813357761,0.012184187708289693,0.17517162450834048,0.11305336214524786,-0.020455538555396387,0.09431833244072318,0.09462912832851773,0.016152956420960866,0.2594060212713394,0.03613521160598942,0.007503017743945087,-0.030898593508825314,0.0015349897851271385
PA,0.9536257721720722,0.004690599609460708,-0.10475375157602326,0.12325951041097534,-0.03665163837001523,0.11509513142945264,-0.05344077038261901,-0.026677739499002786,-0.09428612084766286,-0.13499267903689322,0.05024175738825874,-0.0012717197526809687,0.06450236082074094,-0.17731611958395704,0.0773010477339941,0.08129233037748876,0.030633564008449524
RI,0.899255661624173,-0.11720960152346727,-0.011359027357913496,0.09876799084959412,-0.0987977193322539,0.3025555173445538,0.029339016906691055,-0.14403992779447902,0.006723857203144125,0.013304175437621189,-0.07321564534108345,0.05429140843557199,-0.23647540725670974,-0.0948712539135144,-0.004703378133835052,-0.05562901962377216,0.04138603979133487
SC,-0.36765246527424283,0.8926393578360299,0.1358061798152158,-0.03818262895754804,0.011271324111715417,-0.04719838347558734,0.04613087959463237,-0.06311025960319694,0.04373012652526079,0.07367883810921273,-0.030086599580181436,0.08024823635772528,-0.024625933215965796,0.19922381405121403,0.01762318373956274,0.13029652050195112,0.004683139016274606
SD,0.51159467472864,0.41877108931740886,-0.3039448298911217,0.21659231585010197,-0.0004701409129161401,0.08045534120260307,0.6515919026387363,0.10583281090292052,0.05016187248351093,-0.031551176888966276,-0.04959436074951729,-0.02260872343235904,0.06334631272207707,-0.02539397076439118,-0.011026056332625666,-0.03129548834547543,0.03401703045810706
TN,0.07963298352379032,0.9378338431541287,-0.1301792493422249,0.1863201104712651,-0.1387047820221035,-0.00689197555536703,0.01952560742168808,-0.0697970441605603,-0.02962691565665885,0.04368491786399207,-0.024634594550874456,0.0422362008471635,0.047661754667691056,-0.21522266760659578,-0.03351862727041774,0.11670368467312939,-0.010252702399643182
TX,-0.039739962745111726,0.9872495099479012,-0.008282961249565596,-0.05649659653494371,0.06014775843800617,0.1046760816105449,0.03690214221957582,0.06800417352000185,0.05580471614537899,0.08709537729219013,0.03865849657765646,0.06651739234102623,0.011733353274569123,0.04550346304967614,-0.00015181051986049563,-0.1218019353641257,0.023513710935515637
UT,0.17445616470424624,0.8988488501320208,-0.005528993646099747,-0.06571714585580686,0.13749844847880646,0.24491134978895396,0.046199861954498496,0.004911288458672254,0.10012685843642825,-0.2133944294397234,0.1421269392068064,-0.04868057222636331,-0.057736222697481375,0.1201710566723586,-0.02796516230932969,0.01945677887909858,-0.10658608526232095
VA,0.1195567108494577,0.882042085629348,0.3153059701976578,-0.11931705115443474,0.11219416525540157,0.010819751463002554,-0.07346023631422244,0.11703017637286821,0.08405170245920889,0.23565836158458175,-0.003968419362918998,0.08209231491835899,0.043057237268769144,0.14458454636492965,0.056431882258202455,-0.040130858050248186,0.024362774117358946
VT,0.876078933975244,-0.3779713715244151,0.24635969392212878,0.009312541086531555,0.07354964826981099,0.00034482085925576514,-0.028563586972817547,0.057447796976336805,0.0871489631565136,0.14374253964065964,0.010112894992630225,0.05740104960759639,0.006093156068251382,0.07878190643701906,-0.05262145648826871,0.04217212522299953,0.09353054038629464
