,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
NV,0.7253055068695,-0.31270589283402805,0.39173325987225405,0.07923687950993769,0.04665296382349913,0.3468111007919967,-0.11541430978924301,0.028119471132591237,0.060855441987122304,-0.0030126263941997085,-0.002629449603270589,0.022211208486251684,0.2735050396128549,0.08158206266347028,-0.10262927858859121
NY,-0.7496783709523799,-0.01657936365728736,0.015092050481575888,-0.1693612615316215,-0.25224725128919034,0.2876098073615661,-0.15955497507797617,0.12995096502241785,-0.1480391012028423,-0.005869710113883546,-0.054338665033538236,-0.32554557023614494,0.33777708455226074,-0.05515651905315457,0.01991327145379393
OH,-0.20371178161752163,0.11022215465795865,-0.008199310745742474,0.21001091322361393,0.010791732726419156,-0.26025473874254984,0.03534208341194593,-0.9178044948916452,0.004462969934927644,0.01880009557079201,0.001997486048438066,0.08792075039912607,0.038467512675324354,0.08669664365756002,0.014959059877124049
OK,0.7677098941078214,-0.14325983766552147,-0.04525186629784013,0.15258113448696214,0.0412321479061672,-0.47893792201625635,0.02345677790465918,0.018175431526721783,0.03084987266331868,-0.027570367981361553,-0.056708807092494616,0.190340960189104,-0.1965106308062319,0.18581466720205989,-0.215517385936258
OR,-0.30175985585956255,-0.12370800714851386,-0.004653560579475256,0.23470951293077347,0.04335817368756397,0.5666409494970845,-0.052407393130141276,-0.05967311790578005,0.008627141776599498,0.6782099031531269,0.0063358802365110715,-0.21147409045474638,-0.04215923397052803,-0.12814744253979246,-0.029484692109806827
PA,-0.8332553186927688,0.21927122643923852,0.00390606054566406,-0.24553824841779284,0.0364399105340532,0.08989693469136897,0.08141662057061706,-0.2780918868978883,-0.05330303494003507,0.15717149285629553,-0.15556785611897886,0.13689372422920074,-0.2086817005187805,0.003624164183973246,0.0791711384272601
RI,-0.848911532442539,0.04042408851256193,-0.12161207143146086,-0.2729538418973676,0.15680132608121192,-0.057605470799104566,-0.10581889470473417,-0.0005401784814517031,-0.0055615808587833335,-0.18659232175264376,-0.15839321201032958,-0.15484576953183724,0.2684258467955913,0.10832738785575076,-0.0445534411922575
SC,0.9445736917449857,-0.06883247840704668,0.018230884544773614,-0.015131683932733814,-0.014638659064654816,-0.2900221712932584,-0.008672614804840852,0.05048217356527096,-0.015518861057552603,-0.04426794340235827,0.03246843394118764,-0.003402946333654889,0.08016038742337124,-0.04876705621875757,0.1769044772775414
SD,0.014444375175410754,-0.7966860810485522,0.006995651883513902,0.25585289984454446,0.06667278879046355,-0.37027825548076976,0.22025306361135483,-0.03155455951278541,0.24882666788220453,0.14859802211018197,0.09497189077717268,0.18914897212357226,-0.06170567104490194,-0.0045170043010536445,0.043023291077569185
TN,0.7414888227034292,-0.056223538356189554,-0.04150090380046158,-0.1158490303597514,-0.0980102148762854,-0.5719146812863669,0.15325796307782008,-0.04127846064028782,-0.017588786847367036,0.01649903606233611,-0.0678817786648871,0.10692532397349042,-0.22609178216414028,0.13854783088368994,0.00973665457119371
TX,0.9405076212780957,-0.09094785727169136,-0.08866410055976552,0.09733802387878518,0.18412896222327108,-0.24138627067489393,-0.04520825533687413,-0.022993935080453724,-0.0272316047959107,-0.007566702014481661,-0.02378087891436059,0.019265342855746673,-0.014106497113042921,0.09984612500837786,-0.11822835532204241
UT,0.8170504142320709,-0.06850579590814652,0.0005343701957672105,0.04073204103363464,0.37087974228232445,-0.12100604799857272,0.0002538055262024377,0.0682025810399684,-0.23202298744813088,-0.11321418490736264,0.04444229611413791,0.3363026451690929,0.07902682464194001,0.050546312426294496,0.029209128103832974
VA,0.9215619899091242,0.17579480531941358,-0.026914482428019443,0.15134240981945227,-0.00029831127367113073,-0.14199157792630107,-0.0988034409745637,0.010482769905315693,0.008013421355290049,0.07847895607146581,0.04147682647842517,-0.22021549453995978,0.1859495117747435,-0.10290053621498194,0.008365482879085761
VT,-0.7140341332345443,0.1659289474314058,-0.13122428697039903,0.03437677643050596,-0.1652941186068761,0.45739784731940347,-0.15263561476981338,0.010438994263939128,-0.003307242781930749,0.16445329507083797,-0.04805860329996915,-0.2728773244638728,0.29952461253030915,-0.06498123191083283,0.06883483720737213
WA,-0.2590861635330023,0.07969639957288294,-0.06716935545762857,0.08797893403172775,-0.007723055192310887,0.8616411763721745,-0.14132237501846937,-0.0641535909624711,0.05960611607370065,0.20105793332817906,-0.15331080436079395,0.1660548237168901,-0.20683677964752134,-0.040718673996879035,-0.18209635066710614
WI,-0.39042115053636917,-0.8122063025301015,-0.09251184364655665,-0.10368599297797212,-0.06267618510304156,0.18953635987588324,-0.01178951785165811,0.13780755695347424,-0.12017870360706398,0.07183525992810919,0.04639888861793971,-0.2074228922478492,-0.17780399917617606,-0.10276021255975624,-0.08579216362667763
