,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
RI,0.8871170636707978,-0.16063657317336763,-0.03373794664611502,0.25756154700168843,0.09428198876909191,-0.13345984400238273,-0.00638409757799512,-0.00441715975897981,0.05932621248838016,-0.2632475918247615,-0.1889140865296378
SC,-0.3412511768615112,0.9222284158000316,0.06801766215574144,-0.0005627054989681145,0.037019486095680884,-0.0933548533075082,-0.13338190373437422,-0.10769593865571267,0.04938494810905952,0.10029578021578121,-0.04697299225821144
SD,0.4091053392539928,0.324180431150348,-0.1452185150548813,0.04799054501584757,0.7854580113022429,0.09475428902848539,0.002394176592098421,-0.05480335075237517,-0.022048661214840188,-0.2824214402437915,0.020963909396149394
TN,0.05195634358129857,0.88260383464667,-0.0534451887081463,-0.06028459421549548,0.1189032845983639,-0.0645004714744772,-0.015122637739493665,0.052073177480486864,0.04289094573589488,-0.45033605914136526,0.03602006109778684
TX,-0.04530066233369967,0.9730902040523074,-0.024790065587918075,0.15057408833840705,0.11516523875876589,0.09741231395435837,0.028019678819532885,-0.05319952668796,0.08097197579216499,-0.06777002626215227,0.07818403712752395
UT,0.16229488348697274,0.8823219233660786,-0.07117046232048362,0.3175674206891784,0.1675789962867123,-0.0038017337100044605,0.11627953762034879,0.010943822484355653,-0.22131062125526238,0.005379917099149347,-0.03349768315506628
VA,0.1705993439183761,0.9249606386283007,0.17856805808986917,0.08092247261810237,-0.06051983317724488,0.1378591218111457,-0.0489711111469422,-0.13477875511244652,0.1825461409367362,0.16191926552002556,0.09098768187313228
VT,0.9034557833687671,-0.3557995792888746,0.1371033371739436,0.012999821617637056,-0.003805079106197181,0.057745776877719764,-0.0473593640350926,-0.10209849625288367,0.1189029238129231,0.14016282220312257,0.024074661110443006
WA,0.9188356863837541,0.22970599067932376,0.01942431603462544,-0.01674231238948648,0.17580996751303812,0.13617776655903358,0.06080557313260932,0.1379569132026196,-0.15418985083466977,0.016456005946812888,0.17177549924867405
WI,0.79649557759117,0.172223671442918,-0.08611429149331505,-0.050973802097578916,0.5532684980259815,-0.08944938898680944,0.04122779235477226,0.10776932791082246,0.1155070279869655,-0.09046587459261421,-0.0026602065485405845
WV,0.09674143208482094,0.43968728908515897,-0.1977948702181178,0.10772607193160023,0.1984434358924072,-0.04628627237103107,-0.012669855336256083,-0.013687011456868136,-0.03439882696171417,-0.8464620671271478,-0.040990095103160956
WY,0.18997291082829026,0.7350331804693753,-0.15079122597924555,0.200439339479768,0.3961284494334788,0.09588314777707892,0.042708154182296926,0.008745585992773579,-0.23663380926077202,-0.40314949682178614,-0.02236972914284006
