,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
KS,0.670267630108648,0.5136276309764407,-0.09089251624536304,0.034612801140124834,0.07920055316927349,0.10356113024020279,0.2427058222985477,0.45141781768252737,0.007642779754145327,0.09897661804785544,-0.005482765927476204,-0.007825405583347917,0.043874548830875576,-0.11167503896443777,-0.01620007521413604,0.014494732036979529
KY,0.12127462947622397,0.8069021082795108,-0.250327132321477,0.27622708969783005,-0.10714538936034211,0.26560085843042747,0.01691918316524325,0.056373780536653796,0.05121198053939977,-0.0008806161744905772,-0.04468513161681349,0.09304277242179301,0.0327348912556526,-0.3554693671820914,-0.002481829295074214,0.0015636950786427546
LA,-0.1997098686026399,0.9430964802806733,0.018906565649096027,0.050988433641181864,-0.054655584778604674,-0.04852976723156036,0.06479040214767254,-0.05127853632603061,-0.029502753322519726,0.06989779667305397,-0.016077695699902535,-0.02219838084995894,-0.17767234677269117,0.20812182481871197,-0.01075954503968075,0.0751816813245813
MA,0.9079696251293982,-0.30337960328135627,0.000930363300491588,-0.019072364485967313,-0.03025937069455385,0.21082354601472417,0.0749620105949702,-0.056561876364589966,0.1014204351949523,-0.0474905325573882,-0.0692109346014203,-0.07427674803785485,-0.1854605910171931,0.025086754257817395,-0.048454053803333175,-0.020701586728518507
MD,0.8450099058128667,0.1558499679595774,0.351917430704837,-0.12171639723443839,0.1187128810227252,0.02952803512437586,-0.030761323576405278,0.10946074979562395,-0.011488803821690511,0.35583565960111024,0.024645320563514067,0.002153106268317446,0.0006796701135111223,0.03788192296863225,0.00042856090603451394,-0.003848799270236479
ME-01,0.3845864730992568,0.12489541409505225,0.8735753209259689,0.028377071468870044,0.10368258880024775,0.11920209975027975,-0.12713667395101239,-0.020296712634559823,-0.020294841269984553,0.0032913451996508937,-0.23642158026017632,-0.03469081728498401,-0.02309073086437927,0.048959090015109494,-0.03520308194274318,-0.020132015030451242
ME-02,0.3015865794115855,0.19545762582851142,0.5734975368846618,0.5823102863158379,-0.27139212346195535,0.016249546595782757,-0.006861440402831515,-0.04999728373353489,0.02481258791610679,-0.001278385925557845,-0.36562327113209125,0.0508096025012237,-0.03771282327812004,-0.08766053257590094,0.030699773100991683,0.02951844460365304
ME-AL,0.9130321309324955,-0.17962366331074156,0.04805362842761805,0.12227051967288866,-0.029040791750075325,0.14451453458912158,-0.10181427778931906,0.1619463171573346,0.14195484936566846,0.08055072223655121,-0.17618218277735007,0.13479600084463259,-0.07222552974833626,0.037650485985436584,-0.05017827924470045,0.03736123420008931
MI,0.9580769468186244,0.008962963156336708,-0.07277692158597487,0.09372206869462699,-0.023858035104437667,0.09604152261233029,0.08195660405963211,0.05252551462266563,-0.1119160868553678,-0.18844574730417862,-0.06702004796380286,-0.013811275976700739,0.10263531173036293,-0.09335609015018065,0.05504881394484082,0.0007625824047340739
MN,0.8922874638244228,0.11513092494955415,-0.24711610598859282,0.05930254343928725,0.04518474218054104,-0.039950596864941304,0.2738857631646234,0.014964273603411777,-0.11660774352007054,-0.1546520494287029,-0.027686682964878796,-0.05388535304713155,-0.029096514767781304,-0.15062966144659362,-0.09585295937390037,0.016103653396050313
MO,0.3738927858376198,0.6993449058160952,-0.06290049892441134,0.28425973771320295,-0.1451182868609729,0.2549482877165965,0.2987127693688815,0.05198819758519773,-0.07056711141663388,-0.030759608571661063,-0.03063577116309382,0.0338239624768477,0.03199733658314293,-0.35563351996080234,-0.0033305613251962884,-0.05578880653384113
MS,-0.3773826695689243,0.8602251765922574,0.14677613624366484,-0.011970373586511441,0.01138317493458092,-0.18740525893258228,-0.021467495372192596,-0.10290927452462614,-0.13174784230336797,-0.019601509181155607,-0.06752138450715132,0.009732991749633645,-0.021686587129806617,0.2071697221730436,-0.014719988015757466,0.12615294768973448
MT,0.4810861172790181,0.7700740431920572,-0.1846474203416761,0.14658235000701314,0.08509902676982363,0.10958602708774633,0.25778492005976006,0.08782558711734563,-0.022777078741295476,-0.16383607806558234,0.12366522827272007,-0.0025044949817841014,0.01887279396494987,0.033310324789599846,0.07079967895921746,0.01648846338309638
NC,0.11841001886242425,0.9609535247409218,0.13706669472463145,-0.04481463338997397,0.09584355890688409,0.03496654045361599,-0.09433172647857813,-0.07313174766724441,-0.005950125702624897,0.0396220603994428,-0.003767064742286047,0.0052919931077556465,0.13530661796209487,-0.16061998745899994,0.012514587459451634,-0.00403983439339193
ND,0.5112809592581183,0.576386384860336,-0.20113793456519966,0.13482958570721496,-0.007477438935233143,0.06787792523898191,0.6010075236928029,-0.033347766490231086,-0.0433290437660882,-0.03758174542597449,0.022388145739169803,-0.008702062595698504,-0.05562266238541124,0.008796948567133579,0.046689279360159215,0.069850576047134
