,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
ID,0.31341384621613505,0.8847479706264137,-0.10146508805140671,0.08359913118612276,0.04532830267638099,0.15567451655514292,0.22263963063315761,0.07331714374570444,-0.04119280184388245,-0.18140274304515214,0.06276290475641605,-0.08933143328816447,0.03519968154161008,-0.031756419043018305,0.02976252471214477,-0.028349042988396606,0.043147211727465905,0.05079532616582796,-0.01595236789107069,-0.011142734028530537,-0.009988227209939632
IL,0.9750083069487565,-0.022969028755534738,0.21377021864253098,0.04717265940652894,0.019457280827683672,-0.06371295482778754,0.11708501233660318,-0.0486709064894492,-0.06934102352791954,-0.011613784367564089,0.03272193625178065,-0.029612443581410967,-0.025429445650747572,-0.026352573836363535,-0.04372714471309697,-0.00020534187433342524,-0.0335490463615161,-0.005040209011552218,0.008012033876244879,-0.02178306918768147,-0.023204053334609707
IN,0.511176722931558,0.747133399800915,0.06991138430915701,0.20235712377278517,0.05957088579974158,0.17931242383370818,0.2030494046703965,0.08538203856806649,0.011994241945496493,0.06818764646279607,-0.005201340263634937,0.11567334009940387,-0.01259146984441668,-0.03331618872442514,0.18710679580804876,0.16838411725049177,0.000540482662660952,-0.02438537152948397,-0.026950809408754915,-0.00749447777377343,0.0037490527914543375
KS,0.6697504851830728,0.5129918461896544,-0.09521764980626447,0.03846022184033422,0.07891794707790456,0.1014088262290156,0.24056346918821223,0.4635676779398071,0.0034464639480076857,0.09356417830194533,0.005117879639117497,-0.0011422519023640027,0.03201649158628015,-0.01193800596519448,-0.017837471392468874,0.09929853043939138,-0.017972548793641047,0.01823768695177335,-0.015808898093168863,0.006194329651379254,0.05223668878787072
KY,0.12108179763272642,0.8064234061203767,-0.2600152826440203,0.26004066379503726,-0.122693660503895,0.26116978700451443,0.017978043841925598,0.061530747122147136,0.039959391405136185,0.0035432695442040446,-0.038926153406718476,0.09988029530877732,0.014734423500388212,-0.048400659284060024,0.019236801851864695,0.3457013895225676,-0.08525754736697264,0.013287909093933455,-0.039078315693818484,0.03398621931514643,-0.025939538073092554
LA,-0.19923502004212082,0.9434910408086497,0.01738339281933608,0.046291975211948395,-0.0567244856960931,-0.04771423549139454,0.0654300580597605,-0.05266932764171028,-0.004236912818101644,0.06630650294433148,-0.027259473932519436,-0.02958834039660604,-0.12984524136995473,0.11512827727847533,-0.03373033434647088,-0.1800570264683062,0.06745091860690874,0.004324330554465638,0.0636565035806326,-0.0996114639297732,-0.01751146933585947
MA,0.9083622052861623,-0.3034726662749985,-0.005184558074622688,-0.022361958478771177,-0.028111505865941636,0.21040397636013145,0.07726275499876342,-0.05494724164913558,0.0889853566623321,-0.042500248153980076,-0.05982873325785296,-0.06579511659684238,-0.17964337351008922,-0.012959851031488886,-0.03646257475973796,-0.022046680314522754,-0.024176504578138993,-0.05756032064833708,0.06916995341334368,-0.035424639137086184,0.03674241303428262
MD,0.8458066620691789,0.1566649886146149,0.35252189011406376,-0.11111390281939862,0.12413746607914573,0.0326496128218144,-0.030802802415434954,0.11081166776416015,0.0020506807257310864,0.35173958530849253,0.029209173696530775,0.005375176899080732,0.018287474367364016,-0.012246399575747186,-0.0004987791161508326,-0.04642066754801409,0.0033719216717947426,-0.002482207157170927,0.011867832915111216,-0.025185631984391117,-0.01943555537303394
ME-01,0.3879350208328719,0.12627580128565563,0.8582693544168142,0.03114235073440923,0.10186284208157599,0.12553974450252314,-0.13380717852027918,-0.019088316971609627,0.0022747053067652106,0.01606297785558872,-0.2658442731601555,-0.0077127062888546665,-0.023786194179842818,0.025391470981685024,-0.01754440522592448,-0.05317685310894695,-0.02734696866798985,-0.09142305258590565,0.0144301481703547,0.05504103517759562,-0.010710374231847073
ME-02,0.3050953202357927,0.1969842994839137,0.5436184008261863,0.5472819445952483,-0.30043972395557117,0.021959788955327988,-0.0169722486585221,-0.037207522204450165,0.018010625180444908,0.004161307313738466,-0.44802369137478326,0.06642223695630073,-0.02903961808771946,0.01265685422582879,0.008641882968099302,0.09442828394645532,0.006930997542913393,0.02162420830134125,-0.013285114480340246,-0.018571082616705162,0.0050119928099313146
ME-AL,0.913342324629336,-0.17883696428096865,0.040593563284897154,0.11600271719330893,-0.03692733136441013,0.14821529832385597,-0.09325604484786287,0.14216474332420337,0.20465969439293177,0.09796575963381887,-0.13241833976195772,0.11198936255902932,-0.0931778567557207,0.04990578079996152,-0.0018985417606272594,-0.03287473082257319,0.016890035304433167,0.038177523342847165,0.010269131724489124,0.08042127040995824,0.01077523607072849
MI,0.9576029667356569,0.008822116049375977,-0.07589738261464699,0.08829363026456988,-0.029212443201974983,0.09458202253989903,0.0908208957442571,0.04095356559751046,-0.07363939527275173,-0.16865074391649482,-0.034799701721815235,-0.015017832937581176,0.057906969870017304,0.052961264491135966,0.05155708122612618,0.09571927644567736,0.02550083450733912,-0.032467819684187195,-0.11887892487527213,0.11784456420447312,-0.01364947738004413
MN,0.8903102133142486,0.11405852473303753,-0.24594877113186475,0.05925897564436299,0.03996676041168741,-0.04029113711853246,0.27746013599279346,0.015331276973952427,-0.09714563031584651,-0.13426466487216634,-0.006808251051451615,-0.05827142460186059,-0.0383498478661092,0.047867341515833224,-0.025981312749826787,0.14470714147041608,-0.06880951611450413,-0.011333723663826359,0.07070915929161234,0.12742709356910756,-0.04070632020664794
MO,0.37344796030515287,0.6985626911157449,-0.07019138300848966,0.2647715620729206,-0.16000433645445253,0.25009560860332286,0.30116404915382333,0.06174063991855299,-0.07511635412209956,-0.02367822958918036,-0.04227514989993719,0.04947087024526562,0.02280937861197721,-0.055957129935400175,-0.010009873013962566,0.3544043339851243,-0.02593054275326521,-0.048860953137394324,-0.03714767066536374,0.045445553867094104,-0.01875670390841598
MS,-0.3768760614156082,0.8604956102608026,0.1462895904707417,-0.01182372288185736,0.013903806706791283,-0.1857835084365024,-0.01964913303627668,-0.10613310130489091,-0.08465729849211429,-0.008619671695677953,-0.06751882957128795,0.001695622972226754,-0.00328745144401495,0.18640021918350655,-0.023128889422598404,-0.17815851196785173,0.06121967576224188,0.012251317183807816,0.025857048567547048,-0.0010619528263979714,0.05064228557171191
MT,0.47875036760940753,0.7689023030382427,-0.17784009785661656,0.14674146817867284,0.07554629053675056,0.10932796481259391,0.26118933308822895,0.08421577841244987,-0.021238593806362466,-0.17726178574777032,0.08906232968891793,-0.03175496204971809,0.05929697365906804,0.011790284752752905,0.08260374830515305,-0.005837326831263047,0.06206139129191855,0.0643455822425273,0.054123319337892876,-0.03311303553001324,-0.0471567715210052
NC,0.11852237783606626,0.9612648268758164,0.13360977496489576,-0.04156671071436735,0.09918637631494183,0.039342710836291685,-0.09600173212803309,-0.06637903611607951,-0.041273159607122245,0.03847761948145392,-0.021535455321419428,0.005790009279591475,0.10624182288817659,-0.06828978942178435,0.023837961419374457,0.13903327672846869,-0.058619882123003036,0.07635314018955949,-0.03451627480915604,0.04944157867856464,0.011518866065149212
ND,0.5094311842914054,0.575558989098918,-0.1992773750700578,0.13033844307626316,-0.0148559327663562,0.0657546833531967,0.606417676786792,-0.032908429134689686,-0.037491491388912786,-0.03581539480263194,0.017454027590919175,-0.013439235098147139,-0.03366160204666681,0.07581450120687117,0.036179052213170325,0.006585849306817427,0.013350196476008613,0.010842745829462937,0.0038454486080722375,-0.05158747323267856,-0.01547717280817414
