,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
ID,0.2690872253109984,0.8339390575652569,-0.08953787429292377,0.17001823114464226,0.3643648766076305,0.04560455966862211,-0.17694107214224522,0.02570095485838629,-0.2184819985928555,-0.0573200252208702,-0.06835395141849682,0.030435821810985187
IL,0.9794665330351461,-0.02409322775626651,0.11284478879226134,-0.0639127690412659,0.17797551395583872,-0.02941497433068486,0.03717487024071071,0.06540136453657688,-0.016183853542340917,-0.09457467481618868,0.0538519621901922,-0.009282677778490163
IN,0.4887419058348254,0.6949125886547329,0.18713080194215817,0.16588180343542935,0.3043281467685948,0.05632809633975699,-0.32356123708897405,-0.04338331724774829,0.03753313248671725,0.017395005376468025,-0.09593053793910121,0.04422662657062925
KS,0.6197330315606623,0.4549664375455869,-0.03129736182272308,0.09803498759355998,0.3882218051418199,0.05670857560828158,-0.19480394897554032,0.012987075089879688,0.05932272307204896,-0.0018757934832378748,-0.4707198386335355,0.002225420512260112
KY,0.0682140469468669,0.7069072807293375,-0.034551414954074475,0.18582093700906913,0.14536352791546261,0.06252035659119319,-0.6746497349441004,0.003316798881443681,0.01528066402007462,-0.015316829755003246,-0.0865386283422296,0.0028739039891666728
LA,-0.1926980150921676,0.9532078650787073,-0.051799492504327097,-0.030195904346180722,0.11733448714000741,-0.17475488802700442,-0.004917294115857701,-0.08819567719240808,0.011413551555147316,0.08718991471710982,0.08970889045001962,-0.0736449775965228
MA,0.8979341889404335,-0.3252387055032018,-0.09729444039528636,0.20925880771269081,0.1256564343702144,-0.18771115539615554,-0.03789996365144636,-0.02368666527924808,-0.01417810081746867,-0.02566553586883245,0.04771841173475995,-0.06453670502345804
MD,0.8906546941307384,0.194694090420401,0.1846109809440276,0.06160902866173188,-0.005876853861438809,0.07182269124485467,0.19214456372279287,-0.017179781170138825,0.27965720287999973,-0.02868749072600154,-0.1395664158225459,-0.09013854123870407
ME-AL,0.9185485138222845,-0.19735614902322973,0.015327938731269903,0.11278383999151496,-0.015669861552111416,-0.08638139133052229,-0.14467289652036702,-0.1713730351904704,0.0742226258214034,0.17705471415871857,-0.16337606635918156,-0.010302852891062435
MI,0.918625704575889,-0.04452817845418511,-0.06307002741138154,0.06465324471577799,0.21886514464103557,0.04740253941968551,-0.22510655710642644,0.11483663242779885,-0.14975828475658126,0.02317165810230175,-0.05335129515960987,0.17671531915781302
MN,0.8156703278154473,0.03955724088336216,-0.18099407788463032,-0.04987855658589924,0.4274947856007523,-0.01629226548139341,-0.24538798438507423,0.2564965535069575,-0.10371346652240418,0.011865750207800427,-0.05247180913648968,-0.014982803270873103
MO,0.31892269433723797,0.6019659442808356,0.12026939357599556,0.16849356121863138,0.39472070036385304,-0.014155180602370985,-0.5748464234572781,0.06376218888713832,0.032543736257402554,-0.13751430984805876,-0.049016364919386636,0.08268649755521068
MS,-0.3463184007759597,0.9004832897350771,0.045956820543544157,-0.1510819169539976,-0.018464650932153322,-0.07954347092233353,0.12676451982009754,0.03614651197195818,-0.025459170687895723,0.13689710638899238,0.13481702490075664,0.07212662908343706
MT,0.41592716330005297,0.7038618484594131,-0.09565949279669707,0.11594406917553558,0.44253042830348976,0.08874018503900039,-0.2296667011468791,0.015272047224789385,-0.25697086498784316,0.028708673688558145,-0.07970145876304252,-0.0370758743322376
NC,0.13756208246628313,0.9558941442057268,0.09180603787632508,0.06568497579719274,-0.0525891607827819,0.17428299406386738,-0.1430755788594593,0.13010117587343,0.049140538969622456,-0.0642007624434179,0.008744663284358167,0.03199521922386039
ND,0.42564928442589045,0.49897207427661444,-0.07105227689171259,0.05976868214962784,0.7330459795123389,-0.051323670260971094,-0.20793180741822373,0.026144154226415715,-0.03670520060176968,0.03533195358044957,0.06693550469278653,-0.003113441488082431
NE-AL,0.35828848036816296,0.7156546412083583,0.12737072700682706,0.152490365677118,0.5139738734555983,-0.012225828885010908,-0.0005686633239473947,-0.021252159471943262,0.06980185443128115,-0.025906463257414837,-0.2711408666976174,-0.07142105646925477
NH,0.8489156772230195,0.2899729675642151,0.19004199784344214,0.29908280201278786,-0.02728222629575776,-0.09978736883913941,0.02867738217878932,-0.28037433698431985,0.00482634099540244,-0.04845870375593733,-0.025349762551328262,0.021011151934005122
NJ,0.9927388522426089,0.04014954604789912,0.09080856614528755,0.09596438522974612,0.05083020737390832,-0.0374548980095561,-0.02074877205471042,-0.03692686584987399,0.04100669570721721,-0.04108306071015931,0.07179941763805495,-0.03293987325596829
NM,0.7221578027837664,0.5563090180698821,0.23634422092866905,0.08242169732036543,0.1798999041281464,0.14263257238464214,0.031388708591270194,-0.059640292506555545,0.0673743658559392,-0.23383257848245362,-0.11575240316307131,-0.04223998810067475
NV,0.6342195816421746,0.6779144184604,0.08544078750071617,0.10450667906921161,0.3279123760155688,0.027308257304561195,0.10457876781278619,-0.08772611154034918,-0.04149374577303124,-0.07061361547646704,-0.0053736711065273885,0.1132961688848279
NY,0.9629888796711559,-0.10360608370263402,0.15331169350722737,0.020379561773965948,0.15543755939683743,-0.10322159527231814,-0.00838339791927969,-0.044955857469206925,0.08839785049571917,-0.019360466675509776,0.10584639345832511,-0.10112739677269239
OH,0.8162642532521814,0.3254652276081675,-0.010044420746284135,0.09218655892589533,0.17339479215658873,0.04842135077831305,-0.3415133871306393,-0.11112998090369564,-0.11726633713786605,0.10267510925740264,-0.19926084521922105,0.09117134945184432
OK,0.01821582711907643,0.8770515106089658,0.02760491597409885,0.07544269303037714,0.24021461385976922,0.025025286609871276,-0.3781311340636547,0.07207135147220384,0.023854020401307824,-0.11920315571640058,-0.1490791438600268,-0.007804501946481146
OR,0.8868753799274378,0.1793101384653457,0.010301831812766468,0.03333344997088773,0.2979726911612784,0.30744438097625015,0.046985913867689515,0.021166907507617648,0.006142021760037041,-0.02283870685303301,-0.13746182784997588,-0.01599263156443131
PA,0.9186948412281929,-0.05298451758942151,-0.05645575814779952,0.059541712947757224,0.0903697234541737,0.09917734038076821,-0.32304990848285947,0.11402915245419097,-0.16214284425366238,0.013064917991239421,0.01888789744786219,0.07110413516178302
