,PC1,PC2,PC3,PC4,PC5,PC6
MO,0.35051350263630887,-0.21482758110565378,-0.18540345793742016,0.16296978532207235,0.06293198693007925,-0.8124986632984799
MS,0.9306064452604549,-0.0013639739675476792,-0.09416624944699546,-0.14789637301548542,-0.05097609775941874,-0.22464051983840097
MT,0.6022179587268308,-0.42147001510194404,-0.29412024898318095,0.21768722819601688,0.44512803485684105,-0.20826767823675998
NC,0.9090378719028485,0.1770745371928523,-0.11969340385702272,-0.024946574144078786,0.010475491567167159,-0.2888395566658845
ND,0.25407167583085105,-0.8844053639110164,-0.13939578102963804,0.03187735063631084,0.26395194003339834,-0.17498321740931672
NE-AL,0.7034717688602381,-0.4753548875918699,0.19612171093337924,0.44728318185649907,0.053421511707618274,-0.16155290257132546
NH,-0.09298212517190578,0.41538926758991523,0.8305919273260217,0.023262298212956244,0.07033852747500371,0.09945048373377591
NJ,-0.660208555342743,0.21254679839414056,0.44899663745984747,-0.24946070910612794,-0.14177070500509345,0.42659073006384834
NM,0.5769645321443184,0.06430104445722516,0.4127944396152146,0.322038753527575,-0.4072732382795091,0.12566090847208247
NV,0.730824647963791,-0.27528658087854313,0.26160691089120386,0.06871899175250708,0.19720279101768404,0.348193449120327
NY,-0.7384090664922196,-0.0300188869861353,0.4417427732109118,-0.22963268725019412,-0.3254024331006983,0.3123375151921925
OH,-0.3097481157439339,0.3147158810270596,-0.13403930148515364,0.5337258046104164,0.24599705961438648,-0.36928774674641085
OK,0.7683748718452154,-0.15548531213573308,-0.20825326586802506,0.1503586738750679,0.1711988143840025,-0.49104022292162164
OR,-0.3151883006907588,-0.1293317950565318,0.0017351844173611982,0.47340659894117915,-0.25316761550426026,0.6220356723096516
PA,-0.8686294478943503,0.26916661924421914,-0.31680282940689153,-0.06276878736323216,0.0498180908204621,0.06399792559732984
RI,-0.8702675173060342,0.054637429271254805,0.3294233934079593,-0.27427557908576605,0.11121063655621452,-0.08322634626520345
SC,0.9374904369997398,-0.05487307031931041,0.0702886859958544,-0.049133935529878145,0.0123722529273872,-0.2953851096049209
SD,0.015018004143300312,-0.7859966767871465,-0.2033875464029415,0.32577110011228533,0.07437383684371889,-0.37725190174324674
TN,0.7135742137843618,-0.03852435498728046,-0.2950135506524694,-0.07308554601505816,0.013296464968328644,-0.6170806662131453
TX,0.9169517182812942,-0.07524390482124146,0.016847378811538312,0.12618832248754977,0.2095161129326552,-0.2603159570625401
UT,0.8258055990213946,-0.07959666087459628,0.014564406674468733,-0.03299525742022255,0.4893035364429524,-0.11952459348130395
VA,0.9167158133087983,0.17959632533978148,0.26452620800532683,0.16876291007075744,-0.12561616391130548,-0.12240712114836551
VT,-0.7242554623675166,0.17062752389426744,0.35550937025586465,0.05794526852269248,-0.2828308883393619,0.47128648575595433
WA,-0.2681292638421936,0.10027321555788794,-0.2496597008875366,0.1763972731414867,0.04621409348073221,0.8743871624986194
WI,-0.39163461659827414,-0.8267636535124343,-0.07179793315603104,-0.09534049518374337,-0.1912804127987728,0.21087253711624476
WV,0.09623282186172379,-0.07727852817889874,-0.35018167520375293,0.003891395411104718,0.2019990218954718,-0.8940859683960242
WY,0.5453075655297281,-0.2928931119382793,-0.30288651462837773,0.15290078670884552,0.5128968977441991,-0.48066855288347893
