year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes
1972,MT,120197,183976,0,304173,4
1972,NATIONAL,29033563,46928697,71488,76033748,533
1972,NC,418725,1054889,0,1473614,13
1972,ND,100384,174109,6021,280514,3
1972,NE-01,66018,133300,0,199318,1
1972,NE-02,56211,124823,0,181034,1
1972,NE-03,47762,148175,0,195937,1
1972,NE-AL,169991,406298,0,576289,2
1972,NH,116435,213724,3900,334059,4
1972,NJ,1092788,1835319,0,2928107,17
1972,NM,141084,235606,0,376690,4
1972,NV,66016,115750,0,181766,3
1972,NY,2948523,4184177,0,7132700,41
1972,OH,1554631,2430371,0,3985002,25
1972,OK,247018,758513,0,1005531,8
1972,OR,392550,486134,0,878684,6
1972,PA,1789065,2705721,0,4494786,27
1972,RI,193816,220228,0,414044,4
1972,SC,184559,477044,0,661603,8
1972,SD,138945,166476,994,306415,4
1972,TN,357293,813147,0,1170440,10
1972,TX,1114268,2213771,0,3328039,26
1972,UT,126284,323643,0,449927,4
1972,VA,438887,988533,29639,1457059,12
1972,VT,68174,117149,1594,186917,3
1972,WA,568039,836901,0,1404940,9
1972,WI,810174,989430,0,1799604,11
1972,WV,277435,484964,0,762399,6
1972,WY,44358,100464,748,145570,3
1976,AK,44058,71555,7961,123574,3
1976,AL,658466,501998,0,1160464,9
1976,AR,499614,268753,1029,769396,6
1976,AZ,294901,418079,0,712980,6
1976,CA,3721672,3861286,0,7582958,45
1976,CO,454419,574577,0,1028996,7
1976,CT,647895,719261,19199,1386355,8
1976,DC,137818,27873,3139,168830,3
1976,DE,122596,109831,3082,235509,3
1976,FL,1598398,1422405,0,3020803,17
1976,GA,979409,483743,0,1463152,12
1976,HI,147355,140003,0,287358,4
1976,IA,619931,632858,0,1252789,8
1976,ID,126549,204151,0,330700,4
1976,IL,2253772,2345920,0,4599692,26
1976,IN,1008576,1169019,0,2177595,13
1976,KS,427755,499482,0,927237,7
1976,KY,615323,530550,0,1145873,9
1976,LA,661328,587020,0,1248348,10
1976,MA,1429525,1030276,87771,2547572,14
1976,MD,759608,672661,0,1432269,10
1976,ME-01,123598,127019,1281,251898,1
1976,ME-02,108681,109301,2214,220196,1
1976,ME-AL,232279,236320,3495,472094,2
1976,MI,1662669,1866485,0,3529154,21
1976,MN,1070440,818795,0,1889235,10
1976,MO,993484,925023,0,1918507,12
1976,MS,381309,367025,21209,769543,7
1976,MT,149259,173703,5772,328734,4
1976,NATIONAL,40663161,38910037,264378,79837576,533
1976,NC,927365,741960,0,1669325,13
1976,ND,136078,153470,7218,296766,3
1976,NE-01,82580,117185,4479,204244,1
1976,NE-02,76075,115237,4330,195642,1
1976,NE-03,75037,127283,5462,207782,1
1976,NE-AL,233692,359705,14271,607668,2
1976,NH,147635,185935,6044,339614,4
1976,NJ,1444793,1509501,0,2954294,17
1976,NM,201148,211419,4023,416590,4
1976,NV,92479,101273,8124,201876,3
1976,NY,3395557,3090789,0,6486346,41
1976,OH,1993466,1967268,0,3960734,25
1976,OK,530412,541131,0,1071543,8
1976,OR,490407,492088,0,982495,6
1976,PA,2327090,2203053,0,4530143,27
1976,RI,226399,180763,0,407162,4
1976,SC,450807,346149,0,796956,8
1976,SD,147068,151505,2105,300678,4
1976,TN,825877,633969,0,1459846,10
1976,TX,2064973,1914723,0,3979696,26
1976,UT,182110,337908,21180,541198,4
1976,VA,810705,836554,46644,1693903,12
1976,VT,81044,102085,725,183854,3
1976,WA,717313,777707,0,1495020,9
1976,WI,1040232,1004987,0,2045219,11
1976,WV,435864,314726,0,750590,6
1976,WY,62239,92717,1387,156343,3
1980,AK,41842,86112,30491,158445,3
1980,AL,635696,651377,16440,1303513,9
1980,AR,398041,403164,36377,837582,6
1980,AZ,247310,529071,76363,852744,6
1980,CA,3083195,4523474,740298,8346967,45
1980,CO,365888,646293,129943,1142124,7
1980,CT,541732,677210,187343,1406285,8
1980,DC,130231,23313,20345,173889,3
1980,DE,105754,111252,18662,235668,3
1980,FL,1424667,2008306,183626,3616599,17
1980,GA,928678,674280,37062,1640020,12
1980,HI,135879,130112,37296,303287,4
1980,IA,513672,676026,115633,1305331,8
1980,ID,110192,290699,27058,427949,4
1980,IL,2038657,2511462,359840,4909959,26
1980,IN,862635,1300321,115555,2278511,13
1980,KS,330130,574567,69000,973697,7
1980,KY,616197,634861,31078,1282136,9
1980,LA,705431,795502,26345,1527278,10
1980,MA,1053812,1057631,412865,2524308,14
1980,MD,726161,680606,133729,1540496,10
1980,ME-01,117613,126274,36321,280208,1
1980,ME-02,103361,112248,26603,242212,1
1980,ME-AL,220974,238522,62924,522420,2
1980,MI,1609419,1887686,271663,3768768,21
1980,MN,937003,870478,174990,1982471,10
1980,MO,928363,1068028,77447,2073838,12
1980,MS,429281,441089,22250,892620,7
1980,MT,118032,206814,39106,363952,4
1980,NATIONAL,35461589,43906479,5951663,85319731,533
1980,NC,875628,915017,52800,1843445,13
1980,ND,79189,193695,28661,301545,3
1980,NE-01,59729,133971,20603,214303,1
1980,NE-02,61448,124810,18645,204903,1
1980,NE-03,45247,160433,14818,220498,1
1980,NE-AL,166424,419214,54066,639704,2
1980,NH,108864,221705,53362,383931,4
1980,NJ,1148060,1547201,234643,2929904,17
1980,NM,167820,250779,37632,456231,4
1980,NV,66666,155017,26202,247885,3
1980,NY,2719555,2910931,467177,6097663,41
1980,OH,1719409,2154599,248835,4122843,25
1980,OK,400313,680220,32596,1113129,8
1980,OR,456879,571037,112388,1140304,6
1980,PA,1931421,2255862,289668,4476951,27
1980,RI,197095,154477,59366,410938,4
1980,SC,427559,441206,21340,890105,8
1980,SD,103855,198343,25505,327703,4
1980,TN,783101,792756,46804,1622661,10
1980,TX,1865877,2425075,107290,4398242,26
1980,UT,124266,439687,40269,604222,4
1980,VA,752179,989609,124249,1866037,12
1980,VT,81891,94598,36718,213207,3
1980,WA,650193,865244,185073,1700510,9
1980,WI,979584,1087045,160657,2227286,11
1980,WV,367462,334206,36047,737715,6
1980,WY,49427,110700,16586,176713,3
1984,AK,62007,138377,7221,207605,3
1984,AL,551899,872849,0,1424748,9
1984,AR,338646,534774,0,873420,6
1984,AZ,333854,681416,0,1015270,7
1984,CA,3922495,5466977,0,9389472,47
1984,CO,444564,797340,0,1241904,8
1984,CT,569597,890877,6426,1466900,8
1984,DC,180408,29009,1871,211288,3
