,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
GA,-0.18877554927971626,0.9599848610141577,0.06301382400943345,-0.02269050213758112,-0.03352879668680632,0.04973066717247994,-0.07446912278282825,0.17788475763671835,0.021116157786107002,0.002731473105273018,-0.010314992829897124,0.017312260899576323,-0.047844347384090234,-0.013420466679817116,-0.1543955008587646
HI,0.5236533864022334,0.16695055506599624,0.2571683185969724,0.37311673687951924,-0.09968953897087433,0.016449172506713433,0.03548145625372472,-0.015952349678444395,0.022224701982486463,0.71740967264363,-0.0028457682127095794,-0.002923937428945833,0.0024766206254495074,0.0006033026664101366,-0.0038589806440664553
IA,0.7891425059779652,0.021919070401141903,0.02024191279738082,-0.11735797038600916,0.5188671566942072,0.026246596494636502,-0.2988601760876516,-0.004153400422391984,-0.00029911641204964195,0.04872575845793937,0.08210606226021633,-0.10093279760011455,0.07123674786563836,-0.023674459027340406,0.08208846881059668
ID,0.26466347640078314,0.8312095735348416,0.0015961041391518284,0.1777032931631366,0.37685192752854246,0.07220487350081509,-0.182750209209148,0.02520425157630521,-0.196005586762635,-0.11704533807371302,0.04498741945133783,0.0010663905323565004,0.015597310717084253,0.05389500929160933,-0.00663366701660951
IL,0.978212590408277,-0.02668688750830519,0.15681840463681518,-0.053247578601942444,0.18304960639534057,-0.05061180771578393,0.018005670475057325,0.06259621742079297,-0.0024816558947896787,0.020099618676451415,-0.02057200472670766,0.015594011872192911,0.003817833781812839,-0.02905103961450512,0.01652226926748927
IN,0.4873462622588921,0.693053324989079,0.06189650717653439,0.16170646867637345,0.3082165943045226,0.10324514956255648,-0.31925416259497996,-0.023261595000344706,0.05110804194246499,0.17210555444637285,0.00030307709408283474,0.040645275022099865,0.046415046193877624,0.1641155365703992,-0.07314002732008401
KS,0.6167013233109294,0.4517987417104128,-0.03683398482386842,0.10350061945032471,0.38955240922645284,0.47728028943064704,-0.19620788165478006,0.01550313917328478,0.0785313424714883,-0.02325229156822032,0.054257083266360286,-0.0336263688200806,0.017415202262365443,-0.01169725681419918,-0.019615248433550055
KY,0.06635609126632737,0.7074227223699304,-0.12312715947948327,0.18326227366733985,0.15802790204029876,0.0766406741891494,-0.6591619591448394,0.0016260753672559585,0.00653075515078262,0.03369322525496224,0.04352464875845911,-0.023466831414563353,0.07096929362844372,-0.01359378658107258,-0.030906369306021614
LA,-0.19300871732198693,0.9512765893547899,-0.0369459822665134,-0.025060195759383584,0.1124567444610027,-0.06810708009774219,-0.00947601591482849,-0.07958477479647298,0.04320561507273923,-0.04324530197450863,-0.13689976481879074,-0.005350577954919462,-0.15288774025067958,0.024358126233386727,0.12035869385079025
MA,0.8966040776956661,-0.3247010819782608,-0.08457438524140579,0.19910981281514006,0.13719300617831068,-0.05797761394456359,-0.02752119210558987,-0.026758837596414883,-0.030734746450378696,-0.06595892425723238,-0.19042472366262128,0.004926109996887169,0.027895880721577084,-0.05203208400706154,0.06508720548087374
MD,0.8925206691632347,0.19151550637873943,0.1473633578933395,0.0698780920473092,-0.015204252324609481,0.15073138461036353,0.17245188455103572,0.007258947427722384,0.3202064130462745,0.09949173605670521,0.04858620171360207,-0.010128918743995572,0.028973018340485338,0.04035659973485618,0.04175073477451689
ME-AL,0.9200320345752554,-0.19248603394089475,-0.14913066965495322,0.10235366243342629,-0.004097720927654503,0.1412718751456507,-0.11061505944612238,-0.1632227330965093,0.047787885567960715,0.10811815758112904,-0.10242476691523579,-0.17877806585433204,-0.03376023922586291,0.0029853119705219614,-0.030203050078996596
MI,0.9161182415281054,-0.04533631412524828,-0.0718504518543426,0.05896443239264965,0.23105036888806615,0.05516397069074905,-0.2189703582536066,0.09769323982370678,-0.17933590786306838,-0.03262931717172579,0.055285572887669825,0.04393663006515138,-0.03369100037798194,-0.0018784223506356616,-0.15161291345039818
MN,0.8097622453924229,0.03890256051906114,-0.13728601825763365,-0.056692287453852706,0.4466973255785369,0.045186588223997494,-0.2308792100755888,0.25157917409471237,-0.11987287552602875,-0.1186685997127709,-0.018376473107066776,-0.024228309768512212,0.017878987802564944,-0.03621412271865327,0.0019534707095410185
MO,0.3167155486690094,0.5998240900295301,0.06533799411419931,0.17580680973845889,0.40154033850602944,0.048743679399842345,-0.5788545577555814,0.043726831663186284,0.01975443625813705,0.09713320404043602,-0.012204505096899807,0.0799624780034348,0.05040582000404517,-0.08660878865410741,-0.08056076760082242
MS,-0.34441091075889635,0.900530547215889,0.022484454843498175,-0.1433769773745492,-0.026179573883364633,-0.1153385867127226,0.1229183214636204,0.031207331003722093,-0.02103465906216349,0.0398207727360214,-0.029325565731419298,-0.015269919122433737,-0.2099125691926504,0.0015442911103261995,-0.02076723562177335
MT,0.41058569253359073,0.7007762176455348,-0.04479781463851125,0.1212281143940855,0.454773389462141,0.09140481160682985,-0.22980534788607263,0.03086253699305373,-0.21243326657268183,-0.09362955464916067,0.08243389291374131,-0.03352945716836282,-0.008479145433336074,0.14158474683343109,0.06034343286565113
NC,0.13762376842999244,0.956427229795927,0.07665252682738768,0.06953011331699796,-0.04263417427738598,-0.022860035433202017,-0.14562689603436052,0.13759579294431187,0.045711396432793115,0.047990508644049606,0.13034163139156765,-0.03143732418932937,0.10523176252907619,0.030848503442382023,-0.09231977958834116
