year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2000,Michigan,MI,I,regular,General,General election results,"{""Debbie Stabenow"": {""party"": ""Democratic"", ""votes"": 2061952, ""pct"": 49.47}, ""Spencer Abraham (incumbent)"": {""party"": ""Republican"", ""votes"": 1994693, ""pct"": 47.86}, ""Matthew Abel"": {""party"": ""Green"", ""votes"": 37542, ""pct"": 0.9}, ""Michael Corliss"": {""party"": ""Libertarian"", ""votes"": 29966, ""pct"": 0.72}, ""Mark Forton"": {""party"": ""Reform"", ""votes"": 26274, ""pct"": 0.63}, ""John Mangopoulos"": {""party"": ""Constitution"", ""votes"": 11628, ""pct"": 0.28}, ""William Quarton"": {""party"": ""Natural Law"", ""votes"": 5630, ""pct"": 0.14}}",Debbie Stabenow,Spencer Abraham (incumbent),blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Michigan
2000,Minnesota,MN,I,regular,General,2000 United States Senate election in Minnesota,"{""Mark Dayton"": {""party"": ""Democratic (DFL)"", ""votes"": 1181553, ""pct"": 48.83}, ""Rod Grams (incumbent)"": {""party"": ""Republican"", ""votes"": 1047474, ""pct"": 43.29}, ""James Gibson"": {""party"": ""Independence"", ""votes"": 140583, ""pct"": 5.81}, ""David Daniels"": {""party"": ""Grassroots"", ""votes"": 21447, ""pct"": 0.89}, ""Rebecca Ellis"": {""party"": ""Socialist Workers"", ""votes"": 12956, ""pct"": 0.54}, ""David Swan"": {""party"": ""Constitution"", ""votes"": 8915, ""pct"": 0.37}, ""Erik D. Pakieser"": {""party"": ""Libertarian"", ""votes"": 6588, ""pct"": 0.27}, ""Ole Savior"": {""party"": ""Write-in"", ""votes"": 4, ""pct"": 0.0}}",Mark Dayton,Rod Grams (incumbent),blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Minnesota
2000,Mississippi,MS,I,regular,General,General election results,"{""Trent Lott"": {""party"": ""Republican"", ""votes"": 654941, ""pct"": 65.88}, ""Troy D. Brown"": {""party"": ""Democratic"", ""votes"": 314090, ""pct"": 31.59}, ""Jim Giles"": {""party"": ""Independent"", ""votes"": 9344, ""pct"": 0.94}, ""Lewis Napper"": {""party"": ""Libertarian"", ""votes"": 8454, ""pct"": 0.85}, ""Shawn O'Hara"": {""party"": ""Reform"", ""votes"": 7315, ""pct"": 0.74}}",Trent Lott,Troy D. Brown,red,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Mississippi
2000,Missouri,MO,I,regular,General,2000 United States Senate election in Missouri,"{""Mel Carnahan †"": {""party"": ""Democratic"", ""votes"": 1191812, ""pct"": 50.46}, ""John Ashcroft (incumbent)"": {""party"": ""Republican"", ""votes"": 1142852, ""pct"": 48.39}, ""Evaline Taylor"": {""party"": ""Green"", ""votes"": 10612, ""pct"": 0.45}, ""Grant Samuel Stauffer"": {""party"": ""Libertarian"", ""votes"": 10198, ""pct"": 0.43}, ""Hugh Foley"": {""party"": ""Reform"", ""votes"": 4166, ""pct"": 0.18}, ""Charles Dockins"": {""party"": ""Natural Law"", ""votes"": 1933, ""pct"": 0.08}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 13, ""pct"": 0.0}}",Mel Carnahan †,John Ashcroft (incumbent),blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Missouri
2000,Montana,MT,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 411601, ""pct"": NaN}, ""Conrad Burns (incumbent)"": {""party"": ""Republican"", ""votes"": 208082, ""pct"": 50.55}, ""Brian Schweitzer"": {""party"": ""Democratic"", ""votes"": 194430, ""pct"": 47.24}, ""Majority"": {""party"": ""Majority"", ""votes"": 13652, ""pct"": 3.32}, ""Gary Lee"": {""party"": ""Reform"", ""votes"": 9089, ""pct"": 2.2}}",Turnout,Conrad Burns (incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Montana
2000,Nebraska,NE,I,regular,General,General election results,"{""Ben Nelson"": {""party"": ""Democratic"", ""votes"": 353093, ""pct"": 51.0}, ""Don Stenberg"": {""party"": ""Republican"", ""votes"": 337977, ""pct"": 48.82}, ""Majority"": {""party"": ""Majority"", ""votes"": 15116, ""pct"": 2.18}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1280, ""pct"": 0.18}}",Ben Nelson,Don Stenberg,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Nebraska
2000,Nevada,NV,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 600250, ""pct"": NaN}, ""John Ensign"": {""party"": ""Republican"", ""votes"": 330687, ""pct"": 55.09}, ""Edward M. Bernstein"": {""party"": ""Democratic"", ""votes"": 238260, ""pct"": 39.69}, ""Majority"": {""party"": ""Majority"", ""votes"": 92427, ""pct"": 15.4}, ""None of These Candidates"": {""party"": ""None of These Candidates"", ""votes"": 11503, ""pct"": 1.92}, ""Kathryn Rusco"": {""party"": ""Green"", ""votes"": 10286, ""pct"": 1.71}, ""J.J. Johnson"": {""party"": ""Libertarian"", ""votes"": 5395, ""pct"": 0.9}, ""Ernie Berghof"": {""party"": ""Independent American"", ""votes"": 2540, ""pct"": 0.42}, ""Bill Grutzmacher"": {""party"": ""Citizens First Party"", ""votes"": 1579, ""pct"": 0.26}}",Turnout,John Ensign,yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Nevada
2000,New Jersey,NJ,I,regular,General,General election results,"{""Jon Corzine"": {""party"": ""Democratic"", ""votes"": 1511237, ""pct"": 50.11}, ""Bob Franks"": {""party"": ""Republican"", ""votes"": 1420267, ""pct"": 47.1}, ""Majority"": {""party"": ""Majority"", ""votes"": 90970, ""pct"": 3.01}, ""Bruce Afran"": {""party"": ""Green"", ""votes"": 32841, ""pct"": 1.09}, ""Pat DiNizio"": {""party"": ""Reform"", ""votes"": 19312, ""pct"": 0.64}, ""Emerson Ellett"": {""party"": ""Libertarian"", ""votes"": 7241, ""pct"": 0.24}, ""Dennis A. Breen"": {""party"": ""Independent"", ""votes"": 6061, ""pct"": 0.2}, ""J.M. Carter"": {""party"": ""Trust in God"", ""votes"": 5657, ""pct"": 0.19}, ""Lorraine LaNeve"": {""party"": ""Conservative"", ""votes"": 3836, ""pct"": 0.13}, ""Gregory Pason"": {""party"": ""Socialist"", ""votes"": 3365, ""pct"": 0.11}, ""Nancy Rosenstock"": {""party"": ""Socialist Workers"", ""votes"": 3309, ""pct"": 0.11}, ""George Gostigian"": {""party"": ""God Bless Jersey"", ""votes"": 2536, ""pct"": 0.08}}",Jon Corzine,Bob Franks,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_New_Jersey
2000,New Mexico,NM,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 589526, ""pct"": NaN}, ""Jeff Bingaman (incumbent)"": {""party"": ""Democratic"", ""votes"": 363744, ""pct"": 61.7}, ""Bill Redmond"": {""party"": ""Republican"", ""votes"": 225517, ""pct"": 38.25}, ""Majority"": {""party"": ""Majority"", ""votes"": 138227, ""pct"": 23.45}, ""265"": {""party"": ""Write-ins"", ""votes"": 265, ""pct"": 0.04}}",Turnout,Jeff Bingaman (incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_New_Mexico
2000,New York,NY,I,regular,General,2000 United States Senate election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 6779839, ""pct"": NaN}, ""Hillary Rodham Clinton"": {""party"": ""total"", ""votes"": 3747310, ""pct"": 55.27}, ""Rick Lazio"": {""party"": ""total"", ""votes"": 2915730, ""pct"": 43.01}, ""Majority"": {""party"": ""Majority"", ""votes"": 831580, ""pct"": 12.27}, ""179,823"": {""party"": ""Blank/scattering"", ""votes"": 179823, ""pct"": NaN}, ""Jeffrey Graham"": {""party"": ""Independence"", ""votes"": 43181, ""pct"": 0.64}, ""Mark Dunau"": {""party"": ""Green"", ""votes"": 40991, ""pct"": 0.6}, ""John Adefope"": {""party"": ""Right to Life"", ""votes"": 21439, ""pct"": 0.32}, ""John Clifton"": {""party"": ""Libertarian"", ""votes"": 4734, ""pct"": 0.07}, ""Louis Wein"": {""party"": ""Constitution"", ""votes"": 3414, ""pct"": 0.05}, ""Jacob Perasso"": {""party"": ""Socialist Workers"", ""votes"": 3040, ""pct"": 0.04}}",Turnout,Hillary Rodham Clinton,yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_New_York
2000,North Dakota,ND,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 287539, ""pct"": 61.71}, ""Kent Conrad (incumbent)"": {""party"": ""Democratic–NPL"", ""votes"": 176470, ""pct"": 61.37}, ""Duane Sand"": {""party"": ""Republican"", ""votes"": 111069, ""pct"": 38.63}}",Turnout,Kent Conrad (incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_North_Dakota
2000,Ohio,OH,I,regular,General,"Ohio United States Senate election, 2000","{""Turnout"": {""party"": ""Turnout"", ""votes"": 4448801, ""pct"": 63.6}, ""Mike DeWine (Incumbent)"": {""party"": ""Republican"", ""votes"": 2665512, ""pct"": 59.92}, ""Ted Celeste"": {""party"": ""Democratic"", ""votes"": 1595066, ""pct"": 35.85}, ""Majority"": {""party"": ""Majority"", ""votes"": 1070446, ""pct"": 24.06}, ""John McAlister"": {""party"": ""Libertarian"", ""votes"": 116724, ""pct"": 2.62}, ""John Eastman"": {""party"": ""Natural Law"", ""votes"": 70713, ""pct"": 1.59}, ""786"": {""party"": ""Write-in"", ""votes"": 786, ""pct"": 0.02}}",Turnout,Mike DeWine (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Ohio
2000,Pennsylvania,PA,I,regular,General,General election results,"{""Rick Santorum (incumbent)"": {""party"": ""Republican"", ""votes"": 2481962, ""pct"": 52.42}, ""Ron Klink"": {""party"": ""Democratic"", ""votes"": 2154908, ""pct"": 45.51}, ""Majority"": {""party"": ""Majority"", ""votes"": 327054, ""pct"": 6.91}, ""John Featherman"": {""party"": ""Libertarian"", ""votes"": 45775, ""pct"": 0.97}, ""Lester Searer"": {""party"": ""Constitution"", ""votes"": 28382, ""pct"": 0.6}, ""Robert Domske"": {""party"": ""Reform"", ""votes"": 24089, ""pct"": 0.51}}",Rick Santorum (incumbent),Ron Klink,red,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Pennsylvania
2000,Rhode Island,RI,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 391353, ""pct"": NaN}, ""Lincoln Chafee (Incumbent)"": {""party"": ""Republican"", ""votes"": 222588, ""pct"": 56.88}, ""Robert Weygand"": {""party"": ""Democratic"", ""votes"": 161023, ""pct"": 41.15}, ""Majority"": {""party"": ""Majority"", ""votes"": 61565, ""pct"": 15.73}, ""Christopher Young"": {""party"": ""Reform"", ""votes"": 4107, ""pct"": 1.05}, ""Kenneth Proulx"": {""party"": ""Independent"", ""votes"": 3635, ""pct"": 0.93}}",Turnout,Lincoln Chafee (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Rhode_Island
2000,Tennessee,TN,I,regular,General,"Tennessee United States Senate election, 2000","{""Bill Frist (Incumbent)"": {""party"": ""Republican"", ""votes"": 1255444, ""pct"": 65.1}, ""Majority"": {""party"": ""Majority"", ""votes"": 634292, ""pct"": 32.89}, ""Jeff Clark"": {""party"": ""Democratic"", ""votes"": 621152, ""pct"": 32.21}, ""Tom Burrell"": {""party"": ""Green"", ""votes"": 25815, ""pct"": 1.34}, ""Charles F. Johnson"": {""party"": ""Independent"", ""votes"": 10004, ""pct"": 0.52}, ""Robert Watson"": {""party"": ""Independent"", ""votes"": 8416, ""pct"": 0.44}, ""David Jarrod Ownby"": {""party"": ""Independent"", ""votes"": 4388, ""pct"": 0.23}, ""Joel Kinstle"": {""party"": ""Independent"", ""votes"": 3135, ""pct"": 0.16}, ""259"": {""party"": ""Write-in"", ""votes"": 259, ""pct"": 0.0}}",Bill Frist (Incumbent),Majority,red,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Tennessee
2000,Texas,TX,I,regular,General,2000 United States Senate election in Texas,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 6267964, ""pct"": NaN}, ""Kay Bailey Hutchison (Incumbent)"": {""party"": ""Republican"", ""votes"": 4078954, ""pct"": 65.08}, ""Majority"": {""party"": ""Majority"", ""votes"": 2053930, ""pct"": 32.77}, ""Gene Kelly"": {""party"": ""Democratic"", ""votes"": 2025024, ""pct"": 32.31}, ""Douglas S. Sandage"": {""party"": ""Green"", ""votes"": 91329, ""pct"": 1.46}, ""Mary J. Ruwart"": {""party"": ""Libertarian"", ""votes"": 72657, ""pct"": 1.16}}",Turnout,Kay Bailey Hutchison (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Texas
2000,Utah,UT,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 769704, ""pct"": NaN}, ""Orrin Hatch (Incumbent)"": {""party"": ""Republican"", ""votes"": 504803, ""pct"": 65.58}, ""Majority"": {""party"": ""Majority"", ""votes"": 262234, ""pct"": 34.07}, ""Scott N. Howell"": {""party"": ""Democratic"", ""votes"": 242569, ""pct"": 31.51}, ""Carlton Edward Bowen"": {""party"": ""Independent American"", ""votes"": 11938, ""pct"": 1.55}, ""Jim Dexter"": {""party"": ""Libertarian"", ""votes"": 10394, ""pct"": 1.35}}",Turnout,Orrin Hatch (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Utah
2000,Vermont,VT,I,regular,General,"United States Senate election in Vermont, 2000","{""Turnout"": {""party"": ""Turnout"", ""votes"": 288500, ""pct"": NaN}, ""Jim Jeffords (Incumbent)"": {""party"": ""Republican"", ""votes"": 189133, ""pct"": 65.56}, ""Majority"": {""party"": ""Majority"", ""votes"": 115781, ""pct"": 40.13}, ""Ed Flanagan"": {""party"": ""Democratic"", ""votes"": 73352, ""pct"": 25.43}, ""Charles W. Russell"": {""party"": ""Constitution"", ""votes"": 10079, ""pct"": 3.49}, ""Rick Hubbard"": {""party"": ""Independent"", ""votes"": 5366, ""pct"": 1.86}, ""Billy Greer"": {""party"": ""Grassroots"", ""votes"": 4889, ""pct"": 1.69}, ""Hugh Douglas"": {""party"": ""Libertarian"", ""votes"": 3843, ""pct"": 1.33}, ""Jerry Levy"": {""party"": ""Liberty Union"", ""votes"": 1477, ""pct"": 0.51}, ""361"": {""party"": ""Write-ins"", ""votes"": 361, ""pct"": 0.13}}",Turnout,Jim Jeffords (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Vermont
2000,Virginia,VA,I,regular,General,"United States Senate election in Virginia, 2000","{""Turnout"": {""party"": ""Turnout"", ""votes"": 2718301, ""pct"": NaN}, ""George Allen"": {""party"": ""Republican"", ""votes"": 1420460, ""pct"": 52.26}, ""Chuck Robb (incumbent)"": {""party"": ""Democratic"", ""votes"": 1296093, ""pct"": 47.68}, ""Majority"": {""party"": ""Majority"", ""votes"": 124367, ""pct"": 4.58}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1748, ""pct"": 0.06}}",Turnout,George Allen,yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Virginia
2000,Washington,WA,I,regular,General,General election results,"{""Maria Cantwell"": {""party"": ""Democratic"", ""votes"": 1199437, ""pct"": 48.73}, ""Slade Gorton (incumbent)"": {""party"": ""Republican"", ""votes"": 1197208, ""pct"": 48.64}, ""Jeff Jared"": {""party"": ""Libertarian"", ""votes"": 64734, ""pct"": 2.63}}",Maria Cantwell,Slade Gorton (incumbent),blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Washington
2000,West Virginia,WV,I,regular,General,"West Virginia United States Senate election, 2000","{""Turnout"": {""party"": ""Turnout"", ""votes"": 603477, ""pct"": 100.0}, ""Robert Byrd (incumbent)"": {""party"": ""Democratic"", ""votes"": 469215, ""pct"": 77.75}, ""Majority"": {""party"": ""Majority"", ""votes"": 347580, ""pct"": 57.6}, ""David T. Gallaher"": {""party"": ""Republican"", ""votes"": 121635, ""pct"": 20.16}, ""Joe Whelan"": {""party"": ""Libertarian"", ""votes"": 12627, ""pct"": 2.09}}",Turnout,Robert Byrd (incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_West_Virginia
2000,Wisconsin,WI,I,regular,General,General election results,"{""Herb Kohl (Incumbent)"": {""party"": ""Democratic"", ""votes"": 1563238, ""pct"": 61.54}, ""John Gillespie"": {""party"": ""Republican"", ""votes"": 940744, ""pct"": 37.04}, ""Tim Peterson"": {""party"": ""Libertarian"", ""votes"": 21348, ""pct"": 0.84}, ""Eugene A. Hem"": {""party"": ""Independent"", ""votes"": 9555, ""pct"": 0.38}, ""Robert R. Raymond"": {""party"": ""Constitution"", ""votes"": 4296, ""pct"": 0.17}, ""Write Ins"": {""party"": ""Independent"", ""votes"": 902, ""pct"": 0.04}}",Herb Kohl (Incumbent),John Gillespie,blue,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Wisconsin
2000,Wyoming,WY,I,regular,General,General election results,"{""Turnout"": {""party"": ""Turnout"", ""votes"": 213659, ""pct"": NaN}, ""Craig Thomas (Incumbent)"": {""party"": ""Republican"", ""votes"": 157622, ""pct"": 73.77}, ""Majority"": {""party"": ""Majority"", ""votes"": 110535, ""pct"": 51.73}, ""Mel Logan"": {""party"": ""Democratic"", ""votes"": 47087, ""pct"": 22.04}, ""Margaret Dawson"": {""party"": ""Libertarian"", ""votes"": 8950, ""pct"": 4.19}}",Turnout,Craig Thomas (Incumbent),yellow,https://en.wikipedia.org/wiki/2000_United_States_Senate_election_in_Wyoming
