year,state,abbr,class,race_type,round,caption,results,winner,runner_up,color,source_url
2014,Kentucky,KY,II,regular,General,"United States Senate election in Kentucky, 2014","{""Mitch McConnell (incumbent)"": {""party"": ""Republican"", ""votes"": 806787, ""pct"": 56.19}, ""Alison Lundergan Grimes"": {""party"": ""Democratic"", ""votes"": 584698, ""pct"": 40.72}, ""David M. Patterson"": {""party"": ""Libertarian"", ""votes"": 44240, ""pct"": 3.08}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 143, ""pct"": 0.01}}",Mitch McConnell (incumbent),Alison Lundergan Grimes,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Kentucky
2014,Louisiana,LA,II,regular,General,"United States Senate election runoff in Louisiana, 2014","{""Bill Cassidy"": {""party"": ""Republican"", ""votes"": 712379, ""pct"": 55.93}, ""Mary Landrieu (incumbent)"": {""party"": ""Democratic"", ""votes"": 561210, ""pct"": 44.07}}",Bill Cassidy,Mary Landrieu (incumbent),red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Louisiana
2014,Maine,ME,II,regular,General,2014 United States Senate election in Maine,"{""Susan Collins (incumbent)"": {""party"": ""Republican"", ""votes"": 413495, ""pct"": 68.46}, ""Shenna Bellows"": {""party"": ""Democratic"", ""votes"": 190244, ""pct"": 31.5}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 269, ""pct"": 0.04}}",Susan Collins (incumbent),Shenna Bellows,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Maine
2014,Massachusetts,MA,II,regular,General,"United States Senate election in Massachusetts, 2014","{""Ed Markey (incumbent)"": {""party"": ""Democratic"", ""votes"": 1289944, ""pct"": 61.87}, ""Brian Herr"": {""party"": ""Republican"", ""votes"": 791950, ""pct"": 37.98}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3078, ""pct"": 0.15}}",Ed Markey (incumbent),Brian Herr,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Massachusetts
2014,Michigan,MI,II,regular,General,2014 United States Senate election in Michigan,"{""Gary Peters"": {""party"": ""Democratic"", ""votes"": 1704936, ""pct"": 54.61}, ""Terri Lynn Land"": {""party"": ""Republican"", ""votes"": 1290199, ""pct"": 41.33}, ""Jim Fulner"": {""party"": ""Libertarian"", ""votes"": 62897, ""pct"": 2.01}, ""Richard Matkin"": {""party"": ""Constitution"", ""votes"": 37529, ""pct"": 1.2}, ""Chris Wahmhoff"": {""party"": ""Green"", ""votes"": 26137, ""pct"": 0.84}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 77, ""pct"": 0.0}}",Gary Peters,Terri Lynn Land,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Michigan
2014,Minnesota,MN,II,regular,General,"United States Senate election in Minnesota, 2014","{""Al Franken (incumbent)"": {""party"": ""Democratic (DFL)"", ""votes"": 1053205, ""pct"": 53.15}, ""Mike McFadden"": {""party"": ""Republican"", ""votes"": 850227, ""pct"": 42.91}, ""Steve Carlson"": {""party"": ""Independence"", ""votes"": 47530, ""pct"": 2.4}, ""Heather Johnson"": {""party"": ""Libertarian"", ""votes"": 29685, ""pct"": 1.5}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 881, ""pct"": 0.04}}",Al Franken (incumbent),Mike McFadden,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Minnesota
2014,Mississippi,MS,II,regular,General,2014 United States Senate election in Mississippi,"{""Thad Cochran (incumbent)"": {""party"": ""Republican"", ""votes"": 378481, ""pct"": 59.9}, ""Travis Childers"": {""party"": ""Democratic"", ""votes"": 239439, ""pct"": 37.89}, ""Shawn O'Hara"": {""party"": ""Reform"", ""votes"": 13938, ""pct"": 2.21}}",Thad Cochran (incumbent),Travis Childers,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Mississippi
2014,Montana,MT,II,regular,General,Democratic convention results,"{""Steve Daines"": {""party"": ""Republican"", ""votes"": 213709, ""pct"": 57.79}, ""Amanda Curtis"": {""party"": ""Democratic"", ""votes"": 148184, ""pct"": 40.07}, ""Roger Roots"": {""party"": ""Libertarian"", ""votes"": 7933, ""pct"": 2.14}, ""Dirk Adams"": {""party"": ""Democratic"", ""votes"": 46, ""pct"": 36.0}}",Steve Daines,Amanda Curtis,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Montana
2014,Nebraska,NE,II,regular,General,2014 United States Senate election in Nebraska,"{""Ben Sasse"": {""party"": ""Republican"", ""votes"": 347636, ""pct"": 64.34}, ""Majority"": {""party"": ""Majority"", ""votes"": 177509, ""pct"": 32.85}, ""Dave Domina"": {""party"": ""Democratic"", ""votes"": 170127, ""pct"": 31.49}, ""Jim Jenkins"": {""party"": ""Independent"", ""votes"": 15868, ""pct"": 2.94}, ""Todd Watson"": {""party"": ""Independent"", ""votes"": 6260, ""pct"": 1.16}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 446, ""pct"": 0.08}}",Ben Sasse,Majority,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Nebraska
2014,New Hampshire,NH,II,regular,General,"United States Senate election in New Hampshire, 2014","{""Jeanne Shaheen (incumbent)"": {""party"": ""Democratic"", ""votes"": 251184, ""pct"": 51.46}, ""Scott Brown"": {""party"": ""Republican"", ""votes"": 235347, ""pct"": 48.21}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1628, ""pct"": 0.33}}",Jeanne Shaheen (incumbent),Scott Brown,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_New_Hampshire
2014,New Jersey,NJ,II,regular,General,"United States Senate election in New Jersey, 2014","{""Cory Booker (incumbent)"": {""party"": ""Democratic"", ""votes"": 1043866, ""pct"": 55.84}, ""Jeff Bell"": {""party"": ""Republican"", ""votes"": 791297, ""pct"": 42.33}, ""Joseph Baratelli"": {""party"": ""Libertarian"", ""votes"": 16721, ""pct"": 0.89}, ""Hank Schroeder"": {""party"": ""Independent"", ""votes"": 5704, ""pct"": 0.31}, ""Jeff Boss"": {""party"": ""Independent"", ""votes"": 4513, ""pct"": 0.24}, ""Eugene Martin Lavergne"": {""party"": ""Independent"", ""votes"": 3890, ""pct"": 0.21}, ""Antonio N. Sabas"": {""party"": ""Independent"", ""votes"": 3544, ""pct"": 0.19}}",Cory Booker (incumbent),Jeff Bell,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_New_Jersey
2014,New Mexico,NM,II,regular,General,"United States Senate election in New Mexico, 2014","{""Tom Udall (incumbent)"": {""party"": ""Democratic"", ""votes"": 286409, ""pct"": 55.56}, ""Allen Weh"": {""party"": ""Republican"", ""votes"": 229097, ""pct"": 44.44}}",Tom Udall (incumbent),Allen Weh,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_New_Mexico
2014,North Carolina,NC,II,regular,General,2014 United States Senate election in North Carolina,"{""Thom Tillis"": {""party"": ""Republican"", ""votes"": 1423259, ""pct"": 48.82}, ""Kay Hagan (incumbent)"": {""party"": ""Democratic"", ""votes"": 1377651, ""pct"": 47.26}, ""Sean Haugh"": {""party"": ""Libertarian"", ""votes"": 109100, ""pct"": 3.74}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 5271, ""pct"": 0.18}}",Thom Tillis,Kay Hagan (incumbent),red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_North_Carolina
2014,Oklahoma,OK,II,regular,General,"United States Senate election in Oklahoma, 2014","{""Jim Inhofe (incumbent)"": {""party"": ""Republican"", ""votes"": 558166, ""pct"": 68.01}, ""Matt Silverstein"": {""party"": ""Democratic"", ""votes"": 234307, ""pct"": 28.55}, ""Joan Farr"": {""party"": ""Independent"", ""votes"": 10554, ""pct"": 1.28}, ""Ray Woods"": {""party"": ""Independent"", ""votes"": 9913, ""pct"": 1.21}, ""Aaron DeLozier"": {""party"": ""Independent"", ""votes"": 7793, ""pct"": 0.95}}",Jim Inhofe (incumbent),Matt Silverstein,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Oklahoma
2014,Oregon,OR,II,regular,General,"United States Senate election in Oregon, 2014","{""Jeff Merkley (incumbent)"": {""party"": ""Democratic"", ""votes"": 814537, ""pct"": 55.73}, ""Monica Wehby"": {""party"": ""Republican"", ""votes"": 538847, ""pct"": 36.87}, ""Mike Monchalin"": {""party"": ""Libertarian"", ""votes"": 44916, ""pct"": 3.07}, ""Christina Jean Lugo"": {""party"": ""Pacific Green"", ""votes"": 32434, ""pct"": 2.22}, ""James E. Leuenberger"": {""party"": ""Constitution"", ""votes"": 24212, ""pct"": 1.66}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 6672, ""pct"": 0.45}}",Jeff Merkley (incumbent),Monica Wehby,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Oregon
2014,Rhode Island,RI,II,regular,General,"United States Senate election in Rhode Island, 2014","{""Jack Reed (incumbent)"": {""party"": ""Democratic"", ""votes"": 223675, ""pct"": 70.58}, ""Mark Zaccaria"": {""party"": ""Republican"", ""votes"": 92684, ""pct"": 29.25}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 539, ""pct"": 0.17}}",Jack Reed (incumbent),Mark Zaccaria,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Rhode_Island
2014,South Carolina,SC,II,regular,General,"United States Senate election in South Carolina, 2014","{""Lindsey Graham (incumbent)"": {""party"": ""Republican"", ""votes"": 672941, ""pct"": 54.27}, ""Brad Hutto"": {""party"": ""Democratic"", ""votes"": 480933, ""pct"": 38.78}, ""Thomas Ravenel"": {""party"": ""Independent"", ""votes"": 47588, ""pct"": 3.84}, ""Victor Kocher"": {""party"": ""Libertarian"", ""votes"": 33839, ""pct"": 2.73}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 4774, ""pct"": 0.38}}",Lindsey Graham (incumbent),Brad Hutto,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_South_Carolina
2014,South Dakota,SD,II,regular,General,"United States Senate election in South Dakota, 2014","{""Mike Rounds"": {""party"": ""Republican"", ""votes"": 140741, ""pct"": 50.37}, ""Rick Weiland"": {""party"": ""Democratic"", ""votes"": 82456, ""pct"": 29.51}, ""Larry Pressler"": {""party"": ""Independent"", ""votes"": 47741, ""pct"": 17.09}, ""Gordon Howie"": {""party"": ""Independent"", ""votes"": 8474, ""pct"": 3.03}}",Mike Rounds,Rick Weiland,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_South_Dakota
2014,Tennessee,TN,II,regular,General,2014 United States Senate election in Tennessee,"{""Lamar Alexander (incumbent)"": {""party"": ""Republican"", ""votes"": 850087, ""pct"": 61.87}, ""Gordon Ball"": {""party"": ""Democratic"", ""votes"": 437848, ""pct"": 31.87}, ""Joe Wilmoth"": {""party"": ""Constitution"", ""votes"": 36088, ""pct"": 2.63}, ""Martin Pleasant"": {""party"": ""Green"", ""votes"": 12570, ""pct"": 0.91}, ""Tom Emerson, Jr."": {""party"": ""Independent"", ""votes"": 11157, ""pct"": 0.81}, ""Danny Page"": {""party"": ""Independent"", ""votes"": 7713, ""pct"": 0.56}, ""Rick Tyler"": {""party"": ""Independent"", ""votes"": 5759, ""pct"": 0.42}, ""Joshua James"": {""party"": ""Independent"", ""votes"": 5678, ""pct"": 0.41}, ""Bartholomew J. Phillips"": {""party"": ""Independent"", ""votes"": 2386, ""pct"": 0.17}, ""Edmund L. Gauthier"": {""party"": ""Independent"", ""votes"": 2314, ""pct"": 0.17}, ""Eric Schechter"": {""party"": ""Independent"", ""votes"": 1673, ""pct"": 0.12}, ""Choudhury Salekin"": {""party"": ""Independent"", ""votes"": 787, ""pct"": 0.06}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 5, ""pct"": 0.0}}",Lamar Alexander (incumbent),Gordon Ball,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Tennessee
2014,Texas,TX,II,regular,General,2014 United States Senate election in Texas,"{""John Cornyn (incumbent)"": {""party"": ""Republican"", ""votes"": 2861531, ""pct"": 61.56}, ""David Alameel"": {""party"": ""Democratic"", ""votes"": 1597387, ""pct"": 34.36}, ""Rebecca Paddock"": {""party"": ""Libertarian"", ""votes"": 133751, ""pct"": 2.88}, ""Emily Sanchez"": {""party"": ""Green"", ""votes"": 54701, ""pct"": 1.18}, ""Mohammed Tahiro (write-in)"": {""party"": ""Independent"", ""votes"": 998, ""pct"": 0.02}}",John Cornyn (incumbent),David Alameel,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Texas
2014,Virginia,VA,II,regular,General,2014 United States Senate election in Virginia,"{""Mark Warner (incumbent)"": {""party"": ""Democratic"", ""votes"": 1073667, ""pct"": 49.15}, ""Ed Gillespie"": {""party"": ""Republican"", ""votes"": 1055940, ""pct"": 48.34}, ""Robert Sarvis"": {""party"": ""Libertarian"", ""votes"": 53102, ""pct"": 2.43}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1764, ""pct"": 0.08}}",Mark Warner (incumbent),Ed Gillespie,blue,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Virginia
2014,West Virginia,WV,II,regular,General,2014 United States Senate election in West Virginia,"{""Shelley Moore Capito"": {""party"": ""Republican"", ""votes"": 281820, ""pct"": 62.12}, ""Natalie Tennant"": {""party"": ""Democratic"", ""votes"": 156360, ""pct"": 34.47}, ""John Buckley"": {""party"": ""Libertarian"", ""votes"": 7409, ""pct"": 1.63}, ""Bob Henry Baber"": {""party"": ""Mountain"", ""votes"": 5504, ""pct"": 1.21}, ""Phil Hudok"": {""party"": ""Constitution"", ""votes"": 2566, ""pct"": 0.57}}",Shelley Moore Capito,Natalie Tennant,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_West_Virginia
2014,Wyoming,WY,II,regular,General,"United States Senate election in Wyoming, 2014","{""Mike Enzi (incumbent)"": {""party"": ""Republican"", ""votes"": 121554, ""pct"": 72.19}, ""Charlie Hardy"": {""party"": ""Democratic"", ""votes"": 29377, ""pct"": 17.45}, ""Curt Gottshall"": {""party"": ""Independent"", ""votes"": 13311, ""pct"": 7.9}, ""Joseph Porambo"": {""party"": ""Libertarian"", ""votes"": 3677, ""pct"": 2.18}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 471, ""pct"": 0.28}}",Mike Enzi (incumbent),Charlie Hardy,red,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Wyoming
