year,state,abbr,class,race_type,round,caption,results,total_votes,winner,runner_up,color,source_url
2022,Maryland,MD,III,regular,General,2022 United States Senate election in Maryland,"{""Chris Van Hollen"": {""party"": ""Democratic"", ""votes"": 1316897, ""pct"": 65.77}, ""Chris Chaffee"": {""party"": ""Republican"", ""votes"": 682293, ""pct"": 34.07}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 3146, ""pct"": 0.16}}",2002336,Chris Van Hollen,Chris Chaffee,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Maryland
2022,Missouri,MO,III,regular,General,2022 United States Senate election in Missouri,"{""Eric Schmitt"": {""party"": ""Republican"", ""votes"": 1146966, ""pct"": 55.43}, ""Trudy Busch Valentine"": {""party"": ""Democratic"", ""votes"": 872694, ""pct"": 42.18}, ""Jonathan Dine"": {""party"": ""Libertarian"", ""votes"": 34821, ""pct"": 1.68}, ""Paul Venable"": {""party"": ""Constitution"", ""votes"": 14608, ""pct"": 0.71}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 41, ""pct"": 0.0}}",2069130,Eric Schmitt,Trudy Busch Valentine,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Missouri
2022,Nevada,NV,III,regular,General,2022 United States Senate election in Nevada,"{""Catherine Cortez Masto"": {""party"": ""Democratic"", ""votes"": 498316, ""pct"": 48.81}, ""Adam Laxalt"": {""party"": ""Republican"", ""votes"": 490388, ""pct"": 48.04}, ""None of These Candidates"": {""party"": ""None of These Candidates"", ""votes"": 12441, ""pct"": 1.22}, ""Barry Lindemann"": {""party"": ""Independent"", ""votes"": 8075, ""pct"": 0.79}, ""Neil Scott"": {""party"": ""Libertarian"", ""votes"": 6422, ""pct"": 0.63}, ""Barry Rubinson"": {""party"": ""Independent American"", ""votes"": 5208, ""pct"": 0.51}}",1020850,Catherine Cortez Masto,Adam Laxalt,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Nevada
2022,New Hampshire,NH,III,regular,General,2022 United States Senate election in New Hampshire,"{""Maggie Hassan"": {""party"": ""Democratic"", ""votes"": 332490, ""pct"": 53.54}, ""Don Bolduc"": {""party"": ""Republican"", ""votes"": 275631, ""pct"": 44.39}, ""Jeremy Kauffman"": {""party"": ""Libertarian"", ""votes"": 12390, ""pct"": 2.0}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 464, ""pct"": 0.07}}",620975,Maggie Hassan,Don Bolduc,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_New_Hampshire
2022,New York,NY,III,regular,General,2022 United States Senate election in New York,"{""Chuck Schumer"": {""party"": ""Democratic"", ""votes"": 3320561, ""pct"": 56.78}, ""Joe Pinion"": {""party"": ""Republican"", ""votes"": 2501151, ""pct"": 42.76}, ""Diane Sare"": {""party"": ""LaRouche"", ""votes"": 26844, ""pct"": 0.46}}",5848556,Chuck Schumer,Joe Pinion,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_New_York
2022,North Carolina,NC,III,regular,General,2022 United States Senate election in North Carolina,"{""Ted Budd"": {""party"": ""Republican"", ""votes"": 1905786, ""pct"": 50.5}, ""Cheri Beasley"": {""party"": ""Democratic"", ""votes"": 1784049, ""pct"": 47.27}, ""Shannon W. Bray"": {""party"": ""Libertarian"", ""votes"": 51640, ""pct"": 1.37}, ""Matthew Hoh"": {""party"": ""Green"", ""votes"": 29934, ""pct"": 0.79}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2515, ""pct"": 0.07}}",3773924,Ted Budd,Cheri Beasley,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_North_Carolina
2022,North Dakota,ND,III,regular,General,2022 United States Senate election in North Dakota,"{""John Hoeven"": {""party"": ""Republican"", ""votes"": 135474, ""pct"": 56.41}, ""Katrina Christiansen"": {""party"": ""Democratic–NPL"", ""votes"": 59995, ""pct"": 24.98}, ""Rick Becker"": {""party"": ""Independent"", ""votes"": 44406, ""pct"": 18.49}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 265, ""pct"": 0.11}}",240140,John Hoeven,Katrina Christiansen,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_North_Dakota
2022,Ohio,OH,III,regular,General,2022 United States Senate election in Ohio,"{""JD Vance"": {""party"": ""Republican"", ""votes"": 2192114, ""pct"": 53.03}, ""Tim Ryan"": {""party"": ""Democratic"", ""votes"": 1939489, ""pct"": 46.92}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 1739, ""pct"": 0.04}}",4133342,JD Vance,Tim Ryan,red,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Ohio
2022,Oklahoma,OK,III,regular,General,2022 United States Senate election in Oklahoma,"{""Registered electors"": {""party"": ""Registered electors"", ""votes"": 2295906, ""pct"": NaN}, ""James Lankford"": {""party"": ""Republican"", ""votes"": 739960, ""pct"": 64.3}, ""Madison Horn"": {""party"": ""Democratic"", ""votes"": 369370, ""pct"": 32.1}, ""Michael Delaney"": {""party"": ""Independent"", ""votes"": 20907, ""pct"": 1.82}, ""Kenneth Blevins"": {""party"": ""Libertarian"", ""votes"": 20495, ""pct"": 1.78}}",3446638,Registered electors,James Lankford,yellow,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Oklahoma
2022,Oregon,OR,III,regular,General,2022 United States Senate election in Oregon,"{""Ron Wyden"": {""party"": ""Democratic"", ""votes"": 1076424, ""pct"": 55.83}, ""Jo Rae Perkins"": {""party"": ""Republican"", ""votes"": 788991, ""pct"": 40.92}, ""Chris Henry"": {""party"": ""Progressive"", ""votes"": 36883, ""pct"": 1.91}, ""Dan Pulju"": {""party"": ""Pacific Green"", ""votes"": 23454, ""pct"": 1.22}, ""Write-in"": {""party"": ""Write-in"", ""votes"": 2197, ""pct"": 0.11}}",1927949,Ron Wyden,Jo Rae Perkins,blue,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Oregon
