,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
NJ,0.9757408981152499,0.04035261531772402,0.19680543592983252,-0.016875485465306504,-0.04665598747900719,0.100911989516005,-0.0036104408449084066,-0.06726090279094665,-0.005162074156465996,0.053442316653639674,-0.015619652002258323,0.031879080554327255,-0.04961382884107045,-0.03672921870827007,0.04395699499380168,-0.0070155725346506765,-0.012110147505417326,0.10692093014153883,-0.0314677411301778,0.009721324216450025,-0.05304585005079215,0.038520063700064076,-0.01863845087709768,-0.012150811912401588
NM,0.7018700560390009,0.553501507972393,0.33610483213909825,0.012150639574924233,0.08831952479874622,0.05837140443805385,0.13229091994461623,0.09263414743522844,0.019654968701985676,0.10002433789873184,0.08415645338052687,-0.013387590565900172,0.08043685781853757,-0.24768206005778393,0.0027937387099011093,0.030360316528524955,0.004659263121678067,0.0009642537573912484,-0.02244430390659196,0.013933691237758408,0.00904195868660322,-0.007543202427900673,0.008980934978628516,0.00220902427559286
NV,0.6300003446165183,0.6752452216611258,0.22389371232306962,-0.0328936096262513,0.013273817901535614,0.06731279704683381,0.25948055228181516,0.0383039435170103,0.004769988359913681,-0.016300732485540752,0.02609334814121121,-0.05404156199842869,0.057495131130082255,-0.031149152291395258,0.08747752506011593,-0.15772279458105662,0.02809622872373754,-0.002601324432046433,-0.041506108789981504,0.046300159829254985,-0.0946913552396115,-0.04878866291502104,0.040327499648708194,-0.020773672464827787
NY,0.9538613179452767,-0.10120651706954767,0.21067402413946737,0.041769198715215124,-0.07836258555133761,0.04672942710341764,0.11560033229097941,-0.07760189243844964,-0.014464769157224519,0.10544148090739122,-0.0012525065717271442,0.06842683781986832,-0.08943324129638355,-0.001389430469884075,-0.035438357920794444,-0.01446270217646716,-0.009406446193420143,0.09681187956546647,-0.057294388842358435,-0.05881244735672225,-0.0018323140991458975,0.017106413662100407,-0.02550251550078063,0.010593771440936641
OH,0.8480227327537969,0.3835469888971835,-0.07526117018699643,0.13845599000266795,-0.09842878549293536,0.13817963510319695,0.01781955563548196,0.20591050154691964,0.03883868507792272,-0.06549706715501177,-0.04910677216231185,0.09236942576968206,0.03275238225006334,0.013917588738444966,0.21646139533442482,0.08010430860301555,0.02641990875591956,0.005334638371418963,0.007737007660391674,0.033723854091687704,0.006715804352403256,0.013278924925532782,0.017335823916893305,0.021269288698100054
OK,0.05458447383341189,0.9402519309073372,-0.07921218546378743,0.08562449590675443,-0.07391459258898538,0.10162668942442124,0.1615180819849179,0.11754309229522912,-0.01636056362420291,-0.012868232738552747,0.0013559038131816406,0.04131881703261818,0.028579190695540053,-0.08561749264255882,-0.061490572951254575,0.2237509093727515,-0.06565355932976782,-0.016370025262325203,0.08316292147329778,0.009378966017181465,-0.0148738870356751,0.0642420491703573,0.013884110182327809,-0.007650060599159693
OR,0.9122854050010136,0.1978810135793369,0.04782357965945796,-0.04284128386127874,0.12741709833002232,0.010056809648843945,0.1740147321196386,0.11943454384190876,-0.020593485558178456,0.07347335862381621,0.06995172885041988,0.0024864681868875887,0.287506012955824,-0.05591050669882625,-0.006927497443124428,-0.029700976786518216,0.025181170608427506,-0.0031549529156060805,-0.01925885297831056,0.0057885262246578995,0.010102552709913941,0.01098201806424239,0.014821951154754017,-0.031360179993662196
PA,0.9526974785718019,0.0035148776120920663,-0.09962664543572979,0.11242481750294128,-0.04679425873940081,0.1108657990751429,-0.046437143308211574,-0.02740826506487589,-0.06620414626737423,-0.12159622050312739,0.04570450496510541,-0.008908410461105984,0.07317367662904437,0.09010220561548762,0.054206027045859695,0.20524356346906678,0.044963773851789665,-0.01095339586551345,0.004267488786316852,0.03788352038528915,-0.010777539068365653,-0.03388403484115808,0.05665862937853248,0.024700001326121074
RI,0.8997151624033287,-0.11729862609841281,-0.015531705757185939,0.07823524405958761,-0.10460203364391675,0.29869359527410844,0.031476524420075536,-0.13879079589367238,0.0208857489789319,0.023191096057940286,-0.08295057573191048,0.05418925978841012,-0.22438308099184404,-0.021570164494839523,-0.03115787600578781,0.11948277784418575,0.030909280096868094,-0.03265622193688723,-0.03219162838396645,-0.036299452352339986,0.027414647073690478,0.0257378584004235,0.026506428921699077,-0.059535355532143355
SC,-0.36691505138372943,0.8932234048637387,0.13224059059324847,-0.03818597195218761,0.016084982000524592,-0.04603272263916382,0.04246193890655273,-0.06312242089986286,0.052252760021664055,0.06577634442361704,-0.042654290314883304,0.07476509833104673,0.0028068688852351423,0.10182151519885844,0.02493892131805064,-0.183316300317575,-0.008615169054645396,0.045613004094269056,-0.09091964520875846,-0.04881669799993964,0.034875756543513214,-0.0470811680071504,-0.009846375027884512,-0.03568871654080163
SD,0.5113167910200487,0.4187218702233703,-0.3043748437257634,0.21655245001905812,-0.022946531636142825,0.07934124010449074,0.6528802620955556,0.11032311879303304,0.04216841086128487,-0.03172506812840221,-0.0321685503949563,-0.016301670645434915,0.04145119398838811,-0.03761011065100539,-0.006124916132532636,0.01836270601193351,-0.04435996296217754,-0.022956545981642148,0.03457192650798552,0.02338059575763205,-0.0115328800335886,-0.027406655476020416,0.047216669006804914,-0.003683778987118418
TN,0.0790579126140409,0.9377180076852174,-0.1273509496450194,0.16511946052427756,-0.15719671599874327,-0.009364893820567724,0.02415497664988617,-0.06373205609668303,-0.02191528960045736,0.05278739755533752,-0.01161433760534511,0.04480649164560172,0.03921130138147274,0.09133912028436111,-0.03708647816398355,0.2201227701560593,-0.02365164616853991,0.051986313686605834,0.03369342685696266,0.05909161917121941,-0.009562277434819714,-0.05762603046420981,-0.0382439335850458,-0.007929609989171636
