,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
MN,-0.6211009950431727,0.06516786679714462,0.4998314389618708,-0.020331588239416495,0.003545084117671539,0.010097191474411992,0.18981585017750985,0.0805828964783314,-0.1825154437915177,-0.19147739853352314,0.007761025717047114,0.02882016405347811,0.04516919973084063,-0.19417174437166698,-0.4258717949450546,-0.20763649803898881
MO,0.4072864535508123,0.041728252501021204,0.15810450505240586,0.11167460539167756,0.2988590400549328,-0.11427379561881831,-0.7365569467658499,-0.03160587292217117,-0.03221295921243984,0.21498304177011296,-0.08474764154421757,-0.02405413743683126,-0.1116638528850486,0.00682038397746539,-0.2409300074477982,-0.21097352855133172
MS,0.9441598424053925,-0.011535201932044145,-0.015953737710237663,-0.09816242488365363,0.022582792546876267,0.08244748254058124,-0.17967864404309306,-0.003980956051034082,-0.01056952746088869,-0.1702973892087164,0.17987134226572518,-0.08364161635770016,-0.1090720139784954,0.059537613604248814,-0.008057068905680791,0.01666866262411318
MT,0.6876848512102517,-0.14167251588621077,0.4623070988878775,0.09802208309282158,0.14267879670547748,-0.29162854784851244,-0.08214199694858806,0.1484217875481211,-0.0561141998835422,-0.018263589057670258,-0.004163308594409225,0.23297503433540487,0.09300336680155763,0.039855703755839064,-0.11387646508862159,-0.28486864227147946
NC,0.9264286579466685,0.02943774793010854,-0.18222886818810557,-0.12025778120735882,-0.0817642691878498,0.0019269132548089564,-0.23362493427284806,0.07827283928072769,0.030047621237539276,0.1567679620594054,-0.06733357271844016,-0.007802567673761795,-0.005937095455665801,-0.040158756219900824,-0.12526379256591563,-0.020808814916430697
ND,0.3141860145994784,-0.003856258446891807,0.888755211585251,0.05346717183309924,0.15727284519632684,-0.11749632585227289,-0.1005809695838747,-0.005813862460978318,-0.017688997093135175,-0.08241964440565638,-0.14244905276030126,-0.04854721303973936,-0.03796859947458237,0.15713155048054764,-0.08250823074754693,-0.13207064090914233
NE-01,0.027561801122895278,0.011783336828853023,0.0025329028554305208,0.14043289084376223,-0.057847389492386755,-0.10585724455653481,0.047035089983329774,0.9924304378306846,0.021648592408265697,0.03529061631528778,-0.00680319337169158,-0.06769589717655175,-0.0017613316173462096,-0.0025748093559503546,0.0024614035885783393,0.015426313134543845
NE-02,0.028737599863699313,0.09160302428832451,-0.10497906931138233,0.08882777900135896,-0.8391960925124756,-0.10815276130605508,0.21070040881380797,0.4437939820669042,0.1657497915756455,0.031039615065122875,0.0805636891536383,-0.06716002045787747,-0.03537307968462343,-0.0002665884743795536,0.011375566167046507,0.07537439315580775
NE-03,-0.01135108186702071,-0.16677883433843263,0.12482979033157514,0.013227413646546936,0.9214140025779151,0.028648767490883378,-0.2012473435573647,0.2390523614948662,-0.11633223250336872,-0.003995096244051254,-0.08440152198295908,0.018997015436434804,0.004018737885573403,0.05658362221257053,-0.03399904556283664,-0.07028834998718375
NE-AL,0.6792876387263485,0.04304676012032844,0.4250278747523605,0.507717568058635,-0.07977561707544002,-0.08244522940620799,-0.20837433561301916,0.06326721898252298,0.12011082092000354,0.12276478039966343,0.023803975313730512,-0.0862825009922019,-0.010464139444347872,0.06779145903901049,0.09595930242627894,0.06501936037888412
NH,-0.15122220781583712,0.0765263734230712,-0.4140895658484419,0.03742474415385538,0.04007142410000284,-0.058374951130522365,0.049421109678028145,0.013204811869535971,0.20307460575784342,0.11627154949899088,-0.03458768642565751,0.004836526621965748,-0.01951452357011168,-0.00930021330300044,0.8647923257821696,0.0871197335935688
NJ,-0.722229090693994,0.07446083676987222,-0.1939347636426522,-0.2127277506287335,-0.049667167564025526,0.11596492711490541,0.338402369660887,-0.1502518396268253,0.1743418427855576,0.05774683622048704,-0.05391587454576323,-0.02628065646758422,0.2215947921563723,0.09822280139332484,0.3299278106803333,0.241780023395963
NM,0.45711467648108706,0.024620975890372314,-0.14198236982615145,0.22051822979249724,-0.09061359105117972,0.12401061228930042,0.015540174858414397,0.07689614156631651,0.17964913440480837,0.690989995069045,0.2314894963656872,-0.1758014468407391,0.029464042941160836,0.02578609634794713,0.2827565707592895,0.1711158659368499
NV,0.692360434212055,0.11943246644201683,0.2609273141997185,0.10406420822198237,0.02416924489865367,-0.05747534910090234,0.38230192864157747,-0.06386173693918597,0.14967075953705222,0.1250766948409778,-0.0721950745352816,-0.08122397911374798,-0.01445763065427706,0.35436035413618877,0.31125100533670147,-0.0033814498796656814
NY,-0.8067030014547836,-0.026876800215929423,0.010470756165338362,-0.1384217413460186,0.039510701353851624,0.20580412551341093,0.1956470792757391,-0.13063849818566053,0.191135005166148,0.008937520829059591,0.09519296758456666,-0.16672411008163188,0.11840359118022811,0.035866082004055964,0.2925824359418276,0.29546999006627817
OH,-0.1772516893171638,-0.03224172963547626,-0.14909218042987996,0.281736208927668,0.29556680470451746,-0.07103576972478634,-0.20355520478644962,-0.1216250975629529,-0.03653589508463126,-0.06451037042788259,-0.0667427753088963,0.8491019885349754,-0.006805597337909742,-0.013591232178376407,0.0010803906165829965,-0.06898702996479202
