year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
1956,2.308479436597102,0.18889528340725797,0.6544049762994889,0.18061802065085494,0.3962388070411592,-0.4473522615031377,-0.9557737415238297,0.3211525540248611,-0.3030622797039541,0.5032438825973339,-0.08405771923841857,0.10357276234956402,-2.1112064321171853,0.5712013497941277,-3.242618862180898,-2.378289755579943
1960,-0.6251829630230541,0.5613990188832672,-0.3442775774261854,-1.3318758703248732,-0.00227436047375583,-2.1235078190816377,-0.8548395069630542,-0.06862664272784832,-1.7264022225086033,-0.8225777091429082,-0.03237721603064434,-0.6106232642668558,0.6242001026665598,1.2022749981768477,0.22602751159872408,-0.7764344832582273
1964,-5.270092808435602,-0.36059083254908814,0.762132627855538,0.8491663834707924,0.3896374313728451,-3.8038916953151785,-1.370676881153088,-0.04285405026673226,2.084523964915528,0.14432187186688983,-3.7492056061778145,1.672909081541585,0.5511632451997568,-0.3237342983434745,1.1502781900999821,-0.30225464561881155
1968,-3.0115291951939427,0.29832881722879495,-0.15590776681995108,-0.7916693342318141,0.09412449399322048,-2.025061077267539,-0.9976342933742193,-0.14940283685601508,0.09686780673648716,-2.7975658233817655,-1.5289264936360643,0.4150443215401978,-0.18760887063427906,-0.6063324245284684,-0.35210017546962674,-0.8976135680219833
1972,-3.863483956633592,-0.3846410997057068,3.4473408391215323,0.4450808918406352,-0.014854773627801228,-1.937580635051445,0.6210483883463241,0.15498200504458856,-2.5931773349967924,0.48947587501934586,0.8322410338113586,1.647389631240586,-1.0299330093702055,-0.14688171664333963,-0.02407786673070515,-0.9572053288200706
1976,-0.5342343033337414,-0.9457109966129559,0.7760017858574614,-0.02991408390729486,-0.12117788916400433,1.5480298064057727,-2.41561303901874,-0.11969081463791693,-2.6489498788148955,-0.9066096323607156,-2.233761488024674,0.5204633676825745,-0.7280601744583196,-0.04373863272637886,-1.7965303095056688,-0.25520482083032286
1980,-2.5446848659942947,0.7116695319559123,-0.8095863202430553,-1.1261432661830633,0.6067124115975902,0.9742891973202821,-2.3004710837650135,0.1874007300753873,-0.875656934812087,-1.5815689818082108,-0.43499687098624906,0.9787050120543191,-0.2953608342185121,-1.5675953629964008,-2.773894532065534,1.2191914832706
1984,-3.0273947696225294,-1.8200971885423602,1.5914595135602132,-0.2916190320592563,-0.5962171819478707,0.7722584748517639,-0.5407899280718408,0.06942083271487214,-1.640212604150299,-0.04466844346418695,1.9639227998048043,0.9900087302740292,0.105953775707253,-0.7441636725130638,-2.784197272056857,0.3859994954798116
1988,-3.036585544013248,-2.2010788164611443,3.2851885602177107,1.5478534959686958,0.06838215140705721,-0.006960414244891631,-0.17567942292987127,0.04887110049407966,-0.4838242940120421,0.8199059332423416,0.4616311027539825,0.6437906521958932,-0.05513025171315556,-1.2838827947108442,-2.192105742014566,-0.33931913109071593
1992,-2.192993654853187,-1.4831562846876067,0.21038508023338692,1.1106779964694227,4.021400930070085,-0.13262627694552592,0.10586935813145967,1.7051747725191173,-1.483941321124035,0.40180305188580706,-0.40887194568098256,-0.37185346212524256,-0.05226788001327751,0.2604856265681642,-0.37895779408815705,-0.16228210988025962
1996,-3.7030500762776306,0.6759375102705459,-0.016896781771559052,-1.449797405081043,4.084432407764125,1.418021560134989,0.220478498883744,-0.67844752943821,0.14718331007395288,-0.5595695864547241,-0.6985208311703713,0.07555808806578558,0.32526888568968326,-0.6117097060132356,1.3691859511229776,0.06667025711522058
2000,-4.7523706541804795,-0.09773737010542762,-1.7393720199466123,-1.1965476008931832,0.9449783457805712,2.629376952280803,1.062258788995187,-2.609303555739443,0.07330150647917844,-0.08194147393474074,0.009791988335163095,-0.5398248086203278,0.593364646119116,0.1018371492095874,1.0597899142698928,1.0490641380096233
2004,-4.703426901810894,1.318322784733988,-1.0777381980969092,-0.800886371341691,1.448850009661776,1.4992027894419464,2.2664848298312354,-2.8633416096408864,-0.19688424336097232,0.29829170879183997,1.0882756388528427,0.667787393206586,-0.02757153716889048,-0.49326770068496834,1.482846156821231,1.1353672367314216
2008,-4.666041967089649,0.8650042102539085,-0.37504809830600455,-0.228646279718471,-0.021059294076047622,2.27771712772373,2.5955248005601157,1.5599572113491398,2.8536818001519584,1.2362677121083663,1.062240163392622,0.6665713435306514,-0.5776313171832707,0.7410889151512111,1.8791139557711292,1.0878264267170838
2012,-5.056179064360993,1.1290695050301733,-1.3167265984058338,-0.5170607611292567,0.2534680674860628,1.4170384739335893,3.3548400374018277,-0.4692471277276945,2.8813344362476823,0.634624123753915,1.1092971190137078,0.3108705725923516,-0.3756319180144937,0.2929669678366808,1.839145320276647,2.1064997805618773
2016,-3.9454050005948083,-0.4371739321017963,-2.754660904340101,-0.1556257135270925,-4.1040398193849725,0.9201420676307174,4.901546997234083,-1.577114900547595,1.3857343457069173,0.3496873701060048,1.299670840629397,-1.8336966064785511,0.4143058743672826,0.6652714827492509,1.5215720683091258,1.6813675189727197
2020,-4.172655728152778,0.6200103868718695,-2.998585616911723,0.583575779583759,-4.777455293696234,0.535475549071116,4.865323155429972,0.3621605986192963,1.2342130941465366,0.49784772578188147,1.089513683068806,-1.900956690741816,0.25597774769700843,0.14444689621623288,2.100378269401235,1.9952748974204464
2024,-3.9625507638974042,1.3708122898126949,-2.5707852949967473,1.3172012991358697,-3.7910451500330193,0.121731218710613,4.916223789514473,4.25329046802313,1.3379258412675266,0.8732418234724086,1.4316365356066603,-1.2549114636614647,0.2454583738938336,-0.20299913620666288,1.9882013502667644,2.1486723235941874
