,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
MD,-0.16045834017236563,0.3503551013565755,-0.01207573266760388,0.18840241585660408,-0.13365571272615784,0.339849520844468,-0.1736485123866753,0.16008715134783277,-0.04573392065772778,0.20323962198379159,-0.03027658246590378,-0.6899600718127485,0.2869837647653188,-0.166774055371834
ME-AL,-0.7350669963611197,0.20364488633196196,-0.32316581264030736,0.06922861020786346,-0.06687245314803351,0.20795198859002348,-0.07638839926440111,-0.26663767372913844,0.10147683916202677,-0.02365348180471941,0.10894801129854613,-0.21883681201451788,0.34164605302003176,0.1497048292985173
MI,-0.784527294737016,-0.03161083270084643,0.026528619919198932,-0.10129846013370204,0.051215474640875676,0.3978411159997629,-0.05331118029001712,-0.27106583984883154,0.16892193259227867,0.007163756638566831,-0.06719275666863755,0.21382739168638915,-0.17995540813809452,0.15515887363981457
MN,-0.6587343201650695,-0.45672014180679205,-0.19253579418244607,-0.018410668275456368,0.02109828495807532,0.20449277618135656,0.1419399476538205,-0.020855186342422786,0.05022452117655095,-0.1013890955569007,0.013351724658701167,0.14844609442454998,-0.4754797741760729,-0.02609663924367599
MO,0.31922291920486606,-0.1892801694511571,0.08644360533281222,0.10322622530145323,0.015729493126158303,-0.8456606674855294,0.02888652975504303,0.010939818724276023,0.09625011247845104,0.06333645359424465,-0.17157458518680202,0.24609670566910222,-0.14837468158970815,0.08881742164352881
MS,0.9308377310892645,-0.015174141883621648,0.0272455661329015,-0.09144147468513147,-0.08921153682597482,-0.21946441323298957,0.03870787359008535,0.07461210485652475,0.050543881948335055,-0.10085476272504174,0.20300942225450871,0.05201137041802549,-0.04973094149698789,-0.12886683843559324
MT,0.628689511409291,-0.48330118660085747,0.008163329885398266,0.12071679142229264,0.27984318993765106,-0.18740941341718834,0.056425870935765246,-0.2089705599842001,-0.15337336623440564,0.05057117023518483,0.03529461221602568,0.38414808889208046,-0.15495246616526645,0.016304072004447594
NC,0.908174303988253,0.19042662726572226,-0.002876652489241286,-0.0722166108429407,0.054851114100204885,-0.30518328248023074,-0.0500826307257626,0.0758542127392449,0.0236820810135458,0.08304999175450341,-0.09201595190052295,0.042917069903271036,-0.15140872122608565,0.013029257620742222
ND,0.2617749224294718,-0.9115254682465053,0.14201976584102285,0.04591661772645155,0.08830442782459699,-0.15228132003181039,0.02722883900398131,0.03285372074355842,0.019676636448922317,-0.039537638477255915,0.054317122265539204,0.14708439916549385,-0.11954309022603266,0.16088270346733569
NE-AL,0.6597791550550632,-0.4329730767223929,0.08064077138595546,0.5344648591187513,0.1025691542900902,-0.22369894269448867,-0.12640032825594624,0.10799963356192624,0.01520534387249026,0.015191812121683879,-0.04584237084045401,-0.05896366903030294,0.07323513892821239,-0.04828130111873904
NH,-0.08562190484703468,0.374629251150889,-0.01364362545212547,0.018819202455292564,0.05320299634530347,0.10762360270869584,-0.17416185872449605,-0.03240242510082475,0.032018939997846205,-0.013516826353332794,-0.027098024347556825,-0.09108052465589189,0.9015523891513918,0.04075140082216934
NJ,-0.6508809693292393,0.195999899045754,0.09639691416394185,-0.2459556509548712,-0.11559401592516663,0.43052817030557267,-0.16321224614072993,-0.005252850342624204,-0.1688338641774537,-0.037134707891384254,-0.1066827020708304,-0.3171583307279818,0.3493447480643414,0.05159571211817345
NM,0.4980097885341017,0.1404321497170634,0.10086623009542428,0.2581798419582768,-0.11186680152617438,-0.014474210716233588,-0.19490464460497742,0.2257035199099632,-0.0007282197003939111,0.36297457607734895,-0.4390633890025448,-0.14901116103796838,0.34844316104565753,-0.3201727622604823
NV,0.7255962887416526,-0.32084607525577247,0.358580565845486,0.07446276407431036,0.03893592523636048,0.3510151928104417,-0.11636780748936351,0.019583524463065518,0.06168538535400833,0.0021832300716911226,-0.12495776298868554,0.028396557805607313,0.2842313402197807,0.0922567128253812
NY,-0.7508242470294587,-0.012838293530806724,0.004423419075986076,-0.17072354902651435,-0.2578206535485048,0.2868309698401002,-0.16051064923935637,0.12745964117392622,-0.15784463252005512,0.004154050252109001,0.018524825383018195,-0.31493908492198314,0.33993396061598835,-0.05183896924673609
OH,-0.2032467975000463,0.11038306046288791,-0.008597736599082058,0.21331815593521877,0.01447597650782955,-0.2621542350576047,0.03647152324435464,-0.9140178554765851,0.0046320791889984045,0.0166599101265211,0.01726041784242453,0.08403817394918768,0.037169347799260836,0.08257513292310285
OK,0.768282047773537,-0.14666563869813543,-0.06148909496502123,0.15169377739885995,0.04235255355182889,-0.47748395667579724,0.0239529598838574,0.018217903067868368,0.012775039133726846,-0.02928851957081913,-0.2192096326308203,0.18941445959619263,-0.1970504800434252,0.18663126372967886
OR,-0.3035321718700368,-0.11781072151647627,-0.0009699318309674719,0.23896532434694973,0.04534969690073461,0.5660111110553503,-0.05193366305939321,-0.0546345115872987,0.017536739602011797,0.676394899924809,-0.033417665750922025,-0.2081930242785237,-0.04148214081793713,-0.13244399672146476
PA,-0.8294402244588001,0.21890868408427602,-0.023211095576940625,-0.2526338667558992,0.027581259351218874,0.09229629051658009,0.08088984226176832,-0.2883846438618558,-0.08911943515973338,0.1727739588160995,0.063215056835869,0.15711305886334137,-0.20605247712411545,0.016193557519391923
RI,-0.8478717777924577,0.04056980360289449,-0.16580728627631267,-0.28097080597481616,0.14452280483994479,-0.05632201635747781,-0.10748956850268342,-0.011594641564473873,-0.052128877849883785,-0.16788083806214113,-0.05391649222523721,-0.13408512425187516,0.26963555209006707,0.12107867151620029
SC,0.94426156990285,-0.07163707702751955,0.028026663757203654,-0.014043123705315482,-0.01395639888010537,-0.2901818495092688,-0.00917049417168776,0.052370939349929466,-0.00418436143958688,-0.04333706372883201,0.1774932986468772,-0.0065007317833171594,0.08262645905827862,-0.05061633188945154
SD,0.012537488074858712,-0.7968418408661474,0.010040290321638433,0.2570790960192542,0.06870854564338617,-0.36958358717035855,0.22120035656293824,-0.027966005693764857,0.27145789746912186,0.14064974621719775,0.04102951687669826,0.17796601107394724,-0.0669004294695908,-0.010074672906812843
TN,0.7431183497139882,-0.05875863633046139,-0.051683742487828414,-0.11738776324946394,-0.09912445176456544,-0.5707330104495117,0.15292448467760048,-0.042429745344230316,-0.034152822539569125,0.021960316908225586,0.004165233501979287,0.1099202124379678,-0.2245829725472026,0.14117142607906039
TX,0.9395141665433787,-0.09299984359844628,-0.09265844896495973,0.09956630860259948,0.18722537287296673,-0.24188360947797302,-0.0450093608877512,-0.01936092625485445,-0.03547515297605338,-0.009901021835971984,-0.11442913808491338,0.014090370871824279,-0.014142327860284151,0.09619867488832799
UT,0.8149926857556168,-0.07298492543544638,0.033820616941872376,0.046348328461137935,0.38192682333042793,-0.12356669193632196,0.002052228191019383,0.07732703933503508,-0.21099257193621618,-0.1269092408415187,0.044966242232628496,0.31760975604791386,0.07594940030273056,0.037669604673992746
VA,0.9203860044875586,0.17582923701289987,-0.01918790029839227,0.15494290801389723,0.0019529331980919333,-0.14296807765443045,-0.09921741625619529,0.014943507169334874,0.018321018177922074,0.07636024887998737,0.011433706209210082,-0.2217123070681751,0.18869025239478096,-0.10644287412902713
VT,-0.7150778682436667,0.171467768982479,-0.14213036588563543,0.03436370008454461,-0.1682149849325136,0.4561285459639077,-0.1531264806973361,0.010177305995599916,-0.01590318403578781,0.17097245639087832,0.06884808887285482,-0.2609276825945043,0.29900315686945783,-0.06339994611607822
WA,-0.25714669956363306,0.07982289996164149,-0.10833439145230545,0.08280831209086878,-0.012922650781137756,0.864730606849015,-0.14092406451984116,-0.071828563622107,0.015348746156253198,0.20795833503210975,-0.19578543066809354,0.18122740374554575,-0.20563774015623293,-0.03007885255150308
WI,-0.3944699651565815,-0.8057887332678114,-0.07321455762225737,-0.09809471567752778,-0.058441809323458466,0.1869146774388064,-0.011247457279552911,0.1461326653508986,-0.1060391271600347,0.06770545552521752,-0.07029906483115055,-0.22503837823536765,-0.18352585841294317,-0.11443897067833315
WV,0.14359988620304132,-0.12369777663668582,-0.11453072306271748,-0.12237988115864845,0.0426396416122157,-0.825884139744106,0.20084275476486335,-0.24092636405745244,-0.09927394328844852,0.006793723650015936,-0.04299564432373706,0.23406567729665473,-0.22708682701680838,0.2379085237932399
WY,0.5659709433880539,-0.3335876200169909,0.0008444633290197387,0.1252132188444803,0.26064266681153225,-0.4345866713176791,0.13271534358340967,-0.1577264033118334,-0.08909230188107138,-0.07825446701794779,-0.011226568917843675,0.44623454274013585,-0.1506689626725308,0.19558192425536505
