year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
1968,-3.0104637110871098,0.1364739449767111,-0.09538960321484019,-0.9060353352016787,0.0929421364807971,-2.101674784395328,-0.8733203842282794,-0.12196062845849,0.0879472586871345,-2.2814246858734433,-1.5760428605328187,0.6001539007805227,-0.7373490236871142,-0.5131663447322382,-0.44694656574964037,-0.5958122299622721,-1.5746486208581982
1972,-3.873959378793227,-0.26438976292468575,3.3822981838807014,0.5118104067405156,-0.005366004235360779,-1.8769144192413143,0.4624052435136424,0.12647659295267502,-2.576032409451789,0.034371961724630244,0.8737957705118468,1.4850667702252665,-0.5888911713378584,-0.07177147671138741,0.04664491118052807,-1.25727936717247,1.2805853403888516
1976,-0.5376894691788787,-1.051641238584667,0.7780098010408782,-0.12347198133946817,-0.12222484374294926,1.5235930071274741,-2.419819175257518,-0.11307020002976376,-2.6274193855401533,-0.7635975028615107,-2.195677748082579,0.5762252805452192,-0.9425210509041512,0.08346014179540444,-1.8083496371211005,-0.16984325929387975,-0.24238399418930395
1980,-2.5415565435569807,0.8054441901211365,-0.8619355073526195,-1.1214229554752368,0.5897444346947132,1.0235378259405157,-2.358997493299057,0.16068406798414692,-0.8816400859557372,-1.803516754777948,-0.4600612474959644,0.8577408305215788,-0.2685376882959397,-1.5035676251074792,-2.6781347803310425,1.1126451978807343,0.18536026618339574
1984,-3.036719378419754,-1.825975551498919,1.5608476356481362,-0.32841809230877367,-0.5820296883085418,0.763859258289954,-0.621898810247451,0.06714930593971616,-1.6033268317491842,-0.2041859227263224,2.0176976266548947,0.9747216812482741,0.0860086090952179,-0.7487033600961646,-2.7618697989037786,0.33898068920962243,0.49114976114290976
1988,-3.048754483771721,-2.0438459969280265,3.2042591606496966,1.6125033393705805,0.07232433431645773,0.07954410337547017,-0.36665412410647946,0.014778370440657364,-0.4643097519424312,0.297357563459194,0.49041743474135946,0.454943990940008,0.3046521047538328,-1.338263462271052,-2.082418834977679,-0.6198406117215677,1.3137789138253473
1992,-2.196781586720191,-1.4793208821788306,0.1977858091917034,1.0978536284970248,4.028923730885736,-0.1288568632222329,0.050560819422958085,1.7027082309257362,-1.4680232806524576,0.3415286960364093,-0.3949232702828747,-0.3863059119835777,0.025513109497877818,0.24772087050199737,-0.3764873459400731,-0.19647011121273836,0.2985442190405483
1996,-3.697617591749546,0.7504340478984916,-0.028528718220291432,-1.4215932067483206,4.073834065435756,1.4435323520133578,0.26061515258896184,-0.6869410232765871,0.1219922294871816,-0.5369517218114541,-0.7527819327461068,0.046977839342274064,0.3101476605469825,-0.6560252653605609,1.3852133638472388,0.06580064405531313,-0.27261622344892394
2000,-4.742257341387038,-0.10671449628670766,-1.7368779842120652,-1.2031390973396954,0.9431840822254273,2.6167609440651054,1.1479126291077122,-2.6026729192818254,0.060140870714775724,0.028224935369119915,-0.010716349044076985,-0.5046915089294622,0.49438908233778783,0.04318432656599005,1.0442804500074747,1.1127183184871405,-0.28492832470089635
2004,-4.696507627177447,1.4040114210649337,-1.1118380035827402,-0.7372710766507249,1.4476084949459112,1.523440343283142,2.265268451097208,-2.8746672788461693,-0.21052043905307957,0.11355574145783218,1.0789389810149057,0.5934752189492947,0.07420701162500665,-0.49501033221008667,1.5056849454008723,1.0070695726839467,0.5168907526555645
2008,-4.667370576603249,0.841758591124423,-0.3858867825276183,-0.21518691297997847,-0.008007720912353451,2.2472059318188196,2.595938104301149,1.5703458406868838,2.873916418366226,1.1272820297135195,1.1365418780460483,0.6876590730197869,-0.5379822752753857,0.8380498874645577,1.8506520159098427,1.0154741001015646,0.7095162444740355
2012,-5.054461767819062,1.050893039083471,-1.3049517246967781,-0.5341529437662388,0.26885416941852447,1.3540335164514399,3.4028546048696975,-0.4463270794026907,2.9026333707276666,0.6655362956910064,1.1756740563091075,0.39615418406994235,-0.5775400497650793,0.3984050732223219,1.7717087993186613,2.1219734661614233,0.4357147265469587
2016,-3.9322270458955715,-0.5030833230267355,-2.7302952166120042,-0.14134005754521628,-4.085104542803979,0.8736314427672273,4.993888973377921,-1.55521324612704,1.383141831635023,0.4258173245750421,1.3164416110203767,-1.755983597750545,0.3399804643650588,0.6260160197283742,1.455169699879388,1.7036609643614247,0.10807440128044346
2020,-4.1573170831281185,0.6291821905257613,-3.001515138925391,0.651439330394562,-4.7683417396932954,0.5328411348353846,4.921671522341587,0.3673740553151792,1.2135830472761617,0.39458591096485507,1.0846416723624897,-1.910584224326302,0.30873587992730817,0.11001445413667117,2.081228084291647,1.9083574556802902,0.44491575141518847
2024,-3.952135133729848,1.4156526576234978,-2.5918232643300496,1.4091489678772846,-3.7834285373414285,0.13429994092794287,4.916222281516861,4.251479574129656,1.318427734803344,0.6455384716007592,1.4314765377816836,-1.3023701805005767,0.33781853743661,-0.2410325680144639,1.983118693673809,2.000230420593347,0.8140749835800761
