,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17
PA,-0.8191251664521485,-0.15253844275268344,-0.20645256752146843,-0.2391617553419993,0.1113716795362365,-0.07014015457922179,0.09133442612990539,0.03852465079665608,-0.0794780330522931,-0.06767903266124652,0.004529848327113618,0.27973466112043205,0.03893058452379416,-0.01151577862968742,-0.2540325210049283,-0.1398641448018111,0.11469713470914354
RI,-0.8590149412582544,0.020342398737595548,-0.03681687194933958,-0.25452740700326604,0.0677518152652525,-0.18214201484514747,-0.11248365951636205,-0.08875189968326032,0.1129022051793027,-0.03613582979209441,-0.11396634946424945,-0.007287559931261844,0.020831851561399804,-0.16938625841976512,0.21917145437225138,0.09857874984809913,-0.17784270290870688
SC,0.9558737732763697,-0.0170043828525926,0.049059110238611384,-0.028970182875555764,-0.02335161501172153,0.04004485493994274,-0.2560556714466734,-0.011326794281836697,0.028016232877211215,-0.117001795595709,0.06434702230719182,-0.042444497797439695,-0.016245596379429787,0.06073198279330484,0.14123568290117966,0.03428529551183325,0.02567791458099953
SD,0.07506562792035021,-0.036059173158477134,0.7819861926899148,0.2585584834550782,0.16718364883711678,-0.09151296029047996,-0.3286721965376,0.013177195624694044,-0.2293977852518248,0.025049727721273313,2.7742522903292965e-05,0.023268058326773106,-0.2762246300268028,0.029059359476498885,-0.06074226811981569,-0.19489295033880574,0.15659775686897195
TN,0.7997419420986652,-0.06786324526059304,0.027422797431047644,-0.11571771505262232,0.19229558043415992,0.06585834861329197,-0.4703149368258954,-0.05509771141644506,-0.14033932703490395,-0.029648113429084248,-0.12329113665134421,0.020065688919624357,0.022025210597601118,-0.06172459235009305,-0.21593485135709214,-0.06466199097075438,0.04526269308168926
TX,0.9568952090385515,-0.03314784890378911,0.07707064267102447,0.07999072280954807,-0.03990269236675397,-0.16332955677366587,-0.17228213428839248,-0.005762497542737477,0.04560786784497409,0.10520507835130018,-0.12004955263736385,0.04116037185266218,0.01929691314926689,-0.10786562528126586,0.02241125657729347,0.025152022761851647,-0.04071499224881112
UT,0.8407861833393928,-0.10596299136929925,0.06896138775119345,0.008084666522721,-0.12468764653941161,-0.31940854401415253,-0.07982589043749513,0.10196168728083163,-0.0034048565332043894,-0.03997833701267849,-0.069868049469059,-0.02822262425212031,0.19919770945327003,0.03199075528058366,0.15114050600693762,-0.29253088142369577,-0.11736899051684449
VA,0.8950976382000349,0.013602564058518547,-0.18363657725358262,0.12480473026449446,-0.14309691594680551,0.05250022886389242,-0.1288670146402579,0.03235743065411417,0.1029027376831375,0.09961765177996365,0.08179678869375562,0.020781929678257673,-0.032156793488029106,-0.007200567116241532,0.225275043230733,0.2449713856326211,0.06502253153903839
VT,-0.7798212166235592,-0.014321037289549874,-0.1563375077244482,0.038445040902846214,-0.030101076801478423,0.16258562649530162,0.3786561869594966,0.08694016861414434,0.16344390044416354,0.005130600691341129,0.08732518941735018,-0.013228591673332676,-0.02275460271049278,-0.10108411488895669,0.26854213095829177,0.27656481463368643,0.12240156325779876
WA,-0.29898071069851284,0.032760609479347835,-0.07314269512265434,0.10032201430319346,-0.06228520915440767,-0.019959589328884014,0.8748477109419737,0.09116435645574535,0.1453948231659529,0.11201378998073022,0.06326598278124217,0.04669073695562879,0.011583587905526802,-0.1408761069047748,-0.22018554476467905,-0.12056205899775387,0.1364351811217819
WI,-0.39085836390625034,0.07626587231184809,0.8396787121333229,-0.10990716137083813,0.0015325894412030379,0.08217659687632728,0.1556464952106034,0.0339042855242812,-0.018568835692858818,0.04096501227135425,0.08580755087770935,-0.11130139148913097,0.15089296821296597,-0.09239776265532494,-0.14761267901084538,0.1927690549592043,0.0537408085422776
WV,0.23554362749431,-0.13889093740368696,0.08888695307592305,-0.10728021020318303,0.3796606134134565,-0.12433244133037734,-0.7161713045762073,-0.033458632513530345,-0.1937557262277562,-0.02513658206029741,-0.21601842430867368,0.20235584696917014,0.057092924256248685,-0.1354276285803075,-0.2707774340322327,-0.18091025153370546,-0.013337137172198617
WY,0.6460573821402777,-0.08193627686489321,0.287606716315772,0.13525213271831837,0.26948287767544626,-0.3296255696928727,-0.32175153827792674,0.05427201764412247,-0.1170094890739056,-0.06412796158405346,-0.15314270999347765,0.1192275154726321,0.06553376373519446,-0.006859655860695879,-0.15221709870859512,-0.34972053564417077,-0.08833040814810665
