year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
1960,0.03122434162147087,-0.20356793374074117,-0.5416491755300051,0.12969939127399094,-0.13574356371860402,1.3297196675678773,-0.10621299280265843,-0.6833844016248753,-0.46065347002174883,-0.47256201567310785,-0.07559268263941407,-1.59594124649171,-0.711018677510269,-0.06622993056529666,0.582014195998851,-0.03563986905134665,0.4873839280279279,0.17396550162090124
1964,9.115424588957318,2.0549070920451373,-0.9469020338033697,1.0032979030038314,-0.22369018940005347,5.943288318512504,1.8046414272607312,1.0920425275529237,0.8783140965232589,0.2899359640755219,0.2515331649419644,1.7203217417919028,-0.14287598066172244,-2.0439979332884026,0.35568609770830273,-0.07737327520066109,0.23201694485474816,0.13168175471076937
1968,0.3974624041443964,-1.7847501038988325,-1.7194880727698056,0.35995104745514866,-0.22809008141118545,1.665497169391403,-0.2890316313740055,-0.34127646902420816,-0.6113778482253289,-0.6164348275955133,-1.1463840082723817,0.4540937961171737,-1.1150578358398016,0.13501982825417178,-0.14439705600353053,0.07926574547212158,-0.3397403162939255,-0.3062149615687241
1972,-5.043692414168619,-7.430864226737784,-4.890961235652888,-0.8018739561908718,0.2510617095871185,-0.9833486186909451,0.7151286592806099,-0.3245423555702791,0.5441536731116039,-0.8625574201231359,0.760056866275731,-1.1789908306759622,0.4101406077771306,1.6270762274539932,0.11154385162943314,-0.4787673891411095,-0.28417688376220385,0.1898663798052502
1976,0.14233479339606106,0.4844084924946076,-2.1817299005096116,0.5758017308646142,-0.3302832180232421,-0.5660572604956924,0.46118962905872596,0.08599544090762049,0.26840419870861937,0.5378085312876679,-1.043071165989206,-0.23060314956433256,-0.06620881151056815,-1.5174247944814092,0.3454512328011715,0.6563872458830352,-0.3371973141502293,-0.4954952410689672
1980,-2.7231727508918357,-3.239655645160528,-2.515892360042166,0.29427880141757135,-0.22533929163151326,-1.2730662081249893,-1.5391420079448896,-0.45798344498174043,-0.7588576317580185,0.799100746194532,-1.1985730492386062,0.362511590006866,-0.2542476869733021,-1.2087986208428705,-0.34946202470101156,0.5766103855889508,-0.05859603817448794,-0.26062418195377585
1984,-4.455093437980954,-5.713244287597515,-3.288825372131778,-0.7195106000785909,0.18672862111191996,-2.4496638365570726,-0.3847130041413509,-0.48869345218748167,-0.47356927195515336,0.16499811583245538,1.9970456731905968,-0.27786066486726835,-0.20608986445134442,-0.3066674257150231,-0.10015364478277365,0.37204109288723825,0.37006764414227866,-0.20447346323149548
1988,-0.8276952673250937,-3.191562730445735,-2.6645390810568133,0.04733754026873047,-0.019794304937565753,-0.7336471282939568,1.4147370761725977,0.5081074157806144,-0.35577898015891374,-0.2739213116872163,0.8036718985291763,0.31771519416724237,0.1850746760455841,-0.6277454364695084,-0.8465318414178796,-0.3494230152982797,0.8367054811447125,0.013712529337373757
1992,2.7809558072778713,0.023560630152154864,-0.11013180300125663,4.379257620199823,-0.42835916314290334,0.5616590924865246,0.5634729438548594,0.8172110142875613,0.0671124738672881,0.07556668616344424,0.44926121038509814,-0.7692691460990642,0.4445733257643457,-0.32454206804443714,-0.3619681771195782,0.1231150585061924,-0.14914961631083515,-0.03370807853170654
1996,4.270643285307001,-0.25414677331176994,1.1572493187524862,4.194726456032233,-0.9186248304712404,0.17164821843483002,0.30348002103950744,-0.2880983969583167,0.4892639056065725,-0.05437723766336924,-1.2195329179954841,0.1656198781589489,-0.497591430007306,-0.19439701588959785,-0.3807501817193583,-0.09778472797906777,-0.16384910283411683,0.20101050093038766
2000,2.148317552177983,-3.0578379941448004,0.7007260696881362,-0.6831066809110249,-3.0992987336479545,-1.2403302242728336,-0.8842169684836587,-0.42039285335921384,0.2426658205512884,0.5686218428670273,-0.2362026978138572,0.3087295242108081,-0.49862086358347374,-0.13242751056623306,0.1898659471118911,-0.054356371536968144,-0.4566329243908755,0.29521487054005396
2004,1.782925436561395,-3.7501019586264652,1.140686250202448,-1.7637130509123076,-4.2105058159494035,-1.0813050538995113,-0.579315700749886,-0.10671108045459621,0.3105215506125735,0.1594081635911782,-0.6114286396508732,-0.3828920282500221,0.10231592548331662,0.26814285227078855,-0.04903890413012368,0.008734262006819149,0.28534173148491726,-0.23835314369118932
2008,5.1488420152508025,-1.8221170709397527,3.1927327522238187,1.696534045041603,2.4086279969416204,-0.3211431387408885,0.5524960044358422,0.05794113241571643,0.34317199090155553,0.23762679980143903,-0.4710799036601921,0.9575974710812287,0.12960594283383164,-0.002303430855230522,0.8586452659336112,-0.1816441410654179,0.41046585107018513,-0.09220015482187652
2012,3.963127884826827,-3.0653859372057215,3.1512338094514427,0.1563943170382125,0.07977673636976454,-0.14689153912129768,-0.17643769939707687,-0.09992766214696637,-0.19414501557539593,0.6630278058049506,-0.44644279473194076,0.9107741744832156,0.31078804695072665,0.78543110435692,0.4187163583811461,-0.29049368743899745,0.17372092029641142,-0.3934187714708993
2016,2.4825504746920575,-3.536350668103703,2.8217470260070057,-3.4583253110772643,0.6214626095165207,-0.2878337070267983,-1.0663646296499494,0.047841499484141035,0.18108896066856395,0.3266513554106596,1.0084007330655367,0.028497798903761282,0.32618352738308437,1.320228228332248,-0.07383538472786186,-0.19946189047897558,-0.20030465739541045,0.11144019035885754
2020,3.597593792581185,-2.9917405071712984,3.207677246662131,-2.6511300617462092,2.8540357876638525,0.20833852732263258,-1.0484999147689906,0.40969276308815367,0.3557566338474211,0.6126732488056563,0.27576657987709136,-0.34398003270617555,0.15140483736066082,1.0667905647868643,-0.27331007585065875,-0.16440928800911117,-0.25154143478126484,0.06752808511990088
2024,2.215791166752477,-3.8306854019538767,2.658714472989853,-2.4704642742886675,3.1003963072396896,-0.09363819698897044,-1.1525477559402022,0.7017718082488232,0.28101963208566916,0.5100711367913071,0.13794637172219298,-0.5770267232085499,0.3496568835746751,1.1669953464977643,-0.48104259955663364,-0.14879027445459542,-0.27907695369854824,0.14989901730711314
