,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
ND,0.5092936538470453,0.5756590865319873,-0.20095845230015064,0.1317556503536078,-0.00819525993741334,0.06668902228428505,0.6047954613589331,-0.031870104937589426,-0.039989951076043286,-0.03745516159242133,0.01593143540028458,-0.010278165336117393,-0.043761899848549606,0.00931560675639809,0.031816615710556405,0.06289398624171452,0.04746203853506224,0.04227682579256332
NE-01,0.035958928452225675,0.0683931841958745,0.03374653289377457,0.646915975902572,0.7718836796197567,0.07254595377210055,0.04554248252023145,0.033165909588024144,0.017486214419416696,-0.002569258559812664,0.0016357239213117326,-0.02522832059925649,0.0069124350222111745,0.003251201182818618,-0.03539732779914109,0.00453726262437629,-0.009733451615513863,0.02278397580549781
NE-02,0.03505794792301815,-0.042348354789908435,0.165337135873461,-0.34077923512462455,0.9355316618038965,0.08293456896380098,-0.023496247499077128,0.007512842179688093,-0.011363700116168758,0.008393775488003078,0.023392824077284248,0.036155368903100955,0.005679457810377061,0.029064104423486566,0.021372207769041366,-0.00495724200567426,0.007090384355742706,-0.012700170771679623
NE-03,0.01239789580508547,0.11109585137668554,-0.09601661930711415,0.9989031157803772,-0.06629701730624002,0.0016208750833465813,0.0894291366041915,-0.002906130522478531,-0.00432860122483261,-0.008363819538793046,0.026754198304498163,-0.005020362331397359,0.0020546018960263617,-0.008437935488473745,0.008113880768974192,-0.002921820020254615,-0.005887872308205936,-0.006487154592977606
NE-AL,0.3903753979365327,0.7458689245377925,0.0859896286984137,-0.007981485290590052,0.11446130476187423,0.11833346166321831,0.43250075531162,0.273333531405283,0.005776742202469585,0.104921013774136,0.0441398313933433,0.05067374573807055,-0.01874292180523727,0.04053045774448636,-0.015079850969318001,-0.06037156512513556,-0.00974381721574482,0.0680006671722738
NH,0.799850325068536,0.2727712535437037,0.3604732034497552,0.050690641608087124,-0.02764416439675015,0.2934277362161298,-0.04948261094673142,0.04417404368942921,0.25599971643499947,0.02907641907806614,-0.06195146632939423,0.02976579055460714,-0.06110080005959306,0.13221281590596493,0.03913729814504802,-0.029321618532885643,-0.011173605548681544,-0.021392421620648132
NJ,0.9755372864364866,0.04024212681471647,0.197360296168764,-0.013575353059998827,-0.048590586609627964,0.09930423023072349,-0.003918912622097444,-0.06808319302774267,0.04278508903921546,0.059248509151162726,-0.012943988900614455,0.029612044113192335,-0.04485180039513235,0.0010911755020214442,0.055704729232245224,-0.008837032392662572,-0.022222278414667136,0.10524252124244968
NM,0.7011217447200924,0.5532593730886964,0.34140926951234535,0.0074838036584762985,0.0876763712321234,0.057437650958807075,0.13814093094171342,0.08095035417266506,0.08760718889402959,0.11474152470490057,0.09440345651239399,-0.027535703319596202,0.10790526054738019,-0.06443229633508496,0.02211079764076095,-0.18919696532554472,0.006171569291806389,0.01319278539560503
NV,0.6299879174975856,0.6751650776044147,0.225600865254302,-0.034131924200118645,0.011426372835237425,0.06793470329552345,0.26068763208349466,0.034863646122409116,0.02585287731635784,-0.01565857819319966,0.0263944571955898,-0.062457011730703414,0.06971557541027414,0.1563267397701355,0.13319954019273963,-0.01309225385699952,-0.009982697053568525,0.022231950492756728
NY,0.9532033248412505,-0.10142838566071136,0.21321624932253905,0.04649084821781213,-0.07777733146585371,0.045867771543476314,0.11771185263560664,-0.08365949987279367,0.023324533135956855,0.11412409463449232,0.004929358688135104,0.06238927040383704,-0.09287078168873586,0.012121694712149186,-0.04464469927695676,0.02435108391269139,0.02218919768109999,0.09277426784900294
OH,0.8485359358586649,0.383898969303158,-0.0802026216716642,0.14570175780086492,-0.09015285397250859,0.13505743219144775,0.015734112858092144,0.21988925012936664,0.028138821635806853,-0.07234372793129366,-0.050302128860001884,0.10826297528364189,0.022667466919864505,-0.0730529640472356,0.17578021427511348,0.016649101260566283,0.04441813732313476,-0.009583176456567307
OK,0.054894155344539584,0.9410074544195683,-0.0825432239182392,0.09337212306398995,-0.07045832299396637,0.10338482986109981,0.15846100953321657,0.11429989688992394,-0.01747104305194082,-0.012564031012378084,0.0015329188484201504,0.0433776423004944,0.029601590264478304,-0.22571424248412597,-0.060125057842778204,-0.09027426966913121,-0.0967795836572656,-0.014301013756346384
OR,0.912419257895114,0.19818577480620825,0.0471261523090182,-0.048973075543720795,0.12463627601812238,0.011099674635081972,0.17294291687089067,0.1192789445731732,-0.012012994882937224,0.07656927083739293,0.06912615562440641,0.005222552889840532,0.28590910190609303,0.02768645318592145,-0.009279580983421708,-0.04258160095193668,0.03841856977561755,0.014266915274888837
PA,0.9534760662434884,0.004624483724727008,-0.10489471821596953,0.1187459832818237,-0.04219882753530259,0.11367062642488686,-0.051766611961306636,-0.02689516342654911,-0.08982010751727319,-0.1336970737501398,0.043330605061065244,-0.0030119197451746217,0.061593641840228655,-0.1827273317800845,0.06902840405192912,0.08485071360554922,0.04710463155692566,-0.031169238457920183
RI,0.8997963449644422,-0.11690322248901995,-0.01779173892418454,0.088178345825893,-0.10152487143999261,0.302288098383882,0.03014164411415958,-0.1433740475020831,0.005645713057372242,0.02157464246927732,-0.08545616804988117,0.05520366291113804,-0.22725966594695168,-0.098506086205004,-0.024622838466674388,-0.06340629998947964,0.04425621827667141,-0.014587091407885017
SC,-0.36751782176540615,0.8926884942053498,0.13372634218831417,-0.03905766031147466,0.01421975732117014,-0.046341796045384534,0.04457487779424617,-0.06137267666484063,0.055272155419039036,0.0709816530726535,-0.04506134884706956,0.07833953635936322,-0.008932626272142129,0.19592092344465267,-0.003982291594627196,0.1156397315501811,0.06828668530885255,0.0250173537707343
SD,0.5112245537057173,0.41886959164744214,-0.3049642251891661,0.2169212636370982,-0.011530806692842423,0.0798154559319739,0.6531510395202653,0.1047742932740761,0.04263030248884777,-0.031079505285559365,-0.029099893165254565,-0.018885801155357207,0.047024065805942226,-0.018497102176027208,0.0067616550771604665,-0.022083553312096427,-0.053738324453824045,-0.06001797399884761
TN,0.07978736325436882,0.9381882211763187,-0.1319846102688228,0.17620300157305424,-0.14754338789065813,-0.0072984450828227935,0.02118896238661856,-0.07111664484794764,-0.02472250899794994,0.04790404572291835,-0.018021060814354516,0.04464168067714235,0.04138946707916358,-0.21301529219247947,-0.016259961083608748,0.12442482009965466,-0.038348129721192975,-0.004330609605637559
TX,-0.03990391500004219,0.9870989102988342,-0.008287592314299805,-0.05390071267806995,0.06329806836483153,0.1044450752923662,0.03660354251563034,0.06922923077219198,0.053730223385407026,0.08061453904251889,0.037126102175251155,0.06412389738117129,0.02075362626991017,0.04373448472485509,-0.008646975626971577,-0.12927318332167367,0.012209331857306122,-0.015239622673344506
UT,0.1740537723676143,0.8983874987207989,-0.0025541515605904393,-0.05710507659160887,0.13957659830983243,0.2443009282276205,0.046040495463395004,0.005673580829696583,0.10052638778259365,-0.22113848484271864,0.12847744999475016,-0.05426753483231199,-0.04811919619037312,0.11062966191728812,-0.03156191268962682,0.008184469968877029,0.015001178489585362,0.12787542060700602
VA,0.11989664664918812,0.8822269596139104,0.31380125593136277,-0.11395555721973646,0.11866192911512545,0.01208044886141297,-0.07474888628069873,0.11845517478594826,0.08787239729588579,0.22846031024568708,-0.010516520613437412,0.0817594810147554,0.05520806962155503,0.1461203389016788,0.04470949105123103,-0.052734014271796296,0.03500018848165598,-0.014713131548529497
VT,0.8763419211666399,-0.37785378795346947,0.24502185051664016,0.01145127211442521,0.07352465810944762,0.0008783694377746927,-0.029793486554914452,0.06012312811423642,0.09841598477906552,0.13888285336508827,-0.011377255423502899,0.05411099953422977,0.02356342404763169,0.07380774020563179,-0.07965317895608118,0.02612451478071249,0.06160952296937447,-0.05890885813081629
WA,0.9348497873261886,0.24644666350391045,0.08649203724927806,-0.0604272844498983,0.0860209472872414,-0.03643708014150528,0.048531175585534075,0.10308252849490775,-0.08866792928490817,-0.13730932017028957,0.0800340403797291,-0.03185402593704803,0.15654900406683483,-0.006080155676805887,-0.034742096837222826,-0.05618220432603608,-0.040940137235153495,-0.04577342396908778
WI,0.8586518917776123,0.22330158749228005,-0.12731467935256507,0.03481867021553393,0.036044226190575825,-0.06669615247916087,0.4224821455498679,-0.08383448676603514,-0.05033082341558128,0.07605015293719548,0.027978567770294168,0.00019506846873994092,-0.0271975623287526,-0.04109877317598971,-0.07075691267728801,-0.033337898922290596,0.025633694647735863,0.12167427443162408
WV,0.17319486187519526,0.5643455599549438,-0.43028320144881954,0.431685692146656,-0.24633153703150332,0.23351557564141007,0.034439141434080944,-0.028642901405709815,-0.03725705787034687,-0.03820029608673424,-0.07541193798171451,0.0731465197137843,-0.07245246473986726,-0.40464158945920964,0.006827216854318394,0.02270528131534572,0.08762129910285901,0.01081458283637272
WY,0.25754701763263776,0.8190301052945056,-0.24933310374187956,0.23153420454069626,-0.03907373288547861,0.23398814523363726,0.22185767356075403,0.12263915901824123,-0.025147272702932582,-0.20900535454386643,0.04611478560123743,-0.053631072781658025,-0.013035915419243099,-0.08569862990231908,-0.002447168408136588,0.028194197635229245,0.0500741202438216,0.0116872832949888
