,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
SC,0.9559369884442643,-0.017222630873359138,0.04790552210951588,-0.028688347597515835,-0.023595280663411464,0.03997962432409832,-0.25614224545749326,-0.011138265430708286,0.027059981329505274,-0.11927858195436508,0.06357415894228226,-0.042315171632325954,-0.016221563236556966,0.060780712074010854,0.1400638677857146,0.03289629908034138,0.023810361421048542,-0.009458964610231825
SD,0.0760684949873847,-0.036062636082948296,0.7817845159317991,0.25401470605361826,0.1692464927047385,-0.09568190112782218,-0.3272319604545822,0.013742506787901195,-0.22366123072826052,0.026445901217466008,0.0025399806238231427,0.034640211310721314,-0.2912809426463036,0.026053546087252192,-0.06140180040014543,-0.19052466591337006,0.15046335211470277,-0.044990753992934174
TN,0.7990032494336172,-0.06551651120649875,0.02683171785329413,-0.1131049978516904,0.1917241044587506,0.06715502663379658,-0.47178421683023763,-0.05536255653639259,-0.14169477486410498,-0.02984112039052353,-0.1238206181592008,0.019255091269584988,0.021126002929776653,-0.06197309546802536,-0.21595768072401353,-0.06604174148900155,0.04549260842896708,0.007873102824017004
TX,0.9571417024916432,-0.03402974563390137,0.07655677143417036,0.07975891115646641,-0.03891944297387985,-0.16391383709122856,-0.17254117986342288,-0.0056684406355708575,0.04647959620348257,0.1052868279331022,-0.11957137519407694,0.042140619080707924,0.019350253676796884,-0.10442015086509196,0.02198761548770819,0.02303655827525766,-0.039387658224255086,0.0263340725200866
UT,0.840814502937149,-0.10864253949116687,0.06853018034244227,0.004640377034538593,-0.12231109442926236,-0.3208449553777046,-0.07960817345357082,0.10235293668540331,-0.00200864332254629,-0.03719324489308735,-0.06943678498470257,-0.025163258265961358,0.19019132640269917,0.02072212874286654,0.1498467597370151,-0.2945564473441629,-0.11958472796057874,-0.0577949787672684
VA,0.8959359876978343,0.011500222771798099,-0.1840120151298898,0.12291056621739709,-0.14254961432573932,0.05058795530974459,-0.1278755383361146,0.03293437127168729,0.10423311944249201,0.09702388767376137,0.08260839642527945,0.023651716936776666,-0.03184553330009602,-0.00531716479544527,0.22435912699192628,0.24523078717396277,0.06427175280820951,0.002352747846041431
VT,-0.7789394941465898,-0.01462324433149301,-0.15488792925948075,0.03732823372513003,-0.02984249190092644,0.16166109023703626,0.3796280781365839,0.08679403260043107,0.16416330130976003,0.003217256969876734,0.08720397561143646,-0.012408107327185836,-0.020709153877281058,-0.09718520339087819,0.2692662563920749,0.2782928536448564,0.12385290608935103,0.02238250313169235
WA,-0.2992173906738308,0.03521321474530554,-0.07304453302718789,0.10101155972147764,-0.06221783104477158,-0.017408216971759156,0.873990347110782,0.09044327301676948,0.14431084060873078,0.11132292852335599,0.06232926359723964,0.04044895811288395,0.01664162446541862,-0.13452769859760244,-0.2195588640627774,-0.12311013333816152,0.14146892664594424,0.05094902118385494
WI,-0.38939661456003805,0.0735303052358821,0.8421736104477568,-0.11186581827547233,0.002802609386320023,0.07847188487542227,0.15572816945808726,0.0340505078007722,-0.015665704802654286,0.04346626591504294,0.08562918288089971,-0.10897911897615424,0.14262374030399155,-0.09705990966787148,-0.1469228020762597,0.19414446028927682,0.0531651278360495,-0.030654342813194204
WV,0.23323882389401757,-0.1294277443145736,0.08661100221502158,-0.09346311274670323,0.37577741831113654,-0.1144293449817467,-0.7197980490265343,-0.03516391593162802,-0.20279235984996485,-0.02811078674239094,-0.21910080871891077,0.1869478082999222,0.07510788772227006,-0.1167313649537089,-0.2676756548271094,-0.1901242675738172,-0.0036968629984530524,0.12188630723605039
