,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
NV,0.7507163992720375,-0.32057084683603077,0.34718575396299195,0.06980921477507204,0.05890633376415514,-0.24709531678643878,-0.022507973145850537,0.22670748782404612
NY,-0.7402383370711885,0.040548539750882996,0.314767636194075,-0.15184929551444643,-0.29017210992796766,-0.43136832251094626,0.2311197356886707,0.1230754924307164
OH,-0.23578361028239686,0.1541418835908747,-0.3062473944433234,0.35335219014940666,-0.058122392380023216,-0.05586861416021978,-0.7780146033217299,-0.025208843432021146
OK,0.759366364384202,-0.19754892365088908,-0.5098568922822132,0.10339193983996324,0.10388566882947345,0.2592785359517025,-0.08083759232128283,0.10871159686355322
OR,-0.35754694861173814,-0.040659041911904586,0.5902990459526437,0.5059455867130772,-0.09822289977238041,0.1556347121334985,0.16497093282412476,0.18276746664841492
PA,-0.8492323037107805,0.21939842768781523,0.07870671320611888,-0.16932920968181883,-0.009086548601799575,0.25380818976011954,-0.26840152786420785,-0.04063552933909744
RI,-0.8574329497439506,0.06757456897722484,-0.08086973397142362,-0.2823784273293278,0.12340089936165564,-0.33990849968266174,0.023508854199228085,0.10150677249698488
SC,0.9400739282036146,-0.06817347452715875,-0.29256561450109425,-0.0050989362447704835,-0.025408598881209443,-0.08742539864348434,0.06295300037789892,-0.06285621785703867
SD,-0.002265271442304397,-0.7925275366766185,-0.36632535711980746,0.3477130593312652,0.02800564582238694,0.1361046621907278,-0.03698340297477406,-0.15950313790130582
TN,0.7143953499900205,-0.0889878469597793,-0.6170017619907391,-0.10331767115557171,-0.08723165912280909,0.26303694799695737,-0.08221113631340017,-0.057514121998570006
TX,0.9134957356057792,-0.10195226021157243,-0.27708744363456034,0.11465605762374173,0.18015843471969292,0.04256577880576127,-0.012965547697917117,0.10715345588980804
UT,0.8394739617184235,-0.13728326076556646,-0.12376397565362662,-0.05890337718955024,0.45664565866886514,-0.017360198840865322,-0.07543490478063022,-0.022607818544765637
VA,0.9041773019650342,0.22047562279339714,-0.13645597912385493,0.2371906479575616,-0.05334167379916933,-0.17949819390403893,0.15129091732676644,0.0632222796893133
VT,-0.7250877429564079,0.23447473502276953,0.4735340793798748,0.10099773650405978,-0.2144481650073267,-0.3192113818180114,0.10472839212002157,0.12172033863904372
WA,-0.2625089436511331,0.0661597734179449,0.8620906899335357,0.08663037397388147,-0.003509265407425321,0.310494551647535,-0.149054934098096,0.2169712873734317
WI,-0.4281248317747663,-0.7667955528707762,0.19797637363704487,-0.013943052940634389,-0.16926474977676137,0.08020905038934523,0.3005122342605801,0.000379128085157684
WV,0.10996303996519016,-0.16181545816828086,-0.8827826826307403,-0.09251809452275356,0.056971912090269354,0.27141336529283916,-0.28715527312990835,-0.06506300825144165
WY,0.569259922513599,-0.41049162667533184,-0.46797559551307133,0.04980028056609363,0.33924498005602993,0.22225207230893135,-0.3409432930999466,-0.05187451674995433
