year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
1956,2.286160878525671,0.44893682305686294,0.5591319512911229,0.34234026985321575,0.3567046067566726,-0.2952894302656353,-1.28594782457313,0.2571631171427634,-0.3042934945593715,-0.3610806796683494,0.041820838501494276,-0.25667951888747764,-1.2513456502685307,0.7638199462714718,-2.9632226865603157,-0.5442689744393937,1.275609831586826,-0.6692214485931897,-2.710322685344943,0.7210893713106161,0.07117144120253657,0.42166265020746396,0.10619340546912652
1960,-0.643358720770117,0.39860898981003723,-0.32645425251152416,-1.2946790220106639,-0.02173010668709068,-2.1442833261305543,-0.713429805130271,-0.0593535611952368,-1.831065639015738,-0.2766204519200146,-0.11526547910681713,-0.5983489552420007,0.459045124263994,1.20771170683774,0.06604730368318021,0.46000865074204056,-1.3347677481584703,0.6644376546578193,-0.5298310188653695,0.5395689328663333,0.1967342405103585,0.37209434945442876,0.456887280575902
1964,-5.2729872957095285,-0.25438925258887835,0.7918206262752009,0.8636575451118479,0.32907469038254517,-3.7174341322346045,-1.4444663553984045,-0.05110528083348409,2.0441847862074587,-0.20867338372741767,-3.708089216632853,1.6038066194616551,0.6099832278703323,-0.24403680965153976,1.34020321270394,-0.8592604030111992,0.2793848762923132,-0.026875592159106915,-0.27607648966417614,0.2155844660257197,-0.02308784600476898,0.29264717104954685,0.3097650864980828
1968,-3.010581715840629,0.1217931347108474,-0.13215473283383053,-0.88230587054255,0.09937051377955741,-2.0381129091024572,-0.9043465222896332,-0.07454886172196196,0.15922748904445339,-2.435247219836025,-1.518468615250192,0.5794812508043323,-0.7566999840245825,-0.06855900494832741,-0.47261542496240894,-0.10917415371512397,-1.3327469136414045,0.9899799786590836,-0.6485060811257483,-0.6885123666057801,-0.0283741791240991,-0.43123029962820947,-0.32658990601634247
1972,-3.861706747209841,-0.40001661420438483,3.3606742241824223,0.4499065978961733,0.036215020722238096,-1.9290315448449136,0.48621044221417026,0.12527884761990732,-2.4974415016149245,0.05830471978843088,0.8552309866402034,1.5074624571039972,-0.6195979434659246,-0.24801829997828065,-0.05905978097182512,0.46071972836625225,1.2916550923152716,-0.2458858162089163,-1.2997656317787831,-0.6301440768005664,0.26510041789380295,0.3382822123883502,-0.09906475602829364
1976,-0.5395940199964762,-1.0468382426174614,0.7704974384054529,-0.13269707160580793,-0.12515539904869427,1.479825375743742,-2.4067690266343305,-0.11595265151161666,-2.6090885744854395,-0.7861606475497506,-2.176360087515264,0.6264479906792866,-1.0069946926131974,-0.01885630876902684,-1.8030440158450516,0.10287460840891517,-0.3027779444907177,-0.35880708752379503,-0.13307272724561203,0.36497245163630876,0.022338029731545646,-0.3309817180215303,-0.11242078500112258
1980,-2.5378557450941406,0.7696294605602177,-0.8942861468421313,-1.0801811830263035,0.5979826005054906,0.9858677091134248,-2.3195582892231688,0.10433029850190963,-0.8797736501174712,-1.6610280518299285,-0.5214731687208938,0.8249809627547741,-0.2991287742296668,-1.7491679465949221,-2.6828035625084725,0.4800425602679089,0.09531690713785151,0.22231257978871763,1.1189088133085145,0.0811390810300752,-0.5150885195152919,0.3564404351540082,0.0394768932672632
1984,-3.036336231339083,-1.7819623621263774,1.6013823734221246,-0.36601157801454737,-0.6109465804138601,0.7741918700555169,-0.6550003796383436,0.10015488400186315,-1.5711980949615623,-0.4111009571201848,2.1344825101170666,1.0138302753494894,-0.11384973436264594,-0.633426277233926,-2.6444608396738665,-0.9070258044230717,0.4741068605882753,-0.24203149760128836,0.4690370299423225,0.1451269275974646,-0.027230024931877667,-0.25847444190917473,0.30257578634003274
1988,-3.057566977964675,-2.0085275811218186,3.1381749169672286,1.720614588782216,0.0684594333815774,0.12218740122624304,-0.356375386777772,0.009101608631057816,-0.5001766580905214,0.3902207843942743,0.40003403172581986,0.34125270700615,0.3911156334220673,-1.2106038506062158,-2.1666842185988227,-0.13554586260679746,1.364318107450555,0.9109901054560287,-0.7451975364377756,0.4778489418875293,-0.24853269601090378,-0.03876292645272211,0.17496371670817906
1992,-2.2012070287856167,-1.440604999681097,0.20355027658738406,1.0811613376944353,4.043780260842976,-0.15520119940149094,0.026366872785029,1.6679379961686125,-1.4348586389233233,0.32684959986015927,-0.3781596918185239,-0.31725397873990263,-0.06331775785755131,0.19497852720843437,-0.3664332578128269,-0.17110748354801192,0.24141721891698786,-0.6317067666178102,-0.14924957544473652,-0.10469806533898383,-0.38177466507957214,-0.15838410432424163,0.10964296482889227
1996,-3.6853269599752565,0.7092972920639431,-0.0147844814895533,-1.459780861567361,4.089821993901404,1.4217602068962762,0.2894810043294791,-0.6845120611495659,0.14048664310752243,-0.5066129257007604,-0.7675731166134365,0.09679103532609641,0.23311853387900827,-0.7408795639843867,1.3671572109983863,0.050720923799739775,-0.27978452353252936,0.10667472992841881,0.059163545471027486,-0.21919514648664792,0.31836302880682554,-0.1848354293090373,-0.1399939772716993
2000,-4.731364801295623,-0.20817823228979956,-1.7032634674755114,-1.2146535060600656,0.9054721874500183,2.6963334531279486,1.1585839543577314,-2.5074057302966115,0.05996064767448543,-0.1054409754031458,0.036949805140084745,-0.4611550472451808,0.6585585467165047,0.24155417169565777,1.0796335412612226,-0.3963784650241155,-0.21861274902200156,0.5237277629934685,1.11268859354349,-0.2782378941420648,0.42853531715380994,0.2617885986783014,-0.6917166110383979
2004,-4.699582374420118,1.4834950439467784,-1.0646918554994396,-0.7209435000337241,1.4041495804945001,1.5714756545593525,2.259315334763586,-2.8777722096522522,-0.26665318312520564,0.09524481164096903,1.084051616000471,0.6074512785390814,0.09251261236811385,-0.28152016083583914,1.5604533481987788,-0.3336853205590521,0.5390015198282553,0.3012853803844338,1.0161917353099736,0.18279405191756942,-0.38061633039820875,-0.10639421761983928,-0.044589702525011474
2008,-4.67517905276771,0.8372366555889206,-0.40920277350214174,-0.15626086827476104,-0.004955168397129222,2.2811738168382774,2.599694121628408,1.5176768139891381,2.8307355330262283,1.176705977459217,1.0613620667245436,0.5127823406002304,-0.3943764941978774,0.8240437036903792,1.802198965567668,0.6815757786946782,0.7859765236395829,0.1914098741048249,0.9432703388540539,-0.025814539484434483,-0.03234833821899183,0.7485899016377052,0.5385721193402616
2012,-5.0360809611525985,1.0853729456745114,-1.2891090667145584,-0.5907493719707796,0.3053565054524331,1.2800378053221306,3.489792108212153,-0.45357569592767966,2.8724214781913684,0.903739843411681,1.0899909201232045,0.4584988479207602,-0.49403252996160457,0.1892507953865154,1.7164096482675069,0.741793970461553,0.4089182321398676,0.0056308219075342945,2.0557986614967727,0.5526772083852922,0.2718394027069594,-0.23969559768877388,-0.1739347067613405
2016,-3.9079761192549802,-0.5374960575565584,-2.7318924351153346,-0.21102830936758046,-4.0107128075053495,0.7640837726522202,5.090071536880911,-1.581652444155335,1.4338646143240728,0.6581841292329312,1.2511955853954435,-1.6652148511101605,0.2954232266511225,0.29078654710006885,1.3556602051913171,0.6912517619976244,0.04712001967614126,-0.6767393858618287,1.692401063377359,-0.41029840227047937,-0.027485946515436975,-0.284566727322309,-0.24154577828215879
2020,-4.141126728791599,0.6315791455988126,-3.0002241952848236,0.6434792482613604,-4.716653410945441,0.4813576944008985,4.9895075456442886,0.3383353467633764,1.2177651099639284,0.5460620503570034,1.0353768187463825,-1.9164050814930675,0.23669449022780134,-0.05683224638803718,2.0376685522736135,0.38552440902525925,0.4575710840910612,-0.244232411155632,1.8910182228939216,-0.25140176234343786,0.1288562780389837,-0.28511134941473903,-0.007902332502834545
2024,-3.933947476996146,1.4266788032392836,-2.549829418504335,1.372722788977387,-3.7652110031339685,0.12829229615854668,4.958018153279441,4.294586890266369,1.3067556607700535,0.7222903690022934,1.4332046419951154,-1.246508602935841,0.32546460367537655,-0.20980985299662383,2.0035706621981757,-0.0961002962882959,0.8449910931224924,0.03946185059923897,1.9994134706171134,-0.17670359153831816,0.06003628250282268,-0.18823114449347042,-0.3244472405693771
