,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MS,0.943425781577247,-6.53656862645316e-05,-0.022017234130888887,-0.08640054495106068,0.023131203062829772,0.09137872756398781,-0.18057496776981177,-0.004817450646443178,-0.013716745955819275,-0.16359881763919987,0.1723587263641764,-0.10325467503502762,-0.04785543886155136,0.07802910012589521,-0.011513069338588408,0.10639032059995876,-0.013770348983817817,0.07932475454801444,-0.00893336327770371,0.02629726908229638,-0.0045486411630844365,-0.0406052358924545,-0.024250456814769235
MT,0.682381913441691,-0.12144422024768295,0.4520980504132362,0.11770798700436676,0.14553018423387593,-0.28461225926713163,-0.10150880630275018,0.1316161306085265,-0.059276451516694695,-0.028237963322754394,-0.012874907532468638,0.19149475284436232,0.08184374521371698,0.027211712576064515,-0.12312398585702666,0.003103376004943025,-0.0012650461297412968,0.018284077550098227,-0.2907829031819856,-0.003557740043427019,0.0012851313037929267,-0.0011797548016453578,0.24247887073417584
NC,0.9236393876235138,0.039128698668857,-0.18032326467159251,-0.11843283676552704,-0.08517728354306765,-0.0006604414006152093,-0.2411462096672785,0.07208175007493994,0.025589810287363002,0.16004663588944112,-0.06439224805982877,-0.012111231939561694,-0.028761729567842315,-0.028752657477307313,-0.11702290369166786,-0.044634148311081666,0.015147991896177281,-0.015910402338586697,-0.013399624967405453,0.0718408925609539,-0.07475408010664808,0.009304225770308431,0.058507763493839945
ND,0.31088451993980426,-0.00582344964061094,0.8923659033411084,0.056151045086561324,0.15208994575450271,-0.11215987396589028,-0.10737143297539829,-0.0016473137997972391,-0.026479410938754683,-0.07988608465418874,-0.13674498735066093,-0.05032666797736037,-0.007014258919902455,0.1607335473562397,-0.08615609289003492,0.008774404022284235,-0.03383896219948393,-0.007797424654357374,-0.12536559749684295,0.09565176541327049,0.04570533110488596,0.029038427310016126,0.014837419364282015
NE-01,0.027486907096322833,0.012591242573346715,0.002600929947980151,0.14062326112465137,-0.05592700883375066,-0.10506000587717744,0.04091818793957023,0.9965143260844462,0.022210586120524733,0.025864610752144607,-0.003576001043939166,-0.06794590052103287,0.0006418040936374459,-0.0028643649137238747,0.004727563017140526,-0.006388467274298472,0.03494036871350681,-0.003116081428709403,0.011450285137707078,-0.0014490754996994502,0.0014414783429785006,-0.0013073500484313575,0.0004766136566373295
NE-02,0.029241681450391806,0.08727033401633683,-0.10876196754699409,0.09605544016426996,-0.834692659090649,-0.11431668352843771,0.21688750552007963,0.4406541830580975,0.16233354944645864,0.042916988119000965,0.0753004121825718,-0.07836399698264673,-0.03385729918141257,-0.012985221038378398,0.0028050813720791826,0.07960828177727818,0.0388062072033562,0.010077335055759699,0.0640840164532418,0.017079245667910442,-0.01990015491015503,0.023837578179151223,0.03170011137212237
NE-03,-0.012814058943573691,-0.1719119750885058,0.12752101789589315,-0.0017889613067649183,0.9248427448792251,0.02055806957750049,-0.20629967577999211,0.23803822993497276,-0.1069355927808737,0.014118299223885253,-0.07977044320814158,0.03897291286193234,-0.023389787695299556,0.04863347136065874,-0.03906215491594304,-0.004867223677571689,-0.04581758349704255,-0.06461332257925104,-0.051375439718764966,-0.016351066949072866,-0.0003529830489990717,-0.028740531914353887,0.015010904562810005
NE-AL,0.6787838988797222,0.030026377137332826,0.426197827375441,0.5061527266783223,-0.0797756294441445,-0.07955354225446003,-0.2138246794999326,0.06533407546604138,0.11955414730691467,0.10915724245556618,0.026484663853392047,-0.09001164738161564,0.012580923346359326,0.038890823019240246,0.10011913878395137,0.024760847410392587,0.028238129895187977,-0.03394691736808552,0.061838971214572803,-0.01210607441551216,0.136301274644009,0.04101853327466925,-0.019965397048093872
NH,-0.14894463071725972,0.0798337595164607,-0.39774147669250076,0.0323042792053803,0.036502116423688676,-0.05889180023123578,0.06736982108119657,0.013321238783500718,0.19492507882338284,0.12207957602479208,-0.03166573725443307,0.015701495152159427,-0.026984654160821343,0.007400913361798941,0.8783023793093001,-0.009996633582095548,-0.0215224145848244,-0.015970053205006222,0.09588663448327801,-0.004056987995408719,0.005121816668317299,-0.010397835693143738,0.0006863803398281914
NJ,-0.7180207420441804,0.06665674130968142,-0.1878801928970208,-0.22027487857099318,-0.0470371909887386,0.10988208445854794,0.36347213348012125,-0.1422650152703525,0.1719996800857889,0.08418923352421925,-0.06136566711818807,-0.008667353432819663,0.20168761119814785,0.054014751280315396,0.3173743581206361,0.010461848196092808,-0.02398063430712332,-0.003661112635886992,0.252300222361243,-0.042920042084321146,0.10261065606726301,-0.04398174733256396,-0.010007543732312035
NM,0.45361098196805005,0.012556981230754407,-0.1411304213303311,0.2126354792277456,-0.08614633097520402,0.11121732867440041,0.015255778921256572,0.07604334918276513,0.18248730429888435,0.7101895076786382,0.23334114736918707,-0.16061747364526213,-9.491592344827718e-05,0.030264479686273674,0.26509784297580313,-0.002670693739110469,0.15205000947517144,-0.00414218333412277,0.16277306354448734,-0.0018246906838525734,0.0019127563872283204,-0.003690760450808017,-0.0029368562238558087
NV,0.688576189186087,0.1050951638938952,0.2745099272022626,0.10112135470736063,0.02134427223891723,-0.05854462037437446,0.38382587505585763,-0.05429190375450818,0.14427141524163742,0.16363298527970163,-0.059215184108695626,-0.05879986376976546,-0.017934868249383274,0.414684119429952,0.2859476477518273,-0.005380499730108876,-0.02798941347483564,-0.006294684929174807,0.01824800491757504,0.003957231901212167,-0.011320633572540557,0.0031719549391738475,0.015282789405755606
NY,-0.8039884599833002,-0.01443593202108097,0.010239652575170748,-0.1345542491631883,0.041189324258036036,0.2064405331937104,0.21486519590767772,-0.13030194498248351,0.18451386374993622,0.019510119301263413,0.0824651993110244,-0.16667195455644307,0.14719372320267077,-0.005929159519151384,0.2889969225232015,0.06591257938811576,0.020833618800851383,0.011203218095508142,0.28174263200310823,0.014363695317551675,0.031922142151387375,-0.0657457821207965,-0.023675838970387136
OH,-0.1765242213366843,-0.031234280430525736,-0.14725052410271158,0.26309161894748384,0.29189703891457347,-0.07335897521614491,-0.2141213263452836,-0.11600923804026661,-0.02892726925233871,-0.08117757973130454,-0.05983335654663323,0.8634114722968994,-0.003910122606337929,-0.011246184866845178,0.007029529587848425,-0.0005385446062720922,0.03851665161281259,-0.003302531710664076,-0.07256259997087307,-0.0006850134901521062,0.0006032380577125022,0.001411170088725868,0.0025400292428271274
OK,0.8254540645143583,-0.0014974526889604978,0.12363306942362519,0.14502581805128378,0.12061608676377723,-0.06803355900494466,-0.38249035592915825,-0.033164546344927354,-0.021437777620455685,0.11486638383876578,-0.18623047990113564,-0.022381437511652395,-0.004925517081218028,-0.08032939432857891,-0.19018130198854694,-0.17231332354560408,-0.03734207206864423,0.01919735905383566,-0.15324808605584928,-0.015476789891183956,0.04286275124286496,-0.004214499256355777,-0.062292352007234805
OR,-0.35102072822728675,-0.034702209292602516,0.14645132044344475,0.21295216028736108,-0.16476287983984747,-0.017509805783790848,0.5300692448319574,0.14017299481256537,0.04331409320917334,0.22151702644938667,0.1087392537042383,0.09486464342350034,-0.00889068822071596,-0.009851079605348494,-0.04934885894076266,-0.005884855255042383,0.6315694623611755,-0.01138112623985183,0.20632543627718697,-0.002164417445198382,-0.0016975056940092248,-0.0007831902669866616,-0.002332011051149888
PA,-0.8212692562783159,-0.1350778028822923,-0.20455625643703482,-0.22582051732477368,0.10152205453618948,-0.05290627276072465,0.0785809154750438,0.04138117289349687,-0.0875405179620277,-0.1191577474055272,0.01926658392114069,0.25932417216962905,0.039202427771026796,0.037453203353464144,-0.23063739696894806,-0.15914168264874146,0.1285483611467748,0.04347488114385832,-0.12977286880505057,0.09930299468198876,-0.017379056838094646,0.02750664379532164,0.10155854721735608
RI,-0.8607646519895519,0.022055305937929592,-0.040428418158417224,-0.23641378018136608,0.062397582176988896,-0.164688712832623,-0.11182694630196495,-0.08555993455548029,0.10212766046773629,-0.049978709965704804,-0.11906279118990597,-0.0314223446082445,0.04022782859642866,-0.09617810129967451,0.2184528176947146,-0.044714186318925424,-0.14967232329994642,0.2572934937977729,0.0824422155367188,0.010466713375777103,0.0032177517733041725,0.01677677978125374,0.017819859231832477
SC,0.9549479412007157,-0.011562714197829404,0.04983227962276444,-0.029067817913774403,-0.025259469807816046,0.04022192327662102,-0.25553000453900343,-0.011390505151329486,0.024652124778380094,-0.09202385066628761,0.06141416323099611,-0.039578657343979855,0.0028083395883346175,0.04810053685183099,0.1378237895642981,0.08682581862228708,0.020171099568939675,-0.0030613259631971116,0.029418906306231608,0.037077604113160544,-0.05544764542865724,-0.039583494454582605,-0.027656611857050206
