,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
LA,-0.19887146960599625,0.9433792668912768,0.016350463621933802,0.046036076488926825,-0.05528807963800098,-0.0472297278352004,0.06577869800214473,-0.05468429357641851,0.0009598153974278542,0.0653185041804699,-0.03154491335643618,-0.03132674277397955,-0.125147183715746,0.09656715255987539,-0.022622653633995904,-0.18036151438698128,0.009991749905817663,0.012696699142791673,-0.11845216990071186,-0.106984776512712,0.028094375300887556,0.0020270950937032726,-0.008536631736687601,0.03551222245742071,0.016619275081126355
MA,0.9079714587634231,-0.303541654536224,-0.004908233850219999,-0.0211498652580003,-0.028516359138054316,0.2103919678941316,0.07821397408788025,-0.053385167608325186,0.09877022120915738,-0.04325444106605457,-0.05860305373073506,-0.06383474352135315,-0.17709852823629388,-0.003607822463863433,-0.04778235426765282,-0.021600365296061207,-0.009432563355214002,0.0643371231307969,0.025104716868475943,-0.05190246736043861,-0.0005399776623645083,-0.061619573675375156,0.02510856786951254,-0.020656058239353493,0.0032118006710820718
MD,0.8458370779280543,0.15666337061566368,0.3523027902983793,-0.11252347829951716,0.12185540927961493,0.03279502286210714,-0.03098690344074095,0.11206316995380763,0.005567709847337242,0.3517867228251861,0.028205025743415914,0.008366251066539213,0.016289343553819717,-0.016196999743842855,-0.005553782106982455,-0.04694529900080425,0.0028694692074298406,0.013084846381136427,-0.02204352375753603,-0.011692546929335353,-0.004127545735337381,-0.006915379338586745,-0.021892661031835292,-0.0018126214429012675,0.0012364458580543685
ME-01,0.38830456857612583,0.12653912636500164,0.8570124148563574,0.03165215698412847,0.10207952869326668,0.12608066445671617,-0.13503842592504706,-0.01756277306116114,-0.0009809652955418903,0.0151116926068627,-0.26739997217077743,-0.004183763399367451,-0.02449260114348009,0.029079189727782298,-0.019313813602843902,-0.0539990821024079,-0.04938332930951027,-0.024342707753176797,0.05728061209403049,-0.006600656700548513,-0.005088282929879263,-0.06145161616435505,-0.01862280587226125,-0.04363427074981952,0.031484999756869525
ME-02,0.30534248066528885,0.1969503999344533,0.5400348910272326,0.5537742776073457,-0.2909632563809002,0.02274008966487538,-0.017295172845957368,-0.0383909380048144,0.0182296002715592,0.004901168388140093,-0.45123956659107706,0.0682889820645099,-0.02912995678262224,0.010979341552925135,0.010130292722180582,0.0931797393983899,0.008698621146383962,0.008619227927670984,-0.019250270848265246,0.012245719625353754,0.0001516984117452867,0.013541566996689111,0.006792721016063342,0.011659974072249335,-0.009125339263206578
ME-AL,0.9132911705409839,-0.17889832984090104,0.03897733428358871,0.11686629277337827,-0.03472090560946593,0.147769406744065,-0.09327916111984373,0.14170058864307555,0.1977520094529829,0.09908194173532414,-0.13348204631073898,0.11208977694361161,-0.09008033774564363,0.056126721136272435,0.005304713436152119,-0.032785615515428815,-0.003635940002394883,-0.05790365106180776,0.05966967630432519,-0.007970764325652005,0.03443909094097355,0.04953824440134014,0.02862738899354323,0.014061028911045666,-0.023493032111297708
MI,0.9579459444839109,0.008890383053920837,-0.07718085545369666,0.08855917658026814,-0.027624388039689876,0.09353828321823547,0.0895564737026391,0.04156587554477127,-0.0882552446055632,-0.1681969760125164,-0.034163750697754736,-0.01554511924394645,0.053890213297179496,0.051467174696948316,0.056089138431317374,0.09575403429765361,-0.02863199243997306,-0.12949826896491612,0.03574452628706927,0.10196098613780222,0.02135035950426719,-0.016374068390437375,-0.011302687809246202,-0.0008345716267021331,0.003036611383206724
MN,0.8899241272102075,0.11403280828482971,-0.24486422155383644,0.059058675518670105,0.04105391178157351,-0.039934002599205404,0.27849180929316636,0.01503674335015375,-0.10314828170309104,-0.13209967734358075,-0.0052259548912658264,-0.06016911274655373,-0.03430224578317022,0.05755015955059193,-0.022934404834353706,0.143716957220041,-0.011121633293156054,-0.011936140261715978,0.15726745256477984,-0.052305876357783145,-0.023344176429082205,0.01036268120951254,-0.03217813369194861,-0.008276087288395746,0.01087938867033097
MO,0.37383167865843214,0.6986164499611294,-0.0728369039000356,0.2676626359879995,-0.15572970792626792,0.24805510864674726,0.29782969846596696,0.065984987457282,-0.07668627600746378,-0.02689432058651472,-0.04082318702407589,0.05188251058904229,0.018801662036548802,-0.05504665496978368,-0.008614559457691788,0.3556988696056912,-0.05600934069395736,-0.05608354060124003,0.012296534748818148,0.030294846593577913,-0.02356651536384821,-0.030856624848554875,-0.040811238651849234,-0.03980686448661191,-0.008379848678299164
MS,-0.37666832892705693,0.8605897306289041,0.14603896170515743,-0.01191602117571605,0.013667777072448218,-0.1857769935840719,-0.019746511110507996,-0.10622096619202089,-0.09161536016128004,-0.007754294611566047,-0.06936214446439028,0.0018362325266412297,-0.003931328372384105,0.16769589992678136,-0.02651479869219594,-0.17959550901982307,0.02420453356457365,-0.04410525702690024,-0.048468816410650886,-0.050573666414816254,0.024494018777980384,-0.005054849645852523,0.060321161572690046,0.0010731880560692852,-0.015562232519977537
MT,0.478087392856059,0.7686713640421933,-0.17753557204364806,0.14601235497102558,0.07719659985974484,0.10889078685841512,0.26262843151513937,0.08539239293835431,-0.015663489244619026,-0.1702912154315686,0.09038489197217967,-0.026721380277829852,0.050641448793824,0.00558415763402246,0.05678189350778258,-0.006955460101296044,0.15540771204305812,0.007312570241727872,-0.012163329862224627,-0.030432750104483923,0.013198170657478777,0.013431473493338316,-0.0272064397954226,-0.0016424525221606539,-0.0030584906274241323
NC,0.11864955443918447,0.9612844658770617,0.1321625552171147,-0.042656921012159,0.09790589247164946,0.03917508480693437,-0.09649399527663305,-0.06457443571104558,-0.04442719160714958,0.041484235253285484,-0.021341539565446904,0.01123828407648107,0.09787514131999334,-0.07244748609417849,0.01868024465235121,0.13627828820015156,0.02237859132999081,-0.025801353637538195,0.04084932933870258,0.052862887474723945,-0.08397745687940618,0.05513957351466842,0.011718524454641976,0.0015852554409650076,-0.02765380810830648
ND,0.5091798041770522,0.5753853963232285,-0.19897655685719504,0.13036895172812757,-0.012618464528873956,0.06629670297929494,0.6077501311750375,-0.03350183848717747,-0.037267463563100824,-0.03441120705639077,0.017118857622979728,-0.014550067612197395,-0.03326594728101847,0.07284415293465489,0.033985289939285276,0.006095160423923982,0.028529592335716135,0.028940260003816266,-0.043088491736817336,-0.012540932259269739,0.0024312334603802882,-0.0007142374019638163,-0.010258979338225935,0.010213066190633792,0.006794773299949227
NE-01,0.03575598558326536,0.06834316643602825,0.03830759403074055,0.6722457262377833,0.7469050532008534,0.07115730558038005,0.0496585908953922,0.026484977833097837,0.040852711398888214,-0.00017400914927349337,0.004950065278791581,-0.03276819352423538,0.01816116852575197,0.01862625223437264,-0.022760097913034256,0.014375995476202713,-0.0045804804851386615,-0.0237981658771369,-0.014792633964751733,-0.026800664276555294,-0.00928599024947299,-0.017849115352339157,-0.020956815017930945,-0.014423095718479016,0.06586462442527637
NE-02,0.03544416780127909,-0.0421382746491662,0.1600888195408152,-0.3042306606512683,0.9484928484629483,0.08373162969304071,-0.02660019152916174,0.012749568242921637,-0.021888776509929094,0.006484840881507157,0.02189820158762608,0.038852511885043586,-0.0003656503940239139,-0.011947853444826283,0.011267561171058931,-0.045028442658256326,0.004473568604097028,0.011538405495477976,0.007197398085167547,0.014571871691324826,0.005459286577803764,0.008599802485346766,0.01024242272508344,0.007472403740554043,-0.033475917349363865
NE-03,0.012923282714879903,0.11193538750937515,-0.09406935044097468,0.9978101061141458,-0.10378144973352672,0.0037873674783257824,0.08687803004014362,-0.001962786221989501,-0.012055618721193255,-0.008975774805395988,0.018377114108466423,-0.0006997085808925968,-0.0030985876168278382,-0.00706863491536594,0.007382195285072129,0.013957416839792817,-0.0017648895384106643,0.004097523300672953,0.00944200034518429,0.007204159487673535,0.0006134783227568939,0.003989758847309251,0.0034221128269870385,0.001664664692951226,-0.01697718307516916
NE-AL,0.39047982398463643,0.746039267433884,0.08452969040109062,-0.004125137855197022,0.11451552660995665,0.11804589361979421,0.43304245268401365,0.27105300660521625,0.011683069360716083,0.09625535456695618,0.04515690831434569,0.0534222955959602,-0.016645961213429563,-0.03855620986101342,-0.023896713812072774,-0.04499666335592378,0.012805154493591871,0.013627971350453393,-0.026895320939357745,-0.0031660771076774427,0.051924782034229094,-0.031845124622392626,-0.08162666274981059,0.022746917066118314,0.04573540106325488
