year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
1956,2.2769088533839135,0.4338387738414033,0.5558040984914472,0.321407769257313,0.3552975008357117,-0.28531537169081156,-1.2470940273803055,0.28790937246147,-0.3052129448770645,-0.25507300463686733,-0.002674070999068216,-0.22550074088479266,-1.267762584874219,0.8803102817868611,-3.062164665463526,-2.7759923764358914,1.3582867607719353,0.1013901145128948,-0.00471503177526565
1960,-0.6424935123731086,0.4173048768915303,-0.31882826816869625,-1.2938866666498323,-0.02714025100051215,-2.141426367706478,-0.7251936318897294,-0.06491923112830825,-1.8269987170912112,-0.30753584954789376,-0.1033329266545955,-0.6101474853387091,0.5052822735154121,1.2418440711533774,0.11123604988335532,-0.5383087020305279,-1.3491260200433282,0.5973426813786227,-0.8633737773057015
1964,-5.275657018383437,-0.2567202803613698,0.7450681934967317,0.8861616632788888,0.35190334994835126,-3.709712084418495,-1.448331354174703,-0.04679919704612768,2.0660736169061895,-0.11776962569625553,-3.7435540406761336,1.5829188221635553,0.6559003103465626,-0.15517208862842471,1.2664830185840086,-0.3749388367068905,0.38754224032355516,0.5551294619673127,0.4234531938729187
1968,-3.0088318651618704,0.13211779768530038,-0.06609434584140919,-0.9243864549705221,0.06970760546468457,-2.0574890832772392,-0.9113891271872887,-0.07127878125838603,0.11897938977994561,-2.4904377438390357,-1.4676358058657428,0.6374604550179883,-0.7737479027360102,-0.2935000186546716,-0.3395565568660451,-0.5360510781954713,-1.4913670374824333,0.4541637083051787,0.4201767371659644
1972,-3.8672254167799167,-0.26802143606924644,3.386161381399479,0.45191335323024534,0.02176243204404583,-1.9369933791388474,0.4946565790410301,0.11425153211207453,-2.534512047174419,0.12862587001352555,0.8535538951196543,1.5576510295498474,-0.6821661123800478,-0.2506141859411059,0.011960718754521203,-1.2450409186907865,1.2096716705519528,-0.5256764974153848,-0.1301889423294294
1976,-0.5454340542492624,-1.054051832234718,0.774776684395882,-0.13152674310321547,-0.12268209176283815,1.4956569321193094,-2.4168344995535986,-0.11835616060064555,-2.609647614205258,-0.7796449730100312,-2.1900728305360904,0.6052281324327382,-0.9759625488650223,-0.021583343767641355,-1.8142720220131496,-0.14031574562866606,-0.2782473553168409,-0.2694803539433955,-0.13386842237739013
1980,-2.5470998566183223,0.8137840105393829,-0.8746021032907332,-1.086231177095031,0.6036088513176298,0.9772886517641639,-2.3253226430946983,0.10473654897401477,-0.8861072486354972,-1.6635782444470157,-0.5165019477426285,0.8017902179907344,-0.21057438883891483,-1.765910778282447,-2.691435793049128,1.101726123954546,0.1390593315147034,0.09940245096237631,-0.6135112088602401
1984,-3.041952545213661,-1.8130857148472426,1.6076643214160837,-0.3700840278431852,-0.6047662949399123,0.7940270917077498,-0.639378723624592,0.11899172555651501,-1.5813907018234659,-0.3204945555930133,2.084476293938997,1.0455978753776007,0.009274963714853417,-0.5992977874538047,-2.694004452642377,0.3880526113946002,0.5196258410886171,0.30984131795980063,0.5740225076896198
1988,-3.0663439264029826,-1.972273859585564,3.182620554829242,1.727784653453936,0.052025285267157294,0.1347823886402702,-0.37928163982134333,-0.022297394446441555,-0.539298098940515,0.31475319850487704,0.4361428279146895,0.31048366749853284,0.4204087055332068,-1.188804484863394,-2.0715923354478036,-0.7061748562395435,1.3690591299958976,0.954119853404653,-0.28255048744666167
1992,-2.1979261888148485,-1.485768301894362,0.19983472121110468,1.060958194334031,4.050727257143763,-0.16040464628431095,0.04666004131961477,1.691107787814783,-1.4404902130251889,0.3651128395590149,-0.3931944440168747,-0.30704778044951053,-0.060300698369571,0.14774436882476083,-0.39831312312077444,-0.18655570087591014,0.26644172148555145,-0.4260706350359783,0.22042021875892706
1996,-3.687863856643972,0.7449479991187994,-0.016779679197988832,-1.447172775917553,4.081093591990936,1.4248441917825825,0.2694725022390375,-0.6961233892865658,0.14202101232239067,-0.5070273570572906,-0.758565320401566,0.08204751259151548,0.2425285875203311,-0.7116104403790351,1.395033550733387,0.08756977998673425,-0.28228652112156294,-0.1065557819698651,0.16554076169606058
2000,-4.738076219882844,-0.09549321127097933,-1.6989079674924763,-1.1913972294237698,0.896060354801569,2.6978515173344846,1.1264112475661623,-2.5446513846326364,0.04179985539540813,-0.15385631822902035,0.055275460870025724,-0.4976857387329931,0.4840494969814567,0.3325120066574605,1.135471066738403,1.1692663463206188,-0.2052373256761148,0.4430669152631879,0.6174874161712484
2004,-4.686290024654312,1.4235293992611424,-1.090680715646609,-0.7266914326202124,1.4250419015043745,1.5623192468561051,2.2733973106170224,-2.8559547021574816,-0.22688759390220561,0.07770691697097602,1.0838777568028408,0.57825425342932,0.09372329487798038,-0.33584282041303737,1.5435051134689384,1.0275995755997005,0.5468275113413192,0.40422129786105393,0.16064869546897506
2008,-4.661553014863849,0.8594417866834502,-0.4083147598291878,-0.17170047324988308,-0.0023220096195659835,2.2496959496889226,2.637793997271074,1.5424292375531208,2.8261893195832535,1.2551771089094723,1.0515005071781425,0.5882360149027148,-0.331651045889751,0.7700644351639792,1.7993455413623325,0.9646903309975579,0.6841126961879954,0.10119014608624476,-0.9753947629491602
2012,-5.033834697934051,1.0275381561530852,-1.311467779289542,-0.5591295893680946,0.3082999865088641,1.292874246026064,3.4702979765874025,-0.4799202938931518,2.9077684957492327,0.8442556666234262,1.097919198393414,0.40045175936144606,-0.4779581206637998,0.21380226484746065,1.7016204372810697,2.1048988676664577,0.3619341720824026,-0.2568751684609899,-0.7036620367433856
2016,-3.9010159320838613,-0.5843609118897632,-2.726815207191425,-0.22120199055632495,-4.013524727786535,0.7578536518386149,5.089601817483439,-1.5826626787464109,1.4349582640954772,0.6279546936190026,1.2570909529465955,-1.6530825166756618,0.2490137643750859,0.24690386013508653,1.366321739679722,1.7297705050203638,-0.0048826775460463715,-1.0715290448184207,-0.10342655831204484
2020,-4.130435410395383,0.5728909273685627,-2.9974692576917095,0.6284584274437968,-4.725116053261968,0.47207367010335743,5.002252626809809,0.3532677568570766,1.2312603653472631,0.5473479077932012,1.0374064670134195,-1.8802263512719386,0.26889491033776575,-0.09672209723249506,2.034101307529087,1.9287485189750475,0.3742884205311873,-0.5346610226015837,-0.07990122381570498
2024,-3.9295008503112525,1.3791622929417204,-2.5622151596989684,1.3806144130230855,-3.768132690757936,0.1266273848728284,4.959218024325866,4.284272731380371,1.337265038488568,0.6850628404723434,1.4419785809389256,-1.2624509088969433,0.28235227317167166,-0.2192060110631534,1.994271698463038,2.04199318388939,0.7864090049921185,-0.1018576219636588,0.3293035386232904
