,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
ME-AL,-0.7735039899875302,-0.016136809404120874,-0.2092118568654578,0.10148478540916865,0.1115659359533586,0.04079908915264045,0.1596835301460375,0.031247079295882173,0.09095046138817751,-0.14514895132171948,-0.11195962175564758,0.2227731666690352,-0.15035910753403767,-0.2448184966917254,0.3148517355812457,0.2400872007323447,-0.033331487296440254,0.08584325609771813,-0.015728329698615946
MI,-0.783713572567169,0.15449237995571607,0.018461003347015597,-0.03701152836782642,0.17616959235397406,-0.12090506850544291,0.3923766188996652,-0.009289213832106714,0.04837974849447635,-0.10905985149592247,-0.09533921119012781,0.18868192393966188,-0.09382513261526454,0.05163686120836123,-0.2262091577167032,-0.19959021189106724,0.03284497187521375,0.12654111696788,-0.0010683690485800113
MN,-0.6220667058675253,0.0555892447442766,0.5045746414484888,-0.033601484277006814,0.005653713841626507,0.0024984934498221132,0.18702871321033984,0.08456063009626351,-0.17435380196884026,-0.17471382128093532,0.009774955951725357,0.051812365894541274,-0.031236934404607168,-0.19818882872509896,-0.42950907028704804,-0.18363739715342284,-0.08290888922652873,-0.003384763431407135,0.10218952755640429
MO,0.4017703632785698,0.06551477947267997,0.1518476319997916,0.11826870804186436,0.28667524978809167,-0.09115581551968333,-0.7673142909648618,-0.03132072064405876,-0.03263445269305591,0.13759688952102295,-0.07131744589051663,-0.048989191357137904,-0.05874450476104943,0.05731412933245056,-0.2101651968779246,-0.22808541986902203,0.09061044170870726,0.047345463585548274,0.09492237412156786
MS,0.94405030314877,-0.0022769518702075524,-0.017485409190844424,-0.08828382763736871,0.02062895624666001,0.0900520123263321,-0.18095033496106627,-0.005317056071043676,-0.01630959458781536,-0.17767148941462363,0.178075621976276,-0.10079732508368139,-0.05749644071241285,0.0656778217616524,-0.0013102761444556575,0.0038616182471152343,-0.024152667636813563,0.006442742557714564,-0.08533797282731845
MT,0.6838551272996736,-0.1292965544060999,0.4566941816583895,0.11082087406025963,0.144032850927074,-0.28698168070186003,-0.09394254935012541,0.14100631719663073,-0.06379513635757694,-0.006935519482145754,-0.017070987544567887,0.2134021339689109,0.1310791142949015,0.014457499935954372,-0.12269524914077043,-0.30262957686227,-0.014292692820642999,0.045257658029308014,-0.0916144255609942
NC,0.9243205528003051,0.027473807201338036,-0.18395998533018626,-0.11921323014712787,-0.08219824361258747,-0.0004798090706977689,-0.2388428849806428,0.07523194245482201,0.029903243649267015,0.1621036634432663,-0.06665561028882058,-0.014505484865812115,-0.012563164745870747,-0.031763450914009485,-0.13047112831347132,-0.02350895150456788,0.024977225539207518,0.04483561678157193,-0.025374307789550462
ND,0.31058055992344935,-0.004241495955699848,0.8886070268308366,0.06027242234687283,0.15368472936447658,-0.10938917137692379,-0.10846246895394533,-0.003345753943607351,-0.023930999903795557,-0.07830965160723118,-0.1408378974421451,-0.05439596582437081,-0.013727515289908327,0.17788382262146293,-0.08521621310921479,-0.13246316351390658,-0.02460059063238134,0.02799343310304158,-0.051305548069012316
NE-01,0.026839272672124985,0.011152138020632434,0.0026699885116048903,0.14167405711705894,-0.05685884329778011,-0.10441106165684835,0.0406055372238986,0.9945991356798722,0.022844239231435907,0.025431268697412895,-0.003416474476102121,-0.06840721224266172,0.0005078757933534608,-0.0023519832375195984,0.003972782965976393,0.01136484880866467,0.03262597567047504,-0.00043730470662347654,0.006268622219528412
NE-02,0.029621600912584468,0.08380451957858455,-0.10787331490398945,0.09543331798058363,-0.8348526520870035,-0.11492918653228501,0.21782783921001814,0.4405244758499055,0.16367563960404702,0.04192586529516076,0.0757658609082823,-0.07589637051573365,-0.025989914673804078,-0.01797315563397325,0.0026550539308108963,0.06544656624520613,0.032259083178119895,-0.012831327629261025,-0.09160479115404202
NE-03,-0.012986439489108246,-0.17409020277024037,0.1276311817226838,-0.0027139262988138857,0.9245139119946252,0.020591330788154838,-0.20539405463591312,0.2393467645704859,-0.10889191176697037,0.018951293789830514,-0.08111057518570966,0.04060181497853219,-0.02070026400844796,0.045576099588084375,-0.04123513993027736,-0.05465231864682235,-0.045172326009537286,-0.05429994419104083,0.018352767865142804
NE-AL,0.6777666164995271,0.04405630375333799,0.423462881985756,0.5116964184784092,-0.08132146349226348,-0.0780435243955128,-0.21451470487762495,0.06260088729719243,0.11806314964810316,0.11631431565781485,0.02347752531362322,-0.08825590980316231,0.005941094398703734,0.06466947218498798,0.09664147188822905,0.05916989505862977,0.02834524406651678,-0.039113893046022266,-0.0006878286674273483
NH,-0.14640592312889697,0.07444180626531598,-0.4095117514953285,0.03548273788983074,0.0402888553395696,-0.05964725603853459,0.06849523430776658,0.01582450739606694,0.20227485028413675,0.1303042819188966,-0.035927615713275685,0.014867077945716315,-0.030778149932885496,0.003426209270780797,0.8650450115374585,0.09309717357029934,-0.016541031784199498,-0.012933456328629515,0.013235668485358268
NJ,-0.7179958131174188,0.06864840550444185,-0.18795563076237615,-0.21642507261454266,-0.04861511333655746,0.11099266592847133,0.35949986165203784,-0.1458001540523324,0.17295844975966457,0.08081911349958623,-0.059359604799786254,-0.010393108806504875,0.20143546369007614,0.06705376289594712,0.3237524303902816,0.25753866641585743,-0.030587910245679938,-0.04293093159863677,0.043794996659527644
