year,incumbent_party,challenger_party,incumbent_nominee,challenger_nominee,d_candidate,r_candidate,Mandate,Contest,Incumbent,No 3rd party,ST economy,LT economy,Policy change,No unrest,No scandal,No Military failure,Military Success,Incumbent rizz,No challenger rizz,false_keys,npv_raw,npv_raw_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_raw_delta,npv_raw_delta_pct,npv_incumbent_relative,npv_incumbent_relative_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,npv_incumbent_relative_delta,npv_incumbent_relative_delta_pct,pv_winner,ec_winner,incumbent_won_pv,incumbent_won_ec,d_votes,r_votes,total_votes
1956,R,D,Dwight D. Eisenhower (R),Adlai Stevenson II (D),Adlai Stevenson,Dwight D. Eisenhower,True,True,True,True,True,True,False,True,True,True,True,True,True,1.0,-0.15399624704,15.40% R+,-0.04549052587600001,4.55% R+,-0.04549052587600001,4.55% R+,-0.04549052587600001,4.55% R+,-0.04549052587600001,4.55% R+,0.15399624704,15.40% Incumbent+,0.045490525876,4.55% Incumbent+,0.045490525876,4.55% Incumbent+,0.045490525876,4.55% Incumbent+,0.045490525876,4.55% Incumbent+,R,R,True,True,26028028,35579180,62021979
1960,R,D,Richard Nixon (R),John F. Kennedy (D),John F. Kennedy,Richard Nixon,False,True,False,True,False,False,False,True,True,False,False,False,False,9.0,0.001639153445,0.16% D+,0.15563540048500002,15.56% D+,0.15563540048500002,15.56% D+,0.15563540048500002,15.56% D+,0.15563540048500002,15.56% D+,-0.001639153445,0.16% Challenger+,-0.155635400485,15.56% Challenger+,-0.155635400485,15.56% Challenger+,-0.155635400485,15.56% Challenger+,-0.155635400485,15.56% Challenger+,D,D,False,False,34220984,34108157,68832482
1964,D,R,Lyndon B. Johnson (D),Barry Goldwater (R),Lyndon B. Johnson,Barry Goldwater,False,True,True,True,True,True,True,True,True,False,True,False,True,3.0,0.225833671648,22.58% D+,0.224194518203,22.42% D+,0.224194518203,22.42% D+,0.224194518203,22.42% D+,0.224194518203,22.42% D+,0.225833671648,22.58% Incumbent+,0.224194518203,22.42% Incumbent+,0.224194518203,22.42% Incumbent+,0.224194518203,22.42% Incumbent+,0.224194518203,22.42% Incumbent+,D,D,True,True,43129040,27175754,70641751
1968,D,R,Hubert Humphrey (D),Richard Nixon (R),Hubert Humphrey,Richard Nixon,False,False,False,False,True,True,True,False,True,False,False,False,True,8.0,-0.006993770683,0.70% R+,-0.232827442331,23.28% R+,-0.232827442331,23.28% R+,-0.232827442331,23.28% R+,-0.232827442331,23.28% R+,-0.006993770683,0.70% Challenger+,-0.232827442331,23.28% Challenger+,-0.232827442331,23.28% Challenger+,-0.232827442331,23.28% Challenger+,-0.232827442331,23.28% Challenger+,R,R,False,False,31271839,31783783,73199998
1972,R,D,Richard Nixon (R),George McGovern (D),George McGovern,Richard Nixon,False,True,True,True,True,False,False,True,True,True,True,False,True,4.0,-0.231471004197,23.15% R+,-0.224477233514,22.45% R+,-0.224477233514,22.45% R+,-0.224477233514,22.45% R+,-0.224477233514,22.45% R+,0.231471004197,23.15% Incumbent+,0.224477233514,22.45% Incumbent+,0.224477233514,22.45% Incumbent+,0.224477233514,22.45% Incumbent+,0.224477233514,22.45% Incumbent+,R,R,True,True,29173222,47168710,77744027
1976,R,D,Gerald Ford (R),Jimmy Carter (D),Jimmy Carter,Gerald Ford,False,False,True,True,True,False,False,True,False,False,False,False,True,8.0,0.020645336659,2.06% D+,0.252116340856,25.21% D+,0.252116340856,25.21% D+,0.252116340856,25.21% D+,0.252116340856,25.21% D+,-0.020645336659,2.06% Challenger+,-0.252116340856,25.21% Challenger+,-0.252116340856,25.21% Challenger+,-0.252116340856,25.21% Challenger+,-0.252116340856,25.21% Challenger+,D,D,False,False,40831881,39148634,81531584
1980,D,R,Jimmy Carter (D),Ronald Reagan (R),Jimmy Carter,Ronald Reagan,False,False,True,False,False,True,False,True,True,False,True,False,False,8.0,-0.09736615827,9.74% R+,-0.11801149492900001,11.80% R+,-0.11801149492900001,11.80% R+,-0.11801149492900001,11.80% R+,-0.11801149492900001,11.80% R+,-0.09736615827,9.74% Challenger+,-0.118011494928,11.80% Challenger+,-0.118011494928,11.80% Challenger+,-0.118011494928,11.80% Challenger+,-0.118011494928,11.80% Challenger+,R,R,False,False,35480115,43903230,86509678
1984,R,D,Ronald Reagan (R),Walter Mondale (D),Walter Mondale,Ronald Reagan,True,True,True,True,True,False,True,True,True,True,False,True,True,2.0,-0.182164393551,18.22% R+,-0.084798235281,8.48% R+,-0.084798235281,8.48% R+,-0.084798235281,8.48% R+,-0.084798235281,8.48% R+,0.182164393551,18.22% Incumbent+,0.084798235282,8.48% Incumbent+,0.084798235282,8.48% Incumbent+,0.084798235282,8.48% Incumbent+,0.084798235282,8.48% Incumbent+,R,R,True,True,37577352,54455472,92653233
1988,R,D,George H. W. Bush (R),Michael Dukakis (D),Michael Dukakis,George H.W. Bush,True,True,False,True,True,True,False,True,True,True,True,False,True,3.0,-0.077265628707,7.73% R+,0.104898764844,10.49% D+,0.104898764844,10.49% D+,0.104898764844,10.49% D+,0.104898764844,10.49% D+,0.077265628707,7.73% Incumbent+,-0.104898764844,10.49% Challenger+,-0.104898764844,10.49% Challenger+,-0.104898764844,10.49% Challenger+,-0.104898764844,10.49% Challenger+,R,R,True,True,41809476,48886597,91594686
1992,R,D,George H. W. Bush (R),Bill Clinton (D),Bill Clinton,George H.W. Bush,False,True,True,False,False,False,False,True,True,True,True,False,True,6.0,0.055592547493,5.56% D+,0.1328581762,13.29% D+,0.1328581762,13.29% D+,0.1328581762,13.29% D+,0.1328581762,13.29% D+,-0.055592547493,5.56% Challenger+,-0.1328581762,13.29% Challenger+,-0.1328581762,13.29% Challenger+,-0.1328581762,13.29% Challenger+,-0.1328581762,13.29% Challenger+,D,D,False,False,44909889,39104545,104426659
1996,D,R,Bill Clinton (D),Bob Dole (R),Bill Clinton,Bob Dole,False,True,True,False,True,True,False,True,True,True,False,False,True,5.0,0.085208128614,8.52% D+,0.029615581120999997,2.96% D+,0.029615581120999997,2.96% D+,0.029615581120999997,2.96% D+,0.029615581120999997,2.96% D+,0.085208128614,8.52% Incumbent+,0.029615581121,2.96% Incumbent+,0.029615581121,2.96% Incumbent+,0.029615581121,2.96% Incumbent+,0.029615581121,2.96% Incumbent+,D,D,True,True,47402357,39198755,96277223
2000,D,R,Al Gore (D),George W. Bush (R),Al Gore,George W. Bush,True,True,False,True,True,True,False,True,False,True,False,False,True,5.0,0.005160044438,0.52% D+,-0.080048084176,8.00% R+,-0.080048084176,8.00% R+,-0.080048084176,8.00% R+,-0.080048084176,8.00% R+,0.005160044438,0.52% Incumbent+,-0.080048084176,8.00% Challenger+,-0.080048084176,8.00% Challenger+,-0.080048084176,8.00% Challenger+,-0.080048084176,8.00% Challenger+,D,R,True,False,50999897,50456002,105405100
2004,R,D,George W. Bush (R),John Kerry (D),John Kerry,George W. Bush,True,True,True,True,True,False,False,True,True,False,True,False,True,4.0,-0.024631208458,2.46% R+,-0.029791252896,2.98% R+,-0.029791252896,2.98% R+,-0.029791252896,2.98% R+,-0.029791252896,2.98% R+,0.024631208458,2.46% Incumbent+,0.029791252896,2.98% Incumbent+,0.029791252896,2.98% Incumbent+,0.029791252896,2.98% Incumbent+,0.029791252896,2.98% Incumbent+,R,R,True,True,59028444,62040610,122290630
2008,R,D,John McCain (R),Barack Obama (D),Barack Obama,John McCain,False,True,False,True,False,False,False,True,True,False,False,False,False,9.0,0.072728011416,7.27% D+,0.097359219874,9.74% D+,0.097359219874,9.74% D+,0.097359219874,9.74% D+,0.097359219874,9.74% D+,-0.072728011416,7.27% Challenger+,-0.097359219874,9.74% Challenger+,-0.097359219874,9.74% Challenger+,-0.097359219874,9.74% Challenger+,-0.097359219874,9.74% Challenger+,D,D,False,False,69498516,59948323,131313820
2012,D,R,Barack Obama (D),Mitt Romney (R),Barack Obama,Mitt Romney,False,True,True,True,True,False,True,True,True,True,True,False,True,3.0,0.038596856144,3.86% D+,-0.034131155271999995,3.41% R+,-0.034131155271999995,3.41% R+,-0.034131155271999995,3.41% R+,-0.034131155271999995,3.41% R+,0.038596856144,3.86% Incumbent+,-0.034131155272,3.41% Challenger+,-0.034131155272,3.41% Challenger+,-0.034131155272,3.41% Challenger+,-0.034131155272,3.41% Challenger+,D,D,True,True,65915795,60933504,129085410
2016,D,R,Hillary Clinton (D),Donald Trump (R),Hillary Clinton,Donald Trump,False,False,False,True,True,True,False,True,True,True,False,False,True,6.0,0.020990027185,2.10% D+,-0.017606828959,1.76% R+,-0.017606828959,1.76% R+,-0.017606828959,1.76% R+,-0.017606828959,1.76% R+,0.020990027185,2.10% Incumbent+,-0.017606828958,1.76% Challenger+,-0.017606828958,1.76% Challenger+,-0.017606828958,1.76% Challenger+,-0.017606828958,1.76% Challenger+,D,R,True,False,65853516,62984825,136669237
2020,R,D,Donald Trump (R),Joe Biden (D),Joe Biden,Donald Trump,False,True,True,True,False,False,True,False,False,True,False,False,True,7.0,0.044559379173,4.46% D+,0.023569351988,2.36% D+,0.023569351988,2.36% D+,0.023569351988,2.36% D+,0.023569351988,2.36% D+,-0.044559379173,4.46% Challenger+,-0.023569351988,2.36% Challenger+,-0.023569351988,2.36% Challenger+,-0.023569351988,2.36% Challenger+,-0.023569351988,2.36% Challenger+,D,D,False,False,81283501,74223975,158429631
2024,D,R,Kamala Harris (D),Donald Trump (R),Kamala Harris,Donald Trump,False,True,False,True,False,True,True,True,True,False,True,False,True,5.0,-0.014719092972,1.47% R+,-0.059278472145,5.93% R+,-0.059278472145,5.93% R+,-0.059278472145,5.93% R+,-0.059278472145,5.93% R+,-0.014719092972,1.47% Challenger+,-0.059278472146,5.93% Challenger+,-0.059278472146,5.93% Challenger+,-0.059278472146,5.93% Challenger+,-0.059278472146,5.93% Challenger+,R,R,False,False,75017613,77302580,155238302
