year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,pres_margin_str,pres_margin_delta_str,national_margin,national_margin_delta,national_margin_str,national_margin_delta_str,relative_margin,relative_margin_delta,relative_margin_str,relative_margin_delta_str,third_party_share,third_party_share_str,third_party_national_share,third_party_national_share_str,third_party_relative_share,third_party_relative_share_str,two_party_margin,two_party_margin_str,two_party_margin_delta,two_party_margin_delta_str,two_party_national_margin,two_party_national_margin_str,two_party_national_margin_delta,two_party_national_margin_delta_str,two_party_relative_margin,two_party_relative_margin_str,two_party_relative_margin_delta,two_party_relative_margin_delta_str,color
1948,MN,692966,483617,35643,1212226,11,0,0,0,0.172697995258,0,D+17.3,0,0.044823557538,0,D+4.5,0,0.127874437720,0,D+12.8,0,0.029402933116432085,2.94%,0.05375609199235088,5.38%,-0.024353158875918796,-2.44%,0.17792964882205506,D+17.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.13055966613711356,D+13.1,0.0,0.0,deepskyblue
1948,MO,917315,655039,6274,1578628,15,0,0,0,0.166141738269,0,D+16.6,0,0.044823557538,0,D+4.5,0,0.121318180731,0,D+12.1,0,0.003974337209272863,0.40%,0.05375609199235088,5.38%,-0.04978175478307802,-4.98%,0.1668046763006295,D+16.7,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.11943469361568801,D+11.9,0.0,0.0,deepskyblue
1948,MS,19384,5043,167763,192190,9,0,0,0,0.074618866746,0,D+7.5,0,0.044823557538,0,D+4.5,0,0.029795309208,0,D+3.0,0,0.8729018159113378,87.29%,0.05375609199235088,5.38%,0.8191457239189869,81.91%,0.5870962459573423,D+58.7,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.5397262632724008,D+54.0,0.0,0.0,yellow
1948,MT,119071,96770,8437,224278,4,0,0,0,0.099434630236,0,D+9.9,0,0.044823557538,0,D+4.5,0,0.054611072698,0,D+5.5,0,0.0376184913366447,3.76%,0.05375609199235088,5.38%,-0.01613760065570618,-1.61%,0.10332142642037426,D+10.3,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.05595144373543275,D+5.6,0.0,0.0,deepskyblue
1948,NATIONAL,24178347,21991292,2622896,48792535,0,0,0,0,0.044823557538,0,D+4.5,0,0.044823557538,0,D+4.5,0,0.000000000000,0,EVEN,0,0.05375609199235088,5.38%,0.05375609199235088,5.38%,0.0,0.00%,0.047369982684941504,D+4.7,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.0,EVEN,0.0,0.0,deepskyblue
1948,NC,459070,258572,73567,791209,14,0,0,0,0.253407127573,0,D+25.3,0,0.044823557538,0,D+4.5,0,0.208583570035,0,D+20.9,0,0.09298048935237087,9.30%,0.05375609199235088,5.38%,0.03922439736001999,3.92%,0.27938442844761036,D+27.9,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,0.23201444576266886,D+23.2,0.0,0.0,deepskyblue
1948,ND,95812,115139,9765,220716,4,0,0,0,-0.087565015676,0,R+8.8,0,0.044823557538,0,D+4.5,0,-0.132388573214,0,R+13.2,0,0.04424237481650628,4.42%,0.05375609199235088,5.38%,-0.0095137171758446,-0.95%,-0.09161843271660243,R+9.2,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.13898841540154394,R+13.9,0.0,0.0,red
1948,NE-AL,224165,264774,1,488940,6,0,0,0,-0.083055180595,0,R+8.3,0,0.044823557538,0,D+4.5,0,-0.127878738133,0,R+12.8,0,2.045240724833313e-06,0.00%,0.05375609199235088,5.38%,-0.053754046751626046,-5.38%,-0.08305535046294119,R+8.3,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.13042533314788268,R+13.0,0.0,0.0,red
1948,NH,107995,121299,2146,231440,4,0,0,0,-0.057483581058,0,R+5.7,0,0.044823557538,0,D+4.5,0,-0.102307138596,0,R+10.2,0,0.009272381610784653,0.93%,0.05375609199235088,5.38%,-0.044483710381566226,-4.45%,-0.05802157928249322,R+5.8,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.10539156196743472,R+10.5,0.0,0.0,red
1948,NJ,895455,981124,72976,1949555,16,0,0,0,-0.043942848496,0,R+4.4,0,0.044823557538,0,D+4.5,0,-0.088766406034,0,R+8.9,0,0.037432131948059943,3.74%,0.05375609199235088,5.38%,-0.016323960044290937,-1.63%,-0.04565168852470373,R+4.6,0.0,0.0,0.047369982684941504,D+4.7,0.0,0.0,-0.09302167120964523,R+9.3,0.0,0.0,red
