,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
KS,0.19538284061710276,-0.1981130645659343,-0.09761756700191593,0.8719646904905749,0.06792673101558255,-0.10407757853513822,0.1612563892916486,-0.17742226766538477,-0.08968167485114048,0.10335960652063036,0.18612741666123028,0.05422082908551283,-0.1894730898853438
KY,0.4683751484310453,-0.0052480432841599395,-0.12847124803945978,0.03084523581086105,0.1297944904945064,-0.16034488821818385,0.12121134712316213,-0.17920473019566976,-0.08671552680614575,-0.16846651574259133,0.7890180140641192,0.028005931093718125,-0.20023755462161338
LA,0.9178153019243486,-0.16828557611510347,0.0031166583858776944,-0.04075096017844866,0.004531072073686526,0.03564391080160187,0.09718799178443668,0.0411075751722198,0.17571035605689003,-0.007729880839948981,0.3047422302152149,-0.06776398231153576,0.061191277442337766
MA,-0.8867598279047985,0.03462489014561608,-0.05917690390232963,-0.0814785905035669,0.1032537802980921,0.03189129813740319,0.07284274980190977,0.09609445566285327,0.15276833098317488,0.07637091182976839,-0.20970222903790142,-0.05853183767532213,0.3392836780643664
MD,-0.16674959345376467,0.3608436590691405,-0.006914339533520747,0.1889897215567656,-0.15101269809380627,0.13868440246686417,-0.1700372198133142,0.1712812352203916,-0.18999342692404678,0.6931268987874183,-0.34109554285600413,-0.04053426515022879,0.27206125312283125
ME-AL,-0.7346098686930704,0.21086338255082668,-0.3000719513519741,0.08773394341366841,-0.08384740864961758,-0.14305350605755027,-0.08311536939653599,-0.23455214073905156,0.1527549234923372,0.2102530706763805,-0.19611021749004007,0.07847736308281524,0.37216107745142646
MI,-0.7885317303184924,-0.029147781150732664,0.020306707756113106,-0.08653712448384433,0.03608252685167478,-0.17413670963481154,-0.05334917088756766,-0.24416639401635493,0.043659259544856846,-0.24187915068413549,-0.40231965512436907,0.10952031865660666,-0.15821904148961247
MN,-0.6604891310969417,-0.4550305671996413,-0.18014184483664794,-0.0042058160703392815,0.006728621207496249,0.029773304673824153,0.13786726703041496,0.010936796131355023,0.18826347687756637,-0.17533683477520964,-0.2041180013052989,-0.014292274302459575,-0.4369672960836334
MO,0.31580357043159524,-0.1981268673707899,0.05096397080468339,0.10169515854251288,0.024024501380950886,-0.11411855814366875,0.03669885241632012,-0.006745799392304372,-0.21329310345751076,-0.2571976688360875,0.8282630683597875,0.08295668674197788,-0.18387388306751123
MS,0.9352309185832772,-0.01754109947651183,0.034257918422418175,-0.09473611452380554,-0.08064179535632258,0.15582432598130835,0.03348304614352155,0.0646662424778163,0.15502032824152615,-0.027508304106898154,0.22617902484801028,0.10993257809459549,-0.05173423512851747
MT,0.6345298909678176,-0.49984511375378277,-0.009747282894327657,0.10146399303524432,0.31299601857168263,0.009687538866637004,0.059217187302041244,-0.25627362235268825,-0.014637442333591376,-0.3170503283998943,0.1702544848707172,-0.0752613353619411,-0.16822342399761114
NC,0.9039981305612402,0.18775046936708914,-0.025536270077436536,-0.07412045220700561,0.058672467025542734,-0.033945186472500194,-0.044775619448225765,0.062332416644970946,-0.1440136717730074,-0.036132545244480806,0.29419377795359514,0.026988824247805878,-0.18034034748871436
ND,0.26444712008561594,-0.9145436763320006,0.14516199992309511,0.04261286057599362,0.09621840918566442,-0.1473132735248464,0.02338609167256248,0.029932922777152333,0.07312534930972248,-0.13304744350261846,0.15020570416113893,0.03236297872379646,-0.1134614024966271
NE-AL,0.6591329559850918,-0.4298186589777428,0.08383204297087803,0.5340341341644093,0.10149549305871977,0.037676350957302,-0.12482520857439777,0.1140236475847293,-0.10204433477069627,0.056084644004845405,0.21943599465311756,0.005260738597768454,0.05785223281683917
NH,-0.08049099006554648,0.3850470198935701,0.000748837280643876,0.02178974365031543,0.04940893434788077,-0.04670600946512526,-0.17476733266168426,-0.02402927341387344,-0.09226598497355809,0.08008029592454666,-0.09184812035353525,0.029121107281912334,0.896263824427609
NJ,-0.6521464376415534,0.21154881581051493,0.12232637113642113,-0.23914615060213398,-0.13402406676527392,-0.06287983282015742,-0.16586379888588487,0.021485263157770423,-0.03044581854512921,0.27408010152246076,-0.4114336060500437,-0.22462423228374007,0.36498886047149715
NM,0.48984762776776325,0.14434941986061367,0.053456068749462404,0.24964610719767882,-0.11676121995567963,0.23228091423559022,-0.17334528146795578,0.21116961522543518,-0.6650588577108804,0.13633388542470057,-0.0154125778885969,-0.04297033616366319,0.2820284457048273
NV,0.7243576622192185,-0.3076199273145546,0.3651601105258621,0.07888289329903374,0.027534170834444645,-0.12229453375351593,-0.11610304094657423,0.04164973294325924,-0.12279833092458005,-0.05588994526168894,-0.3458691014946755,0.017528031898322343,0.275682291238969
NY,-0.7476182148861436,-0.007863242268526483,0.02260657791546879,-0.1774087369924904,-0.2587131676143159,0.06286361572601423,-0.16252502664115442,0.1265071713091191,-0.007671801609000204,0.31109874748399546,-0.27455693070999854,-0.14976750481925794,0.35044581203601993
OH,-0.20545816007190112,0.10891388769993085,-0.0098066029188049,0.2318922381738644,0.005732807084904605,-0.08533430045618123,0.034338738139928694,-0.9000601134063736,0.05135201393190832,-0.07855918065441762,0.2565731912264025,0.010070971797022907,0.04502762343865384
OK,0.7635909189764558,-0.14487442971291078,-0.07217325832821933,0.16064608792965226,0.03761398324193522,-0.21580016058657628,0.02743428208985516,0.02950074527345446,-0.11889847780884809,-0.22751341525924157,0.4720215322232133,-0.06493420414805123,-0.2125411223947718
OR,-0.3076717597022335,-0.1456477235916066,-0.07873918558089694,0.1983853982660591,0.08298343578254418,0.1031414411895099,-0.031080815856778753,-0.14353853191757981,-0.4857585431775299,0.3521452110388947,-0.6273306444955596,0.17949802761329192,-0.10042767157409978
PA,-0.8276315606711392,0.1980836272363464,-0.05618723841815292,-0.27232630367931965,0.05489601899044076,0.004264337974182998,0.08630621064284746,-0.34194373766262515,-0.02931500117805851,-0.09013718379292555,-0.11310538726797756,0.005463429275940968,-0.2135622823294167
RI,-0.8484218522484392,0.05647398123249158,-0.1326467333222127,-0.2587387502105454,0.1191215812114226,-0.12171296051679127,-0.11455037058557546,0.034527309410878365,0.12042678878863189,0.07392564918186653,0.08065982391218252,-0.13822171718185633,0.3026162966708502
SC,0.9490114691151343,-0.07578162649853928,0.03165001813256585,-0.022125627663637955,0.0004292832119798038,0.07735543597725114,-0.012959581803768055,0.0318590094251515,0.08782196921244462,0.04465299965856224,0.2938769453962261,0.07017456911553081,0.07203482778206043
SD,0.012230865480540186,-0.8066529154531853,-0.017548712980664564,0.2571004966327577,0.07447788814721626,-0.0031312504296649724,0.22496700734359945,-0.0369366957353225,-0.08619554376797489,-0.14522308800536507,0.34657969332106187,0.3037469772403768,-0.08032210277829686
TN,0.7429441329750077,-0.06926699625202018,-0.0698818726703566,-0.12383366314161982,-0.08311000138080914,-0.13463322372204478,0.15402997103143454,-0.06990166609396317,-0.014768984533910479,-0.08657592051344767,0.5623470762988602,-0.000888235418683936,-0.2439712017615145
TX,0.9362633373133139,-0.0868608972442752,-0.09063660854007209,0.10884651983428198,0.18007251388517986,-0.11513471257602363,-0.044437261332027404,-0.005689028650509234,-0.06600829285008046,-0.028556340412124168,0.24155017775898893,-0.07869921236637811,-0.02384492482907333
UT,0.8233784289150924,-0.07914509940400975,0.0424359539769697,0.029192395577176632,0.40908489458523484,-8.239455861287883e-06,0.00013437457217348604,0.04537416326181507,0.07551948555431014,-0.28583441983070756,0.12986779109410426,-0.16389129954545406,0.07103535847583829
VA,0.9183500835736977,0.1803539187573843,-0.020786134691263954,0.1568891198498992,-0.0020058049307252524,0.09259150066350816,-0.09765134157855831,0.015267836567720336,-0.10176475498449272,0.2352278828286047,0.14094378879184805,0.03989814768234707,0.16714629181231205
VT,-0.7131379418482282,0.1675068072530989,-0.14666809550182264,0.023533982730770137,-0.16119273852241625,0.06803534847284191,-0.15044091290557146,-0.007669309038679764,-0.06887522809011766,0.29994085684347904,-0.4622618690112909,0.034333292636289925,0.29880222486750635
WA,-0.26127352920146746,0.07620107032992807,-0.13420324056922717,0.0773362856735422,-0.011709884008302644,-0.005293150965204771,-0.13076008893554902,-0.07756755960347766,-0.19359179444080377,-0.17132857675045218,-0.8877401124975629,-0.02315319771707632,-0.2082169034550722
WI,-0.39752432949502337,-0.800009790044571,-0.06520893064494387,-0.09388607220877741,-0.07126992206702652,0.1002518270800882,-0.011113725765818988,0.16433994532175827,-0.04310361244404041,0.21757575579496194,-0.1914481983461439,-0.1440432268976798,-0.16920672976489165
WV,0.1440883224329266,-0.1386037057859548,-0.13605407882701498,-0.12716027898998558,0.062445229437147164,-0.22531877091109176,0.20244338019834868,-0.27294725398636643,-0.010738951617048763,-0.21283351115634652,0.8152715077675012,-0.07318440981954925,-0.2413396534491304
