,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
ME-02,-0.03186863552922244,0.36621489228687587,0.11832144706924913,-0.17175255851327104,0.8170751394200372,0.16032870251947529,-0.19410482102825513,-0.10264852457758555,0.050561980152597163,-0.04634586013872059,-0.09386667985527566,0.22052838623109894,-0.025513111126726534,-0.08511696304114354,0.08472687949891204,0.028132778208114616,0.017898479125729637,0.0945802614833455,-0.03001186771809703,-0.03483381931511582,0.022319051618217334,0.034658369632807925,0.011425973530844234,-0.15626845502355394
ME-AL,-0.7751343448608459,-0.0182290027291139,-0.20795322470897512,0.10350712419302892,0.11064679939381623,0.04350609733908037,0.1576421450866571,0.0284543761833451,0.09151816130163817,-0.15430012076600091,-0.10990181837352625,0.21602501608126554,-0.1672672881117925,-0.21522360589179879,0.3167727702682844,0.013415008544709863,-0.02049991352259307,0.11963015941852259,0.23722948840187583,-0.031390935486275875,-0.048685852816860276,0.015410108348404526,0.02054366241369541,0.01582889303706462
MI,-0.7810875824932263,0.1333455945715059,0.019687845770648832,-0.03753220700564092,0.17569240608025308,-0.11857954203974883,0.39065728516828024,-0.008267807862521846,0.0493099146397931,-0.12511507576951617,-0.08979973892934802,0.18695708187479584,-0.08883991257365018,0.03455425248284144,-0.22181147688587138,-0.07063884479475309,0.02777246503072271,0.04278527402723523,-0.19007652868670272,0.002558352135932789,0.035678816062483305,0.21186597110040883,-0.0014224737504373477,-0.010657767507148927
MN,-0.6213581100156143,0.06142708583612798,0.4970677011842668,-0.02769916339836732,0.008333816191044775,0.0021457933487747977,0.18521975796282047,0.08038718473329445,-0.17318320045306745,-0.17904890673749554,0.009337111857084426,0.04452099689263443,-0.06156967909479184,-0.18457224056177882,-0.43931402935294295,-0.0517465855048133,-0.0713669770977405,0.001236967255598512,-0.18343361732104588,-0.0466581167886807,-0.03038503157409093,-0.07362296431341306,0.03133757767660385,0.10340403912134774
MO,0.40322486446036776,0.04983486113077847,0.15260941080071566,0.11895689742769047,0.287312626484122,-0.09257634233061929,-0.7677778132476127,-0.03273600301200898,-0.031139301816078793,0.13566567837004756,-0.07244743596358123,-0.04543608298143934,-0.04809551116571176,0.04407580518764741,-0.20360450117139056,-0.11173412399076438,0.0733282507180132,-0.023905049363521533,-0.22652233575977457,-0.03470892200628064,0.0013087195469997375,0.05610877953558933,-0.0721356986356105,0.014782999058383518
MS,0.943453714696368,-0.004566197997187345,-0.021789361221873714,-0.08620074780084357,0.023338381005242603,0.09027913685044082,-0.18013095197763881,-0.004768971071036044,-0.012668715334929241,-0.16508750730928004,0.17341964394753032,-0.10275634225393965,-0.04679450175020066,0.08197069912798154,-0.009355859774740276,0.06954021591605812,-0.016715115334085078,0.0715922598687063,-0.008227953610265295,0.00525613825388127,0.006564692783283933,-0.06222003793006844,-0.019067489267490648,-0.07782069580298095
MT,0.6829779912116913,-0.12338696916851762,0.451506631748955,0.11812259801462663,0.145290770235376,-0.28446542372155287,-0.10056557437130309,0.13171014174291945,-0.058292314364798765,-0.028444202368930097,-0.012995555908893069,0.19082611895337762,0.08314443147185817,0.028785052818005596,-0.12222133313996658,-0.033572791336985465,-0.0017098091332490382,0.01691227516386735,-0.2905730866495381,-0.01654093016886719,0.008449584621636176,-0.006907549085067041,0.2397339880187848,-0.0036865087621924947
NC,0.9242517850001563,0.031324390896333314,-0.1797662259766406,-0.11802602513791681,-0.08464861560771414,-0.002479990556929489,-0.23970281708976407,0.07207367882263567,0.02694999935240878,0.1599173649370931,-0.06345822735244452,-0.011027118840517915,-0.03878738092977583,-0.027427817230054417,-0.11360768828801843,-0.09599242030293872,0.010278242999626937,-0.02922798384076773,-0.012339464947721979,-0.00587717548370461,-0.04671113756048243,-0.004757484026927347,0.04351163285163292,-0.06853468164884605
ND,0.31090221884082225,-0.002197526123272664,0.891868841322922,0.05609365367619545,0.15186327220459048,-0.11020332904980247,-0.10771770396110099,-0.0018518627261633982,-0.027588404985931157,-0.07905298509484432,-0.13811933306193108,-0.05135162244603335,-0.0006531650166564227,0.15765005097483326,-0.08853656729516661,-0.012552277391097162,-0.030925510978323554,-0.009521085908671144,-0.12591033931314732,0.10270319539548105,0.044040978427562306,0.022819579342135316,0.0190588811667178,-0.034549869809396054
NE-01,0.02750686695253951,0.015235179976237495,0.002654837798380463,0.1406771236644922,-0.05632224712808226,-0.10517814273000221,0.0405702114564455,0.9964387839998802,0.021878276424460098,0.02578807693547698,-0.0036303282109504302,-0.06800449526390184,0.0006895596240876744,-0.0030812018044339847,0.004575773059211494,-0.0037162660059150442,0.03547928908087545,-0.00260244412081725,0.011365976946766878,0.0007967713887837014,0.00028129183542281657,9.579429601225248e-05,0.0001471183669157146,0.0057993366524327185
NE-02,0.029008281899980302,0.08806905665563328,-0.10828534961673501,0.09590984509551446,-0.8346609907769706,-0.11510360712267427,0.2158525355751134,0.44034926682679365,0.16232800048042376,0.042008533444463786,0.0760040832519944,-0.07758409026535905,-0.035769184963312106,-0.010701568986363909,0.003496295088181215,0.04649658799917316,0.038410835184804946,0.004422441627860568,0.06450610152960236,-0.014019156254141081,0.002202652326690249,0.00463457221934542,0.035996903921630054,-0.0761835989945631
NE-03,-0.0124883582852058,-0.172706074828977,0.12690331468920613,-0.0014972034007140176,0.9242909203557569,0.020619005081627912,-0.20528263046925918,0.23849864442315322,-0.10619261502569953,0.014139033010565238,-0.07971930009144133,0.037875610352737656,-0.020915041398564163,0.04908593483963883,-0.038581150315057613,0.013146889575097078,-0.045433485316586114,-0.05993149333593982,-0.05132543343877466,0.016067660163919677,-0.014824851518933604,-0.016828295950051985,0.020193363578611585,0.045685275528069794
NE-AL,0.6788033682253793,0.030744241320454786,0.4264218371785087,0.5064494875128482,-0.07954261582044063,-0.08006362679443303,-0.21400415465359357,0.06513376574433578,0.11969230519992329,0.10830642850671095,0.026551286123099614,-0.0897575883882924,0.018231277922066132,0.03919420480928191,0.10081441577841657,0.03870295701029881,0.02829874458513703,-0.031342413033410586,0.06130487475376998,0.0043150630480199665,0.13518087902794862,0.02866692131813823,-0.020999640867518307,0.02142596229740247
