,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
NH,0.8527699436396637,0.2915508245243128,0.10929175426299571,0.29889576925926886,-0.02560834401739639,0.014997125621503465,-0.13334960006902805,-0.2868450540773647,-0.001714899564262403,-0.016692204154951026,-0.10204047403310616,0.028187959090155514,0.03983038503470009
NJ,0.9934092765860857,0.03929147099006973,0.07036447364650913,0.09836408288253418,0.054417887979547004,-0.07222936479092526,-0.043888507472053855,-0.03427041818526325,0.0502725064817862,0.027714237616141498,-0.03816610747094467,-0.028429957135191218,0.011466299740546724
NM,0.722820389425899,0.5546044855628944,0.273565875330394,0.09778611572154008,0.18345337003592305,0.10109425390874094,-0.08472976965400505,-0.06713946375995225,0.09069710262401837,0.018242103213615725,0.12999654183219642,0.008391010377392616,0.17560658805183957
NV,0.6333196652897432,0.6753134268493595,0.13667750733200598,0.1145843264772352,0.3297262254220245,0.009588323194679015,0.0015951617556884397,-0.09210330793845856,-0.031798996307844586,-0.09685338692824355,0.035013408199775546,0.08977043165824657,-0.025125359881529783
NY,0.9636116245977158,-0.10506041035042228,0.10701756813153719,0.026368166751794094,0.15467063732348993,-0.09994627280446383,-0.09850013454007281,-0.0352443264987963,0.11240296423849286,0.09426232707266927,-0.10267590409782373,-0.017846930664482334,-0.02717930923905511
OH,0.815118488158029,0.3251343593881046,-0.09339334068760573,0.08914184678129378,0.1798889923796292,0.20992554178581546,-0.03612482240914733,-0.11127341368860222,-0.11974208261758665,-0.059181560380760306,0.05932802701294217,-0.33265260840030836,-0.08258749795294125
OK,0.016769116885400382,0.8786596496614159,0.0020971790482553023,0.07264892184806755,0.25176579181076714,0.1261241218938784,-0.03794442272069491,0.05670609056263337,0.0032522345133997473,-0.02478380579716694,0.006988173290623595,-0.36770130786096544,0.1809214901913716
OR,0.8849891136299373,0.17750046100373776,0.02735649070257536,0.03569316691213789,0.3017236625605178,0.14227260663475472,0.01391821251471736,0.02612047407061373,0.029767223470077576,0.014781874807699939,0.30555816909565786,0.04306484553311445,0.03196144876219941
PA,0.9156054953244464,-0.05639893153046695,-0.032226124017082906,0.06657184979647118,0.09892598081715782,-0.002866891072772768,0.06919260281417482,0.11672652986847927,-0.14502654555098163,-0.03735256351969276,0.11573579733696883,-0.3353345563324797,-0.0804185893035378
RI,0.8862745306144422,-0.16079188288961466,-0.09513408984742149,0.24000044245734947,0.10004563527316979,-0.1342615999455002,-0.06232299003435,-0.002322234862896655,0.029624140212413105,0.0777694351969414,-0.18311949663334756,-0.2580745807785933,0.025391247417360832
SC,-0.3390428347899492,0.9230346884571247,0.003865842280630356,-0.00785608375836027,0.03136327142395448,-0.07637742085197712,-0.09990399033817868,-0.09096262549301676,0.05176434400677855,0.03716227904110135,-0.02980394573522209,0.10302915129240493,-0.13708470278906917
SD,0.4026730576150703,0.3208020331897397,-0.13788365337516115,0.051648171002123495,0.808112295691511,0.07689723557193168,0.051070458086748656,-0.06665976094483765,-0.01608105767977704,-0.07034004689191928,0.00918135718054695,-0.2623929987178587,0.04741212839052751
TN,0.04882558518503936,0.8796669172673822,-0.04647459297211062,-0.057063541194284265,0.12846212454366482,-0.060746023894687695,0.01299679880490435,0.054111682567560014,0.06233008833332087,-0.02781100058387766,0.03450585218332541,-0.45403043560463174,-0.024059313403809415
TX,-0.04442134099449699,0.9753152018179653,-0.061669643637103345,0.13117158291236602,0.11130560516586337,0.09940484611268194,-0.039911233640783236,-0.04689603062810715,0.02751270275681263,0.09225897398732846,0.08124328267687149,-0.06513710660770511,0.09816321788315363
UT,0.16165930291928132,0.8798865134399305,0.008617358691901653,0.3109813899989096,0.15783751124746795,0.013813800674991904,0.09520509532427462,0.020522553601598343,-0.25653278417077724,0.14528836155246885,-0.013866284212823625,-0.02560824599474804,0.01693583875237786
VA,0.17563152000403312,0.9279446226284427,0.08360045685958947,0.07206397274477458,-0.06768056940211752,0.14582082809843236,-0.1491062137161112,-0.12525217220844065,0.16684484850835343,0.037001983866728705,0.095618355199537,0.1688505382960722,0.001968187105526541
VT,0.9059468715101533,-0.35483695355601214,0.06771227154154891,0.0005420388493962725,-0.013427787809981351,0.07292146472327664,-0.11876069748943649,-0.08729584716171078,0.10505114738011345,0.06819905730704574,0.03655019965191344,0.13891227014884502,-0.029789164392311534
