year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
1976,-0.542042029425376,-1.0439902648483608,0.7595653365311027,-0.12027123738977134,-0.1204212536647842,1.49088498278347,-2.4218368035249855,-0.13060768522800545,-2.598832953797429,-0.8199011437169099,-2.1756767390591074,0.5920042949495561,-1.0140157806122618,0.025867983220274324,-1.8099966599286814,0.03631223338603785,-0.2653142658074639,-0.3554488375060235,-0.13845669096754043,0.2184014447076397,-0.2792688758424951,0.18848118257608837
1980,-2.536037670965711,0.7482163995839846,-0.8820922618435049,-1.0913613931804684,0.6030070633891521,0.9807209151622082,-2.316574274331782,0.11518080218736376,-0.8789456061366215,-1.6619076962514832,-0.5111159479401607,0.837957426832737,-0.23064394580186623,-1.7682911370316505,-2.684605861492757,0.2957531986274623,0.10684005773530769,0.20671008803950558,1.112845669773649,-0.02695101367709663,0.29872755029710246,0.6534724812256241
1984,-3.035963173909598,-1.7823077373030936,1.605812683080934,-0.3623687397853394,-0.6105511955925176,0.774881304026846,-0.6528304875381263,0.09603868201301761,-1.5685921224885848,-0.41243099085763557,2.1327688655959087,1.0114315673091627,-0.0508615408834352,-0.6009814522018383,-2.6464024857035184,-0.9403264316248854,0.466206349312083,-0.30999830989083377,0.46194309839279935,0.16619619271054736,-0.29971742801061935,-0.13577089800758096
1988,-3.059059219146171,-2.025247956662105,3.135220115717554,1.7304378129337221,0.07017957651062465,0.12559045248627843,-0.35624180414759393,-1.6167188010071913e-05,-0.49652392072004164,0.37783625808059185,0.39911827268339073,0.3197428338111192,0.3984730769689754,-1.1251080701585396,-2.1741205417074876,-0.37122812317203985,1.3813256555098414,0.9133622069200844,-0.7494716229454151,0.14074511230671038,-0.06507468959405627,0.44033049622618753
1992,-2.195726214249778,-1.4494950962961217,0.21114920077331806,1.0613353454228154,4.039444307275145,-0.16933999185680437,0.04911678841861796,1.6862650476616985,-1.4438394846768556,0.3481377676595083,-0.379219971868522,-0.29286789488558695,-0.034455333894262204,0.16535999639847884,-0.3635756681832956,-0.15874865954495032,0.20034049293411307,-0.6667345362222248,-0.14373132811104045,-0.12463915510486027,-0.25212410253438644,0.17650805461768487
1996,-3.689057127025433,0.7056500117400831,-0.02210888227951086,-1.4448877602447463,4.0933918181877855,1.4294697965751244,0.273118787346476,-0.6955645209878083,0.14825974011084847,-0.5266773932426312,-0.762708795356983,0.06298682100885247,0.222677496989038,-0.724965233320423,1.3645204265443132,0.16748723576372382,-0.24160311345880986,0.12055900950900172,0.05201060647273177,-0.03717169809525297,-0.11910777180943145,-0.3728839639075317
2000,-4.736626671481134,-0.19203668284427472,-1.7072740298795919,-1.2047603070659005,0.9058161594043577,2.7044297232623675,1.14314010626817,-2.516789085303168,0.06573368112203509,-0.12314403354774507,0.03688106932140682,-0.49096921058613385,0.5348990508081054,0.2833588096641553,1.075497159435089,-0.1825615431398342,-0.1939727545718442,0.5533353220584444,1.1141571076280206,-0.6479555170131598,0.28783801591244723,-0.6452127125963699
2004,-4.70064432428133,1.4800045569878075,-1.0606366275029087,-0.7218204891645343,1.4063247676326494,1.5686717142741615,2.2591895910948567,-2.8750978134593823,-0.2697583171552982,0.10270731686626991,1.083058435973221,0.6093716054192773,0.09604018897034028,-0.2944683950821562,1.5614798647903996,-0.4123568511574132,0.5263858177964295,0.2786312532734957,1.0202620191122498,-0.1443463579190996,-0.18491383384244128,0.3025204011747663
2008,-4.667666324560795,0.8207605700393451,-0.3873474188747255,-0.18464094628483327,-0.005885193521443184,2.2562374837315176,2.6327815678583835,1.5490421078773715,2.8146057320009112,1.2300554338220522,1.0585693307258237,0.5887162300793497,-0.3205408286649208,0.7250097251633628,1.8141471996584586,0.4887255861744537,0.6978125223518562,0.17981189971534176,0.9545779109387873,0.4895829619950158,0.7618374830421919,0.31131251185210224
2012,-5.0493247764148705,1.097148497026265,-1.305315594119458,-0.5525372067879321,0.3069057730862463,1.3045353189079794,3.4565030363786162,-0.4910987307340947,2.8860023060528044,0.864880891977193,1.0861375542790788,0.391591210042305,-0.5265267762004382,0.26692447600197033,1.7027581825765565,0.6228584841963298,0.442543999201931,0.0819345179145049,2.0575082660887007,0.40619503621209574,-0.09064803993312194,0.27524864168954016
2016,-3.911305229892816,-0.5258901060076098,-2.7214865788887357,-0.22246420114269513,-4.021048851003937,0.764664292831792,5.085304412074552,-1.5766576951738092,1.4300240390301815,0.6649674057741006,1.2511996972265704,-1.6500876193352396,0.2766236766522802,0.2634663317295379,1.3615519674388539,0.8553310073365282,0.016425806660931505,-0.63569730638667,1.7009018019732556,-0.21929531189247947,-0.26879283139229376,-0.0800325758063199
2020,-4.144580277706393,0.6402899528694136,-2.9888393154014996,0.6335136393169422,-4.726301721727162,0.48220424714226434,4.98400826148224,0.34292098312191144,1.2129353318294203,0.5589715849280664,1.0350803719974921,-1.900311857346418,0.2508119225203969,-0.08618543919892564,2.040538389906292,0.48429347863564404,0.432133626967326,-0.2225234434588699,1.9004805773422455,0.05808462365942237,-0.2400575112386953,-0.16114506704615622
2024,-3.9416138484254835,1.4422141568468478,-2.5468485032073676,1.3797475618008839,-3.7739528189054177,0.13951249975456453,4.946351979828164,4.2811928523377185,1.3059274629302253,0.7271479556313061,1.4273308692000837,-1.2559657118853063,0.2883872454424807,-0.21436533079006875,1.9988352535083205,0.03211913741505118,0.8284555175771697,0.055548539169971545,2.011269065675775,-0.3000084540507123,-0.18399275278071725,-0.2064863013381378
