,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
ME-02,-0.03191407895517519,0.37834229335471825,0.11689811495294056,-0.170250496543285,0.8167124901038864,0.16083206162567276,-0.1946424609005663,-0.10303859215746199,0.05193544454182437,-0.046850041868597946,-0.09343717243676453,0.21675532696456917,-0.017580866569769565,-0.0878589103886777,0.08441151100619688,0.05997795248188588,0.02384124293182484,0.11346906778804756,-0.03099385415341018,0.03274643888848417,0.07724394122848048,0.08069146088239713
ME-AL,-0.7742107219524342,-0.020662403465319494,-0.20655749737221737,0.1007751314326926,0.1106531158307465,0.04201292970879188,0.15913560197513377,0.03101615654816652,0.09038340116802936,-0.14945907947895992,-0.10967930509123747,0.22134853102503205,-0.15637140176690612,-0.2367560760943817,0.3178078801509243,-0.01788080796635363,-0.028954621333745226,0.09723315391135587,0.23821941487074755,-0.002670162355257356,-0.007375565416926374,0.018108693225644356
MI,-0.7803122448199993,0.13249791366643088,0.02143359594824443,-0.03947438602800548,0.1754660846806539,-0.12188809274999542,0.39420513054883616,-0.00615329934538461,0.04928958806054281,-0.12567114425936052,-0.08927637586865324,0.1912512704864975,-0.08568533223561603,0.02961837998247566,-0.21778153803152245,-0.09804095890022897,0.0182748528169341,0.03244728845662667,-0.18827064775889327,-0.019220186013022035,0.2004979442646003,-0.004695263245324465
MN,-0.6209697074837888,0.0630877814247572,0.4991357327216605,-0.02929543603042682,0.007894047117454483,0.0009082753881485905,0.18622822681241144,0.08178922193007418,-0.17332388159703027,-0.18125773702961226,0.010484846275629327,0.04694342330556798,-0.04579959360296333,-0.1926626974997634,-0.4349521734852099,-0.07245250801896361,-0.07532346746931237,-0.022052156486237075,-0.18446146208354425,0.00916038140499054,-0.10566307124438619,-0.05720174684851667
MO,0.4029819263231694,0.05990296876198301,0.15234456481619024,0.11736787366786722,0.28696906479326245,-0.0922922674304045,-0.7659468899896905,-0.03055092772009826,-0.032955868315506426,0.13820969481419057,-0.07284933848673171,-0.04454395472619147,-0.049410048100784164,0.04810570764428003,-0.2074683365851116,-0.10812886013588978,0.07968117355405409,-0.02260532173383587,-0.22560363515959103,-0.07026951036773756,0.04432310759234894,-0.016400716522649655
MS,0.9435399420210718,-0.0002660670566894895,-0.022566030153234874,-0.08674423352497755,0.023090398576297227,0.09137028434382244,-0.18066050249132784,-0.004361736112279838,-0.013383904097686168,-0.1627630263866646,0.17312091825252504,-0.10300128561514658,-0.05719759778695722,0.07948653301321841,-0.010978082236523872,0.09413839255889425,-0.009963301634444189,0.08693143161844064,-0.0076414166780832465,0.013936796655831621,-0.03332865338212178,0.03814842950442944
MT,0.6846062669079847,-0.12660305652969922,0.4550976033873672,0.11275356153483178,0.1454769860833142,-0.28922358684438026,-0.09568771847293457,0.13725364057563527,-0.061769549997672625,-0.021201465383541524,-0.012220127867739135,0.20393568365841652,0.1156952276997456,0.013220578095630629,-0.11942545657828947,-0.030698911658816656,-0.01199253034606471,0.008023707670126494,-0.29190049919426064,0.18148601677591578,-0.0023869610719209045,0.014480482878230876
NC,0.9237326486719046,0.03866049321058534,-0.18011698292659784,-0.11905501021550685,-0.0851228463256136,-0.0010137040130135887,-0.24002710475830435,0.07244303713513303,0.025452214614958724,0.16114866754075732,-0.06463950235464862,-0.010474401405044322,-0.016136696785990882,-0.028489856922429786,-0.11796130249218786,-0.07783609683307863,0.013201383042137544,-0.02185485046097125,-0.01352349528277152,0.03900137913062838,-0.003003480492495634,0.09378034998485404
ND,0.31072035926487207,-0.005049525536188876,0.889983959100711,0.06020770465268013,0.152726774865827,-0.11019876371576486,-0.10989168175445893,-0.005063006562574404,-0.02498576861811086,-0.08519504830400743,-0.1370643134317937,-0.056342784768869406,-0.013160795325892335,0.17506197407748073,-0.08545085211951535,-0.011562464299147058,-0.027412163824062488,-0.00011097116329277116,-0.1268927299019497,0.05833374661678162,0.042314471189169936,0.021747475476085906
NE-01,0.027209801618953578,0.013109177335777909,0.0024371155268717777,0.14133597053713268,-0.05655839304995537,-0.10427988062276212,0.04083501345484801,0.9952789244354874,0.02239906407449302,0.026287017899832656,-0.004029295218074433,-0.06846088100770163,0.0007091205260556529,-0.002683600742078333,0.00428753061543313,-0.004971141845887062,0.03385972791687364,-0.0032331177754655765,0.011954723926502946,-0.0013477565920428254,-0.0013437131885504128,-0.003453834975955204
NE-02,0.029134049894017612,0.08731831929705486,-0.10762268009190894,0.09524097356277927,-0.8352861894293159,-0.1141734440671382,0.2168280897852721,0.44079682633884565,0.16199523648825911,0.044359046016566435,0.07512167100117295,-0.07501312843410585,-0.027652113244581843,-0.016707599621961444,0.0031514907437900884,0.061096928816870635,0.03572729078486122,0.011830672526557848,0.06458560658742231,0.04013815782932687,0.026113605403689122,0.053073397319534386
NE-03,-0.01232709339140483,-0.17297005912213775,0.12723303281994658,-0.0024653163050765946,0.9248106693570095,0.019538460697191954,-0.2045149528075375,0.23898542602776693,-0.107183771003348,0.014882820451426823,-0.07970263448185888,0.03894682520045205,-0.021309952741120526,0.04695552966059625,-0.03899832315759425,0.0017924111458297617,-0.04767574741383165,-0.06690910168339918,-0.051441634504011687,0.0078108763401483336,-0.030149818440388006,-0.013423189715319372
NE-AL,0.6782161246081312,0.030995942805300943,0.42392089833971247,0.5094960598834469,-0.07932418349327071,-0.07781483612007985,-0.2158292328689712,0.06271228589930579,0.12029105436735539,0.10717184642334156,0.025990390059522115,-0.0955672173834432,0.00508660943509606,0.04825163206298043,0.09830812677305414,0.04629049596658603,0.03460815882049786,-0.025556699789660426,0.06099575972981662,0.028633087260703488,0.06846617269364033,-0.10260577794932682
NH,-0.1495558036468859,0.08075526009128527,-0.3993580566102329,0.033791444011065395,0.03655894511249641,-0.05841441844255891,0.06524748176227234,0.012504516342932643,0.19525548158934075,0.1241949756656471,-0.03184907896433342,0.01391170314692816,-0.02596205345609793,0.0033695965190293467,0.8770293246987018,-0.007129714349844383,-0.020775344730455877,-0.01833415583852637,0.09657994798937151,0.005222728968290709,-0.008604884860188466,-0.008975603612227984
NJ,-0.7193500071735507,0.06897483900140448,-0.18862622749811406,-0.2167965583462442,-0.047144984714096665,0.11227439832362436,0.3592485874775529,-0.14558063541652114,0.17343174161204827,0.08017463801729592,-0.06134266485565702,-0.014453002124490176,0.19681401244591423,0.06151472839780344,0.3170634382364911,0.04419784447778523,-0.0203075478882175,0.005493297786421705,0.2510998866114275,0.00455657865023093,-0.025913982338115517,-0.1100829297736793
