,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
MD,0.8457835175296343,0.15657226985910958,0.3524470279596698,-0.11084430013997312,0.12395967885668677,0.032411640538285505,-0.031211287270461487,0.11209641143228763,0.0018239149413515291,0.3519064816411439,0.028846169578036818,0.0068594645204885,0.016040986548405717,-0.014382903087629942,-0.006033243556860056,-0.04587971989025934,0.0009568880668940187,0.0075431470425913775,-0.02134888554776026,-0.00985768349292962,-0.0006930872756231721,-0.005821666045977613,-0.0216024938853933
ME-01,0.38811523877813525,0.12636806784365434,0.857418211566519,0.03132761352390103,0.10182711753730252,0.12558465016429438,-0.13464213457687468,-0.01790059890566052,0.0024179627708321044,0.014741842536950982,-0.26701994393014655,-0.00525942009383098,-0.022658665661414397,0.028330248213315274,-0.020183663223167975,-0.053555766068952286,-0.04789515618313923,-0.038680235827138705,0.05548607028903388,-0.01246662791696976,-0.006350204941354703,-0.07119927571459794,-0.025262632378652977
ME-02,0.30525000998051993,0.19705584792344652,0.5425165017586869,0.5469906568062051,-0.30035819629412563,0.02256891825468291,-0.016992067842244916,-0.038183289212930946,0.015468098932210574,0.0039106218697927886,-0.45022126458361705,0.0666950014891646,-0.029856945351096804,0.010858135880118022,0.010598112340506019,0.09334119423311855,0.008337103115959664,0.011990479733240094,-0.0194874300966665,0.013134874932563984,0.00304902025378756,0.016593944269297577,0.0087741083389666
ME-AL,0.9133381292060945,-0.17881767917611024,0.039850968180443945,0.11609069632685429,-0.0370872032129124,0.1479412692256209,-0.09358337013182898,0.14297889240070505,0.18535283066222283,0.10052994375688241,-0.1338115253202729,0.1130131475337301,-0.09570650461296178,0.05548029414060499,0.007505902898417735,-0.035252520010918664,0.003217022239373183,-0.04744407445827524,0.0707848560336667,-0.005073493635855642,-0.005424836529681417,0.06638808706968194,0.04233177960646665
MI,0.9579416724327101,0.00894893323028083,-0.07694225375471257,0.08782076615743255,-0.029280102135284324,0.09380975734531838,0.08949299196968132,0.041789383681794516,-0.08827910703435184,-0.17055020819762579,-0.034293740663196556,-0.01496768358020268,0.055384748948784396,0.049909139516034005,0.05773495962134951,0.09419788743804902,-0.023824694723169615,-0.11670885776497114,0.04770752973271282,0.11015500632404895,-0.022808244523625943,-0.0072206773728021156,0.001876681185841749
MN,0.8899641184401472,0.11404752328318833,-0.24523028636021027,0.0595637494979695,0.03994570164814044,-0.039560014219929364,0.27889447003243906,0.014390700343104957,-0.10271422869931181,-0.1340515828207015,-0.006734828498926845,-0.05884403655180817,-0.03394456202687972,0.05687854622625527,-0.02306781535292389,0.14363873122435275,-0.014926339681637663,-0.0006390677830682823,0.15031968036741972,-0.0517474851070447,0.008893549700414413,0.004319939652047402,-0.04922704962133585
MO,0.3738105101003163,0.698672275841824,-0.07191336776840185,0.26428685674580715,-0.16049386664687312,0.24838207248726202,0.2980177705737686,0.06604280305228992,-0.07386419275438504,-0.028248116847807148,-0.04095417323621248,0.05197385562346237,0.020272653830703615,-0.05525570581202548,-0.009397883916564846,0.35541422959414526,-0.05601276969515655,-0.06656086217732163,0.012075878407111358,0.032210815155749355,0.019605563455381756,-0.03324969995598012,-0.04483098130377025
MS,-0.3767057897951231,0.8605962723875596,0.14595351532580778,-0.011985749190345294,0.013940670901766958,-0.1858685737916297,-0.019758239722774767,-0.10609416638635583,-0.09837407571541179,-0.008574983705915206,-0.0687421949433103,0.002124477645123474,-0.006226044571481703,0.1654533141322167,-0.02574747641881729,-0.18130852122048596,0.027901397776811936,-0.04238338300909284,-0.042171960263170334,-0.04320301578643427,0.001439944360585497,0.0019868281571597283,0.0676160361260181
MT,0.4781420718904253,0.768828361457288,-0.1771344154745378,0.14768489584873853,0.074726875452587,0.10901848820293557,0.2623305022993572,0.08553855614731476,-0.014674793931004505,-0.1701311939006853,0.09105995606726675,-0.027131704529739595,0.05085850490327694,0.007652242530507765,0.0575360746088275,-0.006998560326779027,0.15365568358069398,0.010728546621405956,-0.013886308372951826,-0.030217133363178092,0.0015583607699016678,0.012735800827755803,-0.029883923188645023
NC,0.118583130702892,0.9612845374754742,0.13317870169315593,-0.0414400423073133,0.09895713859020584,0.038844473219898284,-0.09662243774515232,-0.06466217639353333,-0.0431844320346689,0.037670574468841984,-0.019990770504540616,0.007545435141367835,0.1030548983348588,-0.06438415110761503,0.01784748403373708,0.1397175715149399,0.003042595832030914,-0.0004271407313758366,0.04324826075616028,0.05469546611390031,0.08244569707895162,0.05476834384544161,-0.013557735574620047
ND,0.5092320162266593,0.5755007159577513,-0.1986795595874022,0.13030806592714408,-0.014715660111008038,0.06642098446597068,0.6077399080447631,-0.03382849891282629,-0.03599415886616331,-0.034256216831839506,0.016885551419350706,-0.014419882858089485,-0.033254709211377874,0.07193930963565631,0.03372698374087103,0.006190487435282531,0.027925229557021397,0.02590466762814469,-0.0471880392714082,-0.010705241724516805,-0.01218016848811109,-0.00242417677149853,-0.009027378385713264
