,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22
MS,-0.37672151316348484,0.8605928036230769,0.14599760501086606,-0.011968906139381091,0.013874985620436112,-0.18594553299026598,-0.01991766114583884,-0.10583972787094464,-0.09529260165599825,-0.008505724916233543,-0.0683499587988129,0.0020191660831547125,-0.007225399490868754,0.17127141026577242,-0.022793602020679645,-0.18069547312314235,0.03845370900756414,-0.037217264357529624,-0.037526589163505354,-0.037441759606342086,0.06318175928485871,0.013278391430385473
MT,0.4783717174526952,0.7687990924542882,-0.17694243617166283,0.14710534629507413,0.07565689048181885,0.11009076870790893,0.2631932874748708,0.08317385919940788,-0.019162997387309734,-0.17499347165341833,0.08913246637404275,-0.0312689036363026,0.057688820753436655,0.011429304308046943,0.07079326069745191,-0.006310788621242893,0.11302890343430036,0.036683464494623265,-0.014023132185911278,-0.04393926817078894,-0.043560086346959036,0.03202100242285304
NC,0.11866120358805061,0.9612802372893055,0.13343679078383855,-0.0417259393093543,0.0991103074956347,0.039196624649919846,-0.09635639301648534,-0.06623518789385935,-0.04361414560627441,0.036481463512308195,-0.020787201717342583,0.005455452844618031,0.10767457119031594,-0.06515680563335503,0.027177335165644752,0.13977922956248023,-0.03516899431529484,0.018055687355631383,0.046539534807069044,0.04546033887440472,0.003679627043247113,0.08361335047570673
ND,0.5091558590844372,0.5754733848483683,-0.19878379824776757,0.13057269568641663,-0.014774969246816072,0.06608439301577959,0.6073255767541017,-0.03338008715523909,-0.036410947983251285,-0.03564213775071151,0.017308098120873323,-0.01325958853099168,-0.034348442180072304,0.07359831529083745,0.033597501511778045,0.006208129255129264,0.02503660149318272,0.024175530777910202,-0.04574358187451053,-0.006203645489803745,-0.01698692560799015,-0.003567962796644017
NE-01,0.03576701727291424,0.06849978156746488,0.039659118945671604,0.6837744011379158,0.7366419135122023,0.07096697928170717,0.049369103934822356,0.025774405727466258,0.044224100793418146,-0.0006335538739272924,0.004555535710488551,-0.03553255485033773,0.021686052481605756,0.0240194403265508,-0.02504219746309631,0.017721121920713494,-0.003564009474529554,-0.03464371481225399,-0.01196048485862574,-0.03242760330348218,-0.025715703460257866,-0.036678378425873855
NE-02,0.035388402558432154,-0.042242052440007484,0.1587126150905718,-0.29027620660695475,0.9530615988937949,0.0836050005734638,-0.026792216414939507,0.013178052464431909,-0.0224124700367705,0.0068508692413418604,0.021275882910791553,0.03846204316572573,-0.001627738928490363,-0.013754767773387563,0.012204662288236749,-0.04604967983621404,0.0036638466040816225,0.016538451972950247,0.005375153297324995,0.01613561653497399,0.01193705541087172,0.017701816603566838
NE-03,0.013065895219645705,0.11211364031818687,-0.09260663667993546,0.9960322621907615,-0.1187987683775009,0.004302586782249787,0.08690362994901825,-0.0023524196981983816,-0.013398488909322727,-0.008854686283211805,0.016822529140392527,0.001254731086633401,-0.004322301446501051,-0.009079817688575523,0.008643685836081655,0.013983982697372164,-0.003514119774886024,0.007191684822740649,0.008748798111202185,0.008939394711091786,0.005789548870675397,0.00903859672552197
NE-AL,0.39050350816454815,0.7460751825791567,0.0848843930053237,-0.002454602794353168,0.11485381823395441,0.11816996633364148,0.4335471511691011,0.269988107526257,0.010400177389760136,0.09831030252897191,0.04599223100664305,0.05205524102650115,-0.018576078281760895,-0.040545612908407344,-0.02775189097929438,-0.04511886266882839,0.042394500728109255,-0.01107673876983073,-0.029406160696804958,0.001435269801804528,-0.08038105133754726,-0.06130087467598962
NH,0.79960278066811,0.27294014273278894,0.3623401127515761,0.04609547772346055,-0.03065582229102115,0.2930678687681333,-0.04618287414454297,0.033223808042534775,0.2570354998708129,0.019584548357515268,-0.05718131306505891,0.026218150289168712,-0.058422133581428094,-0.05950528810766347,0.02585321559628138,-0.12555541976044396,-0.012593356003389634,0.021761781828549084,-0.0528935428885879,0.019413656730667563,-0.0035415679626389007,-0.020044337807149742
NJ,0.9756055486782411,0.04028474120683827,0.19655664726789082,-0.01665382101915115,-0.04692101927706416,0.1003443851429164,-0.00386621951071996,-0.06640100574896839,-0.0005793905110255221,0.05444741493843469,-0.01613817909621215,0.034311299322671185,-0.049434502123823984,-0.04031101477248146,0.04191640076225272,-0.006073816012039513,-0.00546707111282409,0.07817764881330545,-0.04511801933582568,0.003978080597735972,-0.026870448436429453,-0.08240798162082648
NM,0.7018200504512249,0.5535638972731386,0.33611626987944426,0.01201362685181837,0.08826313649285644,0.058194645345369715,0.13229354284649875,0.09258714893602307,0.01746552489261098,0.10019436245118268,0.08536943680574857,-0.01402089438544695,0.08237662085263117,-0.24607024990219994,0.006163028432690814,0.028766524970758493,0.011347375202838409,8.526630002549688e-05,-0.022271754254255444,0.0036376963631988414,0.014615342677787461,0.01379219336907489
