year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
1956,2.2943690628284874,0.4053839401573326,0.5644408701867132,0.35301861836056453,0.3664093948871862,-0.3023620621620407,-1.2802020998282038,0.2538739538171196,-0.300770339552989,-0.3726479759853247,0.04411309293502703,-0.2601678104189043,-1.0577957369603612,0.7675085243835604,-2.9619251042238117,-0.667177561512303,1.2676848812490313,-0.7280292396473016,-2.720895726202163,0.33038680481896965,0.7027687683733032,-0.0597103763833043,-0.11051935076597144,0.2860848420961035,-0.47356333666391515
1960,-0.6430110364861562,0.43410946530296035,-0.3211018910847341,-1.3001484919341584,-0.025070174304579605,-2.128729835085272,-0.7188156686413997,-0.06085036767523228,-1.8463735345849648,-0.2760530381948934,-0.12822846417165004,-0.5999886113127126,0.4983914214855716,1.1791476221994823,0.04611233249904825,0.12461324455678267,-1.3271007694074477,0.6197270907909839,-0.524036490532114,-0.006785665979580867,0.2859948222881494,0.5813583467789407,0.580979667185754,0.13330446309013608,-0.49527881904466425
1964,-5.270877755975525,-0.20926559983609586,0.789026273281196,0.8616813468186416,0.32817038412437577,-3.7115651729157975,-1.4411660984809191,-0.05224885890493446,2.0397570737803297,-0.20891540667688085,-3.7168371214913085,1.5978518185500097,0.5088586037597067,-0.27956441062812876,1.3271790908373367,-0.7723001658847646,0.290321304820108,0.023081091390611368,-0.2743949280833503,0.11290087495253642,-0.3210866949026219,-0.2103017344741102,0.3523502269756163,0.4763777365368308,-0.2517481496308111
1968,-3.006802065227128,0.1320874509203601,-0.12648776908913614,-0.8863767089092608,0.09597862986161514,-2.034465645718008,-0.9036388671802794,-0.07335347181311444,0.15358962072810234,-2.4225436851445936,-1.5236328504102925,0.5930488311918566,-0.8748479969005135,-0.05985140359953642,-0.46858383971724754,0.13550675301201093,-1.3224848642196914,0.9757717959780947,-0.6463889918553345,-0.5209609731370715,-0.3135536707556538,-0.26258198637413777,-0.36379755101728495,-0.27656678154312175,0.28262935251336463
1972,-3.859279972238442,-0.4781374356976228,3.3536354149015315,0.4637947775871223,0.048645097035577504,-1.9476321159924326,0.48807423789806664,0.12304433051256952,-2.4797514957121605,0.01957206913849295,0.8740986146747081,1.4955066505641876,-0.38419488445091654,-0.20758611550540812,-0.06621515659798734,0.6294334303196217,1.2977131356854035,-0.17354979967901077,-1.3094499688756058,-0.2361917320366986,0.5088741631742831,-0.2738780905494207,-0.1701663510490525,0.3152068672533756,0.4350314001709883
1976,-0.5349980236003214,-1.1438559469082181,0.7748330318067447,-0.11809137569328935,-0.12112690173726226,1.4618983016884364,-2.3995370013085653,-0.11506863182884365,-2.5901176114328526,-0.8059905476728537,-2.163190107788769,0.6262194078488834,-0.8622398538338077,0.01806882374401066,-1.7842911620251833,-0.0019467754272841694,-0.324149886359757,-0.4104703748480318,-0.13170305725006526,0.23627290138243642,0.4450726073827811,-0.10794407371894794,-0.3040639005470971,-0.4587544528222556,-0.15978090378567006
1980,-2.531327985029004,0.6717237490299709,-0.9126646134359466,-1.0585538000946153,0.6134702846071222,0.970558170318701,-2.3216549775634006,0.10056494534753381,-0.8693428191540332,-1.6979246896175708,-0.5076076660275122,0.8125163110157654,-0.30185769290773246,-1.6995865520057507,-2.693400944490404,0.31930376904519864,0.09796583083931791,0.2544181945954185,1.1154706739048068,0.6019697369063529,0.37914865865999436,0.35967168308610964,-0.028889845705771612,0.14808515706836534,0.4134069683218601
1984,-3.0359978673282044,-1.7604163842010951,1.5834161061686673,-0.36246403618541484,-0.6147184761201759,0.7866331277872536,-0.6575369743322895,0.10132960646477608,-1.5686813855426316,-0.4003057063114227,2.126924727882936,1.000499994569677,-0.21208353474340308,-0.6525927052614916,-2.657733677747513,-0.6771896816690284,0.4986202294734699,-0.19481344911109924,0.4718653604668386,0.0574869926847251,-0.3990047132707816,-0.5609727166213324,0.2746207015105839,0.055600612331223376,-0.3867174761624404
1988,-3.056171155921007,-2.073910568916874,3.1311735031900225,1.7195744129035575,0.06526465055369597,0.11387831799485214,-0.34293937830270677,0.013308850294556541,-0.48039457367843236,0.39572058485835043,0.4022583504764209,0.34581925833562677,0.2161634537881306,-1.2030331715810316,-2.1503594556755883,-0.5004982561654412,1.3243264110278774,0.7889754712878185,-0.7329139181964339,0.17264953079034798,-0.17664941545200463,0.5642691433624093,0.22930761630894358,-0.24462901560574712,-0.03924184131474623
1992,-2.1984036109654976,-1.4501124820325793,0.19664573079016384,1.0866245591835597,4.046346061615092,-0.1642228139432849,0.03503290412476667,1.6672297188363854,-1.4205840304095303,0.3218069816605756,-0.37195667583961384,-0.31840569100047716,-0.1731890111398485,0.21401069819229263,-0.35279062509710857,-0.04855361873713448,0.23291909788990645,-0.608298403783496,-0.14734475028712535,0.24242526488374333,-0.38216032105393793,-0.18035928884832375,0.11541127538753602,-0.0003147745512744952,0.11245448997855413
1996,-3.6932085052121417,0.7711862263664115,-0.01485562384635559,-1.4824902667700057,4.074527870691953,1.459409143665588,0.27815841358102056,-0.6843364616598784,0.1104697842788736,-0.47803934575123586,-0.7940057714137034,0.10617655485356006,0.21240491646258294,-0.7885515862623697,1.3419254717534983,0.22643008299372294,-0.2444807434087682,0.13556066647608955,0.05933957543475149,-0.44209516410633337,-0.21825887013367995,-0.11264201333573151,-0.016898017577421078,-0.03991764715702639,-0.21050384492790133
2000,-4.726879640607398,-0.243666795194763,-1.7267599840567431,-1.1858909134193818,0.9242757833788797,2.663537738880602,1.1580776844962606,-2.510939572765536,0.08461618749478131,-0.15706166647686925,0.06559972479190045,-0.4881960193030236,0.8610030300344654,0.2601051283118705,1.0679366736886096,-0.25990364133509997,-0.22033546355755318,0.604857429018843,1.1001532396095688,-0.2243299516952389,0.11148046080062746,-0.3433973980233135,-0.7543132821372327,0.3460588043648815,0.16526264776341032
2004,-4.703572958780119,1.44382032157765,-1.0540845739800069,-0.7375214830506754,1.3949049643819682,1.5684133816291252,2.2580632508100993,-2.875933192059694,-0.2760995150753863,0.11903609602784666,1.0780483921559048,0.6397283322334505,-0.08365779357228915,-0.2848339053599901,1.574313350819506,-0.5577251919819531,0.5056647994294353,0.20531514687288543,1.0169062074636506,0.20807363193582862,-0.13620635788282265,0.3052825268118902,-0.11415288193846346,-0.24359353067272868,0.30868746247722917
2008,-4.684469148235119,0.8590868308574149,-0.406265332861051,-0.17201234868662696,-0.011382557409111363,2.28465624479883,2.5874545565500147,1.5187167962693942,2.818363488089692,1.18442422287563,1.0567325587672187,0.5185290745777235,-0.32373598533806613,0.8445304924931543,1.793778538895573,0.4571288007625375,0.786455102019539,0.16096272937413372,0.9373427843172615,0.009224898805418744,0.6560637091665983,0.4781459748092588,0.5431665897702199,0.46339545239009894,0.15042270838822325
2012,-5.037582127611007,1.0516016225486917,-1.2953229951775176,-0.5772427560249858,0.3197226282186989,1.24760864573726,3.4819995189193973,-0.45695006681219985,2.8851028579921376,0.8657525037090621,1.1163479372459943,0.4465078982074091,-0.16109176818612422,0.23127284487390645,1.710895383837686,0.4785237348310305,0.4015326701644517,-0.002855917577336792,2.042976124785698,0.3214404559283357,0.874132268013633,0.14059433079824668,-0.32487805389293395,-0.5488907617348607,-0.2659318043690409
2016,-3.916915326508713,-0.44973778743669923,-2.7373770112878,-0.2288247073450423,-4.02307720079783,0.773491961861557,5.077775254430127,-1.5767607031665198,1.423674366074026,0.6788408338518409,1.2459709018563088,-1.6625665137255143,0.25502354063573573,0.28929332868733154,1.3543732708593068,0.8528235162682795,0.060424844855513006,-0.6467138973055127,1.6898723579914534,-0.20820769191843017,-0.3392453162689399,0.02419897000290743,-0.0882927711458576,-0.16771294103142836,0.08719967810656103
2020,-4.148927814756191,0.7066111774625533,-3.0096008405224217,0.6368301590248829,-4.717675867605579,0.48406412468777643,4.973969122622947,0.3391085442311006,1.2073960875270395,0.5486463257068708,1.0376013387518876,-1.925432666564556,0.284752423048849,-0.05607200776257076,2.021977256804161,0.5067570813517516,0.4803455079344868,-0.1839944528808362,1.8802867847581648,-0.10460400804967253,-0.03292623642823473,-0.17516302439144074,0.03915892839950097,-0.21033445910602414,0.03808085791628303
2024,-3.9397265667051573,1.4660398953730096,-2.551484295831695,1.3657957834077359,-3.763468238320355,0.11975344214484591,4.948047408592388,4.295154626127334,1.297953994456648,0.7331732626591444,1.4371186005816143,-1.2404433060095874,0.31599070095063037,-0.21419743111424816,2.0016950933427293,-0.06219873253417423,0.8427685217450128,0.04025325341360642,1.9891164320548218,-0.10521031114898619,-0.08678399550266727,-0.07408148878368476,-0.34331150574851443,-0.17075927427332657,0.22674207470789762
