,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
NH,-0.1498190946728408,0.08639267834023505,-0.3951176052197116,0.030471342728032393,0.03565264336048114,-0.05959395248478608,0.0668418425041551,0.013397796409573058,0.19389959282620411,0.124131172777708,-0.031860641483982204,0.017192978580517555,-0.025750367287638902,0.007330158417188307,0.8799525015204364,-0.003160296832331092,-0.02265550162988468,-0.015338373738556666,0.09516131144074161,-0.005500815784728086,0.00762801057586895,-0.015773553626450023,-0.0045805710464573435,-0.006943349150669516,-0.0030087808447157075
NJ,-0.7183556245297792,0.07238871239887135,-0.19066613525056014,-0.21885796934303864,-0.04585196022146899,0.10879146693173657,0.36191550390173244,-0.1426249569272027,0.1721821404269323,0.0795108470108738,-0.05977700136561485,-0.012004754897085737,0.22862747896754465,0.051055500680759106,0.31321519083559135,0.030299223595570284,-0.020797945370880377,0.013631647504247453,0.25149388471986966,-0.05370038356138194,-0.011178454312829057,-0.07070739764535296,0.0012027056070612859,-0.022312607023685635,-0.006796150483185166
NM,0.4523603390066853,0.016838447560827457,-0.1399478729616497,0.21036246687756038,-0.08717816255780626,0.11239470744370318,0.01486227130310775,0.07617802894754279,0.18087764928230338,0.7137120284878656,0.2314727141664992,-0.15953411565233172,0.0030254382602991226,0.029529601019654864,0.2658206048139151,0.00154027243328805,0.15160152458481094,-0.0042740609646432885,0.16064377652883793,-0.0005071896410571523,0.005810934389326309,-0.001138245450836056,-0.0031453965676524294,-0.003185162535682007,0.0017992281068984295
NV,0.6879132552173202,0.11059059115617755,0.27661468792758104,0.10091103760930224,0.021277515339962468,-0.05888860682210582,0.38392539112063345,-0.05447014977007948,0.14417447732709826,0.16355938138568568,-0.05808260218808715,-0.0584416261776936,-0.009873635892630062,0.41487729934157697,0.28689996833441905,-0.005937232830749287,-0.027950562957888867,-0.006130087508266326,0.018349147654004538,0.01138269862883309,0.0021990288852262374,-0.007283890567765245,0.008822902381384307,0.004307067477509299,-0.007349730709716937
NY,-0.8048876101885114,-0.010094319058342729,0.008601283836037858,-0.13498870074950298,0.04108032435491512,0.20595200913421155,0.21372093085265795,-0.1302024823930101,0.18455221281974157,0.019046883385665014,0.0830973818177314,-0.16744755332690262,0.15138520585904713,-0.008054659435931583,0.2870752741191558,0.04875539078691913,0.020755014683997174,0.011803596942245493,0.28193389895493093,-0.013475850882413678,-0.030551324352497907,0.0209484751045564,-0.005784545743816682,-0.0700749907433777,-0.017133906239341565
OH,-0.17581621239053002,-0.0368744410252402,-0.1467858381634192,0.2632745898404983,0.2914357846754223,-0.0739451629665344,-0.2134937209924349,-0.11595062025354741,-0.028015636977769844,-0.08184024981400967,-0.0598748501329924,0.8639733989355556,-0.0031030010219809923,-0.010801622811800056,0.008760339871500523,-0.0013005592093805406,0.03813977051892285,-0.00330443269031379,-0.07214493106463585,-0.00010674518002465786,0.003154631349257854,-0.0012588506571552208,0.0031019163027235187,0.0017771951844740292,-0.0010429948347516248
OK,0.8260109439985541,-0.0028400454021867707,0.12517522176224066,0.14481885350014798,0.12017815457292251,-0.06689179140011788,-0.3808116276693897,-0.033125399856581736,-0.021873180261901163,0.11795810094941007,-0.1879039702848395,-0.020774044755612092,-0.011448326534245493,-0.0854550923453742,-0.18833790772996925,-0.13965210257568914,-0.03859830901485673,0.016047896362235806,-0.15349339476971205,-0.0540262877296044,-0.03922757773443686,-0.06695302115029325,-0.07440361669630038,0.025960195813733798,-0.0071616476177280225
OR,-0.351944834437808,-0.034487340456870276,0.14486980220067827,0.2122116076158818,-0.16519986739999698,-0.016322332341322267,0.529180359641862,0.1401779730338479,0.04289152730519967,0.22282012016335323,0.10844513847263994,0.09367410035185103,-0.0035269057927947304,-0.009726585642673946,-0.050455850136235915,-0.006377894301438754,0.6332627390405561,-0.012247890556493325,0.20491976029658396,-0.0004835838158482839,0.007518737957908808,0.0020239222387913505,-0.0018845778515309158,-0.0006960032296059283,0.0034776695241073253
PA,-0.8200054512252078,-0.142531989851244,-0.20416451132251573,-0.22600914961860655,0.10096871400733647,-0.055314548352019495,0.08011058469171171,0.041818594520648115,-0.08603435787458581,-0.11809120693576451,0.01889632795271315,0.2616635653924571,0.011759662950284936,0.03643296640067949,-0.2272668996935974,-0.2139187945063396,0.12072532984749249,0.02314221793942531,-0.12781809611149883,0.029149871910926228,-0.004685807114654292,0.021388995173654744,0.08609276842886342,0.007481777070507832,-0.024603466067505454
RI,-0.8604676085212541,0.02266466850864595,-0.04253857800258419,-0.234573059912116,0.06395199584075417,-0.1659035355696281,-0.11239462073714973,-0.08605025727128866,0.10267603857573072,-0.054158387941455104,-0.11801309027030119,-0.03413551930050791,0.038380388013472246,-0.09488237392521774,0.21460953609193228,-0.05054647981181008,-0.14727800771026828,0.26486980807831995,0.08191374447600037,0.005457288622640126,0.007059363139045407,-0.0003146049602166665,0.014996164076635092,0.015195067257098769,-0.010816322756236627
SC,0.9549012739283638,-0.010582292993312249,0.04947388792170635,-0.027283316882459677,-0.02422308487007724,0.03989747691460522,-0.2557415711301754,-0.011690225221111237,0.025777629997370426,-0.0944842571471447,0.06313596285502937,-0.04220082830332154,0.006546246508363118,0.05054738069581491,0.13742039628908664,0.07818091563914416,0.022337576164050604,0.0024940679280266134,0.02991446826303506,0.06828200285858826,-0.01445440643620563,0.03774437937355798,-0.019070482699369867,-0.043918032689182124,-0.020806264797696174
SD,0.07410069533488693,-0.05624333251447175,0.7817046191542933,0.25231659797610906,0.1687160127954411,-0.09333565123952973,-0.33143655922294596,0.016896759512077968,-0.2195704096485085,0.023340645240055392,0.004297223046428433,0.033290826129108705,-0.22614875494866296,0.04323944230345829,-0.07052814016328154,0.07785749068953028,0.16174173250569948,-0.014906105242987388,-0.2022076119389414,-0.019651450363774848,0.07770251522255751,-0.0261630294158415,-0.11803810414153676,0.016093300284621182,-0.006490962448170787
TN,0.799168776261612,-0.07491265002295376,0.032207948908929813,-0.10942535368459422,0.18707948709454658,0.06899832712959923,-0.4812355175554435,-0.05558658085470189,-0.13724979911799723,-0.07077157570705403,-0.10333791457258108,0.015294936735840337,0.003380740348664074,-0.03568034834576286,-0.1911008846301162,-0.12895135323072565,0.03464238269450542,-0.03761309134018574,-0.04443149086603739,0.06467929124613496,0.005140744608424784,-0.06794254476179386,0.014688360692817518,0.038259848627816916,0.03141688371917624
TX,0.9562227135424965,-0.031613221805410215,0.07652082562299227,0.0788012365074299,-0.03944876407634593,-0.15904725495593505,-0.176084936083291,-0.00581516079496455,0.04777662420733732,0.09963969001639561,-0.12094409061707033,0.036207808289730074,-0.0106824171947559,-0.07945400161710749,0.02067721728974376,-0.016306451564787966,-0.028136110203782275,0.06718168098708953,0.022606645334674227,-0.043022055353030476,-0.035830707657198584,-0.05237741135648194,0.03282056193656562,0.03611625403513208,0.012545647334727062
UT,0.8396104790227114,-0.08900441110142339,0.06921416738013618,0.003853771873605785,-0.12691279135342312,-0.3114092835563767,-0.08465408511924849,0.10193995104607155,-0.0026564939467648417,-0.04259820381983847,-0.06994293443458088,-0.03129672223970062,0.13887536553443858,0.025001583303146974,0.14789067353511456,0.014058058954977649,-0.11217983282011657,-0.02108665954565671,-0.28686252816703356,-0.05253647366133894,-0.16201347228595425,-0.019225919994172124,0.10166009427745111,0.04808436020972699,0.014504795496317658
