abbr,rel_2024,rel_2048_target,2028,2032,2036,2040,2044
OH,-0.097354547737,-0.17559432190551832,-0.08992084974312096,-0.11798754024867515,-0.13560866869473312,-0.16720768795472396,-0.1480817165563561
OK,-0.32790844562,-0.39132230397206147,-0.33171945331731834,-0.345693748445607,-0.33702567004614375,-0.3819434794118512,-0.38526255502045487
OR,0.157789265167,0.25619131619970015,0.1736232612152332,0.18273312104004816,0.18723261025759308,0.20275019146863746,0.21756871658953264
PA,-0.002318811286,-0.05292050515119497,-0.020414399257083805,-0.03016913119125752,-0.04154116615115194,-0.05332647152355745,-0.05275555352389841
RI,0.152529629294,0.04847806430486959,0.13636224045444112,0.10093447460922826,0.07821790045985755,0.05297899488614077,0.06378143096784515
SC,-0.16395829524,-0.1737002137044736,-0.15504084215546013,-0.1523139420164418,-0.1664912129885607,-0.17024961932754792,-0.17433279721744255
SD,-0.277226761985,-0.36884446977580115,-0.2979675324541401,-0.33659725234815424,-0.3694328132727445,-0.36529749471279543,-0.3791939067030508
TN,-0.282479744343,-0.4603133949989493,-0.33163862225020446,-0.35242703051614943,-0.37459858175950084,-0.3882421845448766,-0.4040219516676746
TX,-0.122113957126,0.0024747195115693704,-0.07080673125672765,-0.0772758907243094,-0.0723053227627984,-0.040852579335537646,-0.035124168157441245
UT,-0.201104417233,-0.051933186229007805,-0.16903657549215814,-0.267506494280091,-0.1115124987247486,-0.07913510733876813,-0.03142127564207118
VA,0.072489489877,0.19612686487647676,0.09526280155382338,0.11564744022729788,0.13521894481900554,0.15935161918476867,0.1771853042340791
VT,0.329795076536,0.46900037061787525,0.3213127394655848,0.33952085851219005,0.3766273250883351,0.4132155352087675,0.4081809297989531
WA,0.196900981301,0.2907750366557591,0.22257611935817131,0.23041321385349095,0.2425939480928785,0.26126659969350063,0.26264089821642334
WI,0.006130806604,-0.06248418854863263,-0.013232193174239727,0.006562570273802297,-0.03897373995645746,-0.01394365588304823,-0.04944780201090682
WV,-0.403920476281,-0.6583518567500127,-0.45477005238655455,-0.4831967992335798,-0.5024865842826093,-0.5403451971763915,-0.5565683798228864
WY,-0.442842383047,-0.5273108619090275,-0.44210193497121797,-0.4397387536446532,-0.4516777034110751,-0.4678569720026295,-0.4779933971965436
