year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
1960,-0.641026831449305,0.39724887492501115,-0.324430785171954,-1.2925198055277143,-0.023934614929087158,-2.141547184607109,-0.7294634359705388,-0.06380656510736712,-1.8268693573528656,-0.31445992939883577,-0.11182636039774795,-0.6069773259295672,0.5072338820102513,1.2473332894331906,0.07822941738012075,-0.11174643759997718,-1.329104632505563,0.7173597689461847,-0.5444720461713356,0.5942508355060782,0.5210993591729105
1964,-5.274201619835057,-0.2349364931421872,0.77919860853103,0.8846768124379483,0.34096903798269496,-3.7195499628450577,-1.450570078961901,-0.06165582416182793,2.0505016211613727,-0.22642380548049043,-3.7097123386611366,1.5734636179459762,0.6573993260480875,-0.2072356733933009,1.32779989615707,-0.8504949991253543,0.3110097010290987,-0.05262993332643651,-0.29438382028556,-0.3756875183779511,0.05393907147961714
1968,-2.9992927383126577,0.0969624303804782,-0.11036323345548138,-0.9131725664173649,0.08930565568906237,-2.047315201441199,-0.8964863650332525,-0.04446059092949756,0.1497606001676437,-2.435381456976513,-1.503030314601031,0.6382518928868759,-0.8616188888443529,-0.2323192023592823,-0.43264611791703617,0.2918072970906671,-1.3816684156117784,0.8557723313695081,-0.6283129177219672,-0.47643539686141734,-0.365288454840835
1972,-3.8586688414381385,-0.41425970242186705,3.3694254839248976,0.44179319782368276,0.039768773562386554,-1.9384430962890669,0.5091327869907532,0.13207836375581808,-2.5029678308303245,0.08688449234841586,0.8498769992927682,1.5383444860197997,-0.5981212214972379,-0.3074470794430212,-0.051696224076391295,0.6681544219040717,1.250086733047488,-0.2296438387206865,-1.2823059060390911,-0.1420783428928568,0.4918373408750277
1976,-0.5409041779929312,-1.046401555121266,0.7716293949395454,-0.11672455960728662,-0.1278548391489455,1.4920674152748374,-2.4206000536990255,-0.1258028595321999,-2.603361951071211,-0.8237458376928587,-2.173008816954582,0.6086380403634606,-0.9667920694769145,0.0012408733882797068,-1.7994278046560903,-0.055670708914201485,-0.29285508450955755,-0.4539507088670241,-0.12895226990763806,0.2989205552449852,-0.075472280902246
1980,-2.537804696233514,0.7836815407572334,-0.8969135737905324,-1.0694403358517934,0.6157701973133383,0.978287452235567,-2.3238318366367827,0.10598628214654669,-0.8735080919579309,-1.6778390192963586,-0.5107504559886018,0.8016025368609971,-0.26134691149298733,-1.7499813262240216,-2.6964404342492307,0.07298077429721554,0.16788725553004372,0.24200347883909767,1.094261747615164,0.620394227958874,0.12304204724535361
1984,-3.0361863583078423,-1.7806310840567106,1.6148519151681526,-0.36094004598661067,-0.6169096890673739,0.7772251660161789,-0.6467010724703282,0.0993452433095251,-1.5756195282491212,-0.4029385011352947,2.130792943980891,1.0282994214117953,-0.01596612859104839,-0.6272296738503413,-2.641371275260545,-0.8497155565652579,0.4276812297161398,-0.39246192183364775,0.47340284242775504,-0.3656847854447175,-0.22448133227530553
1988,-3.0602308625476495,-2.0081493352170834,3.142265897105287,1.7330620066432967,0.06546754261592169,0.12595466167233899,-0.34710231885575854,0.0009319021718721617,-0.5014317156011109,0.39303356622140745,0.39554248636374106,0.327571624351288,0.34703575728181474,-1.1429941493045523,-2.1746566341494598,-0.5518064159102694,1.35979152364435,0.9123179413426273,-0.7396257542387301,0.2910822851574543,-0.17708773722839719
1992,-2.1971064409952397,-1.442291549036138,0.20980374781622402,1.0663542431059059,4.039078357447885,-0.1681239117710395,0.04781555228138443,1.6846922423725175,-1.4446936277690183,0.3476210976196056,-0.380834606616921,-0.3030794905414692,-0.04453427382401035,0.1679683215032667,-0.3674024916127848,-0.12447715532417028,0.21430417038549146,-0.6558923277278965,-0.1528732542005107,0.029983344535248573,-0.34915180108308014
1996,-3.687783118575744,0.687641301193746,-0.017866715030744107,-1.4505070295592104,4.089381094195525,1.4288209489812425,0.2712901541535097,-0.6896585621714995,0.1455047272392872,-0.5288422681051816,-0.7580149223990977,0.07145809274121068,0.24349939254914776,-0.7279256130034831,1.373386886908054,0.28374625029261585,-0.2553419699642951,0.10951765908976105,0.06235582143159523,-0.2456943857442578,0.010591161119087138
2000,-4.7388408041104615,-0.18026796949812227,-1.7236790233788795,-1.1990968703061766,0.9151233622725793,2.7039233365604507,1.1355639606419394,-2.523479016980159,0.06985926795823046,-0.13373493489396493,0.03348680386414468,-0.5141503512410442,0.4484715329162813,0.30330382208232093,1.0629294952789776,0.13221511785346304,-0.15128003140969723,0.6496049743967799,1.1024372347494773,-0.8897335425290516,0.04539867592554972
2004,-4.700561994811558,1.4871308685114693,-1.06754099911317,-0.7227495931004604,1.4096812324723411,1.5670989174096386,2.260709375582205,-2.8745306436640257,-0.26929455615182274,0.11107170475408726,1.0807263099967255,0.6044520441576514,0.040511751712073246,-0.30108199491119886,1.5597893013266533,-0.41626851591425396,0.5221428125468964,0.2750592797840855,1.0236686041048457,0.03353589268992956,-0.33948769270024054
2008,-4.668348021971944,0.823042562385116,-0.39354238783778706,-0.18566089223716561,0.0016028729630483177,2.251340356680504,2.636260869421156,1.5451267004417988,2.816966746031375,1.2410450511757316,1.0521109089121725,0.5805737692175948,-0.2664779572539448,0.738399193777178,1.8019671474621777,0.15283852097565429,0.6783548478743853,0.19382388525349448,0.9518899421356222,0.6415146305267481,0.8654972156197757
2012,-5.047426396349553,1.0704925863190131,-1.29951888369266,-0.5651597590051672,0.30248112483056283,1.3015458464815763,3.463773915459164,-0.48382485312438817,2.8814042967095803,0.883416439323529,1.0859748112949557,0.4127496542771365,-0.4726852424943174,0.2499235536285224,1.7072052659554433,0.38135153364596114,0.3673033008184123,0.01772661101151099,2.0727741218904745,0.6694404142244267,0.19419921015863717
2016,-3.911565519565877,-0.538340876821959,-2.732333722804849,-0.22849478879477644,-4.017357251663771,0.7657004678746441,5.082238176942886,-1.580086445121363,1.4316181699503923,0.6648956867635389,1.248794230457063,-1.655443386153067,0.2772096088568938,0.27769105053380794,1.3565219274430664,0.9091674330844443,0.014383689299636453,-0.5756183610880361,1.6933434533864742,0.16643510655998703,-0.21940320383983922
2020,-4.142606828323677,0.6137417730934,-2.9876402300003826,0.6190404917897631,-4.7316472445113416,0.4814772920245266,4.9891715235161485,0.3482566015611452,1.2114340661731202,0.5729647635472844,1.0363273239610253,-1.880951183270709,0.28162017661690586,-0.08781927040926679,2.046887573536923,0.5093737128281525,0.3847675366030785,-0.22620730799605981,1.9092828895621747,0.09063816008938681,-0.056319291536226564
2024,-3.94138576925072,1.4303922590805307,-2.55295343003075,1.370804588826733,-3.7736566272170324,0.13830396242925733,4.95221020318071,4.2819293419378,1.308384558165425,0.7422540199135402,1.4258306389690687,-1.251437564749011,0.25410939666909527,-0.2117100850555386,1.9980096205282394,0.19497259459283983,0.7988583675079435,0.08117634508575299,2.0156047638450736,-0.28577870700120195,-0.2250138599609717
