year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1956,-5.547070361268411,-1.3735875144092318,-0.29005109690366887,0.07053567260466038,0.025271272810664762,-0.307586185443717,0.3168096525468107,-0.3050349265654422,-1.2732874927533746,-1.7047078310983266,-0.07322665302704576,-0.15400001232221408,1.3016020755066804,0.5124882402087035,-0.24686581819280848,0.4955420734809709,0.9336401837347387,-0.2136632845847817,-0.15539954697507627,-0.13193434723368114
1960,0.03262157925942565,-0.2045053946077545,-0.5439911141606137,0.12255327787223701,-0.13117822220689238,1.3204046465056722,-0.10267159033909368,-0.6719187947647929,-0.14657157477106986,-0.4733052086135745,-0.060548172749448785,-1.5871461582736202,-0.6564543433593737,0.4209115166247974,0.3120877673728692,-0.4479520581602141,0.18736055721450068,0.34308556184298566,-0.2596565259120623,-0.5525755391202348
1964,9.113739827241195,2.05449021399512,-0.9238431307828876,0.9790702083145804,-0.24599322013546773,5.9425900473682,1.8133889845661526,1.1069504195847018,0.6011950907709996,0.3179310100305474,0.22841455760162976,1.7123048326930252,-0.19222501664935396,-0.6811155613164742,0.4684742255581915,0.1956632969096316,1.9980563559331228,0.2679738031095853,-0.20138955570407352,0.20084909467660766
1968,0.3892020329087498,-1.7922780486755125,-1.6647915334730032,0.3369298129841957,-0.23758897256280428,1.6501717455376994,-0.2530811076585893,-0.3748400316150405,-0.32373864697291155,-0.5842145029366151,-1.0828031866309469,0.36028573702146405,-0.9199987734045599,0.7415786047527814,0.02837526092320733,-0.4551127604302439,0.16726282830475056,-0.8433105897172427,0.3440781454002328,0.36815962171350103
1972,-5.0390056512033325,-7.42325415509455,-4.92694124636797,-0.7458826473721321,0.25406361369202707,-0.9590816539745513,0.6960116175243596,-0.35328427910937504,0.37068027157876077,-0.8566975180471461,0.6828380317047718,-1.135986180950539,0.27773916836727985,-0.5487879559483193,0.07219535457017469,-0.09921388802894716,-1.762693955461857,-0.17287535290161737,-0.11410923109950345,-0.1020401081655227
1976,0.13984900686048962,0.48079141564602457,-2.159005542228726,0.5567669367794027,-0.34335334280126495,-0.5706692153381653,0.48023248981899946,0.10744039258737016,-0.2178059561467387,0.5280227261372268,-1.0364787513101754,-0.24725366871625823,-0.15006698349443492,-0.03164373415225839,0.22164810868229448,0.7418717004708516,1.513570646693364,-0.14627203010425677,-0.5066295319833217,0.4191469286804907
1980,-2.7248553870130072,-3.240459393883991,-2.5026033796500795,0.29574368908780263,-0.2447097761534991,-1.2552621369897394,-1.5508215261350913,-0.44548077220328774,-0.8639139612705228,0.7688085788003888,-1.1857062658208475,0.33829842125363696,-0.22404239233920328,0.37097501061060567,-0.17973784724075828,0.5396005011798021,1.2052605231500433,0.23214265485139124,0.5270809343956082,0.11286350819130767
1984,-4.459138708736477,-5.7168917215555135,-3.285387378139888,-0.696015762874,0.1977047932555688,-2.4427913785184976,-0.3831077285288908,-0.4977994128969417,-0.27673089600457373,0.18413160434766082,2.0309327110326003,-0.3300883735704872,-0.07408483520204144,0.45098173473250197,0.13818891535907254,0.024683415835758553,0.3686874229979444,0.21215427379379492,0.33463070213791124,0.23595417163430843
1988,-0.8261116199461345,-3.193005460207668,-2.676417950990364,0.0486063203795065,-0.00606939273383856,-0.7519294460073146,1.4154397026629855,0.5401845802235424,0.13151851216585483,-0.2863183440612944,0.7963622022537201,0.3321401404627437,0.3429636957488399,0.1683533986597414,-0.7763972542058267,-0.6707057342173176,0.7244287301329497,0.6047506940252423,0.35828388368040714,0.01383289506096986
1992,2.781208777490454,0.025788396596948062,-0.09431962666244595,4.3687026523149735,-0.5545164205334029,0.5675520864677006,0.5609695014581205,0.82181775263089,0.016713170502358852,0.06198634853077405,0.4345070008465881,-0.7532763675557258,0.43140286125997757,-0.12731925285063497,-0.3083088965823673,0.2725668892267812,0.2974713488071829,-0.055063777922359246,0.08748359636529315,0.11541688554137876
1996,4.270326939297733,-0.2537776708678671,1.1894987865592692,4.152650407328262,-1.0318800559710821,0.16658538100456927,0.3147450262805449,-0.29101483906662456,0.516093527449302,-0.03550693011573364,-1.229171866027896,0.16152939069545325,-0.494900653979228,-0.16127598198656765,-0.289478110423022,-0.004111229910786797,0.26642311386415307,-0.22800928114382554,0.14807743808348237,0.13841320280142827
2000,2.1527866615262723,-3.0589992967562556,0.685680830315147,-0.78035258716411,-3.0590502136525717,-1.263816137274637,-0.8732449532056236,-0.3865231051395186,0.27501405222739533,0.5586711439342563,-0.25998137796713405,0.36292743204620437,-0.5640792262508819,-0.10393472003003394,-0.2104363282337316,0.051550823779024514,0.16328389125729612,-0.4025394553123848,-0.48234178970482006,-0.4478255025695783
2004,1.7799966725585568,-3.751604741023523,1.1535946230743148,-1.8809580805078423,-4.169013543275896,-1.0744882302744527,-0.5725304839014594,-0.1283945632692744,0.14119992657820535,0.17168873388287054,-0.5834223204129021,-0.41024125591412225,0.10910456035030124,-0.05078245902426033,0.12197026272751635,-0.045236433043461956,-0.28708886621635865,0.2281136454551951,0.011020588560588126,0.4347774272430082
2008,5.150051463852505,-1.821641110195046,3.1975683633276306,1.7449839870139545,2.3711928228082857,-0.3280308318282854,0.5586552831390683,0.05187373045267608,0.1678959218028162,0.25281187689595425,-0.46838553578069025,0.9457254345103999,0.09371951924772438,-0.15890062379955444,0.7543450140601687,-0.2685577571219525,-0.002908262299632386,0.30205270487497843,-0.5294599849688362,0.02237457393924039
2012,3.965292681812764,-3.060815730002553,3.1404318129695095,0.1621143445387622,0.06864895556107216,-0.12924241390077662,-0.19449110952574167,-0.12119849124276987,-0.5495077463384287,0.6464746182211063,-0.4443191074932182,0.9172457712950889,0.2551157931498688,-0.11997825125661885,0.4006670336963496,-0.23270963926625052,-0.8879590359379658,0.322349501023243,-0.10280841128619676,0.12834769229668164
2016,2.487230056034075,-3.5323348706666846,2.7737980442074,-3.426982952063081,0.7149357039224326,-0.2808421627248692,-1.087689974468189,0.045670348770362426,0.08367026165920961,0.3121568861543504,0.9904961425012145,0.07408420863535836,0.24253134057703676,-0.23082767352128608,-0.175627399926731,0.03508970099309598,-1.478998380874168,-0.01992630418721301,-0.07390017721865984,-0.16031164687569135
2020,3.601024602566492,-2.9895343391420974,3.172933264639808,-2.5690244122599046,2.9276697826391773,0.20673044706616397,-1.0593395394076344,0.4149532493567405,0.25600801608745616,0.6028207260834927,0.26464829859125316,-0.31424807805790256,0.08985668640038197,-0.2286336278864934,-0.36348465106617256,0.04391000783438724,-1.1866888677548157,-0.14988525036780387,-0.08447409549970324,0.012338980381038228
2024,2.216329215967145,-3.829945298121147,2.6385346391363567,-2.3799824673911516,3.162295468892314,-0.09305506661902213,-1.1582601899275906,0.6940590937324043,0.3075718801792815,0.510383830548861,0.13942979161087068,-0.5774087205016196,0.3418992836379184,-0.165558975034861,-0.39505168019971093,0.03261493952021219,-1.261489738323825,-0.2985089410969247,0.18442293166371423,0.10095747366965152
