,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MN,0.8899339059659866,0.11435418517086082,-0.2457721972144688,0.058183934392773286,0.041687148894061464,-0.040313043055283035,0.27749836464110794,0.013487543345429771,-0.1027453236867549,-0.1477405922420935,-0.002993949529090132,-0.05933788501046508,-0.025028643214601094,0.020809271568002746,-0.02325426967267883,0.045304735673503245,0.1465234337812915,-0.048203485570837167,0.14534723260998514,0.015573979624471405
MO,0.37348342281343155,0.6990630522607839,-0.07183251297820006,0.2711872869048662,-0.15297680122870883,0.250928205185976,0.29983835113379925,0.06161543432175321,-0.06974087258420851,-0.030134028535105467,-0.04157952464643174,0.05135934325925379,0.029123941908326272,-0.07046124610024068,-0.01221334052957029,0.018457279718222662,0.34934858771903826,-0.04557728749577081,0.01392234991124437,-0.06010113532294782
MS,-0.37732181142382676,0.8598133671282894,0.14768823032261896,-0.012764534056301452,0.013613594607617269,-0.18678024967571982,-0.019404116556813608,-0.1076004714878859,-0.045276088874723744,-0.017334670494265132,-0.06187278257629152,-0.0021861809726879474,0.003397878348484057,0.22326931066311564,-0.025119880919723676,-0.033908760172816514,-0.1657656330417266,-0.004813178918171797,0.014187352798650145,-0.00967910061911291
MT,0.47849928741997355,0.7690305964576699,-0.17857277810487884,0.14483689589788154,0.07958008441325842,0.10934777603317164,0.2604162500938097,0.08717647501391135,0.03768960037360736,-0.171249039929252,0.08965006109079417,-0.03031588134723686,0.06023319715742777,0.0266336232109308,0.07943562854378496,-0.05795804305256124,-0.007318320508115422,0.09209256662640362,0.05147319428026375,-0.014575294908294758
NC,0.11826369090358975,0.9613568497703642,0.1354899772846918,-0.04384484191617574,0.09738152094028772,0.03891184293745005,-0.0937108307965094,-0.07365786475099945,-0.07531222857201804,0.03467293157798367,-0.016781234712929142,0.0012057790153973851,0.1151500953181428,-0.07175700703946385,0.02402282267811687,0.03586822423078651,0.14282283457299738,0.044344491482365675,-0.010272493598090848,0.02479622680574215
ND,0.5093255406500212,0.5756132153958916,-0.2003328002434535,0.1313783269136471,-0.01109942951087984,0.06609967485540232,0.6046247170720279,-0.031329715158234565,0.012020406703142162,-0.0359592809307728,0.017559581339965456,-0.01167755813885688,-0.03458115006025426,0.08630168740277196,0.035123503220109285,0.01038940651614843,0.006988047304771841,0.03349315105634084,0.013575275813426844,-0.044928616022602834
NE-01,0.03591592866195121,0.06844993784085401,0.03627861675278985,0.667281351754145,0.7539238706441036,0.0718564042082641,0.046226474459951886,0.03305545555306125,0.04107062222782392,-0.0007306118717054606,-8.970413373128767e-05,-0.027601874342274284,0.012882627554828253,0.005818593925955679,-0.023552532777082705,0.0010203481147476028,0.005582906713102969,-0.029075983138596915,0.018410186388757115,0.0065370388823059785
NE-02,0.035292163316410115,-0.04224544864070201,0.16130991398194702,-0.31466140595283815,0.9451105368198595,0.0828447865203085,-0.024929769963372664,0.008676966763770194,-0.02151688375400469,0.007533089542698589,0.02353281743579346,0.035815343093215435,0.002483529820698535,-0.004054881676694143,0.012698800274665833,-0.002288345982864974,-0.03962054097632586,0.016315178197445726,-0.009940766455575564,-0.004104757330978156
NE-03,0.012673625787624234,0.11172479949312256,-0.09290151040806147,0.9975658519147858,-0.09458933868949464,0.0032027573099795907,0.08849707685575219,-0.004120150188099373,-0.013964176061371214,-0.00903276827469868,0.022304041514533357,-0.002337339176484494,-0.001267668811377206,-0.005283953291487895,0.007348415578027265,0.003290647439138743,0.013152430065048897,0.003571112294914534,-0.0015943977820848513,-0.0015023772529573023
NE-AL,0.3911049378055117,0.7465383558544969,0.08202406793141513,-0.00408022093152573,0.11528773515870475,0.11838877497863,0.4294539300583847,0.27637206339353065,0.02385534737606666,0.10282994266074105,0.03906801007369285,0.05811762533894108,-0.023073689160060952,-0.04070514786915894,-0.02682436062590767,-0.02763620917638267,-0.05492306310717271,0.007320530801455084,0.02469905781980068,-0.07090232202844468
NH,0.800313101690393,0.2733925783317285,0.35943640199678656,0.04940164074541111,-0.02940263511080632,0.2943281152601901,-0.04935255895082157,0.04081159017002057,0.16778760344171315,0.0339535191514128,-0.0687988152463184,0.03369286095379579,-0.08841813654782428,-0.1029015865475504,0.03352430469890151,0.017254040440049367,-0.1465135920165129,3.949509291226839e-05,-0.09946529870984773,0.09233395063256258
NJ,0.9758165584421364,0.040421510713224466,0.19668290609431616,-0.015888157436593636,-0.04770212453904538,0.09907220432364978,-0.0044074521782690845,-0.06722331398430281,0.06640372478394745,0.061950112633356175,-0.015593012192298819,0.03174733839796579,-0.050570464987906086,-0.02753379076157341,0.04482297043746965,0.016514605835431066,-0.003643100531584266,-0.01822812399348389,-0.0038088492892352594,-0.08817692585006288
NM,0.7014216672251984,0.5539018930554435,0.3390588897135478,0.009278914596358372,0.0876809036758853,0.057642412603238664,0.13720166950099127,0.08358276410704847,0.030515902423276484,0.11481909217959987,0.08940577185769802,-0.02080648622479699,0.09314308234871106,-0.20337079838310365,-0.0018010595206956828,-0.08592705364848706,0.030322472780400296,0.022603576431486937,-0.03434432786066224,-0.0219491506912841
NV,0.6298573531207446,0.67517727296728,0.22599865381540363,-0.034599800221497584,0.012561385274963371,0.06716028237006116,0.2621081233182042,0.03126117044630457,0.028090291660145133,-0.01282778762588962,0.027352116719929164,-0.0641920753745302,0.06561694092975444,0.006165771292847962,0.11217340707762156,-0.024585010420019864,-0.15241030185497556,-0.04030304738951521,-0.07508999816225521,-0.03436773453470389
NY,0.9536459393567236,-0.10129984427426131,0.21194378830773086,0.04334398331877279,-0.07795141842128399,0.045115565134150146,0.11642037392171672,-0.08099002068944927,0.0744702515523611,0.11577454840021581,0.00350083154547354,0.0652481303458429,-0.08809610260300678,0.028294991322957267,-0.04010408509525679,0.015071026714148228,-0.006337505883293068,0.025370876182810063,0.0425883566478831,-0.05962697723337825
OH,0.8478924298206895,0.3838530728274166,-0.07574811641703012,0.14254350867024856,-0.09579723660962364,0.13725726393544516,0.016598918311170406,0.21371870641644522,-0.0025322023790338814,-0.0680625656351518,-0.048650723025211236,0.099198217102391,0.02063601549701783,-0.009742266316304364,0.20548723015847584,0.002376350386839187,0.07417965475650025,0.022064209115255425,-0.03735462733220075,0.021847414824380306
