year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
1956,2.2963049353998604,0.40749698911192417,0.5543781509189446,0.34972194059271844,0.36650932118151053,-0.3036717230414525,-1.273642300934349,0.25696053558728416,-0.2958020009780601,-0.35613639860811735,0.03472253427384925,-0.253490471607932,-1.172847816791648,0.7096931530503697,-2.9714772152074858,-2.678370851177061,1.2075252139491788,-0.7131212733693822,-0.06374095630488608,0.3588030278939196,0.6261300905375575,-0.3067787381469579,0.7648556601104235,0.3039137430085626,-0.4802990153654249,-0.2328724791383273,0.08633467147154361,2.5677109725016995e-16
1960,-0.6439801731565398,0.429427381358375,-0.31714193184892087,-1.3010931549128948,-0.025159891134936243,-2.1293886174800902,-0.7160926236292464,-0.05874324076217913,-1.843749986283733,-0.26516681437636863,-0.12807389075197284,-0.5950652565708752,0.47096679913323175,1.1954238165029512,0.0444399534720903,-0.5216291876792383,-1.3316911665045752,0.5310230321540653,-0.5331924501967913,-0.1464990974268592,0.32587653459827715,0.5780006325464832,-0.12789286337501032,0.15390015489532202,-0.5432448708264217,-0.18838836054001962,0.1696794736462771,-1.4255609733105036e-16
1964,-5.271342436818947,-0.21202407901324705,0.7912999364949451,0.8689488398713985,0.32797070524524413,-3.7074716081641137,-1.4468364714619777,-0.05292863803097097,2.036987820127516,-0.22531165317165971,-3.709746760065686,1.5904278802477665,0.6968148351758321,-0.2429766564669444,1.3382331324187913,-0.3088414879059645,0.3293231760817374,0.10556579191947053,-0.20018569266624892,0.2054264652473581,-0.2516342101865886,-0.2779031054411292,0.6522516438051396,0.452968406295393,-0.22228550630075103,0.1373241750135017,0.18706762642361938,-5.124626354434755e-16
1968,-3.006195009055596,0.13647923847588614,-0.1312579616486535,-0.8850901875916686,0.09403586024945373,-2.03281013622891,-0.8967086949568577,-0.07216728557988447,0.15367314094471604,-2.418801160826233,-1.528409206166145,0.5943949986680291,-0.8517290574144313,-0.0934722718225672,-0.47127071663025943,-0.6443612776955391,-1.3486365910288147,1.0056528621186607,0.2268742165929513,-0.4620130596292776,-0.3943974027826751,-0.17345361334756243,-0.04269580442506151,-0.27062946200526156,0.32421535070864854,0.07170944834184671,-0.2026294866352164,-1.0358666192380535e-15
1972,-3.86022771573588,-0.4753243880862695,3.3447331069190986,0.4578942094763532,0.04728123971134119,-1.9475137589007636,0.4904974791064728,0.12482860205773078,-2.476626255570743,0.035661332149053614,0.8632895761705923,1.5030637144629047,-0.7725990028104738,-0.2382107036023135,-0.07807384620068472,-1.2709719081266873,1.2563788669880374,-0.2223095688610592,-0.058528597880928165,-0.048963171797505006,0.39665340146774536,0.02780444198491537,-0.5404760184998885,0.2500016829084247,0.4453873242094034,0.4240631061976176,0.025477332091097125,-3.061356659908692e-16
1976,-0.5333533241280948,-1.1446189592999343,0.7669637204785651,-0.114899116012627,-0.1189663057558664,1.4629532666952725,-2.3964428462685143,-0.11467216755154494,-2.586752780149507,-0.8168770457207105,-2.157100827815957,0.6240866959967589,-0.7525492682626513,0.004206853898277044,-1.7877850533666844,-0.1419597076309108,-0.32449064735671046,-0.29099632349025967,0.3284009968856809,0.16451227133941565,0.42539710866459046,-0.4462276266138788,0.007738903476845894,-0.42291966138494486,-0.09752793410430396,-0.43482856619285143,0.0399499234952097,-4.869816301672661e-16
1980,-2.5295236177460567,0.6755270384393474,-0.914765730750235,-1.0537704210382823,0.6156232618745545,0.9714858385309348,-2.324225873406896,0.09869150473385976,-0.8711168135002954,-1.7183419905938384,-0.5008904835592015,0.8045870889265975,-0.07864473594467827,-1.6953733405693787,-2.687061553952303,1.077655281990321,0.11890958279202393,0.2581902088083725,0.12881460741830011,0.37374403693684444,0.37541338302676375,0.24088739645371435,-0.33098337774845404,0.19927175404665556,0.4239303555183832,-0.6349798906866129,-0.00267984419156659,-3.89068593917095e-17
1984,-3.0352961407210945,-1.7585059584059355,1.582523320619716,-0.35800996170387517,-0.6130841642835007,0.7867455910484148,-0.6628490988730333,0.09981465713288941,-1.570889256817615,-0.4145429195494853,2.1296868022825066,0.996570576114279,0.060005176812437715,-0.6501190185719484,-2.6544391331234856,0.44676092605275136,0.5226460941141834,-0.04660718986096066,-0.1958773782647117,0.18131817856008947,-0.36712320420045674,-0.7536839548724785,0.601752570636074,0.0563375681837445,-0.3190488305468459,0.04669916455439987,-0.08873429754527452,-1.0469013159268696e-15
1988,-3.0565678427197005,-2.0712117305402113,3.132342463089515,1.7170353398857143,0.06471894154960496,0.11397108132256918,-0.3453813823960241,0.01342670406885256,-0.4794269908251242,0.4078576397672888,0.3948389055621141,0.34828084724456665,0.23292366117091023,-1.2125702889237562,-2.156490228401878,-0.7218261516348811,1.3147289527598367,0.6450653526245124,-0.24268898535822528,-0.02305878822441473,-0.136783887904499,0.668117379383512,0.5563469062636895,-0.2206504103897954,-0.12657155983114546,-0.24293326528008946,0.004852277117931894,-1.1367233753868308e-16
1992,-2.1973093318579187,-1.4491844791824438,0.19481279057560935,1.0925920901039037,4.045327476551177,-0.16378841751004816,0.031934695048397854,1.666427953391892,-1.4265354381381061,0.31058721940131745,-0.37065520487040404,-0.324913557979606,-0.018300020116009872,0.2116970998250575,-0.34305289584014875,-0.16731282756076987,0.2545116862261875,-0.5460255653996998,-0.049265065984592175,0.20965419109409325,-0.3608284690445421,-0.3624027304477281,0.02529157581708402,0.02840295816806669,0.13012866327663494,-0.20025681393379505,-0.15013177801144112,-9.603635099526621e-18
1996,-3.6943803515039177,0.7681508313275944,-0.012585260870132979,-1.4947927083058428,4.07225169495091,1.4584912574999491,0.28555862634927515,-0.6788746730261043,0.1172153283540034,-0.44866852568363275,-0.8093872596996882,0.12012805124807702,0.03386374029515674,-0.8012488772214201,1.3218086805409734,0.10200322650057832,-0.29544050744525135,0.07570354379695701,-0.11385583420657583,-0.3049448105043839,-0.24618424780118045,0.10363391747635535,-0.18443263696027548,-0.1134569354347731,-0.22365637455675935,0.4706866124634542,0.13587093289411256,-7.967979043863519e-16
2000,-4.728928693529802,-0.24148353204242368,-1.7259616456832978,-1.186290679088407,0.9257723181078379,2.6641628606088243,1.1554105533795442,-2.5109820330138466,0.08511363484440931,-0.16244560545438685,0.07235879356194777,-0.4907055805477252,0.5523986211887719,0.29257218875080765,1.0697170444815303,1.090270674190193,-0.20746452505231705,0.5779911057236131,0.7051888107471204,0.07571354959646735,0.08640176906339882,0.22277555808458457,0.19150770835029637,0.24989846882284622,0.16697850877176165,0.8540509030819844,0.016606906397282156,-3.8685450885475687e-16
2004,-4.702717663693503,1.4430403122821633,-1.054919351674548,-0.7302899517489866,1.3989145687125115,1.5674729460993004,2.2511260923631378,-2.8781672597470465,-0.2808716776670832,0.09898415724221608,1.089815957213851,0.6304826150409333,0.13653846875832065,-0.2783692331668934,1.5862008394191849,0.9872363701516803,0.5387275485629621,0.20403487180820426,0.23153831357858812,0.01120531323374218,-0.09320567270972668,0.11694958078713141,0.5505427175187682,-0.17650809633227685,0.2880037153374301,-0.4357255737437263,-0.035142989959191115,-5.821250790755313e-16
2008,-4.683623485212879,0.8609173210688679,-0.40977943589373883,-0.1688887126885206,-0.010863136449235785,2.2854013981493173,2.581123785448324,1.5158342454387381,2.81295305414914,1.1698879069506491,1.0618865491675493,0.5126723341787138,-0.23046428373828554,0.8352916466827176,1.8029171370289285,0.9301725576342077,0.8147799785470247,0.15065956569098315,-0.49144339215695915,-0.18926762481569614,0.6400196453125241,0.21455221347769934,-0.4384957112864872,0.560509389152515,0.1378478057670275,-0.5069427107493171,-0.06681351474993706,-1.086527244806696e-15
2012,-5.037837296722113,1.0549306138768322,-1.2964559719423006,-0.582086096580553,0.31959822366214524,1.248199580177368,3.479837595524303,-0.45840757684679123,2.8836662962433075,0.8602672112546494,1.11387111098308,0.44672086102614217,-0.23029494135827103,0.2224240984107302,1.7096150688994884,2.0482895395741525,0.4168451574103513,0.0039047256419814714,0.32128693420672166,0.22423372599225455,0.8550834194287372,0.10782787707868571,-0.4768363242962681,-0.5014373172839431,-0.25810609645847404,-0.2867272467168613,-0.2056270593555344,-7.220610331082166e-16
2016,-3.9178857722009677,-0.4561102875982079,-2.7365678950091863,-0.22746925239217855,-4.016352514105929,0.7701010706810754,5.073226733573213,-1.5759493598008247,1.4327075226273698,0.6613028979138191,1.2669315410590922,-1.6655993577921697,0.25450285281324486,0.31826441294314844,1.352046851739271,1.6812668322622637,0.08985101660989762,-0.6073267372581506,0.16777284761010913,-0.23492760545386907,-0.3234595295194147,-0.096551685666925,-0.8875269047787204,-0.1993079797601303,0.1169337179673067,0.012430579566006815,0.2213916921148366,-8.825141309790522e-16
2020,-4.149386403045592,0.711170581736074,-3.002684956347505,0.6290448061081552,-4.724419853216034,0.48567053603446975,4.972282959194287,0.3333725966594774,1.198547865788544,0.5594349711397542,1.0240397294912549,-1.9227612057381702,0.2169794820773337,-0.065502901959528,2.021823586099328,1.9041952587552762,0.47877225294199804,-0.21808542680897122,-0.09081298274916177,-0.04755661240237291,-0.042087469502925315,-0.012010446735369194,-0.49718030696970883,-0.2095274260636353,0.024275906375585743,0.22363390256609833,-0.3019595543890939,-5.645681973577376e-16
2024,-3.940448952200788,1.4648790391673063,-2.5496248472155045,1.3646747363350598,-3.761675101550327,0.1181617789860186,4.941838678471654,4.294063686415769,1.3014955711630498,0.7201002462990859,1.4489888487584226,-1.2427404659194807,0.2864170530884028,-0.19443942340244294,2.0013100332298066,1.9911183597130522,0.8692590172162498,0.03970116800743893,0.37423922276015137,-0.06114066154470538,-0.07988145780165286,0.04313982142941665,0.03465035398051817,-0.19943074429402363,0.2328921775991522,0.1930682519464988,0.0688872824662114,-4.249275498956081e-16
