,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28
NV,0.6877349221233483,0.10999393617701535,0.27655452022570376,0.10110011263346823,0.02150000504742462,-0.05889693845048272,0.3838960645286543,-0.054417038558903424,0.1442738903452009,0.16274958911531254,-0.057021146688504665,-0.058492088428024606,-0.021484553551829863,0.4150585075467486,0.2875285298796085,0.018651547479171162,-0.026142683342308036,-0.004275359669373292,-0.009254518715116698,0.012712227019845954,-5.751750041536037e-05,-0.00959153784284581,0.007653563479352458,0.005175101936758578,-0.005552844132326315,-0.009804322965700848,-0.0016794016829426784,-3.489456240582168e-17
NY,-0.8051430662939923,-0.01021678051877262,0.009499873521686105,-0.1348270868459439,0.04123326182655236,0.2060421875344473,0.21265412247287863,-0.13052181456865447,0.18397365605815647,0.017469715088078073,0.08410515936406955,-0.168122233496605,0.1394710229914694,-0.0019858263066622247,0.2882873786178717,0.27828052741270687,0.025580646187802702,0.004047039782576998,0.019986344877703646,-0.016179782645148827,-0.019966036373813667,0.04902757409144357,-0.05906914223259741,-0.07234721993251005,-0.021817388738713944,0.03298485301359616,-0.008931465245665153,1.863243523664131e-17
OH,-0.17571060674708475,-0.036875843165845947,-0.14728504542291948,0.26347850254191574,0.291534527454469,-0.07387252770789322,-0.21345479093245737,-0.11585375428793725,-0.027814542252561057,-0.08210196444227724,-0.060189545215863616,0.863781614794661,-0.003328545720456066,-0.01107866340976605,0.008726005446539955,-0.07262148183361655,0.038545966370649144,-0.0028171201108773258,-0.002772636501138632,0.0003906607047858877,0.0025967009811165014,-0.0012265744601744823,0.000978150231613488,0.0018273214461096412,-0.0007883599739023885,0.0003953731970873792,-0.00021538782386623298,3.204028372294086e-19
OK,0.8260185305735406,-0.0026667099231326326,0.12504635179877083,0.1451944339913944,0.12022174371248516,-0.06679606432512113,-0.3806215752603438,-0.0329532728217408,-0.0216367708566561,0.11751698226074406,-0.18762042324356634,-0.021033202497996166,-0.0075030268287605666,-0.08388029694891708,-0.18828969302786502,-0.15450528854384976,-0.038007395214504226,0.03029453196837758,0.07449998799310029,-0.020859907458506344,-0.038285979097847984,-0.0653224411127129,0.13156794252185586,0.020467149381510178,-0.0018791894236631435,0.06955264863466078,0.011901308778349504,-5.0683340400055044e-18
OR,-0.3518843157764042,-0.03365636987167567,0.14408117200257983,0.21268736122295184,-0.16471578036250392,-0.016230967874405682,0.5271269490732601,0.139482896588044,0.04250256117509804,0.2178880111625256,0.11003834400586986,0.09188713888481609,-0.012094709518134607,-0.008644430948271834,-0.04909870973592845,0.20238161911803465,0.6385219498690702,-0.01237013306472509,0.0023748177349689993,-0.001650569278304188,0.005889730247092901,0.0007988029254739732,0.005552057925905179,-0.0004323645904686294,0.003420870239373596,-0.00011164032352778831,-0.0005640585383489029,2.738791074314259e-18
PA,-0.8198916235353042,-0.1426933312021706,-0.20395342244529277,-0.2258879788661963,0.10082999064844818,-0.055218626199551535,0.07985258494662878,0.04192080556831791,-0.08601350317073025,-0.11730451120421276,0.018185357089831294,0.26183066652446907,0.047145978071906194,0.03493176271718674,-0.2273877341531599,-0.1280340865114765,0.1202490359167284,0.02045746956371667,-0.0761421000929256,0.01697343883617168,0.004779793024019618,-0.0036843167729842296,0.21354030805936128,0.015161056091492842,-0.03089599720345787,-0.0333129970315204,0.0013241715193257645,-6.127007727006139e-18
RI,-0.8605648005716189,0.023072213287143366,-0.04253545145832772,-0.23322858803709545,0.06422235603781974,-0.16559424532022496,-0.11315262988862364,-0.08620801026770686,0.10210284673938817,-0.057224560612330146,-0.11603052463958555,-0.035478146419098716,0.05999477403975417,-0.09021200706488675,0.21643718170556273,0.07559557522557964,-0.1408033980162454,0.26855151323830523,-0.002557293086259643,0.0072506859097387945,0.008685478357582148,0.03540368008553973,0.04087838059562442,0.014128585229036296,-0.004849638685368261,0.0006093241401663692,0.00011303454362035903,2.6661330588774206e-17
SC,0.9549792485020943,-0.010490128443587751,0.04950751224098252,-0.02690221689738133,-0.02406830240702428,0.039779297973463454,-0.25579205935327837,-0.011997002900405302,0.025238699682857583,-0.09536016736987515,0.06358200229091755,-0.042780465854230385,-0.0048318712354358745,0.05020387651282392,0.1385001872327414,0.028512296191322326,0.021860737617827558,-0.007195929275157783,0.01718491657030299,0.04801250909941438,-0.015588268791809124,0.050151745443672006,-0.07348595294581468,-0.043457567430229466,-0.024557168984256333,-0.04402595519080317,-0.013070225275279321,-1.460121149343545e-17
SD,0.0741384092501928,-0.05589964579089023,0.7797917571898584,0.24919833794433063,0.16830355987610857,-0.09363336807400188,-0.32911305447483613,0.017795727463011658,-0.21786702534964045,0.03040504719486153,-0.0004880415415328869,0.03690496665800592,-0.3048265879166287,0.028103419301862262,-0.0763383749976425,-0.18616588911381043,0.14358946600073907,-0.02735598994875919,0.05025213121187765,0.0012801457581859057,0.04658751584572534,0.0035879680607930667,-0.041685377551460054,0.0064305017481361346,-0.007342091135662255,0.025607888545820332,0.0017771863089443736,-1.296479815274696e-17
TN,0.7992573898891335,-0.07498619884561021,0.03237055393401374,-0.10950338896182882,0.18707124135267972,0.06903978409286263,-0.4809789557220501,-0.055477578901139295,-0.1371823157249512,-0.07065562347773227,-0.1038041061003707,0.015441717427782914,0.016655641663795323,-0.035639741429055675,-0.19137264972644383,-0.04498796491530645,0.033077702287455824,-0.02987197535113677,-0.01248093791912549,0.08552208319260757,0.005741102797590974,-0.05410316164860381,0.12317189525314161,0.0326240515750536,0.036159855589219414,0.019512622132944614,0.00468723493873722,5.355428674047419e-17
TX,0.9563071225806149,-0.03107670779634482,0.07656580542198525,0.08059999943683673,-0.039338205786166154,-0.15870816073737132,-0.17702136569513566,-0.006412608167064656,0.046563324098633604,0.09507545494699582,-0.11895746354466087,0.03409136550184574,0.02666131356742872,-0.07482362447565996,0.02360033797741998,0.014895843504384295,-0.019730678259120213,0.08856425070952229,-0.013444201252938126,-0.029724168951108108,-0.03202372311011644,-0.06926284116540388,0.0014464004731312178,0.038567112306300236,0.024038457382875418,0.013386629791439057,-0.010017500701915538,-5.4314350930293984e-17
