,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
MN,0.8903144539780148,0.1145280539624297,-0.248433705108932,0.05795100806458619,0.04270601250476906,-0.03979119469748863,0.276305418148115,0.012271800996030598,-0.13114122485617682,-0.14302401411579307,-0.006318169618668872,-0.0568918481866254,-0.039326982642867055,-0.1400984433463618,-0.026375349477761857,0.03096590727838902,0.03215985568836495,-0.09892078192681436,0.09098498731658235
MO,0.37395670206744397,0.699262124654559,-0.07641718039768719,0.2757051044508054,-0.14871665994671993,0.2517783244426022,0.29820354464542,0.05735265423041747,-0.06466602082953479,-0.024805400572776113,-0.04421641703035526,0.051434703143229045,0.02803980503449167,-0.35502046946331206,-0.00655570455164236,-0.03631023709469061,-0.04918781394307219,-0.053318328912176596,-0.0030948039484387287
MS,-0.37694448145409903,0.8605183290347079,0.14545753347253979,-0.01192191027187565,0.013127529221976512,-0.18554859933497994,-0.020183801492364963,-0.10507906648881432,-0.12721307447930286,-0.017979155942551832,-0.06995353900988989,0.005789547809269728,-0.02064946821551026,0.20057771550569956,-0.04267165767040419,0.11836782615557787,-0.007511446143238961,0.08619792487766181,-0.0027540620636718025
MT,0.4785451417691299,0.7688184992550168,-0.1788250667664428,0.14316331648190692,0.08201910091676627,0.10922247128062054,0.2608772902814404,0.0876551036472985,-0.007762714238687697,-0.17859659905735648,0.09045355771676576,-0.029381624749921585,0.05511499601724407,0.015964822307392573,0.0816807980873799,-0.012891050189398044,0.016897656579541943,0.09263017443291083,0.07134995454552605
NC,0.11832876617543886,0.9612667532648561,0.1358437589513165,-0.04459512954817462,0.0962747976783847,0.03908015668469419,-0.09330144765869536,-0.07599845973450095,-0.029016588909032297,0.04032506025267636,-0.015519317543117096,-0.00248484410800177,0.12454773010926629,-0.15675544408531042,0.04423528872452994,-0.022119648687946074,0.059351908622318685,-0.03178743490926656,-0.013251659537286275
ND,0.5092409040959244,0.5755707940832597,-0.201125061772281,0.1313263178082217,-0.009012517476269659,0.06603319042971373,0.6050070741360528,-0.03239497960835695,-0.024372039741113277,-0.038096080956771805,0.016272686135881505,-0.010622492181735069,-0.037807396079989,0.004314609429829498,0.035129726170081546,0.06822939920140872,-0.034128696721678856,0.053666548947993664,0.027903335654850158
NE-01,0.036133592014868855,0.06847671202826759,0.03347766327416795,0.6548568064394072,0.7654200736525612,0.07213894475239671,0.04535261229213077,0.03407179206173108,0.02298924205458916,-0.00432486819076949,-0.00011546607642061781,-0.02419845607701948,0.007233188517141334,0.0015244818442678343,-0.0360255264917652,0.005150202882397485,-0.01232822664549514,-0.006262262837210244,0.018373336031277738
NE-02,0.03508962279415353,-0.04239379068246959,0.1648876943993831,-0.33084042223881505,0.9392750982848557,0.08278348907028701,-0.023638028955881487,0.0074963931098503385,-0.01382688648776564,0.008953884197880412,0.024549160401559914,0.03512423604035749,0.00547929729522385,0.03186189874151139,0.020685474730285633,-0.005131297382109193,0.006837607905315994,0.004638873688148875,-0.01022757649398846
NE-03,0.012399034549765613,0.1112878028471715,-0.09524591820355692,0.998446764219129,-0.07741948858582975,0.002465375075736073,0.08923007155671346,-0.003757111935867796,-0.0073765956387089,-0.007830478357197957,0.024858824614937287,-0.005018459690417117,0.0010069466343206072,-0.010232872569811709,0.00970001593335995,-0.0034135103228134104,0.003019930433131657,-0.007341943218205216,-0.003987323627970206
NE-AL,0.3905345092664001,0.7458780722944203,0.08525439647849653,-0.006993659145850315,0.11520109774687984,0.11757756004977074,0.4323279002598598,0.2748910823943609,0.018791500487985766,0.10097844732787152,0.043345189927193585,0.052660775165816374,-0.016209773519908946,0.04042442869054295,-0.020190265145606463,-0.056667523644127846,-0.05873906963389683,0.012580525010047382,0.04217696107533469
NH,0.8001622934448983,0.27297279064708957,0.35959072219362814,0.050219100457227536,-0.028185580172446066,0.2935954181290348,-0.049141289014043944,0.04424597741344346,0.24201939175572526,0.026793958070234894,-0.06508476654542003,0.031903797958159,-0.06839394557510163,0.134186903318499,0.027451429336229165,-0.041234734960071184,0.033388607638380335,-0.02081357902000144,-0.06353753253429208
NJ,0.9757044005351692,0.04030529970348715,0.19689571585132043,-0.014501493684937177,-0.048129787224651194,0.09895564337527583,-0.003862531739559361,-0.06780757476584871,0.061086447667446454,0.05905894992607314,-0.01413971219571963,0.03054098080972013,-0.04131073721329013,-0.00012833459277056562,0.04231505838437203,-0.009171332076856815,-0.10297138693555222,-0.00250728017941151,0.02461239012101383
NM,0.701283020626626,0.5533380377155367,0.34116217079464606,0.00833409646519549,0.0876552225027521,0.05761868195977765,0.13809586216491626,0.08246619695493558,0.08195140928400192,0.1121971745812002,0.09310632388085206,-0.02639504476667351,0.10633850102242738,-0.058858244512617446,0.012007912735861982,-0.19631550927229593,-0.006165449327948951,0.005312712428046185,-0.014173393441429828
NV,0.6301715965150871,0.6752826895916696,0.22498277083550555,-0.03388767546982926,0.011936510440535952,0.06788937619931469,0.2612650543458208,0.033870937397559156,0.026427736420791628,-0.015123309753066945,0.024781590372987695,-0.06072327729840623,0.06637130830314972,0.15673827681324812,0.09554938780386889,-0.014338539855083711,-0.06612998423299586,0.011169150199035485,-0.0705105423150355
NY,0.9533665083686723,-0.10138593015221163,0.2126369092873614,0.04509547452289437,-0.07753060270276706,0.04494478357857007,0.11752266905365182,-0.08224795588080144,0.048637505323560995,0.11097688506215644,0.003971120787467041,0.0637384052916847,-0.08512627261954797,0.0075293941315334595,-0.03797694539698547,0.02932769415465205,-0.055503679850237936,0.03766478139699707,0.07676286385814067
OH,0.8482534935990442,0.3839622001646404,-0.07894986444328102,0.14516890096286214,-0.09342984824469558,0.13750229899225688,0.015437194608159826,0.21521668883798173,0.01580337612512274,-0.0690376371109608,-0.048390346148824794,0.10246173497738398,0.02380101674210615,-0.06717635244310506,0.20182947059200007,0.008427919235566236,0.010117227875737789,0.006532476142099351,-0.034371301231439944
OK,0.055018414773161294,0.9408219929705786,-0.08333172777226303,0.09147817767099588,-0.07015586783713493,0.10192126873916735,0.15908731424233005,0.11750534072567331,-0.026870558539218284,-0.011553029011626059,0.0005007665544726647,0.04621962845363972,0.023434871494765783,-0.22564322422629438,-0.0812933848470074,-0.09334806844982788,-0.014793955980524723,-0.0807895606465214,-0.016986313566225184
OR,0.9125728625623944,0.19817763071558947,0.046380705000119975,-0.04775006670480448,0.12576988867399538,0.010347404287888015,0.1731107860661246,0.1207977155345326,-0.005143169645861364,0.07191270075738385,0.06880259781871832,0.006669723605295595,0.2876760371418197,0.029072647153200345,-0.01655945118442912,-0.042504450710027716,-0.002664489114406422,0.034773647056877695,-0.0025981687765433484
PA,0.953508367286169,0.004396540231033051,-0.10522224929297773,0.1171590195141237,-0.04219547148393999,0.1121719872334743,-0.0506258508177859,-0.027136441436919626,-0.08637657277974319,-0.13190831488690866,0.04349394313342821,-0.003004390849467541,0.0640317154727437,-0.18872118260529058,0.05691478734879145,0.08706798413132721,0.002321854010076818,0.046223517922097536,-0.04865205095915891
RI,0.8999127763524131,-0.11701978765834013,-0.018709666848575144,0.08567581745179556,-0.10102720424906401,0.30060368294303813,0.03080658821603565,-0.14190006838721572,0.007752669316441918,0.021350275253524613,-0.08659719167474327,0.056952501695939114,-0.22443377986294386,-0.10612888421986803,-0.02887055323217525,-0.05760627517979828,0.017534074359768437,0.064904505620983,0.011989778038024564
SC,-0.3674927050848216,0.8928390956748661,0.1336081044234744,-0.03868007881435227,0.014303591082583875,-0.045875525709377106,0.04417857080149549,-0.06240946806876038,0.06867126373691372,0.06760753187932916,-0.04505313407146649,0.07752833741162606,-0.0034092729302999027,0.19309515698872687,0.015323886028385993,0.11816843848117234,0.01672831424497223,0.056000662800791697,0.03255493247612309
SD,0.5112736812931196,0.41878730119842,-0.30567889507145657,0.21647045277432952,-0.013074579579353807,0.07901480592006892,0.6538693019031354,0.10600619253353727,0.024945265888963678,-0.02986076185917011,-0.030016059973362028,-0.017009804010234563,0.038517709545828595,-0.017817394271777802,-0.015194517218536468,-0.02735426977739154,0.02776263033017229,-0.0510282135570647,-0.06503534422709227
TN,0.07973235319654243,0.9380525168928735,-0.13192229662497998,0.17371875887865063,-0.1488493355361561,-0.0078295576456645,0.02160130367530526,-0.0697110297521351,-0.02023591104879868,0.05028963956584582,-0.017325317039079823,0.044105709510035646,0.042430800864738154,-0.2154916547782536,-0.015714495405607667,0.12062794532803395,-0.00017297289045190053,-0.047992326389907115,-0.003458898960995439
TX,-0.0399617606135934,0.9871941442564801,-0.008206268445138772,-0.052814087601155246,0.06313310736908496,0.10544514720439575,0.03612717343755871,0.06912071702152243,0.04315292690460552,0.07881912968757776,0.03730172784886608,0.06337393941162393,0.019079243326974346,0.0480271605385989,0.0011675942124429394,-0.1321415389068956,0.03122146747516059,0.004182824814779878,0.00672182485667484
UT,0.1742841595392706,0.8983564065380855,-0.003306104792204148,-0.05572018791326064,0.14075488390757981,0.24325290719729759,0.04600388590236044,0.005349644070383796,0.12510978462902742,-0.2270716614899055,0.12613147134584526,-0.051858248337790465,-0.04421189817127712,0.10572008258826773,-0.028836911518587437,0.010727459791953444,-0.08494694598746964,0.02433481562235517,0.06222159085968319
VA,0.11996587728314706,0.8824633439655266,0.3136686682721116,-0.11223038600463801,0.11908779632648059,0.013282572215419036,-0.07519082165283947,0.11829686983113677,0.08250642487164458,0.22590572526088512,-0.010621984722725315,0.08110474317012313,0.05499382898447239,0.1509264318706612,0.04784678205589624,-0.05681052971260998,0.028520170725615728,0.027143863950342507,-0.01832389369745108
VT,0.8761975766671167,-0.37766472055094835,0.24566010010492892,0.01300054103649797,0.07194505184603978,0.002743267720293287,-0.030802598547981112,0.05933644871807011,0.08748721049866301,0.1358481797622107,-0.010012572718097027,0.05104542091579204,0.024975247225378715,0.07909145626236744,-0.031679580925917605,0.0206114283258701,0.12546165054856892,0.014209836281402745,0.03665633701321376
WA,0.9348727993322297,0.24639495795272734,0.08605270352490618,-0.05948105555719486,0.08682688529918421,-0.03672967335257297,0.048815382213657894,0.10323866113170496,-0.10228687122949694,-0.1369345652700844,0.07996965386780742,-0.030702999509535193,0.15036391186669995,-0.004052897595151241,-0.047197524798547975,-0.05462818878412361,0.015490036320653737,-0.037802887830122,-0.02942663455890113
WI,0.85817936290516,0.22338579316498935,-0.12562965702078607,0.03629877362788812,0.033446826707120535,-0.06399577714558247,0.4205191295548657,-0.08582416530441511,-0.030519439943753408,0.07529582976478512,0.03152808398015378,-0.005719475234309928,-0.015315388148666918,-0.03578007755635567,-0.007470487248799976,-0.030714963067269858,-0.03908646923003398,-0.002014616590786579,0.17149064266191819
WV,0.1732913471509229,0.5639488428063091,-0.430912936846637,0.42650547689916884,-0.24827720572563527,0.2305128365789606,0.03576260970656569,-0.02614596684846843,-0.020750770691820183,-0.03932914461829247,-0.07610895359608878,0.074133673008521,-0.06312073128782694,-0.4164067643556265,0.009750084089442437,0.02617810286679577,0.0025179940737255543,0.09058181551559111,0.013818680600611023
WY,0.2573787470882371,0.8189024899186605,-0.2487788525529302,0.2309889793427311,-0.04181361705267187,0.23429456315399558,0.22179972570659698,0.12075750287077228,-0.022122320280175203,-0.21034378106223545,0.046748669701515595,-0.055481079149370345,-0.009419321666782474,-0.08812307084970993,0.023203980263008513,0.02988646176947489,0.013145171381800288,0.03043109939066894,0.03193855332898785
