year,state,district,R_votes,D_votes,other_votes,total_votes,T_votes
2008,TX,13,181541,53860,1786,237187,1786
2008,TX,14,177370,88532,1761,267663,1761
2008,TX,15,67650,101566,931,170147,931
2008,TX,16,60279,118178,1115,179572,1115
2008,TX,17,172822,82326,1992,257140,1992
2008,TX,18,43292,150973,868,195133,868
2008,TX,19,170969,65020,1693,237682,1693
2008,TX,20,64886,115739,1381,182006,1381
2008,TX,21,214669,149395,2952,367016,2952
2008,TX,22,183172,129414,1976,314562,1976
2008,TX,23,118391,124995,1634,245020,1634
2008,TX,24,153758,124128,1858,279744,1858
2008,TX,25,118197,176022,3392,297611,3392
2008,TX,26,193132,137613,2213,332958,2213
2008,TX,27,84366,97830,1283,183479,1283
2008,TX,28,80741,103458,999,185198,999
2008,TX,29,40884,66808,681,108373,681
2008,TX,30,37465,170826,827,209118,827
2008,TX,31,172570,124608,2879,300057,2879
2008,TX,32,110397,96203,1573,208173,1573
2008,UT,1,197457,103737,9175,310369,9175
2008,UT,2,202534,138790,9583,350907,9583
2008,UT,3,196063,85143,9904,291110,9904
2008,VT,AL,98974,219262,6810,325046,6810
2008,VA,1,193273,179442,3652,376367,3652
2008,VA,2,136725,142257,2991,281973,2991
2008,VA,3,72249,229822,2223,304294,2223
2008,VA,4,173358,178795,3087,355240,3087
2008,VA,5,164874,157362,3621,325857,3621
2008,VA,6,182573,134212,3869,320654,3869
2008,VA,7,205949,177789,3648,387386,3648
2008,VA,8,100234,234203,3594,338031,3594
2008,VA,9,160430,108220,4596,273246,4596
2008,VA,10,179337,205964,4025,389326,4025
2008,VA,11,156003,211466,3417,370886,3417
2008,WA,1,130343,226526,5911,362780,5911
2008,WA,2,151992,202480,7415,361887,7415
2008,WA,3,159803,183306,6898,350007,6898
2008,WA,4,159904,111423,5127,276454,5127
2008,WA,5,171426,152921,8283,332630,8283
2008,WA,6,128681,182446,6545,317672,6545
2008,WA,7,55200,308226,5536,368962,5536
2008,WA,8,155900,210998,5779,372677,5779
2008,WA,9,115837,172318,5298,293453,5298
2008,WV,1,141016,103096,4279,248391,4279
2008,WV,2,142112,113853,4175,260140,4175
2008,WV,3,114933,87178,4011,206122,4011
2008,WI,1,177162,191901,4281,373344,4281
2008,WI,2,123495,286089,5054,414638,5054
2008,WI,3,150618,213211,5327,369156,5327
2008,WI,4,73447,234468,3108,311023,3108
2008,WI,5,243597,174174,4191,421962,4191
2008,WI,6,176871,181198,4996,363065,4996
2008,WI,7,152507,200562,5624,358693,5624
2008,WI,8,164696,195608,4711,365015,4711
2008,WY,AL,164958,82868,6832,254658,6832
