,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
NE-AL,0.6710739757592257,-0.4311409953100547,-0.1688168860634283,0.5132419989885222,0.11030925639009782,-0.09446740396198892,0.17031625681689044,0.08551447568227884,0.13965829007188063
NH,-0.07307870275973936,0.39556926787699903,0.10987699143653319,-0.01639228159551939,0.07466938275188155,-0.8634695207022512,0.11347918301537338,0.1559973050706197,-0.06155373629718739
NJ,-0.6515832534448007,0.23162766986086245,0.4238057554961567,-0.23596734336268085,-0.1588220633143071,-0.42379656533581966,-0.008639643568628598,0.1878403603759961,0.11448224534892862
NM,0.5108884936482273,0.14614358602656038,0.08585519502501937,0.17485365752389362,-0.0876968368719804,-0.25695676914797305,0.7184002620240326,0.10981340560951361,0.1810387058983857
NV,0.7491096306800914,-0.3292930226400737,0.3525479293804884,0.02026137267168492,0.07600889810893871,-0.27984750779891465,0.07903429086609039,0.1839311232089398,-0.04183906347737216
NY,-0.7483029046994778,0.025112718413858,0.30997357304730044,-0.16528627161186962,-0.3013482737040263,-0.4080311279629393,0.04600129687150469,0.10436448547937492,0.23736558574311017
OH,-0.23606465428924944,0.13336030167601345,-0.29922882187748656,0.32594086072284617,-0.03662586809237189,-0.09506926121032333,-0.07491421308617234,-0.017177529015092275,-0.8015066601328384
OK,0.7662391969962589,-0.1851759298605132,-0.5009479670274558,0.12772687178523187,0.09866837033720255,0.2591479845273215,0.0123621683026378,0.13073970032433838,-0.07297336028864679
OR,-0.3590773176289089,-0.0813428612913399,0.6060613257471491,0.302502383407453,-0.018311031189694016,0.09631868241433175,0.5031354511484939,0.041728298882660164,-0.02389870953943953
PA,-0.8436239183136992,0.2050946471412548,0.07606308121801993,-0.2354577301276779,0.031868285393899506,0.22078744116818755,-0.01731357905882196,-0.0727048372391086,-0.3297487430644136
RI,-0.8607532596520815,0.0671482699425414,-0.08883768565509599,-0.24456981801208239,0.10008038590131978,-0.3159923056962937,-0.14404378981645727,0.1360335024425882,0.0774944037715484
SC,0.9382591327145698,-0.06324249751500961,-0.29425808166554684,0.014063038529408633,-0.03096436940405158,-0.09450847483771836,-0.005337545805241447,-0.05977224319182381,0.07490776044825419
SD,0.0026144310575104044,-0.807071725097522,-0.35976948148811955,0.2830476151954713,0.07774341087616335,0.1271028422244566,0.1187841190901074,-0.19094870205754577,-0.10232081312354932
TN,0.7208589799394048,-0.07929040683938887,-0.6161228569222045,-0.07606286210327644,-0.08647461298617708,0.26124997412399625,-0.049006319413141486,-0.03922497708033573,-0.07714259509111848
TX,0.9152096366716364,-0.09283143764051818,-0.27108973871515674,0.1287576903315972,0.17370996125355798,0.031193708656170487,0.028601396998317083,0.1159761210242466,-0.0042238026799695915
UT,0.8416427876969345,-0.12548568649570913,-0.12631702744068196,-0.04940601650221501,0.46296226461411405,-0.04794406600647334,-0.0901606703845083,-0.013937277075357022,-0.05756761156665598
VA,0.8968457359806273,0.2132887609048965,-0.132008853050894,0.2114755353114492,-0.054704208739612285,-0.20023300239394706,0.18272262350423654,0.032995842508034695,0.11841889208025395
VT,-0.7337556169459135,0.2165691776656773,0.4743949815838255,0.06721682519417062,-0.21956065276881132,-0.3115226031348195,0.11415295833265447,0.0938360429940525,0.08635583429730095
WA,-0.2566571774628388,0.06106482137026871,0.8720947908754635,0.01514426367904864,0.023113761315039755,0.2807762136243249,0.10931470360740835,0.16759212330108628,-0.20282981135275055
WI,-0.4233032720022764,-0.7701721049788118,0.20027245107708064,-0.04143971831282586,-0.15069413434851078,0.11219989176740348,0.0802236724127118,-0.02262737254413998,0.2827267666688429
WV,0.11878459816172508,-0.15946672345026514,-0.8820749584235661,-0.07954573171285417,0.07209458107731823,0.2634484934842704,-0.10109612826758449,-0.03805221923180224,-0.29230675038036585
WY,0.57834015507445,-0.39905029070125586,-0.46475429772278853,0.0699871116452151,0.35289676007896187,0.20351951896291284,-0.1414533028978164,-0.02093906944336224,-0.3227089419713296
