year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
1956,2.2965712647514716,0.4076221011891008,0.5549728153630625,0.3490943832718671,0.3653309212820466,-0.30333978140680906,-1.2744173005499226,0.25588248550355425,-0.2974632844366918,-0.35556939428374057,0.03354655575025393,-0.2540236042695777,-1.1780500263093818,0.7115930533351147,-2.969778458726139,-2.67774443707243,1.2073636846614495,-0.7221212794281606,-0.06685998630350994,0.350642709766198,0.6273179637457409,0.29691303540741326,0.7713257618796994,0.2659483589336049,-0.48602107270991846,-0.2306582006186599
1960,-0.6438508118140002,0.4308781088666597,-0.3169683426659009,-1.3012869742430533,-0.02630113960723254,-2.128835651764045,-0.7156534518225245,-0.05952241138039493,-1.845879977873455,-0.26340070062409543,-0.13048203813238274,-0.595168735188523,0.47144943226529146,1.1913436269757318,0.0460187840199682,-0.5209095442187619,-1.3329091517001095,0.53449127560301,-0.54274918366041,-0.14540013175863029,0.32352301324310967,0.15989333775509107,-0.12935532750634465,-0.5860538841693581,-0.549629295879338,-0.17941886247784086
1964,-5.271433679725725,-0.21091451383768503,0.7913686628160231,0.8687944435981546,0.32839361817571244,-3.7087801289530833,-1.4479918612005778,-0.053399428006708806,2.03667869992871,-0.22453518778392925,-3.708907730310991,1.5905308815981565,0.6926314240221497,-0.24731851186889037,1.3385650497718147,-0.30823439568471755,0.32777671424354593,0.09188920122403044,-0.21390707436314285,0.1895775102802155,-0.24680829986802796,0.47301360765482625,0.6662056812481817,0.26456627188082077,-0.24195855957203308,0.1364005186767312
1968,-3.0061920038680583,0.13581501222207878,-0.13167843138104468,-0.8850616680459146,0.09457604642354953,-2.0336813504493176,-0.8974281613852855,-0.0720047978207013,0.15481938102796863,-2.4201270937479262,-1.5253133816831264,0.594251745789057,-0.8530583377452331,-0.09191220680683901,-0.47111269207034007,-0.6451749482549621,-1.3477922538452813,1.0084345599020357,0.236871397791092,-0.4587008638508882,-0.394714131913938,-0.28898083031381555,-0.04871221848639899,0.1982187649650429,0.3422650909280653,0.06302419199592303
1972,-3.8599146167049145,-0.4745086098833602,3.3452400186166336,0.45750387164972334,0.047115179828673755,-1.9474709070939737,0.49080713619476735,0.12483782121026844,-2.4771665732106007,0.03626285332500079,0.8630609493211792,1.5031929522714462,-0.7682907255361014,-0.2387059039626189,-0.07757512622150019,-1.2713407695808265,1.2558544058640875,-0.2225812149621169,-0.05895243094634637,-0.04672630041903465,0.40173072310145613,0.2514249727548181,-0.5397869123169133,-0.022499858029119784,0.4417137761892764,0.42914851355669004
1976,-0.533266955562351,-1.142713288935572,0.768161482549491,-0.11648562403392086,-0.12003318035643405,1.462780161882598,-2.3969839502857653,-0.11502814577191227,-2.5892330596231408,-0.8140734098190598,-2.1618685866886223,0.624229139512381,-0.7553701324338039,-0.0028455621344357323,-1.7854142416142396,-0.14129547486414606,-0.3266067484563981,-0.31141819522475184,0.3204776216400319,0.1576840951240929,0.4229338238459288,-0.41097939653246557,0.015909019771186778,0.4202937057640237,-0.10719988324894751,-0.43787912289520114
1980,-2.5296439958828802,0.6767531804740203,-0.9138379758189348,-1.054869787748131,0.6142128467529249,0.9717237783171611,-2.32492128919545,0.09851072366760467,-0.8714255841014604,-1.71833723533548,-0.5007166116318763,0.804839926022893,-0.0789694374185263,-1.6963988210563097,-2.686852626315641,1.0770064955223422,0.11911643589788753,0.2572393595624524,0.1270446307908626,0.38121756111806837,0.37465226803656476,0.2024685631416261,-0.3292295651353313,-0.24289113872180834,0.42113987996744157,-0.6270607837711117
1984,-3.035078496528352,-1.7605568030298613,1.5825801206231487,-0.35850691704309773,-0.6121696440060216,0.786702493701074,-0.6625795332880565,0.10069038433550805,-1.5694217740359304,-0.4163638510157868,2.132231263874095,0.9962890115604266,0.05324429278799871,-0.6443739347241763,-2.6553582221921075,0.4462005095746656,0.5236489380874562,-0.05299738014069244,-0.18786652720517655,0.16610264142082232,-0.3628874009305057,0.049271887242174905,0.6084810861609073,0.7564803134251197,-0.3164024777232577,0.028135267335886168
1988,-3.056343540347661,-2.0717276953897015,3.1327990131141346,1.7163552201549834,0.06539979673047887,0.11384774908784992,-0.346068820157862,0.013690824098836178,-0.4790381534181686,0.4064179158117963,0.3962143124832322,0.34841465472955613,0.23456123216414865,-1.2098690878312341,-2.1566623716058477,-0.7225860907982015,1.3160798323681315,0.6572104460645121,-0.24131456312747943,-0.011410374236024031,-0.14395339735550464,-0.22993515945381396,0.5459273975806411,-0.665381964263996,-0.12007368537055994,-0.23170145782436202
1992,-2.197349340719464,-1.449824133081364,0.19423452555982565,1.0925193454866142,4.049226293766609,-0.1644721497964227,0.031057028493014838,1.665064940214769,-1.4232513829019973,0.3072529651932339,-0.36500666502711676,-0.32455817167628837,-0.02053184195819174,0.2173277593344288,-0.3447809231495071,-0.16843234232958804,0.2563347309641638,-0.5409180253160779,-0.03776630142810622,0.20947793420393415,-0.35842142158028534,0.018849328953344888,0.024567829959721635,0.36651992090921137,0.14159480967113444,-0.20977558512274802
1996,-3.694556765222755,0.7708811174498817,-0.012082494288550231,-1.4951849893192788,4.070415027387101,1.459141010102525,0.2851162998436291,-0.6814204712662285,0.11634651991052847,-0.44780769541046833,-0.8105605274642443,0.12083307221137504,0.036591583829548795,-0.804969826924997,1.3224267286911526,0.10188156155205277,-0.29594288921193646,0.07014924398233646,-0.12333711862742625,-0.308716886723844,-0.246582887436657,-0.09969723808417742,-0.1832678225880791,-0.10524818196635977,-0.23283198638203423,0.4763558134678279
2000,-4.729124484056406,-0.23978113695205838,-1.7251637159902846,-1.1864730791345888,0.9232246233850459,2.6649585578155994,1.1558541101789834,-2.5118908310784684,0.0835212451170278,-0.16107457985766457,0.06898589070371315,-0.4901869042583321,0.555676553638698,0.29031991367851273,1.0701242518389917,1.0904884324779558,-0.20785139864299282,0.5846631528479626,0.7026754427412908,0.07547187128444885,0.08809205050104531,0.2515346409720108,0.19133145576366054,-0.19529722478147424,0.16033956561918417,0.8553418086773034
2004,-4.702924829255414,1.4445922464387826,-1.0545768004124614,-0.7301277909300793,1.3960465314762303,1.5683437245375162,2.2516630513263225,-2.878705545418645,-0.2811228249704139,0.0997238102327742,1.0884119724020698,0.6312618336654947,0.13601287462475192,-0.2799596310370438,1.585366560429684,0.986890118780512,0.5384348056289668,0.2030478159758618,0.23082628233589517,0.016754057286736596,-0.09742819273882483,-0.17990487322411644,0.5491348621501263,-0.1252278112198976,0.2908453665194318,-0.43176272601593463
2008,-4.683799898307297,0.8595759531791445,-0.4101881443187932,-0.16763818175967568,-0.009133557576683821,2.28474231060336,2.582135902031432,1.5168627918773177,2.8155789250560415,1.1675988333141547,1.0646835933225747,0.5128737355267725,-0.2320677474051125,0.8402875609189485,1.8004398961346868,0.92903645312671,0.8154622990952716,0.16153486645121992,-0.4803610774472842,-0.18352459911689153,0.6440663350713093,0.5420321728374957,-0.44101746130707126,-0.21811093423322672,0.15036241957654872,-0.5084979742384601
2012,-5.038059459840703,1.0536101184341964,-1.296878035117157,-0.580876781451145,0.32026638076648944,1.2479561716440628,3.4806730936249597,-0.45774609399060084,2.8860272094781996,0.8582985130474696,1.1164967115905187,0.44703461351173696,-0.22821517122961357,0.22705525055661224,1.7070215466728553,2.046793549152108,0.41793037694351515,0.01604623793608892,0.3386238002638855,0.23319499565952534,0.8485451422391694,-0.5256810506527922,-0.48697453684974346,-0.09337063306060277,-0.24331927468472037,-0.2948651615481886
2016,-3.917637482509104,-0.4534007588448124,-2.7341289296373095,-0.2275016633020892,-4.0214858865845775,0.7723601522850841,5.0750554973134685,-1.5773296838578503,1.4232987773887609,0.6698190413553218,1.2515088037477677,-1.6661494685102587,0.2571476272874498,0.30401682798058377,1.3554601562986976,1.6844252604637768,0.08620018333978406,-0.6275827019803515,0.14545970430630645,-0.23980824485416902,-0.3219835961519794,-0.1570784404742977,-0.87784078264498,0.07868073650273656,0.09643669962002824,0.01984079025308202
2020,-4.149884590115381,0.7038646274675602,-3.005644040614419,0.6322798402152853,-4.717405020666735,0.48278056025044186,4.973466645237828,0.33990479833144993,1.208788200303376,0.551719107762425,1.0356299372193987,-1.922823989970734,0.21978813204775463,-0.05115914820235894,2.0143942457183663,1.9010505235636599,0.4825474002532527,-0.19405366592925796,-0.06325923930785769,-0.03776804050390083,-0.042642724246342786,-0.2426690806715566,-0.5124254431870128,0.0497324222013046,0.05167306012124192,0.20990257196625717
2024,-3.9403861442385884,1.4652287691119996,-2.548505197968416,1.3655709891694487,-3.7617842344425734,0.11905155672951993,4.943351291073814,4.294259681457223,1.296860876599221,0.7244575757768046,1.4406574706798654,-1.2433544173250772,0.2888174136571573,-0.20095711984342468,2.0016349708064363,1.992860280314386,0.8674874828150739,0.03249409400843418,0.36523153230992506,-0.06109394564366295,-0.08131719465581333,-0.18539208524558168,0.03721386281484087,-0.04224493814405512,0.22335649388934758,0.19781106299117496
