,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
GA,0.9456466518949067,0.0817774540256053,-0.1070619549299507,0.003745266553960041,-0.052724979323245845,0.05340333199048148,-0.22793836081369173,0.04127217935994133,-0.04665583809699724,-0.024281671527777434,-0.026228906617834558,-0.06747880541267806,-0.02246088499126721,0.026618049221788932,-0.15930715819380412,-0.05349532422300265,-0.10528668608391208,-0.04429573189100854,0.001242116649374955,-0.006739319054464334,0.09055721840458272,0.016673998468789454,0.03252615995227362,-0.010409488883662764,-0.04599184603262979,-0.05462594199124108
HI,-0.08469090119407097,0.05894319461482834,-0.1343259025925838,0.028379992525547626,-0.1584838295493542,0.03575134549865748,0.22689695380046426,0.02809516126954468,0.9358663441994143,0.0778435966006283,-0.09386617305611163,-0.01066587983949972,0.005262257994467829,0.006187149814660735,0.17769374630086632,0.07379828272851582,0.022421409086834085,0.005270849017705622,0.0018394832941451625,-0.0009818288139746341,0.0036303358378355108,0.0016006677808646165,-0.002042709712486086,-0.0037583663585524034,0.0009387677894210288,-0.0016484983141420227
IA,-0.5894676157611671,-0.19678574441655444,0.569789309911526,0.08352399533359123,0.2399346646701039,0.19793795146481816,-0.04794440334795016,-0.08445600791633062,0.02409153178076821,0.1513169542290298,0.13182561953750693,0.06265992396398741,-0.035667002563974336,-0.22567180830605021,-0.1478874878331076,-0.03563149789201843,0.21521977876400317,0.07025251234952327,0.002505211634087491,0.11410711045044249,0.03339118772876024,0.017609385251853554,0.13599490141536183,0.026966025244618226,-0.07312521413359581,-0.05124350572326949
ID,0.8339475346126386,-0.034958517581427005,0.27690821837127066,0.11104949919313484,0.09555116692119223,-0.3012161399059059,-0.11073778224790308,0.035315559222226664,-0.08685012618139301,0.038185600960950306,-0.06464514290676741,0.03412539671500968,0.0341362909611026,0.049388197813385826,-0.07760506472429382,-0.28940104526867455,-0.06283919332464101,0.017368883040334696,-0.1327030303874368,0.03195819940643103,0.006416416781441436,0.041161926364415194,-0.010659002508576031,-0.023031360946986806,-0.06766138663616379,-0.0075071663729450845
IL,-0.7647298983082379,0.028056601948196692,-0.02441744538253076,-0.12360373902480408,0.021316750243054353,0.2782051373905665,0.41399340112371225,0.0228413206816905,0.10278316667589346,0.09550687065174865,0.2685016887413753,-0.21592858921947997,0.06060751460337625,0.005841001358524665,0.11309771739384425,0.10836034213241061,0.022341921813863606,-0.06066554769188791,0.0017508379180843356,-0.04266539862200732,0.0026723244400151387,0.024092353386146324,-0.058185436055706564,-0.04098617980145124,0.0760818360944945,-0.04080375752150025
IN,0.5640170895638618,0.001960850592816218,0.05032780992782463,0.11727422334447685,0.05810056050098274,-0.0023545170727998837,-0.7371558851046726,0.1292039909188877,0.08727632512975625,0.1620733199481376,0.13389840926628735,0.19787541381333928,-0.10154894912146356,0.13573212188180583,0.01941663626060182,-0.0031814858423728433,0.06778760085429718,-0.027359757617415312,-0.015458469493840435,0.001434656681501707,0.002939112366502139,0.06142311105126219,-0.08391000039680424,0.037597390974486326,-0.028227394390571137,0.0136927915621238
KS,0.22816674191388708,-0.1347281378923738,0.19622036596690862,0.8560552755601074,-0.06508715167094058,-0.03191560483989507,-0.1940771252433285,0.12413449081873339,-0.17007487594748186,0.05264571228797166,-0.12286750971343942,0.17469479162418297,-0.06730791600161026,-0.03616193330360966,-0.16484377190975055,0.08858257303342407,0.1012893101026278,0.0598205922365822,0.029135562445534988,0.03659865788796351,-0.002727038025345977,0.032301076657909766,0.017669556400697582,0.011381493393893074,0.011038699323405158,-0.0318756769233389
KY,0.5478502967916439,-0.0787607234175459,-0.020549663202296963,0.016631977569235644,0.18674015541512287,-0.13729642694228342,-0.713894436995421,0.0015324910554821076,-0.1243997536900962,0.03453896692069365,-0.17022708110983686,0.16917431547477135,-0.028126261640070406,-0.1361952103034466,-0.17441299721398065,-0.15371280870399992,0.03233023600377654,-0.0411322046101889,0.022642105849305896,0.05317397195074191,-0.02897563636654221,0.06878161826405216,0.076251226463422,0.03148067968466567,0.011728387745007271,0.003848824858430156
LA,0.9333953117840428,-0.04362544268520104,0.1309665294943339,-0.03533744768670965,0.08976312706528876,-0.017937298060514726,-0.2320320972255425,-0.028145214208651723,-0.0767639798388579,-0.12871183061765054,0.05141182768665784,-0.07032516899322773,0.03527637010035394,0.012537546882433769,0.08997169820574073,0.05800587605776847,-0.12924866485500042,0.05320307725269416,0.003328563490410965,-0.04556964191523633,-0.03764986388909681,-0.023589832725732635,-0.04139447514543073,-0.11641782362126743,-0.021965691479352067,-0.000740338905633326
MA,-0.9200184623258387,0.023710981258386096,0.0026716996306636173,-0.08609526585162147,-0.11030405208524156,-0.0853049178048185,0.13749371090469534,-0.04587193936844597,-0.08436891591104191,-0.08622865610446266,-0.007099913760292186,-0.0506300963389606,-0.027664490553236384,-0.04964504360928255,0.2990555150174678,0.024078442319567465,-0.09417279646805735,0.07959054952016381,-0.02025834873383217,-0.010790238058510962,-0.049952592778870805,-0.06279606343173433,-0.01985674703937312,0.007719416741521676,0.057750090435150725,0.07348665784602662
MD,-0.2541564815504706,0.06781355606470178,-0.31648012197266306,0.15938210090108254,-0.2598005229111159,0.17685238259917488,0.23997825731289457,0.07216535399191171,0.1687309873904319,0.18114015490438487,0.15056885544956183,-0.13384145514839363,0.028582876699242525,0.014173326471290897,0.26809828653016593,0.6983656612409306,0.13366386960341395,0.003250286186416879,-0.014057210502022213,0.00045636876098091036,0.0010880884337732962,0.008516337773889545,-0.0006804065349750272,-0.007389383337367315,-0.0015542927044695123,0.005137814978414159
ME-01,0.0035971598415697986,0.5829822166226507,-0.35295801801943755,-0.04533315164613716,-0.12322324651767062,-0.01521214854311532,0.4117555028648993,0.13017445340951686,0.42374049152479804,0.044268933688652486,0.08674874504609564,-0.17290584064825446,0.018720456414244153,0.06429563473672938,0.3477889999509089,0.14397715102027717,-0.04383233101301753,-0.012209499109429018,0.015015762649427077,0.0036344649654161737,-0.009729923750921495,0.0021536433752370374,-0.0017425993292638985,0.02851273097585528,-0.006198915549349226,0.015707498774587752
ME-02,-0.03205012411594167,0.3697349520113038,0.11967401907909272,-0.17409775014473408,0.8144872153371163,0.16152307275396158,-0.1939819647792315,-0.1029857562416953,0.0497705937362274,-0.043164116959220594,-0.09656227840710663,0.2234367323081102,-0.026936092181339605,-0.08980299419852876,0.08354939628282326,-0.02738001430985968,0.012384404731095516,0.07065550991391972,-0.017925604434614592,-0.009487076092988338,0.08993999613548946,0.010695732232190535,-0.011580706654173946,-0.1319167610681725,0.02902244197527461,-0.06738822286396688
ME-AL,-0.7752264234407312,-0.015236260859865576,-0.20858257678223996,0.10222936752863508,0.1095893358566514,0.04491748140965857,0.15737370292845604,0.028365722614312312,0.09055495913339566,-0.15272572036966486,-0.11080966140127742,0.21718366492662705,-0.1422261129261531,-0.21824830536646678,0.31626049471306117,0.23750801088800091,-0.01907176341458942,0.12752341891591093,-0.008649732714394186,-0.01612238365850557,-0.0036463008153449794,0.01974403861129508,-0.008673402419109274,0.0488314639384769,0.04177324536533614,-0.0736349571778769
MI,-0.780632873386559,0.13322432967683956,0.018478810387915656,-0.036678507926548184,0.17574278544211716,-0.11925488336529938,0.3905406580325939,-0.008482816502343532,0.049797764337469845,-0.12854920182999224,-0.08910360047613752,0.18638892028364643,-0.07632663501391183,0.03412159120954537,-0.22195804128674715,-0.19060952026299158,0.027454080847361662,0.045508830680573216,-0.0007521123867316192,-0.0013089868032248166,0.07766918135583697,0.20077191568826847,0.08263716870893692,-0.0037153663126543814,-0.004350863138609279,-0.0033539543424135018
