,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
NV,0.7310438449435938,-0.3060953629399737,0.3457357416471164,0.09893443367930227,0.025827323075484236,-0.07841508868248238,-0.13892286774088652,0.07954312204939751,-0.3423283485551187,0.08625468877475086,-0.15353375080963177
NY,-0.7502401627039816,-0.008301411838648116,0.2924184696407677,-0.1897727545722628,-0.25696511967188224,0.053197756377380244,-0.16826001850276803,0.1396887243872299,-0.359929115494213,0.005780804816801431,0.2833799781720999
OH,-0.20320828371637567,0.11287451130971479,-0.2593425236138249,0.22766302894377674,0.010528212874694123,-0.07989238608262841,0.02775379787216988,-0.8901044403173287,-0.041438230706686355,-0.029759662360118885,-0.06968444962521161
OK,0.7673532007245069,-0.15086328819758182,-0.48071002708257643,0.15140498273693237,0.04241310333995898,-0.23134374008517397,0.02985762508092931,0.029215196720563805,0.20018949453072607,0.08532935190047752,-0.1950347236201932
OR,-0.30975956664334076,-0.12345810238460277,0.6052515544192022,0.22166428831517865,0.06416694055646896,0.12454668274326099,-0.03702064749028607,-0.12234415083200696,0.09141079679367936,0.5749226030284601,0.28371964791171533
PA,-0.8215736220194759,0.19470808794927175,0.10878557231296941,-0.27797029985712407,0.056067125816682876,0.0015737156255229707,0.08610242405886587,-0.33695426922942934,0.2293389139929632,0.05867182887557419,-0.09384638441262934
RI,-0.8558419608690966,0.05202010708767942,-0.07048066735426002,-0.2773804842207849,0.12497597119932367,-0.14913038584588525,-0.1045406420879177,0.014842659469227085,-0.27115581106565906,-0.12416449012593776,0.11953640233163607
SC,0.943706554840966,-0.0714812718360201,-0.29618014743632315,-0.009591466644821679,-0.003787122610514937,0.08858631155681572,-0.010401752547431921,0.024621154861294597,-0.07838243631513088,-0.09331237860896095,0.06338338298091084
SD,0.003805771277116914,-0.7863549698666372,-0.3743147020906671,0.2981564292850394,0.05923685603611683,0.028977615537019795,0.23525777654803912,-0.05608575345574798,0.09536010030056628,0.11937831812933729,-0.13797488075158604
TN,0.7448124171809384,-0.07130092292775897,-0.5699879817328494,-0.12284672023870681,-0.08355904061002177,-0.13852441453228542,0.1558201783846967,-0.06913565349482188,0.23636142410912264,0.008320941139405812,-0.05249811345151181
TX,0.9345673785302001,-0.09031052530591042,-0.24597704664037906,0.09994473678422212,0.1827879906647159,-0.13227567989514286,-0.04068087945630546,-0.011245024578483297,0.016682679032069585,0.054603188405802125,0.01208361370797816
UT,0.826980620348337,-0.09525051148550538,-0.12484434458147742,0.009789654586063332,0.42144312341708784,-0.02051542151575435,0.002992789582617107,0.03864988565878705,-0.08326117000651988,-0.1307435216128655,-0.246820366202115
VA,0.9119406447548695,0.19010421735016103,-0.1421600213785103,0.16297658957050756,-0.00779458662992213,0.09736278034132308,-0.09910334461558802,0.019600621748299185,-0.18013604526285382,0.10524373454397376,0.23299836554705672
VT,-0.7242796443611568,0.17883466303338744,0.4629040692479242,0.023318755328977335,-0.16669292086270324,0.05633619651088527,-0.1418961588651331,-0.025132909350231734,-0.2657425183039264,0.11252564349790407,0.3017795888977606
