,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
MD,-0.2541120438151404,0.06783969138652801,-0.3165569583145719,0.1593631441278332,-0.25983971245664667,0.1767941784070452,0.23977522465374712,0.07202546831298459,0.16881933120789827,0.18095742896676553,0.15093343987125155,-0.13390241839269817,0.028569093533262004,0.014457600336119628,0.26830307228426403,0.6982494720800042,0.1337664777970921,0.003487951797737433,-0.013648168240268982,0.0006410630434414673,0.0008930747420758897,0.007044793230067908,-0.0008435440739714177,0.007762721505402033,-0.0010531068215324157,0.0049194553105748155,0.007406280666983999
ME-01,0.0036314892239791004,0.5831354389393146,-0.352840040098302,-0.04557984932735857,-0.12320692403644538,-0.015201404336051627,0.41164679717432723,0.13007998693325412,0.42356868165506384,0.044328067207289074,0.08663857828657393,-0.17288232194036499,0.018784402065884286,0.06411843985383936,0.34806114579725045,0.1439774104966062,-0.04382094112413654,-0.0120981425865685,0.014734685881417244,0.004116344567272717,-0.009823722157122338,-0.02767972518430401,-0.001932245119874102,0.0026044177298332927,-0.006310255440056231,0.016388301011845317,-0.005105372151565113
ME-02,-0.032026657595201444,0.3690790883111088,0.11954825284348018,-0.17395905155818228,0.8150311861023221,0.16133642614323113,-0.19386026240131568,-0.10247936689566216,0.05001113215604755,-0.04332058211092163,-0.09638543389182785,0.2232839120226312,-0.027512714625274323,-0.08918315982674828,0.08335439620551426,-0.027319892741512523,0.0124752459870049,0.06995970934437888,-0.016712349845212148,-0.011663525674396364,0.09082683132636005,0.12951359713373015,-0.010810245519804786,0.010605363304755958,0.029583034435610715,-0.07067532300805167,0.01823870384839465
ME-AL,-0.7751887528043678,-0.015521297080466514,-0.20867690532884434,0.10228007204321435,0.10967834184811591,0.04490661487593741,0.15738542622382778,0.028458917621173037,0.09069652221485137,-0.15295375313193588,-0.11058684881133905,0.21708852037763304,-0.14144096658428668,-0.2174470513505478,0.3163216277699858,0.23746403732379692,-0.018963441253702615,0.12968796501718888,-0.008155657656324726,-0.015282291810465308,-0.004181202038880987,-0.04960216673923797,-0.00993189508170927,0.019189292662674697,0.041850640127673575,-0.07314697341494872,-0.0022386698828913195
MI,-0.7806242516968489,0.1334427566519439,0.01863239017269203,-0.03680805012525001,0.17539340876483264,-0.11902766667116875,0.3906590450305704,-0.008622457266454645,0.049075517765718966,-0.12782755293424447,-0.09013085067768292,0.18635201107631547,-0.07530791011553577,0.032930613256417794,-0.2214930557959014,-0.19026428531633974,0.02721182429979555,0.04427434815716277,-0.0018595950736774033,-0.0006994026529422938,0.07646088008130325,0.0017119492464902988,0.08176240381133033,0.20406581872100618,-0.005038310621065103,-0.0033254027318078486,0.0014245333290456063
MN,-0.6212647964827743,0.05828734494674923,0.49373473258276346,-0.023649437170414116,0.009945760315872902,0.0011322558683850548,0.18456779803769519,0.07989809665551328,-0.17196962572493696,-0.18762675896066,0.013265919324807416,0.04078869431247745,-0.0293876328582854,-0.17817947518165209,-0.43871776908349,-0.18834773226502502,-0.06413765472433235,0.033442039591082925,-0.012428172776431436,0.05063759658306373,-0.03217993304980498,-0.12848263533664409,0.02988437187069875,-0.05746215528602246,0.06329138491998836,0.02901677144238158,-0.032767894950468425
MO,0.4034626037637876,0.05045635535550381,0.15287710131521665,0.12044735189302982,0.28739458654254685,-0.09268524016452638,-0.7677511631399989,-0.03298674789446412,-0.03153754664728573,0.13442044895296032,-0.07228744618053452,-0.04568834722831251,-0.04850932729238347,0.04360972533402143,-0.2021701621964278,-0.22848051035669337,0.07292896627275375,-0.023845138139898494,0.06626257604614813,0.012004001297693127,0.00205890449720188,-0.0146964158012171,0.11724130157437733,0.055839201250865715,0.028365343893235917,0.009802282705558793,-0.00016319894253134998
MS,0.9436101633657352,-0.002060312377788489,-0.020071154206534242,-0.08743967726813216,0.022544360564450864,0.09074320386479119,-0.179235948368401,-0.004681351752746137,-0.013372789045877064,-0.15920405532193213,0.17089179770276694,-0.10117060083453164,-0.07117069971089428,0.07432817404400988,-0.009811812088815026,-0.0033025670741602797,-0.023846652522846207,0.04152854912340799,-0.00022245079155810353,-0.040184182466625855,0.018366973556687365,0.08870631863783233,-0.04588809158933886,-0.07086246729343336,-0.01946786949434491,-0.03887465421326904,-0.030016674936228355
MT,0.6826134363081887,-0.12258734421256236,0.4540203427878761,0.11680519007986588,0.14421387617698553,-0.2833260688493853,-0.09968601068354929,0.1319328989118138,-0.058937908174163264,-0.024322829518672658,-0.01566321560140651,0.19274608536510118,0.08213868200535979,0.026575143437021696,-0.12218310183328263,-0.2851855457943134,-0.00595173728840402,0.007070334949279851,-0.24739140792713302,-0.005655205273503733,0.0032944987688072773,-8.252689746207788e-05,0.02980492463237294,-0.009965998951842142,0.014668329389257126,-0.008643328485640173,-0.008543975247130195
NC,0.9247908379991273,0.028764523455461117,-0.17960264997318248,-0.11576433131849112,-0.08321305754097143,-0.003938766181694904,-0.23986443293573534,0.07189705434911532,0.028212092378498876,0.15524804051647342,-0.061408250537917514,-0.012937337189690293,0.0030242356968153816,-0.022685513231387316,-0.11410011603163402,-0.014864821981096036,0.013530029671510803,-0.010675913784767113,-0.01828013047224781,0.08877310816537445,0.03348265144858013,-0.01722468302834738,0.0712669422162163,-0.006397067377150533,0.02302641195067981,-0.0851077011243604,0.015687989454273545
ND,0.3097795418640315,-0.0005086741896358348,0.8940023687187063,0.05547822368633871,0.150616385044715,-0.10774183765416293,-0.10788948022372175,-0.0018181540754377203,-0.02937909286209501,-0.07797804877783013,-0.13806480822300327,-0.050582234847935045,0.006830161194512835,0.15502744935829782,-0.08658251587658744,-0.12779185199299603,-0.028748627419457756,-0.01265978660616142,-0.014107717455539195,-0.02341367941408155,0.03518738091268145,0.0037737264630540858,0.010459138852179877,0.02185090084972842,-0.10942790099248224,-0.028091240286007874,0.0031425346209574033
NE-01,0.027450315605134286,0.01522497548374196,0.002669384675190284,0.14053397553461416,-0.0557582250283441,-0.10524144453908314,0.040680253449050414,0.9965523999492665,0.022109876270970347,0.026306588644136313,-0.003551484345535238,-0.06796587013224348,-0.0004706804838204934,-0.0030611456531371103,0.004523972876016071,0.01227589965167268,0.0358650236273567,-0.0025394673112514856,-0.0011186519102971526,-0.0008196446950965536,-0.0028822754642021625,-0.0032483549293476463,0.003984276999305817,0.0003301345644470382,-0.0009988089434495597,0.0032252038905305792,0.0019892069629149616
NE-02,0.029054219124020658,0.0870707910265539,-0.10800151901368106,0.0957493020818359,-0.8347895283222136,-0.11546203254712706,0.2159233896327354,0.44020872634640335,0.16152349608342617,0.04250084286647246,0.07545247423823681,-0.07857731181411541,-0.02038837926978857,-0.011448075288973859,0.0034445221890955077,0.06499766215260917,0.03858293342928576,0.0008711978391705411,-0.026627441874702527,0.007318116450733028,0.05533106829686331,0.03332660021338176,-0.04647879100738437,0.0010102322734364844,0.01678031833441096,-0.05700609136011118,-0.022449143593322354
NE-03,-0.012171279403179929,-0.171985009508546,0.1260650331262301,0.0005192650080281892,0.9254705970439561,0.019980463111890116,-0.20542820528200748,0.2376425001282873,-0.1060020957943383,0.010672224113520022,-0.07910694679246576,0.03675327754915372,-0.008960696673397722,0.050494759935690234,-0.03746734179605566,-0.05412823968853111,-0.04240605572151199,-0.044827325176663074,-0.010438984263720565,0.015775276599802622,-0.018923055492979447,-0.061587841553818565,-0.025325632458769683,-0.0032900901521781215,-0.009651742506839565,0.004323287714713491,-0.029053520022876086
NE-AL,0.6779958927384855,0.031511693057331425,0.4287692284652112,0.504519367897721,-0.08016090130456531,-0.07925432793205878,-0.21304846276621012,0.06554446506841166,0.11980659813328778,0.11355240849918823,0.025716720728238746,-0.08811296595090069,0.006891010422448514,0.03601422847793442,0.10062071266950261,0.06418216946306156,0.024324138037551693,-0.04518388150676322,0.0124618822070481,-0.09289122169140356,0.0709273554565187,0.0019189735474430284,-0.01789683876766358,0.016506786260095007,-0.025099071348561482,0.07824575664063943,0.02306077302821085
NH,-0.14966745743250828,0.08599443933990958,-0.3953105912507736,0.03077570528371462,0.035611548745094194,-0.059687710835179396,0.06666155934896194,0.013160828561559628,0.19312525425291543,0.12343380261877103,-0.03161059504133332,0.016800583118995144,-0.019722148074829478,0.0065115844486696136,0.8806389693123805,0.0962264251251667,-0.021854542819010277,-0.008816468186111577,0.006037645303205932,-0.003567563334459116,0.006668292333187672,-0.02885402133696415,0.002287581480938456,-0.005559098116419219,0.00017242448722914507,-0.005032587804762693,-0.0016051004921853397
NJ,-0.7188624300612005,0.07212585642358654,-0.18942669669632317,-0.2192217911067606,-0.04596858862327021,0.10909873897567071,0.36109631119747937,-0.14271350108014463,0.17216372700365778,0.07877868900822109,-0.05896443041702567,-0.012115763992756113,0.19551036710442796,0.06064005704861001,0.3137432735859754,0.24893287296834601,-0.015721282885773666,0.013106788720262596,0.008136559030175844,-0.00840327168546683,-0.0032431667045551235,0.005030578008300901,-0.05063555542523928,-0.03809388930617691,-0.0039339445619837226,0.14121445989593745,0.0044771495000248
NM,0.4523878854593519,0.016775217376737137,-0.13976858283044172,0.20926251161527526,-0.08719949826395768,0.11207561241190736,0.014451626098220746,0.07606473892538733,0.18113508657264868,0.7139767269979098,0.2306200360021864,-0.15902300362100477,-0.0009789053984924061,0.029364670677209638,0.26455910176308145,0.16502453488906021,0.15297726543743626,-0.0038671781051273332,0.002767781420258935,-9.490548649042419e-05,0.004916278167520983,-0.0025460002429490976,-0.0017681801128798262,-0.0034123348498315185,0.0019407986385148912,0.0025568682833149734,-0.0007277666142049536
NV,0.6877349221233482,0.1099939361770156,0.2765545202257034,0.10110011263346817,0.021500005047424168,-0.05889693845048247,0.38389606452865443,-0.05441703855890335,0.14427389034520122,0.1627495891153124,-0.05702114668850454,-0.058492088428024426,-0.021484553551829627,0.4150585075467481,0.28752852987960914,0.01865154747917144,-0.026142683342308053,-0.004275359669372968,-0.009254518715116825,0.01271222701984601,-5.7517500415425635e-05,-0.009591537842846071,0.007653563479352857,0.005175101936758721,-0.005552844132326309,-0.009804322965700864,-0.0016794016829426695
NY,-0.8051430662939922,-0.010216780518772253,0.009499873521685727,-0.1348270868459434,0.04123326182655231,0.20604218753444722,0.2126541224728786,-0.13052181456865464,0.18397365605815658,0.017469715088077833,0.08410515936406983,-0.16812223349660496,0.1394710229914695,-0.0019858263066621228,0.2882873786178721,0.2782805274127069,0.02558064618780269,0.004047039782577016,0.019986344877703493,-0.016179782645148993,-0.019966036373813636,0.049027574091443656,-0.05906914223259748,-0.07234721993251002,-0.021817388738713937,0.032984853013596084,-0.00893146524566507
