year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27
1984,-3.035296140721095,-1.7585059584059357,1.5825233206197158,-0.35800996170387717,-0.6130841642834992,0.7867455910484132,-0.6628490988730349,0.09981465713288934,-1.5708892568176143,-0.4145429195494848,2.1296868022825066,0.9965705761142797,0.06000517681243981,-0.6501190185719486,-2.6544391331234873,0.44676092605274953,0.5226460941141854,-0.04660718986096153,-0.1958773782647097,0.1813181785600891,-0.36712320420045647,-0.7536839548724791,0.6017525706360749,0.05633756818374535,-0.31904883054684635,0.0466991645544003,-0.0887342975452742
1988,-3.0565678427197005,-2.0712117305402127,3.132342463089516,1.7170353398857132,0.06471894154960586,0.11397108132256752,-0.3453813823960257,0.013426704068851674,-0.4794269908251236,0.40785763976728834,0.3948389055621114,0.34828084724456543,0.23292366117090937,-1.2125702889237555,-2.156490228401877,-0.7218261516348836,1.3147289527598385,0.6450653526245119,-0.24268898535822553,-0.023058788224414015,-0.1367838879044993,0.6681173793835132,0.5563469062636891,-0.22065041038979577,-0.1265715598311451,-0.24293326528008943,0.004852277117931671
1992,-2.1973093318579178,-1.4491844791824438,0.1948127905756108,1.092592090103903,4.045327476551181,-0.16378841751004908,0.0319346950483963,1.6664279533918915,-1.4265354381381086,0.310587219401317,-0.3706552048704055,-0.32491355797960775,-0.01830002011600846,0.2116970998250577,-0.34305289584014803,-0.16731282756077034,0.2545116862261885,-0.5460255653997,-0.04926506598459132,0.20965419109409297,-0.36082846904454297,-0.36240273044772814,0.02529157581708432,0.02840295816806737,0.13012866327663397,-0.20025681393379427,-0.15013177801144106
1996,-3.694380351503917,0.7681508313275955,-0.012585260870135805,-1.4947927083058434,4.072251694950912,1.4584912574999522,0.28555862634927237,-0.6788746730261056,0.11721532835400342,-0.44866852568363264,-0.8093872596996875,0.12012805124807739,0.033863740295155306,-0.8012488772214195,1.321808680540975,0.10200322650058062,-0.2954405074452526,0.07570354379695689,-0.11385583420657591,-0.3049448105043844,-0.24618424780117987,0.10363391747635571,-0.18443263696027545,-0.1134569354347736,-0.2236563745567595,0.470686612463454,0.1358709328941126
2000,-4.7289286935298005,-0.24148353204242173,-1.7259616456832994,-1.1862906790884067,0.9257723181078383,2.664162860608826,1.1554105533795438,-2.510982033013849,0.0851136348444104,-0.16244560545438708,0.07235879356194934,-0.4907055805477263,0.552398621188774,0.29257218875080726,1.06971704448153,1.0902706741901949,-0.20746452505231716,0.5779911057236127,0.7051888107471201,0.07571354959646645,0.08640176906340027,0.22277555808458518,0.1915077083502961,0.2498984688228462,0.16697850877176285,0.8540509030819838,0.016606906397282555
2004,-4.702717663693499,1.4430403122821638,-1.0549193516745503,-0.7302899517489877,1.3989145687125109,1.567472946099303,2.251126092363136,-2.8781672597470473,-0.28087167766708127,0.09898415724221386,1.0898159572138535,0.6304826150409317,0.13653846875832,-0.2783692331668929,1.5862008394191858,0.9872363701516815,0.5387275485629622,0.20403487180820426,0.23153831357858812,0.011205313233743047,-0.09320567270972811,0.11694958078713145,0.5505427175187684,-0.17650809633227743,0.2880037153374304,-0.4357255737437257,-0.03514298995919128
2008,-4.683623485212875,0.86091732106887,-0.40977943589374105,-0.1688887126885189,-0.010863136449235748,2.2854013981493155,2.581123785448325,1.5158342454387377,2.812953054149143,1.1698879069506463,1.0618865491675527,0.5126723341787157,-0.23046428373828629,0.8352916466827172,1.802917137028931,0.9301725576342067,0.8147799785470249,0.15065956569098468,-0.4914433921569599,-0.18926762481569606,0.6400196453125239,0.21455221347769898,-0.43849571128648746,0.5605093891525148,0.13784780576702782,-0.5069427107493174,-0.0668135147499371
2012,-5.0378372967221114,1.0549306138768342,-1.2964559719423028,-0.5820860965805507,0.3195982236621443,1.248199580177367,3.4798375955243035,-0.4584075768467916,2.8836662962433097,0.860267211254648,1.1138711109830826,0.4467208610261431,-0.23029494135827033,0.2224240984107313,1.709615068899491,2.048289539574152,0.4168451574103528,0.0039047256419822685,0.3212869342067214,0.22423372599225508,0.8550834194287376,0.10782787707868548,-0.4768363242962693,-0.5014373172839433,-0.25810609645847393,-0.2867272467168624,-0.20562705935553477
2016,-3.9178857722009655,-0.4561102875982051,-2.736567895009187,-0.22746925239217458,-4.016352514105932,0.7701010706810741,5.0732267335732155,-1.5759493598008247,1.4327075226273704,0.6613028979138184,1.2669315410590964,-1.6655993577921722,0.2545028528132451,0.31826441294314983,1.3520468517392705,1.6812668322622628,0.08985101660989947,-0.6073267372581505,0.16777284761010827,-0.2349276054538701,-0.323459529519415,-0.09655168566692508,-0.8875269047787205,-0.19930797976012976,0.1169337179673063,0.012430579566007311,0.22139169211483717
2020,-4.149386403045589,0.711170581736076,-3.002684956347505,0.6290448061081599,-4.724419853216038,0.4856705360344674,4.972282959194293,0.3333725966594777,1.1985478657885433,0.5594349711397517,1.0240397294912598,-1.9227612057381718,0.21697948207733353,-0.06550290195952657,2.0218235860993277,1.904195258755274,0.47877225294199927,-0.21808542680897122,-0.09081298274916264,-0.04755661240237358,-0.042087469502925565,-0.012010446735369714,-0.4971803069697093,-0.20952742606363525,0.024275906375585226,0.2236339025660983,-0.301959554389094
2024,-3.9404489522007853,1.4648790391673079,-2.549624847215505,1.3646747363350644,-3.761675101550329,0.1181617789860137,4.941838678471661,4.294063686415774,1.3014955711630487,0.7201002462990822,1.4489888487584266,-1.242740465919482,0.28641705308840243,-0.1944394234024419,2.001310033229808,1.9911183597130482,0.8692590172162512,0.03970116800743873,0.3742392227601509,-0.06114066154470551,-0.07988145780165314,0.04313982142941655,0.03465035398051783,-0.19943074429402424,0.23289217759915243,0.19306825194649893,0.06888728246621144
