year,abbr,state,Population,evs_2024,2024_pres_margin,2024_pres_relative_margin,2024_national_margin,gov_relative,sen_relative,gov_2024_margin,sen_2024_margin,sen_2024_party,sen_2022_party,sen_2020_party,senate_class_1,senate_class_2,2022_senate_margin,2024_pres_margin_str,2024_pres_relative_margin_str,gov_relative_str,sen_relative_str
2024,NM,New Mexico,2112651,5,0.061418122286473,0.0764148137206732,-0.0149966914342001,-0.021418122286472996,0.02358187771352701,0.04,0.085,D,NO_ELECTION,D,I,II,,D+6.1,D+7.6,R+2.1,D+2.4
2024,NV,Nevada,3203488,6,-0.0315901790851701,-0.01659348765097,-0.0149966914342001,-0.016409820914829898,0.0475901790851701,-0.048,0.016,D,D,NO_ELECTION,I,III,,R+3.2,R+1.7,R+1.6,D+4.8
2024,NY,New York,19862512,28,0.1268948611713893,0.1418915526055895,-0.0149966914342001,-0.06489486117138929,0.0451051388286107,0.062,0.172,D,D,NO_ELECTION,I,III,,D+12.7,D+14.2,R+6.5,D+4.5
2024,OH,Ohio,11812980,17,-0.1131322942727407,-0.0981356028385405,-0.0149966914342001,-0.13786770572725932,0.07713229427274071,-0.251,-0.036,R,R,NO_ELECTION,I,III,,R+11.3,R+9.8,R+13.8,D+7.7
2024,OK,Oklahoma,4110191,7,-0.3494008381234161,-0.334404146689216,-0.0149966914342001,0.20840083812341612,0.027400838123416094,-0.141,NO_ELECTION,NO_ELECTION,R,R,II,III,,R+34.9,R+33.4,D+20.8,D+2.7
2024,OR,Oregon,4312550,8,0.1486611606977519,0.163657852131952,-0.0149966914342001,-0.11066116069775189,0.0003388393022480951,0.038,NO_ELECTION,NO_ELECTION,D,D,II,III,,D+14.9,D+16.4,R+11.1,D+0.0
2024,PA,Pennsylvania,13013317,19,-0.0172638469212715,-0.0022671554870713,-0.0149966914342001,0.1652638469212715,0.0132638469212715,0.148,-0.004,R,D,NO_ELECTION,I,III,,R+1.7,R+0.2,D+16.5,D+1.3
2024,RI,Rhode Island,1106336,4,0.1416240626789067,0.1566207541131068,-0.0149966914342001,0.09437593732109328,0.19337593732109332,0.236,0.335,D,NO_ELECTION,D,I,II,,D+14.2,D+15.7,D+9.4,D+19.3
2024,SC,South Carolina,5503718,9,-0.1812336522703814,-0.1662369608361812,-0.0149966914342001,-0.11476634772961858,-0.0777663477296186,-0.296,NO_ELECTION,NO_ELECTION,R,R,II,III,,R+18.1,R+16.6,R+11.5,R+7.8
2024,SD,South Dakota,928251,3,-0.2989019907385306,-0.2839052993043304,-0.0149966914342001,0.00190199073853059,-0.13509800926146942,-0.297,NO_ELECTION,NO_ELECTION,R,R,II,III,,R+29.9,R+28.4,D+0.2,R+13.5
2024,TN,Tennessee,7230023,11,-0.3012109965499333,-0.2862143051157332,-0.0149966914342001,0.03821099654993326,-0.048789003450066704,-0.263,-0.35,R,NO_ELECTION,R,I,II,,R+30.1,R+28.6,D+3.8,R+4.9
2024,TX,Texas,31014237,40,-0.1387806780161845,-0.1237839865819844,-0.0149966914342001,0.027780678016184487,0.04878067801618449,-0.111,-0.09,R,NO_ELECTION,R,I,II,,R+13.9,R+12.4,D+2.8,D+4.9
2024,UT,Utah,3437975,6,-0.222106992333986,-0.2071103008997858,-0.0149966914342001,-0.12789300766601397,-0.177893007666014,-0.35,-0.4,R,R,NO_ELECTION,I,III,,R+22.2,R+20.7,R+12.8,R+17.8
2024,VA,Virginia,8739270,13,0.0590207868531316,0.0740174782873317,-0.0149966914342001,-0.0780207868531316,0.0509792131468684,-0.019,0.11,D,NO_ELECTION,D,I,II,,D+5.9,D+7.4,R+7.8,D+5.1
2024,VT,Vermont,641617,3,0.3277043577168019,0.342701049151002,-0.0149966914342001,-0.5277043577168019,0.21329564228319814,-0.2,0.541,D,D,NO_ELECTION,I,III,,D+32.8,D+34.3,R+52.8,D+21.3
2024,WA,Washington,7922623,12,0.1892955147941152,0.2042922062283153,-0.0149966914342001,-0.05429551479411518,-0.009295514794115195,0.135,0.18,D,D,NO_ELECTION,I,III,,D+18.9,D+20.4,R+5.4,R+0.9
2024,WI,Wisconsin,5955465,10,-0.0087338878234505,0.0062628036107496,-0.0149966914342001,0.0407338878234505,0.0177338878234505,0.032,0.009,D,R,NO_ELECTION,I,III,,R+0.9,D+0.6,D+4.1,D+1.8
2024,WV,West Virginia,1803077,4,-0.426877845600476,-0.4118811541662759,-0.0149966914342001,0.026877845600475958,0.006877845600475996,-0.4,-0.42,R,NO_ELECTION,R,I,II,,R+42.7,R+41.2,D+2.7,D+0.7
2024,WY,Wyoming,583817,3,-0.4695834604821483,-0.4545867690479482,-0.0149966914342001,-0.11041653951785169,-0.030416539517851726,-0.58,-0.5,R,NO_ELECTION,R,I,II,,R+47.0,R+45.5,R+11.0,R+3.0
