year,abbr,D_votes,R_votes,T_votes,total_votes,electoral_votes,D_delta,R_delta,total_delta,pres_margin,pres_margin_delta,national_margin,national_margin_delta,relative_margin,relative_margin_delta,third_party_share,third_party_national_share,third_party_relative_share,two_party_margin,two_party_margin_delta,two_party_national_margin,two_party_national_margin_delta,two_party_relative_margin,two_party_relative_margin_delta,color,pres_margin_str,pres_margin_delta_str,national_margin_str,national_margin_delta_str,relative_margin_str,relative_margin_delta_str,third_party_share_str,third_party_national_share_str,third_party_relative_share_str,two_party_margin_str,two_party_margin_delta_str,two_party_national_margin_str,two_party_national_margin_delta_str,two_party_relative_margin_str,two_party_relative_margin_delta_str
1916,MS,80422,4253,2004,86679,10,0,0,0,0.878748024320,0,0.031189132195,0,0.847558892125,0,0.02311978679957083,0.046448091706212336,-0.023328304906641506,0.899545320342486,0.0,0.032708373737440025,0.0,0.866836946605046,0.0,deepskyblue,D+87.9,0,D+3.1,0,D+84.8,0,2.31%,4.64%,-2.33%,D+90.0,0.0,D+3.3,0.0,D+86.7,0.0
1916,MT,101063,66750,9866,177679,4,0,0,0,0.193117926148,0,0.031189132195,0,0.161928793953,0,0.05552710224618554,0.046448091706212336,0.009079010539973204,0.20447164403234552,0.0,0.032708373737440025,0.0,0.1717632702949055,0.0,deepskyblue,D+19.3,0,D+3.1,0,D+16.2,0,5.55%,4.64%,0.91%,D+20.4,0.0,D+3.3,0.0,D+17.2,0.0
1916,NATIONAL,9126868,8548728,860989,18536585,0,0,0,0,0.031189132195,0,0.031189132195,0,0.000000000000,0,0.046448091706212336,0.046448091706212336,0.0,0.032708373737440025,0.0,0.032708373737440025,0.0,0.0,0.0,deepskyblue,D+3.1,0,D+3.1,0,EVEN,0,4.64%,4.64%,0.00%,D+3.3,0.0,D+3.3,0.0,EVEN,0.0
1916,NC,168383,120890,564,289837,12,0,0,0,0.163861066738,0,0.031189132195,0,0.132671934543,0,0.0019459213281948129,0.046448091706212336,-0.04450217037801752,0.16418054916981537,0.0,0.032708373737440025,0.0,0.13147217543237533,0.0,deepskyblue,D+16.4,0,D+3.1,0,D+13.3,0,0.19%,4.64%,-4.45%,D+16.4,0.0,D+3.3,0.0,D+13.1,0.0
1916,ND,55206,53471,6713,115390,5,0,0,0,0.015035964988,0,0.031189132195,0,-0.016153167206,0,0.058176618424473525,0.046448091706212336,0.01172852671826119,0.01596473954930666,0.0,0.032708373737440025,0.0,-0.016743634188133363,0.0,deepskyblue,D+1.5,0,D+3.1,0,R+1.6,0,5.82%,4.64%,1.17%,D+1.6,0.0,D+3.3,0.0,R+1.7,0.0
1916,NE-AL,158827,117771,10717,287315,8,0,0,0,0.142895428363,0,0.031189132195,0,0.111706296168,0,0.03730052381532464,0.046448091706212336,-0.009147567890887692,0.1484320204773715,0.0,0.032708373737440025,0.0,0.11572364673993148,0.0,deepskyblue,D+14.3,0,D+3.1,0,D+11.2,0,3.73%,4.64%,-0.91%,D+14.8,0.0,D+3.3,0.0,D+11.6,0.0
1916,NH,43781,43725,1621,89127,4,0,0,0,0.000628316896,0,0.031189132195,0,-0.030560815298,0,0.018187530153601042,0.046448091706212336,-0.028260561552611294,0.0006399561172948141,0.0,0.032708373737440025,0.0,-0.03206841762014521,0.0,deepskyblue,D+0.1,0,D+3.1,0,R+3.1,0,1.82%,4.64%,-2.83%,D+0.1,0.0,D+3.3,0.0,R+3.2,0.0
1916,NJ,211018,268982,14442,494442,14,0,0,0,-0.117231141367,0,0.031189132195,0,-0.148420273562,0,0.02920868372832405,0.046448091706212336,-0.017239407977888286,-0.12075833333333333,0.0,0.032708373737440025,0.0,-0.15346670707077337,0.0,red,R+11.7,0,D+3.1,0,R+14.8,0,2.92%,4.64%,-1.72%,R+12.1,0.0,D+3.3,0.0,R+15.3,0.0
1916,NM,33527,31152,2108,66787,3,0,0,0,0.035560812733,0,0.031189132195,0,0.004371680538,0,0.03156302873313669,0.046448091706212336,-0.014885062973075645,0.03671980086272206,0.0,0.032708373737440025,0.0,0.004011427125282033,0.0,deepskyblue,D+3.6,0,D+3.1,0,D+0.4,0,3.16%,4.64%,-1.49%,D+3.7,0.0,D+3.3,0.0,D+0.4,0.0
1916,NV,17776,12127,3413,33316,3,0,0,0,0.169558170249,0,0.031189132195,0,0.138369038054,0,0.10244327050066035,0.046448091706212336,0.055995178794448014,0.18891081162425175,0.0,0.032708373737440025,0.0,0.1562024378868117,0.0,deepskyblue,D+17.0,0,D+3.1,0,D+13.8,0,10.24%,4.64%,5.60%,D+18.9,0.0,D+3.3,0.0,D+15.6,0.0
1916,NY,759426,879238,67641,1706305,45,0,0,0,-0.070217223767,0,0.031189132195,0,-0.101406355962,0,0.039641799092190434,0.046448091706212336,-0.006806292614021901,-0.07311566007430444,0.0,0.032708373737440025,0.0,-0.10582403381174446,0.0,red,R+7.0,0,D+3.1,0,R+10.1,0,3.96%,4.64%,-0.68%,R+7.3,0.0,D+3.3,0.0,R+10.6,0.0
1916,OH,604161,514753,46172,1165086,24,0,0,0,0.076739399495,0,0.031189132195,0,0.045550267300,0,0.03962969257205048,0.046448091706212336,-0.006818399134161858,0.07990605176090387,0.0,0.032708373737440025,0.0,0.04719767802346385,0.0,deepskyblue,D+7.7,0,D+3.1,0,D+4.6,0,3.96%,4.64%,-0.68%,D+8.0,0.0,D+3.3,0.0,D+4.7,0.0
1916,OK,148113,97233,47407,292753,10,0,0,0,0.173798389769,0,0.031189132195,0,0.142609257574,0,0.1619351466936291,0.046448091706212336,0.11548705498741677,0.2073805971974273,0.0,0.032708373737440025,0.0,0.17467222345998729,0.0,deepskyblue,D+17.4,0,D+3.1,0,D+14.3,0,16.19%,4.64%,11.55%,D+20.7,0.0,D+3.3,0.0,D+17.5,0.0
1916,OR,120087,126813,14750,261650,5,0,0,0,-0.025706095930,0,0.031189132195,0,-0.056895228124,0,0.05637301738964265,0.046448091706212336,0.009924925683430313,-0.02724179829890644,0.0,0.032708373737440025,0.0,-0.059950172036346464,0.0,red,R+2.6,0,D+3.1,0,R+5.7,0,5.64%,4.64%,0.99%,R+2.7,0.0,D+3.3,0.0,R+6.0,0.0
1916,PA,521784,703823,71582,1297189,38,0,0,0,-0.140333444086,0,0.031189132195,0,-0.171522576280,0,0.05518239824728702,0.046448091706212336,0.008734306541074682,-0.14852966734034645,0.0,0.032708373737440025,0.0,-0.18123804107778646,0.0,red,R+14.0,0,D+3.1,0,R+17.2,0,5.52%,4.64%,0.87%,R+14.9,0.0,D+3.3,0.0,R+18.1,0.0
1916,RI,40394,44858,2564,87816,5,0,0,0,-0.050833561082,0,0.031189132195,0,-0.082022693277,0,0.02919741277215997,0.046448091706212336,-0.017250678934052365,-0.052362407920048794,0.0,0.032708373737440025,0.0,-0.08507078165748883,0.0,red,R+5.1,0,D+3.1,0,R+8.2,0,2.92%,4.64%,-1.73%,R+5.2,0.0,D+3.3,0.0,R+8.5,0.0
1916,SC,61846,1550,556,63952,9,0,0,0,0.942832124093,0,0.031189132195,0,0.911642991899,0,0.00869402051538654,0.046448091706212336,-0.0377540711908258,0.9511010158369613,0.0,0.032708373737440025,0.0,0.9183926420995212,0.0,deepskyblue,D+94.3,0,D+3.1,0,D+91.2,0,0.87%,4.64%,-3.78%,D+95.1,0.0,D+3.3,0.0,D+91.8,0.0
1916,SD,59191,64217,5534,128942,5,0,0,0,-0.038978765647,0,0.031189132195,0,-0.070167897841,0,0.042918521505793304,0.046448091706212336,-0.0035295702004190313,-0.040726695189939065,0.0,0.032708373737440025,0.0,-0.07343506892737908,0.0,red,R+3.9,0,D+3.1,0,R+7.0,0,4.29%,4.64%,-0.35%,R+4.1,0.0,D+3.3,0.0,R+7.3,0.0
1916,TN,153280,116223,2687,272190,12,0,0,0,0.136143870091,0,0.031189132195,0,0.104954737896,0,0.009871780741393879,0.046448091706212336,-0.036576310964818455,0.13750125230516916,0.0,0.032708373737440025,0.0,0.10479287856772913,0.0,deepskyblue,D+13.6,0,D+3.1,0,D+10.5,0,0.99%,4.64%,-3.66%,D+13.8,0.0,D+3.3,0.0,D+10.5,0.0
1916,TX,286514,64999,20954,372467,20,0,0,0,0.594723827883,0,0.031189132195,0,0.563534695688,0,0.056257332864387985,0.046448091706212336,0.00980924115817565,0.6301758398693648,0.0,0.032708373737440025,0.0,0.5974674661319247,0.0,deepskyblue,D+59.5,0,D+3.1,0,D+56.4,0,5.63%,4.64%,0.98%,D+63.0,0.0,D+3.3,0.0,D+59.7,0.0
1916,UT,84145,54137,4864,143146,4,0,0,0,0.209632123846,0,0.031189132195,0,0.178442991651,0,0.03397929386779931,0.046448091706212336,-0.012468797838413023,0.21700582866895185,0.0,0.032708373737440025,0.0,0.18429745493151184,0.0,deepskyblue,D+21.0,0,D+3.1,0,D+17.8,0,3.40%,4.64%,-1.25%,D+21.7,0.0,D+3.3,0.0,D+18.4,0.0
1916,VA,101840,48384,1801,152025,12,0,0,0,0.351626377241,0,0.031189132195,0,0.320437245046,0,0.011846735734254234,0.046448091706212336,-0.0346013559719581,0.35584194269890296,0.0,0.032708373737440025,0.0,0.32313356896146295,0.0,deepskyblue,D+35.2,0,D+3.1,0,D+32.0,0,1.18%,4.64%,-3.46%,D+35.6,0.0,D+3.3,0.0,D+32.3,0.0
1916,VT,22708,40250,1517,64475,4,0,0,0,-0.272074447460,0,0.031189132195,0,-0.303263579655,0,0.023528499418379218,0.046448091706212336,-0.022919592287833117,-0.2786301979097176,0.0,0.032708373737440025,0.0,-0.3113385716471576,0.0,red,R+27.2,0,D+3.1,0,R+30.3,0,2.35%,4.64%,-2.29%,R+27.9,0.0,D+3.3,0.0,R+31.1,0.0
1916,WA,183388,167208,30398,380994,7,0,0,0,0.042467860386,0,0.031189132195,0,0.011278728192,0,0.07978603337585369,0.046448091706212336,0.03333794166964135,0.04614998459765656,0.0,0.032708373737440025,0.0,0.013441610860216537,0.0,deepskyblue,D+4.2,0,D+3.1,0,D+1.1,0,7.98%,4.64%,3.33%,D+4.6,0.0,D+3.3,0.0,D+1.3,0.0
1916,WI,191363,220822,34949,447134,13,0,0,0,-0.065884052655,0,0.031189132195,0,-0.097073184850,0,0.07816225113724297,0.046448091706212336,0.031714159431030634,-0.0714703349224256,0.0,0.032708373737440025,0.0,-0.10417870865986563,0.0,red,R+6.6,0,D+3.1,0,R+9.7,0,7.82%,4.64%,3.17%,R+7.1,0.0,D+3.3,0.0,R+10.4,0.0
1916,WV,140403,143124,6325,289852,8,0,0,0,-0.009387549508,0,0.031189132195,0,-0.040576681703,0,0.02182148130770186,0.046448091706212336,-0.024626610398510475,-0.009596969600778762,0.0,0.032708373737440025,0.0,-0.04230534333821879,0.0,red,R+0.9,0,D+3.1,0,R+4.1,0,2.18%,4.64%,-2.46%,R+1.0,0.0,D+3.3,0.0,R+4.2,0.0
