,PC1,PC2,PC3,PC4,PC5,PC6,PC7
PA,0.923205122629159,-0.04591259383527261,-0.33891851445423826,0.04086106954095362,0.06714240267527383,0.08647043502224076,0.1485680027296479
RI,0.8816701770523911,-0.16490131839468297,-0.28192739904969455,0.24929560303721726,0.09351059659271131,-0.22612289506408295,-0.014674408684932432
SC,-0.3413018251415641,0.9203807946408111,0.11305945261456826,0.0150084389312845,0.026187261740607256,-0.13987893060729784,-0.07457989221077807
SD,0.40608565372799976,0.32575477587711743,-0.31705819693294063,0.04410728684716718,0.7859802000254441,0.049503018835795116,0.05420123177809176
TN,0.0536111346548525,0.8864824241823983,-0.45145112854015346,-0.08450023717814348,0.10076414672606136,-0.029554825776212625,-0.04305644702343412
TX,-0.05019076003752376,0.968010783370316,-0.06623291432523284,0.14122229201139894,0.13410968044415192,0.08951532424576111,-0.03321711308072897
UT,0.16365709384069638,0.8828397579742008,-0.01418829453827681,0.3164044239083991,0.16399123562323356,-0.0017537536756811903,0.2507826854903972
VA,0.16983783230070287,0.920839623068314,0.21046382351725335,0.1024948360542304,-0.03957293660222215,0.10410974872137675,-0.2246846907501877
VT,0.9028428575938544,-0.35851691237822186,0.16706728989042005,0.03482823463564,0.006958239283463173,0.021319712393301958,-0.16085134768024417
WA,0.9252021906720383,0.2337019607003192,0.01211504192043202,-0.02958086630176193,0.16725325999759363,0.23896997730553213,0.12642324878119804
WI,0.7920618164844171,0.16669855270571032,-0.13103092928540253,-0.10102259123526629,0.5541002474819,-0.09779469962668665,0.01811669578739731
WV,0.09436225751350423,0.44597029813975314,-0.869705276723748,0.0945057666211076,0.17926727090113695,-0.05215186224486817,0.02191251481358955
WY,0.19166448497832808,0.7415396141342253,-0.42894165017944075,0.20989260715846197,0.38375086639481204,0.08467000781614406,0.20665888291520995
