,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15
NV,0.5130496687944399,0.4722111876704881,0.48802389509979893,0.07003416615198975,0.17032405500692036,-0.29135837621381255,-0.2304802481421127,-0.10901556269457309,-0.10971902345502219,0.03110342448603155,-0.12999170400328497,0.23792154785347644,-0.09624175618797216,-0.08823437012906724,0.0679649776977738
NY,-0.904439471896003,0.11241731594374468,-0.03783966292105818,-0.043135440131886874,-0.2613055285102231,-0.30860476647813323,-0.10497386398718328,-0.045807580385890584,0.008091852153517692,0.015844420576870914,0.011434661274313581,-0.05053367763093704,-0.09039205831543565,0.06911983417594446,0.04226098056822848
OH,-0.050767076703374395,-0.3240042252807975,-0.32303269321206757,0.5563425628857627,0.12749778690508443,0.39626866537556854,-0.2843202623982493,-0.3672803243862457,-0.13246125451382504,0.08767946859235506,0.21084949190987215,0.020881706776169014,-0.1508214315805443,-0.13156778578132408,-0.07736023567323298
OK,0.9647368331336758,-0.11267383448957663,-0.008663566293051459,0.0650523862972645,-0.021749077503491174,0.052819231357104486,-0.10694289650512113,0.14233136769528065,0.0739071374226117,-0.006990847716403117,-0.14095066976108234,-0.12121232966779862,-0.005387730828960923,-0.07131037107954713,-0.008904453181436922
OR,-0.52562874264445,0.1957856032815618,0.5612375842963001,0.23741745204922557,-0.12276560808931508,0.3002761585883567,0.024688939393010575,0.1913038837432202,-0.17614009147509424,0.3487722355061314,0.030504378181759394,0.11466086620806067,0.034365228266631825,0.12815004637099708,-0.043019539199579494
PA,-0.7593676426546545,-0.4255438085602017,-0.2308359556760069,-0.07310496405367449,0.1817963442616493,0.2973938163475712,-0.04594459515864767,0.0492937128078021,-0.19152973896450157,0.0690264013992234,0.08427062126454984,0.012022559905838974,-0.07257364776224716,0.10993251720202964,0.08916121625848705
RI,-0.7764221375595647,-0.29561892695982167,-0.3531194206981549,0.08985036129842751,0.025114796026001553,-0.3738623340348632,0.006711518329966253,0.06495995954544978,-0.024103695584378214,0.023537403142998698,0.022939883778284494,-0.1331351086153874,0.031306892254603653,-0.11766007336819366,0.1360130129722364
SC,0.9291873571812441,0.2911056698805665,-0.036563862683770806,-0.0756412782423725,-0.07527317863632481,-0.12571088138314668,-0.011344029591497173,-0.11585289691400794,0.002897524194849516,0.05071953385064331,0.13475958072466482,0.05948078639948292,0.08196713829456827,0.08120869487529893,-0.005693621539053057
SD,0.3485590446201257,-0.6486483998079104,0.4317308280264122,0.254830746027058,-0.3255712497580188,-0.11745243814787744,0.04571563615260502,-0.11777725024029673,-0.12181931239271503,-0.045025258320298675,-0.08006878890779512,0.17651925228148274,0.1958835960928486,-0.04005308929023745,-0.0471595753605064
TN,0.9275437762454791,-0.15282111051501837,-0.22240846152704366,-0.17120358018581505,-0.11805406763964928,0.08722052522465422,-0.11123689731899367,0.01112849786563578,0.020701816643820106,0.12787303579041334,-0.02097832097091239,-0.018756675935387084,-0.003986974095832026,0.05379990302002502,0.005729410459205356
TX,0.9520491973963136,0.21040407933959426,0.05546683423766413,0.09736313184385179,0.08373165243114279,-0.06400105646982808,-0.035357625767551325,0.07162453774825933,0.031906462176870515,0.16003341997251205,0.028663187467569334,-0.11444507361891555,0.030128419247393953,-0.08793808383156163,-0.029786750039784992
UT,0.846484901154703,0.1548728895068363,0.0927782390041763,0.03696197309995446,0.38644538857353583,-0.2084684070763095,0.1186190798892068,-0.003554985150521007,-0.11574788757611888,-0.03129949820201865,0.037152890882137135,-0.13831794876617087,-0.013669426591346198,0.13493195737340466,-0.10718358065620884
VA,0.7696628144887178,0.6121533821313055,-0.06945381900100633,0.12084392301142703,-0.12307046547875229,0.012435573551340652,0.02823230899004637,-0.018409813892485603,0.02410531092720811,0.1356982161036781,0.10066705914777643,-0.003586025748633859,0.04744931092097805,-0.030507661990690424,-0.014710601185478879
VT,-0.9454080336968577,0.23785938987105354,0.020956992711795835,0.13490108909323845,-0.12776442499886198,-0.013185939960783708,-0.04609306910180841,-0.034646427474003,0.024111316170248788,0.08829640409817187,0.015942885142969335,-0.052004176887664476,0.1033392441066042,0.08307714713133207,0.021748958018992327
WA,-0.5595362984486608,0.23296000128817101,0.5371023293801257,-0.07782112090367244,0.37969870319400306,0.3688160255618411,-0.17433540766114325,0.1312663860307216,-0.03493482340431155,0.0492416595367534,-0.06945605987239459,-0.13072557210885827,0.06986573251019831,-0.041686313154104475,0.05542885245704655
WI,-0.34298570207716383,-0.4193112818357133,0.6296958053909452,-0.15962886938999885,-0.3504823179847096,-0.306461754141175,-0.039645280430056044,0.047533170341763305,0.017598171377124435,0.14951031411434115,0.13785555882573772,-0.07084087368463701,-0.07658445270166302,-0.09649573326667359,-0.08248896794148304
WV,0.5638008746786809,-0.6790060933132169,-0.42884620705139864,0.054266474010493226,-0.08930850612495961,0.06570973628014053,-0.10387766986383593,0.029738278864921135,-0.0767737570639871,0.08774180359279077,-0.02487474279460365,-0.10367402373127435,-0.06150595990779594,0.050217403226910776,0.07325961435390964
WY,0.8557514818176172,-0.4159004622549131,0.08003510572529905,0.15272066597806855,0.2361798717844488,-0.03971332110536915,-0.04731829288501669,-0.05336461350652689,-0.08775071243037917,-0.039000810582766714,-0.040934643226782565,-0.08063681625874781,-0.013167818431236506,0.07621992474544839,0.06912459101377827
