,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14
NM,0.7223488528843603,0.5541906380007408,0.2699956603634312,0.09376772019779117,0.18314966540476782,0.10613255435261945,-0.08695902286084485,-0.05162409033755169,0.08842857906973207,0.005677017537080367,-0.10236370499700104,0.007583767566045373,0.2069481661790279,0.025165305790345975
NV,0.6329918616328485,0.6748599751511967,0.13206136207104446,0.10908752176661837,0.3287781895745874,0.020104759943378615,-0.0026801232534045664,-0.07969661248435427,-0.03245247012451493,-0.0918281310665725,-0.01177894189300521,0.09068330360520004,0.0062977984153194345,0.10281991335989436
NY,0.9634577955466519,-0.1051407436249569,0.10794803216975513,0.02612534839941046,0.1546391814753983,-0.10737117879356076,-0.09791223375260807,-0.033550388314603066,0.11127371555592913,0.09439956080960599,0.099521557245926,-0.018456875387691134,-0.018645819334393916,0.005490547652660271
OH,0.8148989104541081,0.3248312808440972,-0.1038590424286424,0.08093709718335185,0.1785707485004851,0.042601579799679566,-0.04503153194511582,-0.09755733421664846,-0.11936469761480288,-0.04779669841892089,-0.21284231263007877,-0.33004533660075047,-0.03543617157055715,0.1458993896564335
OK,0.016943914841293373,0.879227451110954,0.0005472920639534838,0.07436188615524304,0.2521922244903578,0.006197811092482505,-0.037120781602601495,0.054451179639025314,0.0009265075599986924,-0.04211822749763386,-0.1261906513888715,-0.3668454642591259,0.15639722681910997,-0.08460261624426627
OR,0.8852510089122286,0.17784179939983633,0.030310255254526453,0.03879848807522733,0.3017349127334219,0.30415912713404736,0.016138340555290443,0.028592312326724843,0.03386392703726194,0.018142998716733482,-0.13979680578168008,0.043439255604268534,0.05124567731365851,0.012420405320951775
PA,0.9158521602291348,-0.05600507284761305,-0.035571188080969894,0.06711882661055475,0.09888334179634112,0.1175058901833844,0.06881099426489211,0.1168882231616094,-0.14312837727181196,-0.02816256904561915,0.002673916511948366,-0.3345808759666204,-0.07149359413537662,0.04415187293414556
RI,0.8862348296446024,-0.16063364656824095,-0.09993507164271728,0.23687766191830256,0.09953539191279576,-0.1934379171797532,-0.06634770200915747,0.0014594344766452882,0.02549340832506853,0.07103559944413916,0.13183950607437372,-0.2564468604113089,0.02831498333890428,-0.0025184802327325216
SC,-0.33896217420441255,0.9231611657244788,0.01029213229881694,-0.004621783254086885,0.03147028721548963,-0.019026728575481978,-0.09653422646956705,-0.09640944330224119,0.05488809035112226,0.04988507434873277,0.07814966079477043,0.10343620380205598,-0.13533740504427855,0.019810385205626554
SD,0.40321852938009534,0.32179134897351247,-0.13753399237131766,0.05601074297971904,0.8085067535586825,0.019155868177154842,0.05332514613362552,-0.07352685982311558,-0.014846400140834843,-0.07360036595424817,-0.07514212075862467,-0.26016965204949805,0.02605251719617573,-0.04309236333319351
TN,0.04924405203643773,0.8805619907126654,-0.04459886288273882,-0.051316474105396165,0.12927708887271247,0.046674540785516715,0.017330746592632135,0.0458190301538836,0.06433820771853292,-0.025597268778718388,0.0628442862872466,-0.45331266801788295,-0.043943473794043904,-0.040444330592233235
TX,-0.04448748971867798,0.9752879925715444,-0.06518620307040765,0.1276126810830816,0.1105598547295989,0.0654671559613206,-0.04441078959725636,-0.036996265094828215,0.02614842752730588,0.08504636628595004,-0.10040922699975745,-0.06298590653976678,0.12345721223144789,0.014895621344191154
UT,0.161634234916445,0.8799375913419246,0.004077677358294014,0.30760465098560535,0.15716203693914155,-0.024691026856151415,0.09188636681450328,0.027756223147613186,-0.2585576809061883,0.14289431903089211,-0.016078420111779977,-0.023615358679070574,0.039052141038287816,0.02693219383790033
VA,0.17529401508311815,0.9274769916768619,0.08503851623491299,0.06928850316171405,-0.0683804731355854,0.08329889429901355,-0.1511568238157283,-0.11599465464174383,0.16797756408831865,0.0402570107055713,-0.14579658879019258,0.16930812925640634,0.0356678895683408,0.0580843984399367
VT,0.9061878120012296,-0.3543085152619807,0.0809779887321427,0.010342350573027445,-0.012309027081099759,0.057515940337128806,-0.10878784696091824,-0.10209497837779402,0.1097256603248473,0.07208779066084707,-0.06818796883773103,0.13701911277133277,-0.05158652705764431,-0.07484298478596786
WA,0.918443680039652,0.22946031178136136,0.0512147660112155,-0.014443225790237501,0.17948373753522034,0.16938821089968475,0.041207760370256585,0.12545290703520465,-0.16543663290867455,-0.04680578936767928,-0.12984002968662123,0.00865529860374691,0.05960400736874417,-0.05945741690379696
WI,0.7920962382717476,0.1690430649869381,-0.05934652368794528,-0.0664522684739761,0.55051763378492,-0.008864314646425564,0.03745334856337749,0.13708215645477181,0.08167705890115046,0.13308999169817728,0.06790349278609212,-0.09861385897186442,0.054730637086744874,0.0321276970300532
WV,0.08973449080799607,0.4346875369965561,-0.18003294737993783,0.10031331632115308,0.2064106527107829,-0.031006335351466893,0.04160854616237861,-0.0042816914653710115,-0.025053704926006764,0.039573350526714124,0.03240724940143786,-0.8583362695939705,-0.03711793559880776,0.020836052766788286
WY,0.1846002968592073,0.7293238058197826,-0.06998402922714149,0.20784456693779402,0.40164454335634503,-0.004114491175637549,0.11493606942161297,0.005971612897188935,-0.22081897451876234,0.017672454381004996,-0.10744726900555994,-0.42426157930689,-0.056330821495110636,0.00046676039586561767
