,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ME-AL,0.9183767112219646,-0.19719511069254075,-0.002880437948614546,0.11539628300277743,-0.012943619412115767,0.15794024088633232,-0.14707464709066578,-0.25521005430936466,0.07514411907204036
MI,0.9180382933974216,-0.04294011816286592,-0.05546912749332033,0.04990996429847438,0.20937096989739676,0.08449656499444214,-0.2373861085348696,0.10249636685743121,-0.20679312127086452
MN,0.8127699995879062,0.03838379499996894,-0.19445860550304334,-0.04965921118962248,0.4406968403785041,-0.009072309463823229,-0.24737717954739816,0.16464093223715348,-0.11621108579755467
MO,0.31914030373935104,0.6056712266081923,0.13778441163871566,0.16613298729602274,0.3956855073744877,0.02113941031326538,-0.5756948776028246,0.09677078076471449,-0.003583446858788192
MS,-0.34931444780939147,0.8965508116693013,0.04521531085629391,-0.16684832617639073,-0.03609161986298346,-0.1236186035240856,0.10987379527064521,-0.07976445664443496,-0.07844824888874903
MT,0.41693054169636856,0.7080154587695512,-0.12172134185684427,0.1305348838030611,0.4521240594126768,0.09395974034348639,-0.20766363684425398,0.04785697800107422,-0.19739207899584812
NC,0.1370574375227659,0.9559714307389451,0.09651535030651003,0.05755664327780621,-0.058451500302564484,0.02676107600219509,-0.1451670937613703,0.21294229067516424,0.05338068561894552
ND,0.42451539149669976,0.5006269439258111,-0.07609720559784747,0.05187870940577073,0.7232715036961647,-0.09410338830321814,-0.2119175076964757,-0.02957553268291323,-0.04840546509599954
NE-AL,0.3566750078855989,0.7152432017818544,0.1204514105560288,0.1634088202964396,0.5328098458436894,0.2062221192484483,0.007991115431469301,-0.028502162448585208,0.11090538963999554
NH,0.8513057850206498,0.29432723763893587,0.20144241135597354,0.3057850515500394,-0.03019220110065545,0.03123685097576449,0.04021613381341926,-0.2265857142307889,0.016047222041145087
NJ,0.9930171753193637,0.04142567164497061,0.09264676284806962,0.09751083776227168,0.04988473549059827,-0.08746017710426404,-0.017841499922410582,-0.02839932673994586,0.04642284238173152
NM,0.724463700395361,0.560388030443993,0.254258507780078,0.09514290758276037,0.19139249126168337,0.11813136373015154,0.05131119513292108,0.13291962568486676,0.12749114559895172
NV,0.6348470060498582,0.6808306895728958,0.10927509213284899,0.09242260570206447,0.31261337075723983,0.03567096640807567,0.10237067027587884,-0.013023517251836121,-0.06112931464880284
NY,0.9626555863861883,-0.10352046301064911,0.14728933125532104,0.02780243156781324,0.1591355998045732,-0.15453413560086676,-0.005086487913253794,-0.08635652929478062,0.10198721254919801
OH,0.8175858476098412,0.32936991652207936,-0.02128105969153749,0.09487164319404287,0.17368866815580428,0.2436572641995202,-0.3358831587755185,-0.09924624679149505,-0.11437327109227648
OK,0.01785032421786583,0.8790445667434947,0.03329368496526067,0.0836462311092484,0.2556758132327824,0.10867976421588246,-0.36721062046815156,0.11345888088477782,0.036063623280783615
OR,0.8885770943457021,0.18206636817626218,0.002503114854457702,0.031069417633184576,0.29467535254328103,0.20904069337859868,0.05382040920427551,0.1828509098106391,0.07127513209673689
PA,0.9193843700945535,-0.05020393079419261,-0.06553963185637511,0.057468489346528547,0.08763871044728258,0.018756804074179522,-0.3219663150457989,0.13497905766976917,-0.1712625984115874
RI,0.8850385064957826,-0.1619584422211414,-0.007690699439754199,0.25631038151947666,0.0964582466333469,-0.19442681908759835,-0.27232302792226376,-0.10945034821252594,0.03533965749612183
SC,-0.3424260999490286,0.9207450157943704,0.07371292879458319,-0.013464545464667563,0.02576855031854451,-0.0723378865148955,0.09265883126062593,-0.1583854759066389,0.04243373355734956
SD,0.40885238184937844,0.32498191791501685,-0.1276123208731087,0.049699794206279596,0.7854238694164808,0.08669412214715594,-0.28943291749242916,-0.033471922397827654,-0.011712282619003981
TN,0.050974978583962945,0.8829649833625145,-0.029270237555704192,-0.06730687003573284,0.11464975316498574,-0.05724700879155459,-0.45402575101053816,0.05634133188757862,0.03708393504245398
TX,-0.044944424515913906,0.9739299551047259,-0.021709062172810097,0.15201301823317892,0.11653726616382186,0.11172397124120033,-0.06565688300536046,0.010244152102194284,0.10062830640970656
UT,0.1631585208167721,0.8837317520195414,-0.08696220058095934,0.3314361722407663,0.17086275893473216,-0.021246133077234244,0.011407272013351191,0.03369110968669099,-0.2102432979897699
VA,0.17160421702997264,0.9260093387544124,0.17393075533886024,0.0736606750259966,-0.060694589977602124,0.16968937676062118,0.1719131180556994,-0.06991605756996871,0.20343194061883674
VT,0.9043387651733651,-0.35497474534150825,0.13484271914589382,0.007210622390724692,-0.004844854847133002,0.07259256427315602,0.14483921070133526,-0.08025256788957795,0.12656222861146346
