,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
MT,0.683486997545096,-0.12527776672487098,0.459033955311048,0.11152581215547604,0.14251748403589962,-0.2880873152434312,-0.09453353436302551,0.13987740948668123,-0.06434947777448403,-0.008768867529990931,-0.014796261945648344,0.21393002100787414,0.13017697726890645,0.016430405464417337,-0.1200846298156534,-0.2948536108832324,-0.02135763707404331,0.00979552808971703,-0.09058437877673743,0.08717144715152593
NC,0.9239447760485373,0.03938452031707256,-0.1795499017474031,-0.11820289108719567,-0.08463375518561145,-0.0015970553374065847,-0.24106174885277687,0.07189804722771326,0.025952350916556625,0.15684788146456255,-0.06263457864175928,-0.013246878585453297,-0.01425571835234524,-0.030293074427408393,-0.11876025859279506,-0.013646825962081728,0.01503925765457276,-0.027016058583833467,-0.026734710178196886,0.12095360494702558
ND,0.30964781562369004,-0.0014931173130924844,0.89061280206603,0.06051023471104839,0.15217318937484683,-0.10920019791038678,-0.10945982049838675,-0.004533229448149537,-0.025482740301741347,-0.07926102352759067,-0.13907834883580913,-0.05373971425356485,-0.014175707670544458,0.17798918531507246,-0.08490210185329934,-0.12869769595462938,-0.02728232312803097,0.013004945038439252,-0.04800950162554235,0.03899949148776772
NE-01,0.027099402134667973,0.012602572043234428,0.0023004073352149495,0.14135982255495433,-0.056977920482747635,-0.10415223372852479,0.0408123656323508,0.9951997714807518,0.022661426326253325,0.025315865874229668,-0.003939074688928845,-0.06825076357576855,0.0006543796756106383,-0.002459737908309742,0.004076602715558645,0.011630993742633771,0.0334214639053561,-0.0024849191007243255,0.006276144111352549,0.0010913759277609804
NE-02,0.029742157061830275,0.08737956860352358,-0.10799128511802213,0.09514232709889947,-0.8349312678195813,-0.11441825244678366,0.21726010806735085,0.440133834034816,0.16274592240971608,0.04156017044259598,0.07576930130281062,-0.0752815700072415,-0.027820595382292916,-0.018013872516440023,0.0038596828911724246,0.06535932317394304,0.03441798749237681,0.005922930936131603,-0.0926151231215411,-0.010841334618223862
NE-03,-0.012915941986928591,-0.1739148847076405,0.12802719793688117,-0.002283633141973987,0.9238156778950002,0.019836404124085764,-0.2048383283799136,0.23978822090254678,-0.10806646234219026,0.018087911220542374,-0.0803746767157992,0.03982092367022426,-0.018704136182148473,0.0476211838798755,-0.03994254126959401,-0.05215372056044626,-0.04882366265609874,-0.06992508954078346,0.011909192315551211,-0.00261068077507574
NE-AL,0.6776049602276709,0.037646421625684136,0.4221009961892538,0.510709614295401,-0.08022378438115409,-0.07686504979864775,-0.21419699341830264,0.06444977956646684,0.1195765978620139,0.1188276751348136,0.02120375446913979,-0.08895285892079537,0.006855413028519422,0.06289151329966385,0.09183266108969826,0.05397149042972414,0.03601640608106295,0.011601710502911044,-0.0006536351881829633,-0.08248470435619532
NH,-0.14755686910679616,0.07961023113083636,-0.4035606593218059,0.03445677086664881,0.037628436515600445,-0.058960219058079494,0.0661071070866478,0.013083158306630182,0.19624416073164072,0.12464624071263597,-0.033514800130976526,0.015450464727015629,-0.026434964976024253,0.0032938032293330956,0.873752959666956,0.09581378872428885,-0.019383013255053805,-0.019093298844248825,0.009530032679499052,0.0052220585260575325
NJ,-0.7178926276220892,0.06502365145614311,-0.18947875845092596,-0.21759030821133496,-0.04746060801606503,0.11221185171204763,0.36037997864932736,-0.14444042137789068,0.1733186925305444,0.08362416376748127,-0.06164714276172965,-0.010686516953450676,0.20208002252712756,0.06507033413857272,0.31846303254323,0.2520353952940254,-0.023981737088277087,0.010109672924049257,0.04021904082795237,-0.09047222892871126
NM,0.45558103582855375,0.009092625076483033,-0.14258994244263215,0.21421078265677757,-0.08607710139612722,0.11099813055361549,0.015846028479957426,0.07537314780470099,0.18419809281856997,0.7019399601787754,0.2380745152881246,-0.16464312108538426,-0.0002250434871106134,0.030066730978889216,0.26582110692219296,0.16870604599563893,0.14736404092297392,-0.004558145173642215,0.004434363612841565,-0.0014840463293239467
NV,0.6912821379925119,0.10060716543462289,0.27610139144885787,0.09761725009152117,0.021194240391803117,-0.061214052195672865,0.3875024252149831,-0.05143606719741871,0.14344409564312413,0.15927074859280516,-0.05732358075217292,-0.052281337134132896,-0.02947375304920945,0.3974096167777002,0.2938115273994306,0.024620042665666125,-0.04276548379412844,-0.008785419577338601,0.002194828106719121,0.010304394394768565
NY,-0.8033869089482276,-0.020464144970385505,0.009020058974052269,-0.13232579448662043,0.04090858344682245,0.20814693567533202,0.21156175041516206,-0.13244788115643244,0.18648132703274933,0.00948866381353971,0.08503493948595203,-0.17229607891021864,0.14198677405395416,0.0007544016466197737,0.2933160837660796,0.28591409632269565,0.022968396693282128,-0.0013373968096526195,-0.02562386277696011,-0.05948042823958658
OH,-0.1781347001690543,-0.030238560967715513,-0.15033703121642183,0.267854650625406,0.29514914655694574,-0.0726153312936843,-0.21611699432970255,-0.12000672202033241,-0.02831007033437104,-0.08146634207732988,-0.0604510039712694,0.8558221850953541,-0.0040471101577259725,-0.011541155942522,0.004687817145675085,-0.07343998106252865,0.039621926881321316,-0.003411563750747035,-0.0005517925981478089,0.00013753826140583197
OK,0.8238323846810924,0.0034414740886507447,0.12207844409144067,0.14822248177587785,0.12053777073958545,-0.06553911576467615,-0.38469077422020925,-0.03554732816852801,-0.02076229834380579,0.11519855531952831,-0.1870567942037332,-0.028209209064475098,-0.011626301612053136,-0.06849785077181318,-0.1950662694480618,-0.15720752988156808,-0.027806734652297556,0.03781481737062493,0.17195155304285673,0.045273789120777896
OR,-0.3501047984867496,-0.0377148090367061,0.14885477308107672,0.21118558516960909,-0.16610478132126585,-0.019363211540550943,0.5357080142718881,0.14241041865821027,0.04177674231673883,0.2241947200047229,0.11033816274037782,0.10147470081791271,-0.012573783664138914,-0.010236535702669898,-0.047308590250728595,0.2161509323580997,0.617809815484992,-0.011395105981019848,0.0028641866337378295,0.004743164939759399
PA,-0.8220996503899023,-0.13064365370823397,-0.2021761261031478,-0.226667523307117,0.10031617911045612,-0.053278948258753095,0.08115729041900899,0.04262499904152988,-0.08958443624024591,-0.1088820975685907,0.016728505576130218,0.26480490856239314,0.057156922116214225,0.047432546567918975,-0.23201140706814039,-0.13217860667765274,0.12395759828012033,0.053087251504176904,0.04086948232083528,0.19852706438205192
