year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
1972,-3.865805893050829,-0.3721106057748867,3.357034215889017,0.44795607723246966,0.03837167338209511,-1.9301460980393137,0.5049412165571052,0.13342950059553207,-2.50499517979548,0.15287358482073155,0.833646602315248,1.5484475397295612,-0.6648751455876089,-0.26280362836107884,-0.06290582532066331,-1.304176924921259,1.275837194881623,-0.11651422087807177,-0.1581673438725187,-0.728304777151079
1976,-0.5472822373832019,-1.04508321581697,0.7778510979707745,-0.12562802414882734,-0.1303163229566953,1.4915818396320382,-2.42031991915925,-0.12837502849338836,-2.6072842390285134,-0.7907847681374377,-2.174867322114807,0.6067437312895255,-0.975714667639652,-0.00993057525424604,-1.7992632610825199,-0.11687070015405582,-0.3110723950320004,-0.46213600997306126,-0.17485976709544385,0.1689275256446305
1980,-2.5453105302183454,0.7854023710143847,-0.8907573397944105,-1.0811631299457127,0.6134383885818425,0.9753317024287077,-2.3218466555250346,0.10341410061882428,-0.8780991674889949,-1.6550246207106787,-0.5205071512342282,0.8028643323893244,-0.24641275978914617,-1.7635553408909488,-2.703376479554034,1.0972585997445732,0.13966939285939178,0.17331080495866139,-0.6102563400909895,0.05795499230185343
1984,-3.045499643023018,-1.7525066894469272,1.6122590688034413,-0.36037043662475404,-0.6198479223815495,0.7816124919546846,-0.6466139486617843,0.10148567741283697,-1.581201515212387,-0.3451431238423111,2.11097515875998,1.0474820668530371,0.007695920071542162,-0.5814584634631071,-2.662631519536557,0.4470651456896943,0.4505598840415324,-0.26270493277016765,0.5722972667630798,0.7576036687674664
1988,-3.063155692165908,-2.0334467765335016,3.1505338731286026,1.72947165492556,0.06423464700908363,0.13005736025252373,-0.362915293723127,-0.004043401836119602,-0.49708857559287073,0.3327134515942935,0.42685192829875174,0.29955608621353935,0.39961081865712283,-1.173721891721312,-2.1309536040975616,-0.7179416481360056,1.3751987395320238,0.804989351265985,-0.15991551665671733,0.5617432467162978
1992,-2.198353358516986,-1.449413451912996,0.21030301424833395,1.0657558863200742,4.037430751670469,-0.16791304000714277,0.044492330808852815,1.6844754488933769,-1.4438857912715632,0.3437284580198504,-0.3766272318013451,-0.30989411132178685,-0.040852613453275316,0.165288309327132,-0.36449238778876986,-0.14648780819057036,0.21697939723689907,-0.7064460304926006,0.14966819007555543,0.19385278853380597
1996,-3.6875480940602214,0.693324145380412,-0.024068667466604902,-1.4502965581528526,4.0899875940118715,1.429144321107801,0.2761269288843591,-0.6877885380566909,0.14428703018696615,-0.4944376802267443,-0.7695883115809278,0.07927636247166935,0.2477212294103621,-0.7220846001008874,1.365355145960653,0.05788656570726901,-0.2588207205971267,0.10396230043008603,0.15536653803479564,-0.3419613580764983
2000,-4.733998473042149,-0.1756416571421015,-1.7295152450179478,-1.1987085346908968,0.9158638940169371,2.704376056408562,1.142863310776355,-2.521938214699915,0.06911273075925259,-0.11729875406421285,0.02682367764967265,-0.506020580258483,0.4819468784661381,0.32104491396035817,1.061563699950505,1.0982792196306197,-0.1425828374441424,0.7297372643419018,0.7121261874810901,-0.3882675895799917
2004,-4.691490311684728,1.4553940656332662,-1.0678704415942992,-0.7243898522044591,1.4146462454274344,1.5620624451840546,2.259227234010063,-2.87753501393353,-0.26135622124466495,0.05057814946715581,1.1023968393977879,0.5849343671286498,0.08905518008142575,-0.34254664286457936,1.5893920436911742,1.0538057933356666,0.5183659220928499,0.17654694352998224,0.1776569388884078,0.4365917178039401
2008,-4.660375460774109,0.8524631315144843,-0.4137879475061344,-0.1751113633925997,0.0035179761261483543,2.2555923128358297,2.639399470112545,1.5469242641216272,2.8209162756170585,1.2535279923854579,1.0478357347895932,0.5854447506096251,-0.34676938256581935,0.7732239100893596,1.7972739819393173,0.9423863596575213,0.7177273655576414,0.3280675663282708,-0.9331255734110102,-0.09313751461920947
2012,-5.034325083507629,1.0521397849795762,-1.3063879746219205,-0.5606724752787646,0.3068563824719626,1.2974472522350682,3.4656389416526476,-0.48530958121099566,2.8898797429045096,0.8324595469723282,1.1026120366969483,0.39942415554896715,-0.4917156956250301,0.2186302425438588,1.728996126217315,2.0998380701458426,0.3791682809573892,-0.07251841499426838,-0.7186382430275201,-0.20974195215632677
2016,-3.898405315537065,-0.5551246638634707,-2.7324716459405294,-0.22521569461399707,-4.015156456719002,0.7608264783780038,5.089618451999036,-1.5802720473622434,1.4358664353120996,0.6282453291396323,1.2559239347910462,-1.6569782790077057,0.2670714038407806,0.25244568931564826,1.367959585401263,1.7132828832565974,0.016380666303280635,-0.7431251194713264,-0.21735952223646762,-0.7750233966961614
2020,-4.129799600949507,0.606773826071551,-2.994065329857446,0.6232022075005889,-4.729160849560487,0.47772685252410485,4.996440708188759,0.3487221793192404,1.2159394885832173,0.5394615801137774,1.0384585218746356,-1.878698697105101,0.2772640045529133,-0.10027334406745926,2.0500857854087418,1.9185675836682818,0.39318278346558866,-0.3123301304631565,-0.1425415492841308,-0.4440757341200855
2024,-3.928564777321439,1.4104598309726226,-2.5590105626797874,1.374369535692678,-3.770521133041238,0.13421310576098294,4.952956055389142,4.280812050178101,1.3160938862914295,0.6771970266105767,1.4393544454237723,-1.2587778137987689,0.28562656299246303,-0.23281554067918434,2.012084390957448,2.030842350606295,0.8124705133711495,0.008265351400543025,0.3133825865481576,-0.232764744457859
