,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
KY,0.06826443586590675,0.7083806277025203,-0.6718539222704529,0.18035415907951954,0.14813135049621867,0.10466172089557306,0.01681791114475802,0.016811532997434445
LA,-0.1924712101269571,0.9542953700051615,0.0006739158972331908,-0.01298200431784709,0.11160424957072333,-0.15146497468231798,0.09382464633348875,-0.15936814913844027
MA,0.8956431146516803,-0.3259275647514749,-0.0369253497851228,0.2073726201317455,0.1427368053770191,-0.134107184568268,0.12235781668588833,-0.05818801147632088
MD,0.8878832290529731,0.18698028111099682,0.18063619976529174,0.027252904657908132,0.01347381621905095,0.17468330053863737,-0.23413690455883676,-0.18596484077794836
ME-AL,0.9237026233541566,-0.19398741440198264,-0.13660275335706573,0.1426394108657014,-0.0208159436050019,0.13454491635552732,0.06603991532780863,-0.22475218825761276
MI,0.9170587230818946,-0.041611367121571555,-0.234222664598921,0.06284130789489882,0.20868038853309454,0.0555333195130149,0.08208056403171027,0.2249466405110447
MN,0.8054572416281145,0.03490178434213085,-0.2607891618940679,-0.07322025372591699,0.4531830504614024,-0.005415014623936311,0.15978089424930644,0.20524419283066023
MO,0.3187340564742426,0.605339960604018,-0.5742466133696675,0.1708730766835475,0.3912867306246476,0.03390808231423906,-0.16281957027151484,0.07220701401021996
MS,-0.3459346521092314,0.9006310343937558,0.11804221161776214,-0.14119329192067628,-0.044734856064919136,-0.14620617799736482,-0.0115341600855488,-0.013883037765340788
MT,0.414967158438201,0.7095837581021904,-0.2092793684674656,0.1441102729327086,0.4485219805060711,0.064207944102764,0.15443176956701782,0.1760144840545977
NC,0.13379574635068162,0.9506182611554548,-0.15622959284717836,0.02556117918623856,-0.04922982129484283,0.06342858595929042,-0.1533449697370757,0.1224371880351108
ND,0.42106890350948667,0.5014205283073847,-0.21609983474596903,0.05659232028377448,0.7240391268913808,-0.09714613980656484,0.0746654428236897,0.007567049157599582
NE-AL,0.35669372550470985,0.7162177169912939,0.008575474017613938,0.1718363139276094,0.5280554579404604,0.2236542653549645,-0.11475071569596111,-0.08808850564020387
NH,0.8588908882504726,0.2991190458435915,0.057373275070057406,0.3453837483224711,-0.04139255568823255,0.0026126509949341735,-0.11476631717721902,-0.17052787432920574
NJ,0.9932153158929526,0.04030518002017447,-0.017106771608080915,0.09325356612956429,0.05617865592303423,-0.0800786056559978,-0.08807673198906053,-0.04941301935555428
NM,0.7237002684615306,0.558204350861042,0.050266939489641664,0.08360387967025419,0.19590990242310952,0.156965790679559,-0.2850663358672534,0.017980290248998762
NV,0.6361600516991789,0.6835251153203279,0.10842924814346563,0.11233106488596534,0.3085860794987879,0.02341630637272268,-0.07230378195940346,0.03596872405708834
NY,0.963724118355244,-0.10334777839110244,-0.0008248162059209766,0.030386500596511927,0.16344515775080615,-0.14165099218859048,-0.14632871403745065,-0.13476614797801978
OH,0.8219021214836745,0.33408980316495557,-0.32386526114144254,0.13378920248723902,0.1603956040821173,0.20200682044223825,0.08980921032425247,0.01980942472082077
OK,0.015688335268238176,0.8766686334229974,-0.3738333483976523,0.0721070089852542,0.2557194234836565,0.1297606885881663,-0.0692842880807503,0.06197904155315117
OR,0.8830896064390731,0.17743327250377752,0.041632337149506926,0.0006146597985106337,0.30723315755581077,0.2438184901478199,-0.045728499764928224,0.10060402788039378
PA,0.917220435649157,-0.05130535678672001,-0.3235600390072506,0.05503208547790337,0.09219604643581296,0.0018045216038040709,0.06880277404292907,0.22285785521366677
RI,0.8846896541070725,-0.16390142140665911,-0.27457134359294044,0.24888904851784724,0.10325968702597156,-0.19522531192846895,0.01574966392552557,-0.10525286760908611
SC,-0.3386128053440357,0.9238423519997282,0.09889381965852678,0.0072964766742352775,0.017139632259294282,-0.08152143037642304,-0.04169509335105315,-0.15109948129958506
SD,0.4051901259072431,0.32573573639749176,-0.2946184134368642,0.054616714051496304,0.7839055132139563,0.08604719914331284,0.12407498105874928,-0.012723426425307792
TN,0.04895912487830428,0.8802605709996937,-0.4614976235146113,-0.08194891337123653,0.11754655131306517,-0.04000478906896268,-0.013019722049684804,0.013365294822883443
TX,-0.04684929744183834,0.970693222391019,-0.07597377024328117,0.13330959850728888,0.11990600175483318,0.1329800016648024,0.003925091383588242,-0.05467941581905949
UT,0.16182670168273555,0.8838388713378009,0.007622502463568356,0.33643009500518706,0.1706432662340494,-0.053318194116357666,0.13361879991934256,0.1708912128220097
VA,0.1743775469137952,0.9254188695462651,0.17275159875733936,0.07245836131791836,-0.06278880872317207,0.19551766088415584,-0.1706599162600015,-0.18123921433422585
VT,0.9066177241907105,-0.35431664327765255,0.15088679436542832,0.012830317851729492,-0.003332127537546674,0.08328497606992226,-0.12130361656652983,-0.13677002686015738
WA,0.9164351617037229,0.22953884414459885,0.017874667254355537,-0.021206793033044975,0.1841696589564702,0.15627391498670323,-0.0008063283989677084,0.2644095936943395
WI,0.7869171103149762,0.16515055156415295,-0.11893480723271246,-0.0930453349315856,0.5685499672145037,-0.08617637208966342,0.02187445501344333,-0.008501049244230027
WV,0.09459215869244098,0.43971181493116684,-0.8597441216044105,0.10494273101699468,0.19491033211048667,-0.05864735645848209,0.12090702877090571,0.00372727529981754
WY,0.18919096677091585,0.7387566566033862,-0.40345483865816556,0.23129588344112867,0.3932937257196967,0.04023078154516607,0.1770458758963912,0.1677544656559785
